TIMESTAMP,ContextTokens,GeneratedTokens
2024-01-01 00:00:00.282532,9013,3
2024-01-01 00:00:00.384341,23141,453
2024-01-01 00:00:01.112394,26888,458
2024-01-01 00:00:01.316635,7322,490
2024-01-01 00:00:01.330243,6725,32
2024-01-01 00:00:01.351158,3137,19
2024-01-01 00:00:01.931595,17450,610
2024-01-01 00:00:02.092104,2290,316
2024-01-01 00:00:02.283419,4834,173
2024-01-01 00:00:02.321868,6758,500
2024-01-01 00:00:02.358193,3121,20
2024-01-01 00:00:02.468285,6253,3
2024-01-01 00:00:02.575794,7236,794
2024-01-01 00:00:02.780295,10498,402
2024-01-01 00:00:02.926867,6506,3
2024-01-01 00:00:03.131367,915,355
2024-01-01 00:00:03.191388,6166,24
2024-01-01 00:00:03.389635,45922,265
2024-01-01 00:00:03.462714,12846,466
2024-01-01 00:00:03.568225,15172,80
2024-01-01 00:00:03.583721,9418,145
2024-01-01 00:00:03.681489,13544,71
2024-01-01 00:00:03.977150,6059,475
2024-01-01 00:00:04.063223,3133,23
2024-01-01 00:00:04.111009,5954,420
2024-01-01 00:00:04.399696,7460,3
2024-01-01 00:00:04.408198,11339,848
2024-01-01 00:00:04.663200,87169,402
2024-01-01 00:00:04.894362,2012,354
2024-01-01 00:00:05.048464,20506,929
2024-01-01 00:00:05.233542,16609,349
2024-01-01 00:00:05.273505,3176,19
2024-01-01 00:00:05.334372,3156,21
2024-01-01 00:00:05.482066,6324,548
2024-01-01 00:00:05.678470,6820,26
2024-01-01 00:00:05.901562,26353,370
2024-01-01 00:00:05.911123,3161,20
2024-01-01 00:00:06.021094,7141,36
2024-01-01 00:00:06.418397,3134,21
2024-01-01 00:00:06.598925,4348,20
2024-01-01 00:00:06.679955,7111,3
2024-01-01 00:00:06.864273,3156,20
2024-01-01 00:00:06.936412,4186,24
2024-01-01 00:00:07.161823,3155,25
2024-01-01 00:00:07.310893,6166,23
2024-01-01 00:00:07.426590,6355,3
2024-01-01 00:00:08.009112,6198,39
2024-01-01 00:00:08.047169,6169,27
2024-01-01 00:00:08.100496,3068,20
2024-01-01 00:00:08.360560,6306,3
2024-01-01 00:00:08.414098,5710,745
2024-01-01 00:00:08.496612,6721,29
2024-01-01 00:00:08.497867,1053,26
2024-01-01 00:00:09.092454,6950,25
2024-01-01 00:00:09.343590,6785,3
2024-01-01 00:00:09.419391,3806,309
2024-01-01 00:00:09.911850,6563,25
2024-01-01 00:00:10.310152,1110,240
2024-01-01 00:00:10.376747,15366,344
2024-01-01 00:00:10.413289,26156,238
2024-01-01 00:00:10.660738,16635,449
2024-01-01 00:00:10.677621,6598,26
2024-01-01 00:00:10.695708,7490,3
2024-01-01 00:00:10.706224,3121,18
2024-01-01 00:00:10.904155,4115,24
2024-01-01 00:00:10.994553,10355,584
2024-01-01 00:00:11.005209,8772,1
2024-01-01 00:00:11.115496,1477,615
2024-01-01 00:00:11.294997,6669,3
2024-01-01 00:00:11.342187,6188,3
2024-01-01 00:00:12.174908,6185,3
2024-01-01 00:00:12.643754,3628,555
2024-01-01 00:00:12.701818,1902,587
2024-01-01 00:00:12.844152,14041,227
2024-01-01 00:00:12.880781,6618,35
2024-01-01 00:00:13.219161,9615,203
2024-01-01 00:00:13.225586,6520,47
2024-01-01 00:00:13.671096,7413,23
2024-01-01 00:00:13.985750,12095,239
2024-01-01 00:00:13.992941,1066,324
2024-01-01 00:00:14.351695,3377,22
2024-01-01 00:00:14.442061,19976,105
2024-01-01 00:00:14.560209,2038,524
2024-01-01 00:00:15.068136,898,324
2024-01-01 00:00:15.262950,3331,20
2024-01-01 00:00:15.270144,5391,361
2024-01-01 00:00:15.354018,11041,98
2024-01-01 00:00:15.456936,38383,589
2024-01-01 00:00:15.483815,6251,3
2024-01-01 00:00:15.500919,6525,481
2024-01-01 00:00:15.797610,14081,522
2024-01-01 00:00:15.904536,24246,587
2024-01-01 00:00:16.085438,27701,459
