RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1760960857.140237,1760961024.705957,374,44,334.529597,3.201549,7.705303,True
1,1760960857.140416,1760961094.900286,396,109,474.896987,20.847357,4.204163,True
2,1760960857.14048,1760961032.179485,879,55,349.434543,23.583993,6.034269,True
3,1760960857.14052,1760961003.921784,91,16,292.897426,18.463788,18.295576,True
4,1760960857.140556,1760960976.326422,91,16,237.686966,1.252181,15.762319,True
5,1760960857.140591,1760961057.81983,381,84,400.650846,15.705557,4.637895,True
6,1760960857.140623,1760961066.373633,1313,142,417.738955,17.179146,2.84085,True
7,1760960857.140653,1760961058.136795,388,84,401.242067,12.762227,4.68048,True
8,1760960857.140684,1760961003.215081,242,14,291.378235,20.772674,20.815812,True
9,1760960857.140713,1760961132.604233,209,152,550.134495,23.509219,3.487585,True
10,1760960857.140743,1760961117.467387,394,124,519.839121,18.388846,4.076832,True
11,1760960857.140773,1760960999.118194,394,59,283.120545,27.053935,4.414942,True
12,1760960857.140803,1760961101.502891,1315,174,487.866845,21.262008,2.697138,True
13,1760960857.140832,1760961067.852432,389,90,420.543993,15.619726,4.549711,True
14,1760960857.140862,1760961093.736567,415,106,472.289777,12.686404,4.377175,True
15,1760960857.140895,1760960973.400445,120,12,231.598384,9.915736,20.152968,True
16,1760960857.140924,1760961045.39483,369,74,375.5642,20.686083,4.861344,True
17,1760960857.140953,1760961084.94668,206,162,454.648837,17.061239,2.717935,True
18,1760960857.140982,1760961125.235044,1353,142,535.201635,23.412002,3.629714,True
19,1760960857.141015,1760961137.259077,197,152,559.226685,18.290677,3.582358,True
20,1760960857.141044,1760961080.088645,181,154,444.864495,26.955278,2.731433,True
21,1760960857.141073,1760960995.040346,388,54,274.746107,21.163666,4.784574,True
22,1760960857.141103,1760961072.544885,203,147,429.734781,9.839312,2.875996,True
23,1760960857.141132,1760961174.750405,126,194,634.125533,15.511803,3.205252,True
24,1760960857.141165,1760961012.256881,389,87,309.115386,16.983997,3.396877,True
25,1760960857.141195,1760961003.392894,91,16,291.364158,12.566772,18.586492,True
26,1760960857.141224,1760961113.438614,181,123,511.432522,20.576431,4.023411,True
27,1760960857.141258,1760961132.885373,191,217,550.304564,26.878503,2.423269,True
28,1760960857.141287,1760961107.235116,27,183,498.982588,21.086826,2.625801,True
29,1760960857.141363,1760961192.02894,203,217,668.546944,23.291178,2.987295,True
30,1760960857.141397,1760961011.918085,398,81,308.30572,9.75179,3.731924,True
31,1760960857.141431,1760961093.043359,126,172,470.535339,16.90786,2.652792,True
32,1760960857.141462,1760961167.017353,209,181,618.459512,18.149065,3.335058,True
33,1760960857.141491,1760961165.22875,209,181,614.861172,15.402194,3.330328,True
34,1760960857.141521,1760961160.551229,28,175,605.484325,12.469387,3.408132,True
35,1760960857.141551,1760961018.865276,437,88,322.091964,26.792704,3.394244,True
36,1760960857.141608,1760961086.164996,181,104,456.668889,20.467808,4.234962,True
37,1760960857.14164,1760961123.423615,203,138,531.164992,23.204522,3.707741,True
38,1760960857.141669,1760961103.31128,200,177,490.919778,20.979664,2.670114,True
39,1760960857.141703,1760960976.326231,91,16,236.928001,9.655189,15.151521,True
40,1760960857.141735,1760962191.162187,1087,401,2666.579698,1053.741874,4.032095,True
41,1760960857.141765,1760961039.522506,382,64,363.278776,18.052499,5.479782,True
42,1760960857.141794,1760961088.086589,412,102,460.383891,15.304894,4.406723,True
43,1760960857.141824,1760961196.626773,194,217,677.437838,12.370293,3.079016,True
44,1760960857.141863,1760961181.792603,203,217,647.74652,20.380387,2.904473,True
45,1760960857.141892,1760961132.885459,200,217,549.912351,26.683048,2.422358,True
46,1760960857.141919,1760961101.502702,64,174,487.125198,20.890925,2.694996,True
47,1760960857.141947,1760961059.906513,458,123,403.910976,9.566007,3.232336,True
48,1760960857.141985,1760961139.778539,1352,158,563.633272,23.084681,3.442985,True
49,1760960857.142012,1760961610.39834,874,404,1504.853996,516.257814,2.453092,True
50,1760960857.142041,1760961036.204247,378,58,356.442309,17.953388,5.938402,True
51,1760960857.142068,1760960976.259199,91,16,236.531399,26.618028,13.994225,True
52,1760960857.142096,1760961019.534369,389,89,323.060068,20.826434,3.434473,True
53,1760960857.142123,1760961107.093359,212,183,498.156645,9.50191,2.684916,True
54,1760960857.142151,1760961218.491435,1085,394,720.931847,16.65804,1.792045,True
55,1760960857.142178,1760961121.724357,407,131,527.373576,15.163218,3.94008,True
56,1760960857.142205,1760961054.550521,396,82,393.00483,12.229794,4.700926,True
57,1760960857.142232,1760961602.521341,1029,399,1488.925011,511.136562,2.456755,True
58,1760960857.142263,1760961602.711838,962,399,1489.284944,505.577283,2.471627,True
59,1760960857.14229,1760961135.847732,203,217,555.534636,9.436716,2.528231,True
60,1760960857.142346,1760961066.729831,898,94,417.277606,20.207663,4.269569,True
61,1760960857.142377,1760961143.277827,181,253,570.353268,16.582564,2.197503,True
62,1760960857.142404,1760961009.172534,320,18,302.119098,22.933654,16.422673,True
63,1760960857.142431,1760962378.409147,1119,414,3040.571516,1006.348838,4.925479,True
64,1760960857.142459,1760961142.021955,124,157,567.777288,15.066427,3.543018,True
65,1760960857.142492,1760961163.132345,1313,179,609.975647,12.13345,3.358664,True
66,1760960857.142519,1760962227.156221,1096,383,2738.003253,1006.317329,4.533209,True
67,1760960857.14255,1760961089.761857,400,102,463.188349,22.879709,4.359491,True
68,1760960857.142577,1760962404.571764,1057,424,3092.790621,1006.295754,4.932612,True
69,1760960857.142607,1760961148.264559,203,162,580.154275,15.012468,3.510198,True
70,1760960857.142634,1760961130.15746,1314,216,543.918305,26.413575,2.406999,True
71,1760960857.142661,1760961028.749857,2,93,341.082524,20.622196,3.483264,True
72,1760960857.142688,1760961629.785538,1065,409,1543.132628,510.975456,2.529797,True
73,1760960857.142714,1760961036.44734,372,60,356.432927,12.046867,5.837052,True
74,1760960857.14274,1760961218.491445,1104,394,720.50032,16.442334,1.791496,True
75,1760960857.142767,1760961642.571833,1075,415,1568.640337,515.977298,2.542664,True
76,1760960857.142797,1760961572.258947,1225,372,1427.993139,502.94097,2.493402,True
77,1760960857.142823,1760962423.976257,1118,426,3131.405411,1000.492351,5.013913,True
78,1760960857.14285,1760961093.079807,380,102,469.591852,17.653047,4.474642,True
79,1760960857.142877,1760961589.767662,1133,385,1462.947688,502.909698,2.500099,True
