RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1761026906.886226,1761027055.26811,374,44,296.221643,1.572056,6.852316,True
1,1761026906.88634,1761027143.575259,396,109,472.811813,3.422714,4.346195,True
2,1761026906.886393,1761027058.979711,879,55,303.598394,17.735191,5.293763,True
3,1761026906.886433,1761027038.255003,91,16,262.12683,28.491366,15.575698,True
4,1761026906.886467,1761027038.185219,91,16,261.966666,23.128457,15.922547,True
5,1761026906.886498,1761027103.147541,381,84,391.869571,20.616723,4.472926,True
6,1761026906.886532,1761027176.867129,1313,142,539.28685,17.971995,3.697268,True
7,1761026906.886563,1761027098.403247,388,84,382.337993,23.111532,4.32803,True
8,1761026906.886593,1761027050.110479,242,14,285.731166,14.999197,20.825536,True
9,1761026906.886622,1761027184.627642,209,152,554.742239,12.410261,3.591602,True
10,1761026906.886651,1761027126.4686,394,124,438.405478,12.692287,3.461083,True
11,1761026906.886683,1761027080.849563,394,59,347.144767,20.551464,5.630919,True
12,1761026906.886713,1761027163.901988,1315,174,513.22928,17.628345,2.864745,True
13,1761026906.886741,1761027110.68897,389,90,406.782313,17.897163,4.369496,True
14,1761026906.88677,1761027129.585629,415,106,444.554321,23.036448,4.014456,True
15,1761026906.886802,1761027046.890242,120,12,279.141125,14.924949,24.019652,True
16,1761026906.88685,1761027076.311745,369,74,337.964852,28.352816,4.241261,True
17,1761026906.886882,1761027197.379469,206,162,580.07626,12.325442,3.526403,True
18,1761026906.886928,1761027180.513,1353,142,546.321568,20.476762,3.729396,True
19,1761026906.88696,1761027145.211612,197,152,475.698251,22.967956,2.998214,True
20,1761026906.886989,1761027185.206762,181,154,555.663851,17.822074,3.515306,True
21,1761026906.887017,1761027058.910143,388,54,303.05062,12.574076,5.48069,True
22,1761026906.887046,1761027142.554371,203,147,470.319426,17.520734,3.101361,True
23,1761026906.887083,1761027217.27559,126,194,619.740538,22.939814,3.092232,True
24,1761026906.887112,1761027107.461612,389,87,400.089798,14.827535,4.479794,True
25,1761026906.88714,1761027050.040089,91,16,285.222461,12.237996,18.198964,True
26,1761026906.887168,1761027164.871167,181,123,514.863618,20.389565,4.053066,True
27,1761026906.887198,1761027239.594842,191,217,664.290542,17.745982,2.993262,True
28,1761026906.887226,1761027211.844471,27,183,608.767821,22.885292,3.219135,True
