RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1760933964.774858,1760934130.338002,374,44,330.221836,3.487526,7.598472,True
1,1760933964.775067,1760934209.374322,396,109,488.270113,20.043554,4.335431,True
2,1760933964.775128,1760934141.003703,879,55,351.507503,2.31884,6.466457,True
3,1760933964.775171,1760934116.592489,91,16,302.663708,2.348947,20.020984,True
4,1760933964.77521,1760934116.815383,91,16,303.088574,25.802621,18.48573,True
5,1760933964.775247,1760934163.552327,381,84,396.538626,20.286567,4.533157,True
6,1760933964.775281,1760934221.679928,1313,142,512.772816,14.962283,3.530571,True
7,1760933964.775314,1760934164.001955,388,84,397.394276,30.937846,4.415138,True
8,1760933964.775359,1760934115.117197,242,14,299.603317,25.758292,21.065002,True
9,1760933964.775393,1760934226.510553,209,152,522.367313,20.242584,3.325329,True
10,1760933964.775427,1760934209.61424,394,124,488.552607,14.917818,3.850689,True
11,1760933964.775459,1760934140.024588,394,59,349.352069,22.635419,5.633046,True
12,1760933964.775492,1760934245.720286,1315,174,560.722472,30.882706,3.062658,True
13,1760933964.775528,1760934172.952732,389,90,415.166366,25.703869,4.375983,True
14,1760933964.775562,1760934206.326868,415,106,481.893315,17.364525,4.424084,True
15,1760933964.775594,1760934110.683014,120,12,290.583626,20.178225,24.582309,True
16,1760933964.775629,1760934156.822373,369,74,382.841739,14.854266,5.040924,True
17,1760933964.775679,1760934238.499139,206,162,546.172664,30.828912,3.200893,True
18,1760933964.775712,1760934221.52908,1353,142,512.212657,25.650811,3.450793,True
19,1760933964.775748,1760934226.510818,197,152,522.153056,20.13473,3.324625,True
20,1760933964.775781,1760934251.802569,181,154,572.714133,14.790467,3.64656,True
21,1760933964.775813,1760934140.709284,388,54,350.506481,14.799032,6.334103,True
22,1760933964.775845,1760934254.202389,203,147,577.467052,11.885865,3.873844,True
23,1760933964.775877,1760934262.696599,126,194,594.431844,30.763235,2.920563,True
24,1760933964.775913,1760934163.756833,389,87,396.531145,19.792504,4.380682,True
25,1760933964.775944,1760934108.888614,91,16,286.775943,22.483743,17.61948,True
26,1760933964.775977,1760934208.847181,181,123,486.671797,25.563004,3.77958,True
27,1760933964.776016,1760934546.492126,191,217,1161.939766,17.222308,5.299618,True
28,1760933964.776048,1760934255.62597,27,183,580.183821,20.035722,3.077737,True
29,1760933964.77608,1760934555.895832,203,217,1180.703613,14.691593,5.398204,True
30,1760933964.776116,1760934162.158725,398,81,393.206797,11.798566,4.767603,True
31,1760933964.776151,1760934517.461976,126,172,1103.790697,19.716464,6.339615,True
32,1760933964.776183,1760934522.983417,209,181,1114.810825,22.405585,6.068918,True
33,1760933964.776215,1760934533.245775,209,181,1135.312487,17.155116,6.211985,True
34,1760933964.77625,1760934258.999374,28,175,586.799856,14.655522,3.288186,True
35,1760933964.776282,1760934169.164827,437,88,407.107663,14.624882,4.511296,True
