RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1761001523.538916,1761001662.36254,374,44,277.085572,1.616532,6.406257,True
1,1761001523.539064,1761001717.130721,396,109,386.597433,24.554328,3.352251,True
2,1761001523.539135,1761001693.808639,879,55,339.930752,3.818734,6.224297,True
3,1761001523.53918,1761001666.792135,91,16,285.87745,3.855875,18.801438,True
4,1761001523.539216,1761001649.820954,91,16,251.91388,30.545944,14.757862,True
5,1761001523.539251,1761001719.372916,381,84,390.996244,15.781736,4.520657,True
6,1761001523.539284,1761001795.185092,1313,142,542.598447,18.291965,3.718486,True
7,1761001523.539316,1761001718.321696,388,84,388.851717,20.949148,4.432561,True
8,1761001523.539347,1761001646.558204,242,14,245.30279,19.310508,17.384022,True
9,1761001523.539378,1761001802.619936,209,152,557.405078,12.781299,3.60678,True
10,1761001523.539408,1761001779.181161,394,124,510.504328,23.745567,3.957388,True
11,1761001523.539438,1761001669.528542,394,59,291.17854,14.259331,4.774469,True
12,1761001523.539469,1761001759.794778,1315,174,471.687243,24.435553,2.58527,True
13,1761001523.5395,1761001731.370055,389,90,414.81605,15.694886,4.484507,True
14,1761001523.53953,1761001762.160592,415,106,476.375327,18.205405,4.363523,True
15,1761001523.539563,1761001663.987531,120,12,280.009573,20.862088,23.558862,True
16,1761001523.539593,1761001708.589299,369,74,369.192733,12.705197,4.883391,True
17,1761001523.539624,1761001744.785954,206,162,441.563892,30.40547,2.553779,True
18,1761001523.539654,1761001732.991019,1353,142,417.95141,19.202227,2.828008,True
19,1761001523.539687,1761001803.355706,197,152,558.657391,23.647962,3.543109,True
20,1761001523.539716,1761001737.164435,181,154,426.254006,14.161165,2.693417,True
21,1761001523.539746,1761001667.157039,388,54,286.218981,24.338172,4.941147,True
22,1761001523.539776,1761001736.817843,203,147,425.519279,30.351303,2.70663,True
23,1761001523.539825,1761001778.065318,126,194,507.993652,19.148494,2.532876,True
24,1761001523.539871,1761001684.015692,389,87,319.872775,14.119345,3.555272,True
25,1761001523.539902,1761001666.117602,91,16,284.054776,15.566294,17.899232,True
26,1761001523.539932,1761001781.313304,181,123,514.424287,18.075996,4.068429,True
27,1761001523.539968,1761001788.643282,191,217,529.06181,24.273858,2.336981,True
28,1761001523.539999,1761001826.129869,27,183,604.013438,20.721471,3.204901,True
29,1761001523.54003,1761001787.608862,203,217,526.947901,30.274707,2.299413,True
30,1761001523.540059,1761001715.177159,398,81,382.061573,12.552643,4.618862,True
31,1761001523.540092,1761001825.775677,126,172,603.235326,23.516849,3.390167,True
32,1761001523.540121,1761001764.251986,209,181,480.168005,19.049101,2.561772,True
33,1761001523.540151,1761001753.53804,209,181,458.718106,14.020416,2.470543,True
34,1761001523.540181,1761001763.210951,28,175,478.044174,24.197567,2.608314,True
35,1761001523.54021,1761001729.779096,437,88,411.157861,15.456119,4.548296,True
36,1761001523.540239,1761001756.369246,181,104,464.316101,17.966993,4.333486,True
37,1761001523.540269,1761001785.792492,203,138,523.142558,20.624022,3.668019,True
38,1761001523.540298,1761001757.603216,200,177,466.744585,30.178524,2.480489,True
39,1761001523.540331,1761001648.908456,91,16,249.333451,18.975534,15.357194,True
40,1761001523.540366,1761002467.564389,1087,401,1886.621706,12.445896,4.68544,True
41,1761001523.540395,1761001703.360291,382,64,358.193002,23.410991,5.314,True
42,1761001523.540425,1761001703.152571,412,102,357.758642,13.925465,3.404289,True
43,1761001523.540454,1761001858.67332,194,217,668.777225,15.372315,3.025023,True
44,1761001523.540493,1761001860.292964,203,217,671.993849,17.882374,3.028294,True
