Context Length,Model Size,Source Instance,Destination Instance,KV Cache Size (MiB),KV Cache Transfer Time (ms),Network Bandwidth (GB/s)
128,3B,g6.xlarge,g6.xlarge,14,44.98,0.3
256,3B,g6.xlarge,g6.xlarge,28,94.23,0.29
512,3B,g6.xlarge,g6.xlarge,56,188.91,0.29
1024,3B,g6.xlarge,g6.xlarge,112,378.34,0.29
2048,3B,g6.xlarge,g6.xlarge,224,757.22,0.29
4096,3B,g6.xlarge,g6.xlarge,448,1513.77,0.29
8192,3B,g6.xlarge,g6.xlarge,896,3028.26,0.29
16384,3B,g6.xlarge,g6.xlarge,1792,6057.26,0.29
32768,3B,g6.xlarge,g6.xlarge,3584,12122.5,0.29
65536,3B,g6.xlarge,g6.xlarge,7168,24231.85,0.29
128,8B,g6.xlarge,g6.xlarge,16,52.16,0.3
256,8B,g6.xlarge,g6.xlarge,32,107.76,0.29
512,8B,g6.xlarge,g6.xlarge,64,215.69,0.29
1024,8B,g6.xlarge,g6.xlarge,128,432.78,0.29
2048,8B,g6.xlarge,g6.xlarge,256,865.86,0.29
4096,8B,g6.xlarge,g6.xlarge,512,1730.49,0.29
8192,8B,g6.xlarge,g6.xlarge,1024,3460.92,0.29
16384,8B,g6.xlarge,g6.xlarge,2048,6920.61,0.29
32768,8B,g6.xlarge,g6.xlarge,4096,13856.79,0.29
65536,8B,g6.xlarge,g6.xlarge,8192,27695.37,0.29
128,3B,g6e.xlarge,g6e.xlarge,14,49.51,0.28
256,3B,g6e.xlarge,g6e.xlarge,28,92.86,0.29
512,3B,g6e.xlarge,g6e.xlarge,56,187.39,0.29
1024,3B,g6e.xlarge,g6e.xlarge,112,377.41,0.29
2048,3B,g6e.xlarge,g6e.xlarge,224,757.25,0.29
4096,3B,g6e.xlarge,g6e.xlarge,448,1514.48,0.29
8192,3B,g6e.xlarge,g6e.xlarge,896,3028.52,0.29
16384,3B,g6e.xlarge,g6e.xlarge,1792,6057.23,0.29
32768,3B,g6e.xlarge,g6e.xlarge,3584,12116.95,0.29
65536,3B,g6e.xlarge,g6e.xlarge,7168,24233.17,0.29
128,8B,g6e.xlarge,g6e.xlarge,16,53.46,0.29
256,8B,g6e.xlarge,g6e.xlarge,32,109.31,0.29
512,8B,g6e.xlarge,g6e.xlarge,64,215.73,0.29
1024,8B,g6e.xlarge,g6e.xlarge,128,430.35,0.29
2048,8B,g6e.xlarge,g6e.xlarge,256,865.61,0.29
4096,8B,g6e.xlarge,g6e.xlarge,512,1730.5,0.29
8192,8B,g6e.xlarge,g6e.xlarge,1024,3460.97,0.29
16384,8B,g6e.xlarge,g6e.xlarge,2048,6923.32,0.29
32768,8B,g6e.xlarge,g6e.xlarge,4096,13849.94,0.29
65536,8B,g6e.xlarge,g6e.xlarge,8192,27694.18,0.29
128,3B,g6.xlarge,g6e.xlarge,14,46.39,0.29
256,3B,g6.xlarge,g6e.xlarge,28,94.48,0.29
512,3B,g6.xlarge,g6e.xlarge,56,189.62,0.29
1024,3B,g6.xlarge,g6e.xlarge,112,377.56,0.29
2048,3B,g6.xlarge,g6e.xlarge,224,757.05,0.29
4096,3B,g6.xlarge,g6e.xlarge,448,1514.15,0.29
8192,3B,g6.xlarge,g6e.xlarge,896,3029.32,0.29
16384,3B,g6.xlarge,g6e.xlarge,1792,6057.58,0.29
32768,3B,g6.xlarge,g6e.xlarge,3584,12126.5,0.29
65536,3B,g6.xlarge,g6e.xlarge,7168,24244.74,0.29
128,8B,g6.xlarge,g6e.xlarge,16,52.73,0.3
256,8B,g6.xlarge,g6e.xlarge,32,108.14,0.29
512,8B,g6.xlarge,g6e.xlarge,64,215.63,0.29
1024,8B,g6.xlarge,g6e.xlarge,128,432.22,0.29
2048,8B,g6.xlarge,g6e.xlarge,256,865.25,0.29
4096,8B,g6.xlarge,g6e.xlarge,512,1730.49,0.29
8192,8B,g6.xlarge,g6e.xlarge,1024,3461,0.29
16384,8B,g6.xlarge,g6e.xlarge,2048,6923.04,0.29
32768,8B,g6.xlarge,g6e.xlarge,4096,13857.03,0.29
65536,8B,g6.xlarge,g6e.xlarge,8192,27696.64,0.29
128,3B,g6e.xlarge,g6.xlarge,14,45.08,0.3
256,3B,g6e.xlarge,g6.xlarge,28,94.19,0.29
512,3B,g6e.xlarge,g6.xlarge,56,188.52,0.29
1024,3B,g6e.xlarge,g6.xlarge,112,376.41,0.29
2048,3B,g6e.xlarge,g6.xlarge,224,756.76,0.29
4096,3B,g6e.xlarge,g6.xlarge,448,1513.45,0.29
8192,3B,g6e.xlarge,g6.xlarge,896,3028.32,0.29
16384,3B,g6e.xlarge,g6.xlarge,1792,6057.56,0.29
32768,3B,g6e.xlarge,g6.xlarge,3584,12125.53,0.29
65536,3B,g6e.xlarge,g6.xlarge,7168,24232.69,0.29
128,8B,g6e.xlarge,g6.xlarge,16,52.69,0.3
256,8B,g6e.xlarge,g6.xlarge,32,107.6,0.29
512,8B,g6e.xlarge,g6.xlarge,64,215.62,0.29
1024,8B,g6e.xlarge,g6.xlarge,128,431.96,0.29
2048,8B,g6e.xlarge,g6.xlarge,256,865.72,0.29
4096,8B,g6e.xlarge,g6.xlarge,512,1730.7,0.29
8192,8B,g6e.xlarge,g6.xlarge,1024,3461.83,0.29
16384,8B,g6e.xlarge,g6.xlarge,2048,6918.72,0.29
32768,8B,g6e.xlarge,g6.xlarge,4096,13861.02,0.29
65536,8B,g6e.xlarge,g6.xlarge,8192,27695.86,0.29
128,70B,g6.xlarge,g6.xlarge,1,0.64,1.53
256,70B,g6.xlarge,g6.xlarge,2,4.44,0.44
512,70B,g6.xlarge,g6.xlarge,4,11.14,0.35
1024,70B,g6.xlarge,g6.xlarge,8,26.96,0.29
2048,70B,g6.xlarge,g6.xlarge,16,54.04,0.29
4096,70B,g6.xlarge,g6.xlarge,32,107.12,0.29
8192,70B,g6.xlarge,g6.xlarge,64,216.35,0.29
16384,70B,g6.xlarge,g6.xlarge,128,432.82,0.29
32768,70B,g6.xlarge,g6.xlarge,256,863.81,0.29
65536,70B,g6.xlarge,g6.xlarge,512,1730.47,0.29
128,70B,g6e.xlarge,g6e.xlarge,4,9.33,0.42
256,70B,g6e.xlarge,g6e.xlarge,8,25.75,0.3
512,70B,g6e.xlarge,g6e.xlarge,16,54.08,0.29
1024,70B,g6e.xlarge,g6e.xlarge,32,108.48,0.29
2048,70B,g6e.xlarge,g6e.xlarge,64,215.83,0.29
4096,70B,g6e.xlarge,g6e.xlarge,128,431.88,0.29
8192,70B,g6e.xlarge,g6e.xlarge,256,865.21,0.29
16384,70B,g6e.xlarge,g6e.xlarge,512,1727.84,0.29
32768,70B,g6e.xlarge,g6e.xlarge,1024,3461.39,0.29
65536,70B,g6e.xlarge,g6e.xlarge,2048,6920.92,0.29
