Context Length,Model Size,Instance Type,Re-Computing Latency (ms)
128,3B,L4 (g6.xlarge),37.8
256,3B,L4 (g6.xlarge),38.0
512,3B,L4 (g6.xlarge),45.9
1024,3B,L4 (g6.xlarge),70.0
2048,3B,L4 (g6.xlarge),121.7
4096,3B,L4 (g6.xlarge),253.2
8192,3B,L4 (g6.xlarge),574.6
16384,3B,L4 (g6.xlarge),2312.2
32768,3B,L4 (g6.xlarge),6382.2
65536,3B,L4 (g6.xlarge),20002.8
128,8B,L4 (g6.xlarge),78.7
256,8B,L4 (g6.xlarge),78.8
512,8B,L4 (g6.xlarge),94.9
1024,8B,L4 (g6.xlarge),151.2
2048,8B,L4 (g6.xlarge),273.8
4096,8B,L4 (g6.xlarge),910.7
8192,8B,L4 (g6.xlarge),2195.9
16384,8B,L4 (g6.xlarge),5050.4
32768,8B,L4 (g6.xlarge),
65536,8B,L4 (g6.xlarge),
128,70B(2layer),L4 (g6.xlarge),30.6
256,70B(2layer),L4 (g6.xlarge),30.3
512,70B(2layer),L4 (g6.xlarge),33.3
1024,70B(2layer),L4 (g6.xlarge),45.4
2048,70B(2layer),L4 (g6.xlarge),75.5
4096,70B(2layer),L4 (g6.xlarge),143.1
8192,70B(2layer),L4 (g6.xlarge),283.4
16384,70B(2layer),L4 (g6.xlarge),602.0
32768,70B(2layer),L4 (g6.xlarge),1415.6
65536,70B(2layer),L4 (g6.xlarge),
128,3B,L40S (g6e.xlarge),20.4
256,3B,L40S (g6e.xlarge),19.43
512,3B,L40S (g6e.xlarge),21.02
1024,3B,L40S (g6e.xlarge),25.83
2048,3B,L40S (g6e.xlarge),42.64
4096,3B,L40S (g6e.xlarge),83.88
8192,3B,L40S (g6e.xlarge),167.93
16384,3B,L40S (g6e.xlarge),420.83
32768,3B,L40S (g6e.xlarge),1381.27
65536,3B,L40S (g6e.xlarge),5867.33
128,8B,L40S (g6e.xlarge),32.86
256,8B,L40S (g6e.xlarge),33.40
512,8B,L40S (g6e.xlarge),36.74
1024,8B,L40S (g6e.xlarge),48.41
2048,8B,L40S (g6e.xlarge),84.04
4096,8B,L40S (g6e.xlarge),162.09
8192,8B,L40S (g6e.xlarge),355.33
16384,8B,L40S (g6e.xlarge),989.06
32768,8B,L40S (g6e.xlarge),3758.70
65536,8B,L40S (g6e.xlarge),10593.91
128,70B(8layer),L40S (g6e.xlarge),32.73
256,70B(8layer),L40S (g6e.xlarge),32.82
512,70B(8layer),L40S (g6e.xlarge),36.17
1024,70B(8layer),L40S (g6e.xlarge),45.62
2048,70B(8layer),L40S (g6e.xlarge),77.68
4096,70B(8layer),L40S (g6e.xlarge),153.67
8192,70B(8layer),L40S (g6e.xlarge),314.73
16384,70B(8layer),L40S (g6e.xlarge),694.59
32768,70B(8layer),L40S (g6e.xlarge),2203.47
65536,70B(8layer),L40S (g6e.xlarge),7590.16
