RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773638501.776902,1773638620.767973,374,44,237.891689,2.982262,5.463010,True
1,1773638501.777064,1773638545.545313,396,109,87.422526,3.296584,0.778944,True
2,1773638501.777122,1773638526.984529,879,55,50.277799,16.673834,0.622296,True
3,1773638501.777163,1773638607.306513,91,16,210.900737,15.660869,13.015991,True
4,1773638501.777203,1773638607.418961,91,16,211.105268,18.916543,12.812582,True
5,1773638501.777259,1773638645.038990,381,84,286.323762,12.285821,3.301662,True
6,1773638501.777308,1773638538.603776,1313,142,73.432076,1.681972,0.508866,True
7,1773638501.777360,1773638537.342202,388,84,70.886372,9.863519,0.735215,True
8,1773638501.777408,1773638508.590569,242,14,13.362073,3.824653,0.733648,True
9,1773638501.777449,1773638699.694926,209,152,395.549921,15.596563,2.516247,True
10,1773638501.777500,1773638548.583983,394,124,93.306238,16.588684,0.623720,True
11,1773638501.777549,1773638630.713113,394,59,257.543335,18.841570,4.115548,True
12,1773638501.777591,1773638714.538476,1315,174,425.173204,12.211565,2.387061,True
13,1773638501.777641,1773638656.898351,389,90,309.870866,15.554383,3.306927,True
14,1773638501.777681,1773638673.983452,415,106,344.019129,18.809558,3.097234,True
15,1773638501.777734,1773638519.682768,120,12,35.396822,9.778097,2.328975,True
16,1773638501.777781,1773638533.998791,369,74,64.007891,16.524642,0.650455,True
17,1773638501.777821,1773638560.116832,206,162,116.222693,9.757003,0.661278,True
18,1773638501.777863,1773638555.222958,1353,142,106.414543,16.503959,0.637664,True
19,1773638501.777902,1773638698.474907,197,152,392.895996,12.136774,2.521584,True
20,1773638501.777969,1773638701.049914,181,154,398.025879,15.480065,2.500299,True
21,1773638501.778012,1773638527.040246,388,54,49.985195,9.715021,0.759815,True
22,1773638501.778054,1773638696.265443,203,147,388.413191,18.724407,2.532115,True
23,1773638501.778095,1773638729.007307,126,194,453.876154,12.093980,2.289027,True
24,1773638501.778135,1773638539.771243,389,87,75.381546,16.439118,0.685377,True
25,1773638501.778181,1773638522.405786,91,16,40.629940,9.671645,2.063886,True
26,1773638501.778216,1773638534.501857,181,123,64.650875,2.573936,0.508827,True
27,1773638501.778264,1773638575.756008,191,217,147.137065,16.331936,0.605579,True
28,1773638501.778305,1773638727.063084,27,183,449.728701,15.318281,2.386870,True
29,1773638501.778344,1773638749.783889,203,217,495.145163,18.572710,2.206354,True
30,1773638501.778390,1773638642.410527,398,81,280.379952,11.942878,3.355463,True
31,1773638501.778423,1773638545.742546,126,172,87.023965,2.827729,0.492376,True
32,1773638501.778454,1773638725.254389,209,181,446.025590,15.275808,2.393054,True
33,1773638501.778490,1773638725.368975,209,181,446.234971,18.531515,2.376130,True
34,1773638501.778522,1773638717.139013,28,175,429.752033,11.900466,2.401446,True
35,1773638501.778553,1773638653.840446,437,88,303.132701,15.243313,3.309073,True
36,1773638501.778586,1773638542.705264,181,104,80.841234,9.477780,0.692849,True
37,1773638501.778641,1773638691.925239,203,138,379.259284,18.487842,2.633368,True
38,1773638501.778676,1773638717.831385,200,177,431.050601,11.857413,2.381779,True
39,1773638501.778727,1773638508.861829,91,16,13.091152,1.625645,0.764367,True
40,1773638501.778762,1773638602.125448,1087,401,199.596700,16.192422,0.458511,True
41,1773638501.778810,1773638532.675170,382,64,60.673768,9.424266,0.813484,True
42,1773638501.778850,1773638668.447735,412,102,332.196820,15.167436,3.138905,True
43,1773638501.778892,1773638749.783641,194,217,494.845308,18.422754,2.205660,True
44,1773638501.778969,1773638742.528795,203,217,480.315044,11.792779,2.169085,True
45,1773638501.779016,1773638746.425812,200,217,488.086541,15.135789,2.189587,True
46,1773638501.779058,1773638563.569987,64,174,122.356999,16.127939,0.614041,True
47,1773638501.779097,1773638683.059759,458,123,361.313056,18.379933,2.810927,True
48,1773638501.779144,1773638559.226724,1352,158,113.626163,9.348932,0.664186,True
49,1773638501.779187,1773638882.570965,874,404,760.293541,11.738951,1.857456,True
50,1773638501.779226,1773638529.622427,378,58,54.375102,16.084612,0.671763,True
51,1773638501.779264,1773638607.306669,91,16,209.719395,15.070818,12.976572,True
52,1773638501.779309,1773638654.348326,389,89,303.782663,18.325983,3.243826,True
53,1773638501.779348,1773638567.219237,212,183,129.502187,9.294332,0.660483,True
54,1773638501.779392,1773638828.340491,1085,394,651.721251,11.684452,1.628592,True
55,1773638501.779424,1773638686.121207,407,131,367.261966,15.027000,2.709500,True
56,1773638501.779457,1773638645.916822,396,82,286.830811,18.282171,3.315415,True
57,1773638501.779503,1773638850.282382,1029,399,695.542084,11.652457,1.718316,True
58,1773638501.779552,1773638884.275205,962,399,763.505909,14.995259,1.880680,True
59,1773638501.779590,1773638749.783801,203,217,494.501971,18.250414,2.204868,True
60,1773638501.779634,1773638659.892761,898,94,314.697546,11.619473,3.258904,True
61,1773638501.779666,1773638762.732958,181,253,520.357248,14.962485,2.005535,True
62,1773638501.779697,1773638610.142647,320,18,215.156209,18.217827,11.584611,True
63,1773638501.779747,1773638911.389070,1119,414,817.626412,21.429667,1.927837,True
64,1773638501.779782,1773638706.688179,124,157,408.203408,14.930960,2.520977,True
65,1773638501.779828,1773638548.172195,1313,179,91.152320,3.138152,0.494462,True
66,1773638501.779874,1773638824.515370,1096,383,643.816214,18.175747,1.637802,True
67,1773638501.779912,1773638528.374101,400,102,51.512442,2.132462,0.488911,True
68,1773638501.779974,1773638938.433593,1057,424,871.609246,21.376065,2.010008,True
69,1773638501.780631,1773638709.866657,203,162,414.451831,14.876764,2.481833,True
70,1773638501.780692,1773638557.210607,1314,216,109.119673,2.407602,0.496335,True
71,1773638501.780731,1773638660.115649,2,93,314.908644,18.121074,3.225952,True
72,1773638501.780785,1773638896.456234,1065,409,787.566753,21.332531,1.878025,True
73,1773638501.780818,1773638632.743807,372,60,260.121391,14.833653,4.157419,True
74,1773638501.780854,1773638853.555427,1104,394,701.721076,18.089080,1.739522,True
75,1773638501.780901,1773638916.925121,1075,415,828.440115,21.300627,1.949612,True
76,1773638501.780949,1773638804.433235,1225,372,603.435130,14.801162,1.586614,True
77,1773638501.780997,1773638952.190914,1118,426,898.929453,18.056890,2.072641,True
78,1773638501.781029,1773638528.320205,380,102,51.166440,1.204823,0.494669,True
79,1773638501.781069,1773638813.309625,1133,385,621.123130,21.257197,1.562151,True
80,1773638501.781116,1773638714.651127,42,167,423.784063,14.758251,2.464011,True
81,1773638501.781163,1773638813.513806,1140,377,621.489695,27.972599,1.578503,True
82,1773638501.781199,1773638732.160328,126,203,458.760947,21.225603,2.166017,True
83,1773638501.781247,1773638523.908574,431,84,42.237082,2.944050,0.473410,True
84,1773638501.781278,1773638948.867260,1115,421,892.131754,14.715867,2.089085,True
85,1773638501.781308,1773638723.069971,206,179,440.516122,27.930229,2.317898,True
86,1773638501.781340,1773638654.458381,400,91,303.272301,21.183484,3.134320,True
87,1773638501.781398,1773638864.693366,1123,396,723.719204,24.747259,1.769549,True
88,1773638501.781430,1773638818.322714,862,379,630.959786,27.898965,1.595399,True
89,1773638501.781459,1773638933.198397,859,422,860.690226,21.152186,1.994152,True
90,1773638501.781498,1773638599.796264,890,402,193.866501,1.887342,0.478751,True
91,1773638501.781547,1773638938.550169,1192,419,871.352190,24.705975,2.025469,True
92,1773638501.781583,1773638898.937917,899,403,792.105657,27.857066,1.901116,True
93,1773638501.781629,1773638749.894157,163,224,493.996699,21.109573,2.120570,True
94,1773638501.781681,1773638744.737555,181,212,483.661287,24.672597,2.175302,True
95,1773638501.781719,1773638653.950597,416,88,302.064643,27.823705,3.152195,True
96,1773638501.781765,1773638945.457682,1163,426,885.057943,31.014612,2.009514,True
97,1773638501.781800,1773638605.306169,243,14,204.734442,24.640325,13.853394,True
98,1773638501.781847,1773638960.868303,1041,428,915.835892,27.791426,2.079729,True
99,1773638501.781889,1773638693.430622,1350,146,380.939532,30.982038,2.413500,True
100,1773638501.781956,1773638864.693377,1104,396,723.441738,24.608323,1.769199,True
101,1773638501.782012,1773638952.190922,1127,426,898.418669,27.760417,2.048608,True
102,1773638501.782045,1773638911.388871,1114,414,816.791583,30.950449,1.902763,True
103,1773638501.782083,1773638864.693373,1083,396,723.377006,24.576128,1.769116,True
104,1773638501.782123,1773638718.062538,1313,173,430.095773,27.727515,2.339350,True
105,1773638501.782168,1773638834.276159,888,395,662.501925,30.918468,1.603004,True
106,1773638501.782202,1773638685.774369,13,130,365.477517,24.544443,2.642892,True
107,1773638501.782243,1773638654.348163,874,89,302.604901,38.075221,3.006019,True
108,1773638501.782291,1773638834.276366,1065,395,662.440243,30.887053,1.602927,True
109,1773638501.782328,1773638965.323030,1157,426,924.509315,24.512340,2.117640,True
110,1773638501.782373,1773638847.647828,1077,390,689.139695,38.042396,1.673772,True
111,1773638501.782408,1773638903.997522,1149,411,801.815577,30.853648,1.880395,True
112,1773638501.782454,1773638845.163612,996,389,684.126809,24.479231,1.700123,True
113,1773638501.782489,1773638853.555431,990,394,700.887819,38.010105,1.686712,True
114,1773638501.782534,1773638722.839501,197,183,439.434652,30.821406,2.245128,True
115,1773638501.782566,1773638746.425822,197,217,486.584414,24.447332,2.139524,True
116,1773638501.782611,1773638907.854170,1378,407,809.422491,37.977735,1.900110,True
117,1773638501.782653,1773638930.912280,1214,421,855.516756,42.307177,1.936213,True
118,1773638501.782691,1773638806.076110,1016,375,605.823196,34.850920,1.526664,True
119,1773638501.782736,1773638882.789927,1186,398,759.227631,37.945666,1.816831,True
120,1773638501.782771,1773638945.457522,1100,426,884.541012,42.274738,1.981803,True
121,1773638501.782817,1773638746.425817,218,217,486.455690,34.818763,2.090912,True
122,1773638501.782859,1773638933.422001,1232,419,860.429250,37.913391,1.967741,True
123,1773638501.782897,1773638920.559730,975,416,834.682259,42.242844,1.909493,True
124,1773638501.782957,1773638746.425629,209,217,486.392221,34.786763,2.090766,True
125,1773638501.783000,1773638649.507647,181,85,292.536202,37.881175,3.031607,True
126,1773638501.783032,1773638818.426788,1029,388,630.352746,42.210659,1.519747,True
127,1773638501.783063,1773638935.127843,888,418,863.733734,34.754677,1.987959,True
128,1773638501.783115,1773638806.179828,1113,375,605.817814,49.402384,1.487742,True
129,1773638501.783147,1773639053.537559,1035,520,1100.510267,42.178805,2.039174,True
130,1773638501.783189,1773638964.970579,1009,425,923.354020,34.722150,2.095830,True
131,1773638501.783231,1773638985.544694,869,450,964.480720,49.369789,2.038109,True
132,1773638501.783268,1773638965.211413,1183,431,923.794452,42.146793,2.050343,True
133,1773638501.783314,1773638853.448200,972,395,700.246391,34.690373,1.689228,True
134,1773638501.783356,1773638874.189147,1097,396,741.706626,49.338027,1.752832,True
135,1773638501.783394,1773638722.839224,206,183,438.984506,42.114531,2.180604,True
136,1773638501.783437,1773638741.626020,181,208,476.536258,34.657500,2.134680,True
137,1773638501.783469,1773638733.413539,1316,200,460.090423,49.304770,2.064250,True
138,1773638501.783507,1773638989.186816,908,456,971.615013,42.082029,2.042930,True
139,1773638501.783551,1773638952.081753,1094,422,897.383508,34.625660,2.049306,True
140,1773638501.783587,1773638943.803667,996,422,880.806663,49.273002,1.975139,True
141,1773638501.783636,1773638653.386492,420,89,299.951116,52.443896,2.812582,True
142,1773638501.783679,1773638826.636687,1112,385,646.431067,34.594045,1.593326,True
143,1773638501.783727,1773638874.189314,1133,396,741.512989,49.240930,1.752587,True
144,1773638501.783764,1773638874.298743,890,403,741.710748,52.411749,1.714674,True
145,1773638501.783809,1773638617.178240,833,36,227.448865,34.561651,5.511063,True
146,1773638501.783843,1773638952.190767,1093,426,897.450511,49.208612,1.995863,True
147,1773638501.783885,1773638740.490600,206,211,474.029161,52.379198,2.007857,True
148,1773638501.783921,1773638994.592833,898,454,982.212288,45.673558,2.067414,True
149,1773638501.783990,1773638723.414430,1312,180,439.835171,59.026808,2.127421,True
150,1773638501.784026,1773638845.057289,1129,396,683.099233,52.347101,1.596841,True
151,1773638501.784070,1773638636.691527,375,67,266.344752,45.641187,3.343993,True
152,1773638501.784116,1773638949.615758,862,425,892.174181,58.994478,1.965046,True
153,1773638501.784158,1773638719.803033,167,179,432.526710,52.315319,2.136019,True
154,1773638501.784197,1773638929.243284,914,414,851.384598,45.609198,1.951030,True
155,1773638501.784241,1773638749.783795,209,217,492.444065,58.962155,2.006861,True
156,1773638501.784276,1773639123.024526,982,594,1238.904259,52.282522,2.001048,True
157,1773638501.784326,1773638709.516857,200,161,411.866701,45.576652,2.289313,True
158,1773638501.784358,1773638703.508211,1313,156,399.827099,58.929296,2.199341,True
159,1773638501.784396,1773638920.559464,999,416,833.908828,52.249794,1.883516,True
160,1773638501.784441,1773638874.406595,1084,397,741.582638,45.544433,1.757672,True
161,1773638501.784477,1773638673.983756,399,106,340.712534,58.896750,2.683960,True
162,1773638501.784526,1773639123.024689,1065,594,1238.773425,52.217123,2.000938,True
163,1773638501.784558,1773638985.424530,1036,446,963.551902,45.511459,2.063012,True
