RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773653517.570410,1773653557.596683,374,44,79.713408,1.084865,1.828571,True
1,1773653517.570571,1773653582.786560,396,109,130.072401,5.077999,1.157356,True
2,1773653517.570629,1773653553.266610,879,55,71.010176,2.382331,1.270886,True
3,1773653517.570671,1773653548.833575,91,16,62.120985,4.290534,3.855363,True
4,1773653517.570709,1773653548.970394,91,16,62.373714,5.774427,3.773286,True
5,1773653517.570745,1773653570.683269,381,84,105.778561,3.668707,1.230239,True
6,1773653517.570779,1773653568.568980,1313,142,101.528861,8.985091,0.656339,True
7,1773653517.570812,1773653683.751125,388,84,331.868532,2.618826,3.966864,True
8,1773653517.570845,1773653548.463666,242,14,61.272346,5.001963,4.328491,True
9,1773653517.570877,1773653599.206602,209,152,162.737481,4.225581,1.049748,True
10,1773653517.570909,1773653724.677412,394,124,413.648083,9.336572,3.287085,True
11,1773653517.570969,1773653662.472075,394,59,289.225681,11.082043,4.795580,True
12,1773653517.571005,1773653567.419529,1315,174,99.099410,2.806034,0.556609,True
13,1773653517.571038,1773653696.478621,389,90,357.192436,7.429970,3.929915,True
14,1773653517.571070,1773653580.566599,415,106,125.348702,5.665425,1.139841,True
15,1773653517.571101,1773653625.638801,120,12,215.470672,9.282671,18.744364,True
16,1773653517.571131,1773653566.948869,369,74,98.069647,3.548587,1.294809,True
17,1773653517.571162,1773653603.483740,206,162,171.119680,4.904941,1.032390,True
18,1773653517.571194,1773653739.686286,1353,142,443.502681,11.007101,3.067345,True
19,1773653517.571225,1773653599.206457,197,152,162.522022,4.118479,1.049030,True
20,1773653517.571256,1773653598.099357,181,154,160.286565,5.602302,1.011008,True
21,1773653517.571285,1773653560.414901,388,54,84.897299,3.495932,1.535875,True
22,1773653517.571316,1773653739.800326,203,147,443.643183,7.334990,2.988412,True
23,1773653517.571347,1773653764.304612,126,194,492.626753,9.197890,2.504813,True
24,1773653517.571379,1773653571.243688,389,87,106.489982,4.830171,1.182091,True
25,1773653517.571409,1773653548.834023,91,16,61.647988,4.054462,3.839568,True
26,1773653517.571439,1773653730.751978,181,123,425.464952,10.922380,3.397890,True
27,1773653517.571471,1773653618.668747,191,217,201.276543,5.527841,0.906244,True
28,1773653517.571501,1773653610.851291,27,183,185.620562,3.421504,1.001094,True
29,1773653517.571532,1773653573.633395,203,217,111.165135,7.532008,0.479783,True
30,1773653517.571561,1773653568.449820,398,81,100.775739,4.766438,1.200116,True
31,1773653517.571592,1773653758.159728,126,172,480.173034,7.238152,2.765701,True
