RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773724988.187922,1773725119.196168,374,44,261.931449,2.279337,6.038421,True
1,1773724988.188074,1773725182.661520,396,109,388.841249,26.407402,3.355869,True
2,1773724988.188132,1773725133.897597,879,55,291.290941,4.729642,5.306691,True
3,1773724988.188178,1773725095.146218,91,16,213.766597,24.881392,12.592347,True
4,1773724988.188241,1773725094.846354,91,16,213.145161,31.185530,12.130642,True
5,1773724988.188277,1773725148.258581,381,84,319.948547,18.277727,3.634588,True
6,1773724988.188310,1773725238.054896,1313,142,499.517069,20.138641,3.399847,True
7,1773724988.188342,1773725161.619740,388,84,346.629035,23.122835,3.897665,True
8,1773724988.188373,1773725091.167744,242,14,205.703337,20.816050,14.222099,True
9,1773724988.188404,1773725261.818083,209,152,546.980648,27.174240,3.442427,True
10,1773724988.188439,1773725223.543846,394,124,470.411704,33.839423,3.549368,True
11,1773724988.188471,1773725138.205553,394,59,299.712981,29.312319,4.662080,True
12,1773724988.188502,1773725232.851870,1315,174,488.985476,35.193663,2.623074,True
13,1773724988.188533,1773725174.008847,389,90,371.276264,35.679272,3.770753,True
14,1773724988.188568,1773725198.031733,415,106,419.299831,25.219689,3.753144,True
15,1773724988.188600,1773725091.345112,120,12,205.906471,18.050380,17.077826,True
16,1773724988.188631,1773725151.459830,369,74,326.113597,31.056288,4.041881,True
17,1773724988.188663,1773725262.564206,206,162,548.300687,20.019940,3.281247,True
18,1773724988.188694,1773725250.277508,1353,142,523.703881,23.002998,3.551070,True
19,1773724988.188725,1773725261.818076,197,152,546.761214,27.064760,3.441698,True
20,1773724988.188759,1773725215.489705,181,154,454.084974,32.075830,2.758230,True
21,1773724988.188790,1773725128.867148,388,54,280.818160,33.719238,4.662244,True
22,1773724988.188821,1773725255.685506,203,147,534.430869,29.191952,3.460541,True
23,1773724988.188851,1773725307.197939,126,194,637.436045,35.569776,3.118478,True
24,1773724988.188882,1773725153.275822,389,87,329.570749,37.712266,3.393703,True
25,1773724988.188912,1773725094.673924,91,16,212.344989,25.100347,12.482976,True
26,1773724988.188943,1773725192.716089,181,123,408.263686,12.744956,3.241957,True
27,1773724988.188974,1773725338.662364,191,217,700.133006,17.847845,3.158728,True
28,1773724988.189012,1773725301.340134,27,183,625.468829,30.853640,3.267116,True
29,1773724988.189043,1773725326.965677,203,217,676.697331,19.817513,3.041110,True
30,1773724988.189074,1773725157.367852,398,81,337.480791,22.800877,3.933499,True
31,1773724988.189104,1773725243.387783,126,172,509.499707,26.010501,2.827422,True
32,1773724988.189135,1773725297.631384,209,181,617.964463,26.851955,3.283958,True
33,1773724988.189166,1773725293.429055,209,181,609.537838,33.517243,3.200114,True
34,1773724988.189219,1773725290.695027,28,175,604.047585,28.990060,3.304928,True
35,1773724988.189251,1773725152.660566,437,88,327.956333,24.461682,3.488444,True
36,1773724988.189281,1773725201.747471,181,104,426.107667,35.356322,3.793702,True
37,1773724988.189312,1773725238.185930,203,138,498.963268,24.897153,3.460337,True
38,1773724988.189342,1773725244.092407,200,177,510.756108,17.847994,2.800614,True
39,1773724988.189372,1773725095.505581,91,16,213.561984,20.407476,12.876967,True
40,1773724988.189412,1773725571.295663,1087,401,1165.121043,17.706679,2.868536,True
41,1773724988.189451,1773725135.123532,382,64,292.753747,34.806582,4.094399,True
42,1773724988.189485,1773725193.948451,412,102,410.382729,30.702224,3.759213,True
43,1773724988.189514,1773725326.965295,194,217,676.395500,19.666806,3.040411,True
44,1773724988.189547,1773725338.776055,203,217,699.996635,22.650748,3.135861,True
45,1773724988.189576,1773725335.641689,200,217,693.707124,26.713249,3.087935,True
46,1773724988.189606,1773725285.459336,64,174,593.319717,33.378872,3.236652,True
47,1773724988.189636,1773725223.971224,458,123,470.321997,28.851885,3.618607,True
48,1773724988.189666,1773725217.291505,1352,158,456.942384,31.702810,2.708532,True
49,1773724988.189703,1773725469.018812,874,404,960.376410,37.371769,2.290334,True
50,1773724988.189745,1773725138.893246,378,58,300.102460,35.208493,4.647263,True
51,1773724988.189776,1773725094.673916,91,16,211.642575,24.749332,12.459550,True
52,1773724988.189805,1773725153.329229,389,89,328.932977,12.466507,3.596210,True
53,1773724988.189835,1773725254.013258,212,183,530.279931,25.775281,2.772004,True
54,1773724988.189863,1773725403.162599,1085,394,828.555642,24.259752,2.046554,True
55,1773724988.189892,1773725196.601449,407,131,415.411759,17.666948,3.059575,True
56,1773724988.189922,1773725148.722702,396,82,319.633488,20.225916,3.696390,True
57,1773724988.189951,1773725453.347872,1029,399,928.862348,34.636680,2.246798,True
58,1773724988.189981,1773725559.445219,962,399,1141.035950,17.514838,2.822917,True
59,1773724988.190009,1773725342.187646,203,217,706.497761,30.520622,3.129524,True
60,1773724988.190038,1773725163.267056,898,94,348.636305,31.574324,3.409269,True
61,1773724988.190074,1773725303.514852,181,253,629.110499,37.243039,2.348680,True
62,1773724988.190106,1773725099.509542,320,18,221.077789,12.358679,12.277595,True
63,1773724988.190139,1773725598.596888,1119,414,1219.230942,19.452170,2.905033,True
64,1773724988.190169,1773725222.121249,124,157,466.257932,25.656316,2.824369,True
65,1773724988.190221,1773725293.637649,1313,179,609.269276,22.425405,3.296876,True
66,1773724988.190251,1773725371.562015,1096,383,765.097660,24.130524,1.939705,True
67,1773724988.190280,1773725198.087474,400,102,418.127214,26.477121,3.877724,True
68,1773724988.190310,1773725678.712842,1057,424,1379.356462,33.143035,3.182538,True
69,1773724988.190964,1773725222.806440,203,162,467.522348,17.516978,2.795064,True
70,1773724988.191007,1773725273.368721,1314,216,568.624876,20.075966,2.551390,True
71,1773724988.191043,1773725177.615563,2,93,377.098421,28.594757,3.788083,True
72,1773724988.191073,1773725597.954791,1065,409,1217.755090,34.972404,2.898977,True
73,1773724988.191103,1773725139.133667,372,60,300.090735,24.512908,4.670811,True
74,1773724988.191132,1773725417.490993,1104,394,856.784800,34.454544,2.092443,True
75,1773724988.191162,1773725487.417085,1075,415,996.615335,31.413573,2.331405,True
76,1773724988.191210,1773725366.743739,1225,372,755.245646,37.081704,1.935752,True
77,1773724988.191241,1773725681.876145,1118,426,1385.490132,17.311097,3.219245,True
78,1773724988.191274,1773725193.948736,380,102,409.613130,30.317521,3.755402,True
79,1773724988.191303,1773725467.582951,1133,385,956.861871,19.282057,2.441614,True
80,1773724988.191335,1773725282.991845,42,167,587.657275,22.264968,3.405978,True
81,1773724988.191364,1773725371.826015,1140,377,765.305146,12.155505,2.003058,True
82,1773724988.191393,1773725269.435287,126,203,560.502974,25.464581,2.648705,True
83,1773724988.191425,1773725162.273481,431,84,346.157310,26.306349,3.853626,True
84,1773724988.191455,1773725662.864741,1115,421,1347.319226,32.972734,3.129396,True
85,1773724988.191484,1773725298.905868,206,179,619.380633,28.446062,3.319857,True
86,1773724988.191514,1773725154.570829,400,91,330.688839,23.917789,3.408567,True
87,1773724988.191546,1773725453.515022,1123,396,928.556126,17.325771,2.306912,True
88,1773724988.191575,1773725377.711828,862,379,776.927452,19.884110,2.002760,True
89,1773724988.191607,1773725515.784209,859,422,1053.050388,34.294255,2.419848,True
90,1773724988.191642,1773725565.015596,890,402,1151.492663,34.780507,2.784818,True
91,1773724988.191672,1773725641.431551,1192,419,1304.300418,24.320771,3.062152,True
92,1773724988.191704,1773725458.925750,899,403,939.270264,31.232329,2.258801,True
93,1773724988.191734,1773725349.053241,163,224,719.503458,17.140487,3.149610,True
94,1773724988.191763,1773725334.717363,181,212,690.808331,30.146273,3.131100,True
95,1773724988.191792,1773725159.726434,416,88,340.805462,36.878864,3.493409,True
96,1773724988.191824,1773725525.770610,1163,426,1072.872352,11.994670,2.496183,True
97,1773724988.191854,1773725094.061429,243,14,209.433727,19.089446,14.641868,True
98,1773724988.191886,1773725544.186072,1041,428,1109.660759,25.292813,2.539503,True
99,1773724988.191916,1773725256.588745,1350,146,534.445098,22.062183,3.533675,True
100,1773724988.191948,1773725539.301871,1104,396,1099.847475,26.123909,2.718288,True
101,1773724988.191978,1773725681.748041,1127,426,1384.719297,32.789088,3.181012,True
102,1773724988.192008,1773725471.721008,1114,414,964.643407,23.744751,2.278205,True
103,1773724988.192037,1773725453.514828,1083,396,928.209897,17.152672,2.306474,True
104,1773724988.192066,1773725236.166016,1313,173,493.490510,19.711665,2.754528,True
105,1773724988.192098,1773725572.411680,888,395,1165.960862,28.230109,2.887642,True
106,1773724988.192127,1773725229.440270,13,130,479.996343,34.607760,3.452625,True
107,1773724988.192159,1773725168.402128,874,89,357.899724,24.148709,3.792625,True
108,1773724988.192203,1773725524.301606,1065,395,1069.678630,16.979822,2.671824,True
109,1773724988.192235,1773725530.197784,1157,426,1081.448798,34.079931,2.464397,True
110,1773724988.192265,1773725408.754577,1077,390,838.540982,31.038872,2.075841,True
111,1773724988.192294,1773725487.090445,1149,411,995.190857,36.707481,2.337764,True
112,1773724988.192326,1773725415.102571,996,389,851.194051,11.823505,2.163326,True
113,1773724988.192356,1773725554.747468,990,394,1130.462229,29.942925,2.800304,True
114,1773724988.192384,1773725285.631658,197,183,592.208843,18.906907,3.150011,True
115,1773724988.192413,1773725288.597062,197,217,598.117917,25.110540,2.652812,True
116,1773724988.192446,1773725598.646334,1378,407,1218.196427,21.879906,2.946592,True
117,1773724988.192475,1773725655.191914,1214,421,1331.264996,25.941755,3.107912,True
118,1773724988.192504,1773725458.856364,1016,375,938.572580,32.607369,2.422367,True
119,1773724988.192536,1773725593.212149,1186,398,1207.263542,28.080536,2.970234,True
120,1773724988.192565,1773725669.162692,1100,426,1359.141540,34.458316,3.116902,True
