RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773662556.705874,1773662567.752104,374,44,22.090819,3.186853,0.439627,True
1,1773662578.277175,1773662594.655217,396,109,32.750367,3.155012,0.274031,True
2,1773662579.413333,1773662590.206737,879,55,21.565322,0.911711,0.382474,True
3,1773662580.256078,1773662583.640682,91,16,6.755547,1.577967,0.345172,True
4,1773662586.166859,1773662588.286999,91,16,4.230833,0.332165,0.259911,True
5,1773662588.260993,1773662604.491254,381,84,32.438967,0.639610,0.383125,True
6,1773662595.431561,1773662624.612427,1313,142,58.339830,2.391508,0.396797,True
7,1773662597.961283,1773662615.084366,388,84,34.230676,0.925218,0.401271,True
8,1773662598.388979,1773662601.340192,242,14,5.886754,0.402853,0.421839,True
9,1773662599.028965,1773662627.130634,209,152,56.185894,0.490381,0.368844,True
10,1773662600.205000,1773662625.402794,394,124,50.378083,0.514930,0.405391,True
11,1773662603.841460,1773662615.515339,394,59,23.327937,0.602712,0.391814,True
12,1773662604.617159,1773662634.686510,1315,174,60.129223,2.486023,0.333198,True
13,1773662609.435147,1773662628.427514,389,90,37.983503,0.536345,0.420755,True
14,1773662612.493948,1773662634.262460,415,106,43.521361,0.520140,0.409535,True
15,1773662613.858788,1773662616.199376,120,12,4.659600,0.336251,0.393032,True
16,1773662615.886744,1773662629.400800,369,74,27.011792,0.786570,0.359250,True
17,1773662621.136622,1773662653.813679,206,162,65.344579,0.361752,0.403620,True
18,1773662621.829127,1773662650.411239,1353,142,57.154660,1.446276,0.395095,True
19,1773662621.953629,1773662652.442552,197,152,60.970490,1.515037,0.393745,True
20,1773662627.001509,1773662656.220265,181,154,58.416534,0.359670,0.379457,True
21,1773662627.192576,1773662634.744549,388,54,15.096687,0.835296,0.269083,True
22,1773662645.668315,1773662675.516034,203,147,59.680496,0.372384,0.406220,True
23,1773662647.506159,1773662690.135151,126,194,85.236492,0.333203,0.439913,True
24,1773662649.022919,1773662666.287840,389,87,34.522335,0.676454,0.393557,True
25,1773662656.273915,1773662659.283114,91,16,6.010941,0.320688,0.379350,True
26,1773662659.099590,1773662685.850302,181,123,53.499974,0.373615,0.435462,True
27,1773662659.995513,1773662689.008174,191,217,58.011669,0.409230,0.266678,True
28,1773662661.413043,1773662705.332770,27,183,87.830001,0.276585,0.481063,True
29,1773662663.554090,1773662716.107195,203,217,105.096719,0.365828,0.484865,True
30,1773662663.579829,1773662674.054343,398,81,20.947819,0.934237,0.250170,True
31,1773662670.267908,1773662713.547821,126,172,86.550310,0.326561,0.504232,True
32,1773662671.677762,1773662716.976851,209,181,90.578316,0.547631,0.500170,True
33,1773662673.561047,1773662718.845689,209,181,90.555797,0.393889,0.500899,True
34,1773662677.435880,1773662705.091453,28,175,55.299388,0.251371,0.316368,True
35,1773662680.546063,1773662704.103755,437,88,47.093961,0.515777,0.535381,True
36,1773662681.178682,1773662708.565177,181,104,54.763170,0.500771,0.526819,True
37,1773662682.110864,1773662705.203238,203,138,46.183555,0.444766,0.333860,True
38,1773662682.821517,1773662728.837622,200,177,92.031013,0.342687,0.520956,True
39,1773662683.324905,1773662688.561530,91,16,10.469693,0.470013,0.666645,True
40,1773662686.289793,1773662824.773823,1087,401,276.946452,1.333849,0.689032,True
41,1773662687.977862,1773662704.527710,382,64,33.098409,0.505095,0.517354,True
42,1773662688.739218,1773662714.354345,412,102,51.208753,0.522297,0.501846,True
43,1773662689.009412,1773662745.395685,194,217,112.757181,0.695667,0.518803,True
44,1773662693.354917,1773662749.293008,203,217,111.858557,0.537903,0.515373,True
45,1773662694.466365,1773662750.092739,200,217,111.237163,0.329110,0.513463,True
46,1773662697.155569,1773662738.161955,64,174,82.008961,0.281235,0.472415,True
47,1773662698.470578,1773662721.865970,458,123,46.777558,0.956782,0.375580,True
48,1773662699.596768,1773662736.867107,1352,158,74.534896,2.595447,0.458213,True
49,1773662699.744349,1773662846.191833,874,404,292.893605,1.148993,0.723932,True
50,1773662700.526147,1773662714.888771,378,58,28.711883,0.871849,0.488422,True
51,1773662703.405098,1773662707.129062,91,16,7.446615,0.272637,0.478265,True
52,1773662707.611703,1773662730.518126,389,89,45.811680,0.604521,0.513718,True
53,1773662713.049374,1773662762.610626,212,183,99.101118,0.409993,0.542259,True
54,1773662714.806752,1773662826.783027,1085,394,223.934822,2.089520,0.564492,True
55,1773662715.504807,1773662753.327300,407,131,75.639284,2.472042,0.562825,True
56,1773662716.288653,1773662740.326208,396,82,48.073702,1.393619,0.576297,True
