RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773657426.340782,1773657432.665053,374,44,12.646982,0.987705,0.271146,True
1,1773657433.523857,1773657445.034981,396,109,23.016435,0.669456,0.206916,True
2,1773657433.903351,1773657448.745710,879,55,29.669120,3.236002,0.489502,True
3,1773657434.183384,1773657435.856684,91,16,3.340947,0.195539,0.209694,True
4,1773657436.154583,1773657438.133000,91,16,3.949233,0.151747,0.253166,True
5,1773657436.852602,1773657456.675674,381,84,39.624587,1.392258,0.460630,True
6,1773657439.242574,1773657465.665498,1313,142,52.828249,1.486199,0.364128,True
7,1773657440.085553,1773657448.614921,388,84,17.050908,0.242113,0.202516,True
8,1773657440.228050,1773657443.826526,242,14,7.187380,1.091430,0.468919,True
9,1773657440.441419,1773657460.040080,209,152,39.183670,0.202914,0.258151,True
10,1773657440.833183,1773657467.962150,394,124,54.242431,0.576416,0.436309,True
11,1773657442.046218,1773657447.983346,394,59,11.873015,0.170713,0.201764,True
12,1773657442.303660,1773657472.959847,1315,174,61.290793,1.517479,0.345510,True
13,1773657443.910152,1773657464.080913,389,90,40.323964,2.744407,0.422242,True
14,1773657444.929159,1773657468.067927,415,106,46.274165,0.633321,0.434675,True
15,1773657445.384107,1773657446.944093,120,12,3.098365,0.196388,0.263816,True
16,1773657446.060929,1773657460.286807,369,74,28.432661,0.421903,0.383709,True
17,1773657447.811232,1773657481.591823,206,162,67.557669,0.322865,0.417607,True
18,1773657448.041287,1773657466.592761,1353,142,37.081482,1.098013,0.255202,True
19,1773657448.083206,1773657484.542661,197,152,72.915685,0.394163,0.480275,True
20,1773657449.765734,1773657487.166673,181,154,74.788367,0.369301,0.486399,True
21,1773657449.829033,1773657461.691502,388,54,23.714228,0.632580,0.435503,True
22,1773657455.987758,1773657481.374435,203,147,50.769979,0.346872,0.345364,True
23,1773657456.600931,1773657505.879593,126,194,98.541854,0.343978,0.508797,True
24,1773657457.105987,1773657480.405116,389,87,46.592571,0.551469,0.535362,True
25,1773657459.523131,1773657462.666409,91,16,6.285063,0.280491,0.400305,True
26,1773657460.464635,1773657489.616209,181,123,58.292099,0.378508,0.474702,True
27,1773657460.763959,1773657487.773046,191,217,54.000484,0.314667,0.248545,True
28,1773657461.236286,1773657512.299764,27,183,102.113526,0.279661,0.559527,True
29,1773657461.949689,1773657526.238986,203,217,128.562223,0.361056,0.593524,True
30,1773657461.957967,1773657470.099344,398,81,16.261936,0.169743,0.201152,True
31,1773657464.188957,1773657512.534639,126,172,96.690361,0.384809,0.563190,True
32,1773657464.657449,1773657518.000067,209,181,106.680321,0.318607,0.590898,True
33,1773657465.285973,1773657518.530669,209,181,106.488086,0.494004,0.588856,True
34,1773657466.576850,1773657485.487201,28,175,37.814932,0.189926,0.216236,True
35,1773657467.613326,1773657489.946496,437,88,44.644913,0.475999,0.507689,True
36,1773657467.825065,1773657479.103784,181,104,22.541786,0.188907,0.217018,True
37,1773657468.135097,1773657482.924033,203,138,29.556252,0.152575,0.214625,True
38,1773657468.372440,1773657518.465101,200,177,100.181938,0.324205,0.567373,True
39,1773657468.539742,1773657472.196025,91,16,7.291131,0.489871,0.453417,True
40,1773657469.528821,1773657604.155543,1087,401,269.236258,1.364185,0.669680,True
41,1773657470.090532,1773657486.765972,382,64,33.331844,0.424465,0.522339,True
42,1773657470.345323,1773657497.385132,412,102,54.070103,1.166218,0.523801,True
43,1773657470.435484,1773657494.761415,194,217,48.633307,0.182647,0.224309,True
44,1773657471.884403,1773657496.342130,203,217,48.913874,0.206172,0.225499,True
45,1773657472.254396,1773657539.581976,200,217,134.643734,0.296054,0.621980,True
46,1773657473.149773,1773657492.401746,64,174,38.491669,0.129834,0.221745,True
47,1773657473.588399,1773657505.089258,458,123,62.996046,0.659573,0.510955,True
48,1773657473.964166,1773657525.378381,1352,158,102.827206,1.711835,0.644047,True
49,1773657474.012959,1773657609.862016,874,404,271.689693,1.180098,0.671240,True
50,1773657474.273949,1773657489.852420,378,58,31.155747,1.045730,0.528246,True
51,1773657475.234057,1773657478.004874,91,16,5.525916,0.266274,0.350643,True
52,1773657476.635495,1773657486.371538,389,89,19.462528,0.174030,0.219187,True
53,1773657478.448178,1773657532.687130,212,183,108.474459,0.455475,0.593511,True
54,1773657479.034239,1773657597.974460,1085,394,237.879062,0.975451,0.602808,True
55,1773657479.267218,1773657518.413235,407,131,78.276433,0.546993,0.597919,True
56,1773657479.528167,1773657499.626230,396,82,40.182724,0.567039,0.489083,True
57,1773657480.313959,1773657614.060596,1029,399,267.487792,1.133637,0.669232,True
58,1773657481.726159,1773657537.352341,962,399,111.234203,0.404944,0.278465,True
59,1773657482.022701,1773657548.001284,203,217,131.946596,0.471254,0.608682,True
60,1773657482.152047,1773657509.334730,898,94,54.364163,1.131753,0.572391,True
61,1773657482.211056,1773657566.446284,181,253,168.463262,0.575635,0.666221,True
62,1773657482.409923,1773657488.284703,320,18,11.741980,1.156697,0.622664,True
63,1773657482.580612,1773657635.134694,1119,414,305.086343,1.937263,0.734017,True
64,1773657482.707966,1773657507.951173,124,157,50.469213,0.344639,0.321311,True
65,1773657482.887751,1773657535.900550,1313,179,106.015134,1.547702,0.586896,True
66,1773657484.244162,1773657599.428560,1096,383,230.353343,1.250756,0.599745,True
67,1773657485.157317,1773657497.238725,400,102,24.140959,0.213565,0.236905,True
68,1773657486.564477,1773657546.361880,1057,424,119.578572,0.430016,0.281675,True
69,1773657487.200399,1773657518.315091,203,162,62.227709,0.266628,0.384851,True
70,1773657487.774296,1773657570.465465,1314,216,165.372994,1.607841,0.761698,True
71,1773657488.207667,1773657517.491689,2,93,58.548936,0.302824,0.633110,True
72,1773657488.793257,1773657547.145625,1065,409,116.691465,0.400635,0.285027,True
73,1773657489.924901,1773657500.603252,372,60,21.355200,0.406725,0.355059,True
74,1773657490.581597,1773657562.071876,1104,394,142.970681,0.953220,0.361368,True
75,1773657491.022442,1773657648.250171,1075,415,314.433539,1.225282,0.756542,True
76,1773657491.700553,1773657606.583808,1225,372,229.748810,1.179448,0.616090,True
77,1773657491.873096,1773657568.164584,1118,426,152.570269,0.979514,0.356684,True
78,1773657492.396554,1773657511.003310,380,102,37.212075,0.851473,0.360006,True
79,1773657492.408891,1773657547.683980,1133,385,110.528111,0.496356,0.286541,True
80,1773657493.069963,1773657524.279930,42,167,62.410225,0.358443,0.373806,True
81,1773657493.798567,1773657608.422679,1140,377,229.232590,1.070183,0.606815,True
82,1773657494.876153,1773657524.446562,126,203,59.130972,0.227084,0.291603,True
83,1773657495.261883,1773657507.105486,431,84,23.673996,0.277911,0.281881,True
84,1773657496.890214,1773657627.042033,1115,421,260.285988,0.977425,0.617401,True
85,1773657497.216501,1773657523.972761,206,179,53.497000,0.193842,0.299456,True
86,1773657497.217716,1773657525.778770,400,91,57.088512,0.528014,0.628450,True
87,1773657497.242295,1773657553.925547,1123,396,113.360373,0.556298,0.285580,True
88,1773657497.273528,1773657654.924820,862,379,315.297298,1.177525,0.831005,True
89,1773657497.474972,1773657627.468122,859,422,259.968630,1.390983,0.614199,True
90,1773657497.485636,1773657667.958093,890,402,340.927417,1.808642,0.845683,True
91,1773657497.525814,1773657557.612095,1192,419,120.150345,0.732685,0.285688,True
92,1773657497.680525,1773657671.166493,899,403,346.968379,2.340334,0.857284,True
93,1773657497.999815,1773657580.264607,163,224,164.519921,0.347785,0.736198,True
94,1773657498.322127,1773657577.419274,181,212,158.187532,0.480984,0.747424,True
95,1773657498.981463,1773657532.634747,416,88,67.299469,0.612229,0.766520,True
96,1773657499.016082,1773657680.551691,1163,426,363.048790,2.203884,0.849047,True
97,1773657499.318505,1773657505.826995,243,14,13.009286,0.633474,0.951986,True
98,1773657499.489235,1773657681.049505,1041,428,363.097360,2.764763,0.843870,True
99,1773657499.538401,1773657541.719579,1350,146,84.350461,1.282595,0.572882,True
100,1773657499.734194,1773657618.809767,1104,396,238.133043,1.921765,0.598003,True
101,1773657499.768504,1773657662.918373,1127,426,326.286892,1.318983,0.764630,True
102,1773657501.047211,1773657647.286373,1114,414,292.470789,1.403546,0.704763,True
103,1773657501.349992,1773657653.693449,1083,396,304.675168,1.430423,0.767708,True
104,1773657501.375521,1773657527.131276,1313,173,51.509948,0.497498,0.296584,True
105,1773657501.509637,1773657654.104684,888,395,305.188651,1.731629,0.770195,True
106,1773657501.534267,1773657538.127882,13,130,73.173704,0.514127,0.563253,True
107,1773657501.624893,1773657515.062851,874,89,26.858238,0.624776,0.298108,True
