RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773666139.090206,1773666144.341741,374,44,10.501619,1.081907,0.219063,True
1,1773666146.272417,1773666157.464705,396,109,22.366971,0.173721,0.205493,True
2,1773666146.651505,1773666155.670210,879,55,18.023727,2.806467,0.281801,True
3,1773666146.932708,1773666151.142930,91,16,8.419027,2.829360,0.372644,True
4,1773666148.902358,1773666150.522377,91,16,3.218285,0.181416,0.202458,True
5,1773666149.601516,1773666158.860425,381,84,18.516514,0.405810,0.218201,True
6,1773666151.991095,1773666166.047088,1313,142,28.104234,0.903991,0.192910,True
7,1773666152.834068,1773666162.129503,388,84,18.577368,0.279977,0.220450,True
8,1773666152.977072,1773666154.683203,242,14,3.398710,0.276958,0.240135,True
9,1773666153.190246,1773666167.079387,209,152,27.756753,0.283972,0.181939,True
10,1773666153.582454,1773666165.202823,394,124,23.219828,0.402784,0.185504,True
11,1773666154.794505,1773666161.625078,394,59,13.649619,0.224325,0.231471,True
12,1773666155.052606,1773666174.663778,1315,174,39.212913,0.493419,0.223812,True
13,1773666156.658341,1773666165.175848,389,90,17.015258,0.369618,0.187030,True
14,1773666157.678829,1773666167.105655,415,106,18.847887,0.328185,0.176378,True
15,1773666158.133804,1773666160.356960,120,12,4.438529,1.611483,0.257004,True
16,1773666158.809955,1773666165.340604,369,74,13.043513,0.356502,0.173795,True
17,1773666160.559238,1773666174.598817,206,162,28.073596,0.242163,0.172866,True
18,1773666160.790900,1773666177.271962,1353,142,32.960715,0.528094,0.230019,True
19,1773666160.832084,1773666178.557417,197,152,35.447223,0.624737,0.230612,True
20,1773666162.514492,1773666180.244592,181,154,35.441052,0.216754,0.230224,True
21,1773666162.578269,1773666168.762651,388,54,12.352257,0.266294,0.228037,True
22,1773666168.736912,1773666182.082239,203,147,26.676865,0.293901,0.180705,True
23,1773666169.348967,1773666193.150270,126,194,47.587416,0.186661,0.245600,True
24,1773666169.855082,1773666177.501333,389,87,15.270596,0.358836,0.173393,True
25,1773666172.271250,1773666173.763118,91,16,2.961949,0.166598,0.186357,True
26,1773666173.214733,1773666188.565119,181,123,30.699406,0.170081,0.250240,True
27,1773666173.512203,1773666193.195762,191,217,39.359468,0.223801,0.181184,True
28,1773666173.984748,1773666197.637586,27,183,47.288234,0.161071,0.258940,True
29,1773666174.698417,1773666194.206410,203,217,39.008608,0.236071,0.179502,True
30,1773666174.706694,1773666184.529681,398,81,19.634579,0.198833,0.242947,True
31,1773666176.937153,1773666199.371794,126,172,44.859683,0.156537,0.261422,True
32,1773666177.406597,1773666202.342151,209,181,49.852781,0.221885,0.275727,True
33,1773666178.034493,1773666194.602485,209,181,33.120625,0.265311,0.182530,True
34,1773666179.325396,1773666203.406710,28,175,48.150121,0.137209,0.275936,True
35,1773666180.362795,1773666188.806388,437,88,16.885777,0.412597,0.189347,True
36,1773666180.573325,1773666190.479813,181,104,19.799390,0.405102,0.188294,True
37,1773666180.884058,1773666188.985364,203,138,16.188879,1.749113,0.105400,True
38,1773666181.121124,1773666206.569124,200,177,50.876230,0.159690,0.288162,True
39,1773666181.288768,1773666183.436277,91,16,4.276554,0.145716,0.275389,True
40,1773666182.277069,1773666259.196274,1087,401,153.824905,0.432130,0.383482,True
41,1773666182.839266,1773666185.968038,382,64,6.251971,0.400839,0.092875,True
42,1773666183.093686,1773666192.589895,412,102,18.985719,0.409871,0.183919,True
43,1773666183.183761,1773666193.252006,194,217,20.122750,0.229747,0.092097,True
44,1773666184.632148,1773666205.582744,203,217,41.883634,0.215935,0.192906,True
