RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773663948.061812,1773663953.277251,374,44,10.429361,1.099574,0.216972,True
1,1773663955.244623,1773663967.766386,396,109,25.037896,0.173808,0.230223,True
2,1773663955.624216,1773663963.091836,879,55,14.933939,2.714769,0.226281,True
3,1773663955.904787,1773663957.560173,91,16,3.297061,0.229549,0.204501,True
4,1773663957.875479,1773663959.472360,91,16,3.192507,0.169200,0.201554,True
5,1773663958.573333,1773663968.667192,381,84,20.174373,2.841686,0.208828,True
6,1773663960.962690,1773663978.909321,1313,142,35.875761,0.549971,0.250538,True
7,1773663961.805890,1773663972.891036,388,84,22.157476,0.212927,0.264392,True
8,1773663961.949324,1773663963.735347,242,14,3.556414,0.232785,0.255664,True
9,1773663962.161911,1773663980.727013,209,152,37.124659,0.218274,0.244413,True
10,1773663962.553861,1773663977.906822,394,124,30.698255,0.197008,0.247978,True
11,1773663963.765971,1773663971.716647,394,59,15.893927,0.217075,0.270291,True
12,1773663964.024485,1773663984.925728,1315,174,41.794999,0.556973,0.238370,True
13,1773663965.630832,1773663976.633915,389,90,21.992603,0.233277,0.244487,True
14,1773663966.650234,1773663979.385196,415,106,25.460191,0.286620,0.239748,True
15,1773663967.105364,1773663968.615057,120,12,3.005804,0.159997,0.258710,True
16,1773663967.781717,1773663976.820963,369,74,18.071074,0.277959,0.243741,True
17,1773663969.531363,1773663983.278506,206,162,27.482650,0.197409,0.169474,True
18,1773663969.762090,1773663986.475841,1353,142,33.426332,0.621915,0.232655,True
19,1773663969.803419,1773663987.602591,197,152,35.597159,0.188510,0.234494,True
20,1773663971.486201,1773663982.467845,181,154,21.955862,0.253989,0.141842,True
21,1773663971.550455,1773663974.897042,388,54,6.689672,0.672998,0.113522,True
22,1773663977.709288,1773663990.220394,203,147,25.004720,0.256046,0.169511,True
23,1773663978.321956,1773664002.191926,126,194,47.722469,0.176905,0.246350,True
24,1773663978.827675,1773663984.547747,389,87,11.433549,0.431320,0.127933,True
25,1773663981.243880,1773663983.283623,91,16,4.069950,0.175560,0.259626,True
26,1773663982.185182,1773663997.897885,181,123,31.412218,0.152211,0.256230,True
27,1773663982.484219,1773664011.165430,191,217,57.352106,0.249775,0.264363,True
28,1773663982.956891,1773664006.670120,27,183,47.405386,0.144781,0.259674,True
29,1773663983.671005,1773664005.880095,203,217,44.412430,0.287281,0.204283,True
30,1773663983.679460,1773663993.623764,398,81,19.878238,0.231206,0.245588,True
31,1773663985.909002,1773664008.464514,126,172,45.095565,0.159730,0.262783,True
32,1773663986.378892,1773664010.276251,209,181,47.783162,0.199645,0.264353,True
33,1773663987.006239,1773664011.283403,209,181,48.542851,0.188657,0.268634,True
34,1773663988.297439,1773664006.761575,28,175,36.906556,0.150020,0.211244,True
35,1773663989.334362,1773664000.811118,437,88,22.946080,0.255676,0.260809,True
36,1773663989.545709,1773664002.860813,181,104,26.628902,0.242810,0.256176,True
37,1773663989.856461,1773663999.115784,203,138,18.496914,0.273924,0.133015,True
38,1773663990.093219,1773664015.092834,200,177,49.987766,0.230055,0.282714,True
39,1773663990.260742,1773663992.302346,91,16,4.069964,0.164813,0.260343,True
40,1773663991.249165,1773664039.589431,1087,401,96.668215,0.774364,0.239735,True
41,1773663991.811369,1773664000.176303,382,64,16.708431,0.271718,0.260900,True
42,1773663992.065381,1773664006.138664,412,102,28.133209,0.268336,0.275890,True
43,1773663992.156353,1773664026.593048,194,217,68.872148,0.222523,0.317822,True
44,1773663993.604671,1773664007.697980,203,217,28.173044,0.338493,0.128864,True
45,1773663993.974901,1773664030.454196,200,217,72.957285,0.248361,0.336615,True
46,1773663994.871065,1773664020.618366,64,174,51.477381,0.133948,0.296783,True
47,1773663995.309712,1773664012.316106,458,123,34.009363,0.205653,0.277080,True
48,1773663995.684895,1773664018.286030,1352,158,45.198831,0.618773,0.283949,True
49,1773663995.734104,1773664045.527976,874,404,99.577837,0.648878,0.245481,True
50,1773663995.994976,1773664003.327781,378,58,14.644245,0.506054,0.248038,True
51,1773663996.954445,1773663998.915978,91,16,3.901536,0.200899,0.246709,True
52,1773663998.356583,1773664003.232360,389,89,9.750253,0.452859,0.105652,True
53,1773664000.168892,1773664033.929153,212,183,67.512969,0.259519,0.369524,True
54,1773664000.754984,1773664051.341658,1085,394,101.155315,0.781131,0.255405,True
55,1773664000.988305,1773664021.467321,407,131,40.948634,0.231570,0.313208,True
56,1773664001.248860,1773664013.391549,396,82,24.274290,0.294746,0.296044,True
57,1773664002.035192,1773664052.413131,1029,399,100.741930,0.743834,0.251251,True
58,1773664003.447392,1773664053.379263,962,399,99.845720,0.697275,0.249117,True
59,1773664003.743599,1773664046.597820,203,217,85.698689,0.183098,0.395906,True
60,1773664003.872867,1773664013.396303,898,94,19.027007,0.935499,0.194532,True
61,1773664003.932180,1773664055.904672,181,253,103.941669,0.165250,0.411811,True
62,1773664004.130329,1773664007.112735,320,18,5.943404,0.254864,0.334620,True
63,1773664004.302075,1773664097.421279,1119,414,186.224746,0.640876,0.449356,True
64,1773664004.429024,1773664034.761843,124,157,60.647931,0.183971,0.387589,True
65,1773664004.608872,1773664039.962332,1313,179,70.695494,0.933541,0.391921,True
66,1773664005.964542,1773664040.376445,1096,383,68.801953,1.220845,0.176914,True
67,1773664006.877284,1773664015.151457,400,102,16.536973,0.738436,0.156421,True
68,1773664008.284495,1773664061.923716,1057,424,107.256084,0.779584,0.251717,True
69,1773664008.921887,1773664042.220049,203,162,66.578690,0.199850,0.412291,True
70,1773664009.495066,1773664056.101633,1314,216,93.199492,0.507025,0.431128,True
