RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773634996.998949,1773635057.115247,374,44,120.146679,2.433781,2.737509,True
1,1773634996.999100,1773635095.056456,396,109,196.004575,3.131614,1.785861,True
2,1773634996.999151,1773635063.757973,879,55,133.384999,22.868342,2.046605,True
3,1773634996.999191,1773635027.375377,91,16,60.599035,2.291699,3.887156,True
4,1773634996.999226,1773635029.548730,91,16,64.923999,24.364107,2.703993,True
5,1773634996.999260,1773635076.033387,381,84,157.870220,14.953085,1.721893,True
6,1773634996.999293,1773635112.965687,1313,142,231.714906,20.049143,1.501176,True
7,1773634996.999324,1773635061.723927,388,84,129.209233,15.770700,1.366729,True
8,1773634996.999355,1773635026.200729,242,14,58.141232,18.195428,3.072754,True
9,1773634996.999385,1773635102.038281,209,152,209.795841,19.380068,1.261032,True
10,1773634996.999415,1773635103.709676,394,124,213.117750,17.294039,1.592063,True
11,1773634996.999445,1773635062.934413,394,59,131.545665,23.202744,1.867981,True
12,1773634996.999475,1773635131.709055,1315,174,269.072531,12.193316,1.484851,True
13,1773634996.999505,1773635067.254171,389,90,140.141019,14.580947,1.410787,True
14,1773634996.999535,1773635094.751600,415,106,195.115323,14.857553,1.716741,True
15,1773634996.999564,1773635040.981318,120,12,87.552310,19.952497,6.145438,True
16,1773634996.999594,1773635071.937458,369,74,149.442892,17.228571,1.811155,True
17,1773634996.999623,1773635127.740062,206,162,261.025336,23.137481,1.477564,True
18,1773634996.999652,1773635112.734524,1353,142,230.994799,12.129023,1.552240,True
19,1773634996.999682,1773635133.405228,197,152,272.313793,15.644355,1.699798,True
20,1773634996.999711,1773635138.325678,181,154,282.133510,17.885276,1.727113,True
21,1773634996.999741,1773635059.527244,388,54,124.514164,14.781424,2.070429,True
22,1773634996.999770,1773635118.338353,203,147,242.114367,19.876181,1.522179,True
23,1773634996.999799,1773635146.708361,126,194,298.832056,17.152440,1.459480,True
24,1773634996.999829,1773635082.688325,389,87,170.770194,23.722397,1.709858,True
25,1773634996.999859,1773635043.596375,91,16,92.565624,23.050949,4.634312,True
26,1773634996.999889,1773635103.555340,181,123,212.462365,12.041981,1.642790,True
27,1773634996.999919,1773635162.206002,191,217,329.741066,14.716207,1.458448,True
28,1773634996.999967,1773635141.483982,27,183,288.276062,19.811393,1.475081,True
29,1773634996.999997,1773635157.642131,203,217,320.570113,17.087576,1.405012,True
30,1773634997.000027,1773635058.773840,398,81,122.810573,20.411981,1.279982,True
31,1773634997.000057,1773635134.492308,126,172,274.227020,22.985662,1.469248,True
32,1773634997.000097,1773635137.401589,209,181,280.023423,11.976469,1.489150,True
33,1773634997.000140,1773635143.300124,209,181,291.797815,14.650041,1.539710,True
34,1773634997.000169,1773635117.671833,28,175,240.519957,16.644560,1.286640,True
35,1773634997.000198,1773635090.187829,437,88,185.531303,31.097157,1.775105,True
36,1773634997.000228,1773635091.565286,181,104,188.265290,19.724669,1.636317,True
37,1773634997.000257,1773635092.134121,203,138,189.380874,9.262652,1.314732,True
38,1773634997.000288,1773635134.725044,200,177,274.540430,16.989791,1.463356,True
39,1773634997.000317,1773635039.597709,91,16,84.263859,24.544294,3.981304,True
40,1773634997.000346,1773635244.209998,1087,401,493.466335,23.974027,1.173731,True
41,1773634997.000376,1773635068.642281,382,64,142.308464,22.876457,1.895746,True
42,1773634997.000405,1773635099.660485,412,102,204.324147,16.441362,1.860226,True
43,1773634997.000444,1773635140.942776,194,217,286.867859,15.381059,1.256883,True
44,1773634997.000474,1773635157.871264,203,217,320.702595,11.846388,1.429890,True
45,1773634997.000503,1773635162.206389,200,217,329.349592,14.520359,1.457543,True
46,1773634997.000532,1773635112.880407,64,174,230.677518,17.783688,1.230600,True
47,1773634997.000562,1773635086.394106,458,123,177.683047,18.967898,1.300944,True
48,1773634997.000593,1773635122.650139,1352,158,250.173045,19.593981,1.468656,True
49,1773634997.000623,1773635260.208124,874,404,525.268098,16.870399,1.261533,True
50,1773634997.000652,1773635062.554170,378,58,129.937681,22.779139,1.879974,True
51,1773634997.000682,1773635027.424044,91,16,59.657429,14.169220,3.032547,True
52,1773634997.000711,1773635079.069227,389,89,162.925490,11.759726,1.717793,True
53,1773634997.000740,1773635123.191816,212,183,251.149786,20.162821,1.269159,True
54,1773634997.000770,1773635260.135592,1085,394,525.016479,14.423872,1.299218,True
55,1773634997.000799,1773635119.176522,407,131,243.076892,14.287009,1.759922,True
56,1773634997.000828,1773635075.424474,396,82,155.550677,19.508686,1.679531,True
57,1773634997.000857,1773635251.143382,1029,399,506.967894,16.785093,1.231615,True
58,1773634997.000888,1773635324.540308,962,399,653.741087,22.263984,1.586626,True
59,1773634997.000917,1773635141.764345,203,217,288.167989,16.375960,1.258296,True
60,1773634997.000966,1773635086.811538,898,94,178.241616,22.673350,1.672777,True
61,1773634997.000996,1773635174.975478,181,253,354.548477,11.664907,1.360649,True
62,1773634997.001026,1773635045.398128,320,18,95.372389,14.339446,4.766644,True
63,1773634997.001055,1773635274.431329,1119,414,553.417283,19.434683,1.292936,True
64,1773634997.001085,1773635138.752217,124,157,282.038446,15.159642,1.710762,True
65,1773634997.001114,1773635119.517080,1313,179,243.546488,8.962599,1.317887,True
66,1773634997.001144,1773635235.433828,1096,383,475.358674,16.689970,1.200703,True
67,1773634997.001284,1773635074.088562,400,102,152.647849,23.686095,1.276849,True
68,1773634997.001318,1773635269.469678,1057,424,543.388783,15.114540,1.248875,True
69,1773634997.001348,1773635127.740069,203,162,259.905583,22.577723,1.474086,True
70,1773634997.001388,1773635156.211859,1314,216,316.828379,11.568590,1.419813,True
71,1773634997.001418,1773635085.598275,2,93,175.579270,14.242426,1.753661,True
72,1773634997.001447,1773635252.533205,1065,409,509.428584,17.506586,1.205691,True
73,1773634997.001477,1773635049.710786,372,60,103.762193,18.690714,1.441889,True
74,1773634997.001507,1773635244.206676,1104,394,492.732044,19.316630,1.204619,True
75,1773634997.001536,1773635347.767570,1075,415,699.831593,17.292460,1.648645,True
76,1773634997.001566,1773635226.334466,1225,372,456.944653,16.582434,1.186960,True
77,1773634997.001595,1773635267.455394,1118,426,539.166166,13.892272,1.235939,True
78,1773634997.001628,1773635092.934893,380,102,190.103616,22.481498,1.659625,True
79,1773634997.001657,1773635240.178311,1133,385,484.569711,11.472855,1.232023,True
80,1773634997.001687,1773635131.402294,42,167,266.996860,14.147600,1.523188,True
81,1773634997.001715,1773635231.027303,1140,377,466.225791,19.243001,1.188784,True
82,1773634997.001744,1773635150.160261,126,203,304.470510,16.519449,1.425500,True
83,1773634997.001774,1773635077.542370,431,84,159.212916,22.428561,1.648004,True
84,1773634997.001803,1773635292.213538,1115,421,588.534968,11.420089,1.374083,True
85,1773634997.001832,1773635142.124181,206,179,288.335096,14.094716,1.540676,True
86,1773634997.001861,1773635083.173851,400,91,170.412679,19.190149,1.680250,True
87,1773634997.001889,1773635248.598731,1123,396,501.242006,16.467048,1.227278,True
88,1773634997.001921,1773635282.702490,862,379,569.428406,23.037225,1.445479,True
89,1773634997.001969,1773635270.654360,859,422,545.309708,19.780361,1.248288,True
90,1773634997.001998,1773635327.260212,890,402,658.499930,30.509093,1.566062,True
91,1773634997.002027,1773635264.511053,1192,419,532.981086,16.035967,1.236711,True
92,1773634997.002063,1773635267.791587,899,403,539.521190,22.333526,1.286536,True
93,1773634997.002093,1773635184.091301,163,224,372.099720,23.968712,1.561126,True
94,1773634997.002122,1773635154.685849,181,212,313.267392,11.314053,1.431058,True
95,1773634997.002151,1773635083.039503,416,88,169.952348,15.876375,1.770988,True
96,1773634997.002180,1773635276.178884,1163,426,556.210304,8.632553,1.288418,True
97,1773634997.002209,1773635041.201747,243,14,86.233783,13.966361,5.559033,True
98,1773634997.002239,1773635298.502565,1041,428,600.813313,32.467480,1.331021,True
99,1773634997.002268,1773635094.877697,1350,146,193.542293,23.344233,1.173780,True
100,1773634997.002297,1773635309.925783,1104,396,623.616756,13.808039,1.543820,True
101,1773634997.002326,1773635292.367251,1127,426,588.478878,29.591613,1.315029,True
102,1773634997.002355,1773635281.039331,1114,414,565.801001,22.225593,1.316163,True
103,1773634997.002384,1773635227.219418,1083,396,458.139854,14.740458,1.122530,True
104,1773634997.002413,1773635112.493627,1313,173,228.666254,17.164878,1.229659,True
105,1773634997.002441,1773635252.304988,888,395,508.267819,24.817213,1.227032,True
106,1773634997.002470,1773635108.405680,13,130,220.446354,13.868904,1.601376,True
107,1773634997.002499,1773635069.294738,874,89,142.203893,18.327583,1.407685,True
108,1773634997.002527,1773635220.237538,1065,395,444.067947,13.560887,1.092658,True
109,1773634997.002559,1773635292.441287,1157,426,588.455205,32.349519,1.308484,True
110,1773634997.002589,1773635220.096390,1077,390,443.743779,19.555332,1.090459,True
111,1773634997.002617,1773635269.456403,1149,411,542.442450,29.484404,1.251117,True
112,1773634997.002647,1773635247.829080,996,389,499.165223,22.118462,1.229502,True
113,1773634997.002676,1773635227.269127,990,394,458.025847,15.800194,1.125256,True
114,1773634997.002704,1773635141.251864,197,183,285.968726,24.720716,1.435429,True
115,1773634997.002733,1773635141.618416,197,217,286.680020,8.428321,1.288202,True
116,1773634997.002761,1773635277.363439,1378,407,558.148823,13.762426,1.340853,True
117,1773634997.002790,1773635281.552184,1214,421,566.505330,32.263821,1.272004,True
118,1773634997.002820,1773635282.632185,1016,375,568.645125,21.624194,1.462623,True
119,1773634997.002848,1773635237.015392,1186,398,477.389963,23.130339,1.144231,True
120,1773634997.002877,1773635292.367511,1100,426,588.070968,29.387784,1.314549,True
121,1773634997.002909,1773635178.619112,218,217,360.554412,14.550725,1.601869,True
122,1773634997.002953,1773635292.135534,1232,419,587.565798,22.011770,1.353000,True
123,1773634997.002984,1773635256.197763,975,416,515.669134,14.526846,1.207572,True
124,1773634997.003013,1773635140.654277,209,217,284.560982,16.951479,1.238933,True
125,1773634997.003042,1773635081.982628,181,85,167.195263,16.759344,1.790904,True
126,1773634997.003071,1773635242.992664,1029,388,489.193959,24.592681,1.200520,True
127,1773634997.003100,1773635350.705752,888,418,704.598278,22.619317,1.635441,True
128,1773634997.003128,1773635237.523838,1113,375,478.214172,13.634435,1.242192,True
129,1773634997.003157,1773635356.630457,1035,520,716.406181,32.136089,1.318439,True
130,1773634997.003189,1773635287.600477,1009,425,578.325253,29.281707,1.294914,True
131,1773634997.003218,1773635314.814879,869,450,632.732130,34.670175,1.331987,True
132,1773634997.003247,1773635379.359382,1183,431,761.799851,30.059732,1.701721,True
133,1773634997.003276,1773635309.785577,972,395,622.630655,23.539780,1.520535,True
134,1773634997.003305,1773635239.995120,1097,396,483.028553,18.039458,1.177188,True
135,1773634997.003334,1773635158.746174,206,183,320.510127,15.448635,1.676162,True
136,1773634997.003363,1773635151.919311,181,208,306.834739,24.486440,1.364001,True
137,1773634997.003391,1773635151.996338,1316,200,306.966889,13.538492,1.474515,True
138,1773634997.003420,1773635315.121387,908,456,633.195402,32.039567,1.321222,True
139,1773634997.003449,1773635259.296769,1094,422,521.524978,13.230367,1.207351,True
140,1773634997.003478,1773635282.685068,996,422,568.280080,29.174299,1.280536,True
141,1773634997.003511,1773635082.872034,420,89,168.632475,34.563383,1.523512,True
142,1773634997.003541,1773635289.197420,1112,385,581.262549,13.358979,1.478916,True
143,1773634997.003570,1773635320.340305,1133,396,643.527616,21.357279,1.575115,True
144,1773634997.003599,1773635250.061133,890,403,502.948563,19.192940,1.203372,True
145,1773634997.003631,1773635038.724916,833,36,80.254056,15.458612,1.851298,True
146,1773634997.003659,1773635300.375614,1093,426,603.533974,24.379613,1.362716,True
147,1773634997.003688,1773635138.716626,206,211,280.194610,8.087105,1.295750,True
148,1773634997.003717,1773635320.099897,898,454,642.939018,26.237104,1.361373,True
149,1773634997.003746,1773635137.249292,1312,180,277.215812,31.921978,1.370357,True
150,1773634997.003774,1773635227.074014,1129,396,456.844240,22.798931,1.098849,True
151,1773634997.003803,1773635052.248218,375,67,107.170089,14.226880,1.408230,True
152,1773634997.003835,1773635287.600648,862,425,577.853804,29.045835,1.294358,True
153,1773634997.003864,1773635141.561478,167,179,285.753893,34.434490,1.411907,True
154,1773634997.003892,1773635277.669507,914,414,557.947634,24.292984,1.292142,True
155,1773634997.003922,1773635162.206395,209,217,326.998023,26.160672,1.392766,True
156,1773634997.003966,1773635412.629456,982,594,827.823488,31.845847,1.342289,True
157,1773634997.003995,1773635124.388042,200,161,251.318863,28.990630,1.389551,True
158,1773634997.004024,1773635124.155906,1313,156,250.832247,34.379190,1.396471,True
159,1773634997.004053,1773635259.445663,999,416,521.390513,16.575103,1.216423,True
160,1773634997.004082,1773635256.940295,1084,397,516.358401,24.227492,1.242755,True
161,1773634997.004111,1773635076.269082,399,106,154.995558,17.749023,1.307110,True
162,1773634997.004139,1773635510.188463,1065,594,1022.812940,14.110541,1.701016,True
163,1773634997.004167,1773635294.406783,1036,446,591.228539,12.972098,1.299453,True
164,1773634997.004200,1773635240.042374,1243,398,482.478005,18.976316,1.167511,True
165,1773634997.004229,1773635246.972424,1128,384,496.316659,26.053184,1.227842,True
166,1773634997.004257,1773635228.587096,1000,375,459.524241,38.050997,1.126934,True
167,1773634997.004287,1773635059.982108,992,56,122.291840,28.883207,1.698339,True
168,1773634997.004315,1773635066.583266,920,87,135.473273,15.209821,1.398412,True
169,1773634997.004344,1773635243.280722,1040,388,488.845418,34.261185,1.174636,True
170,1773634997.004373,1773635088.798687,411,101,179.860697,24.120033,1.557407,True
171,1773634997.004402,1773635083.022301,900,91,168.285679,25.988002,1.581085,True
172,1773634997.004431,1773635287.675490,1018,425,577.571397,37.986071,1.272607,True
173,1773634997.004462,1773635098.599690,395,99,199.399357,16.244275,1.868929,True
174,1773634997.004503,1773635141.618254,209,217,285.415367,7.795970,1.285275,True
175,1773634997.004543,1773635098.022593,181,113,198.202190,28.797717,1.512540,True
176,1773634997.004571,1773635339.112491,1118,414,680.360620,22.093413,1.593867,True
177,1773634997.004600,1773635250.922676,972,392,503.960304,34.176403,1.201493,True
178,1773634997.004629,1773635062.689852,1847,53,127.472750,29.565747,1.882827,True
179,1773634997.004658,1773635085.523450,392,96,173.117603,24.023852,1.569408,True
180,1773634997.004687,1773635162.206399,197,217,326.461865,25.892606,1.391524,True
181,1773634997.004716,1773635265.203576,975,409,532.436091,37.890261,1.212122,True
182,1773634997.004745,1773635306.332173,1025,443,614.671868,36.537658,1.307996,True
183,1773634997.004774,1773635243.280895,1027,388,488.547217,34.112075,1.174251,True
184,1773634997.004803,1773635273.150311,1143,409,548.264174,23.970392,1.285034,True
185,1773634997.004832,1773635301.774741,1028,394,605.490590,22.980963,1.482213,True
186,1773634997.004860,1773635272.843844,874,402,547.607891,25.827618,1.301198,True
187,1773634997.004889,1773635317.359612,997,492,636.617848,22.400056,1.250953,True
188,1773634997.004918,1773635155.989017,72,245,313.855438,13.828667,1.229618,True
189,1773634997.004963,1773635234.624395,851,397,471.104848,16.253511,1.148614,True
190,1773634997.004998,1773635083.174040,408,91,168.181250,37.792951,1.448759,True
191,1773634997.005029,1773635457.066606,1113,531,915.946260,14.846182,1.700189,True
192,1773634997.005058,1773635129.442508,1313,170,260.676123,36.429564,1.326903,True
193,1773634997.005088,1773635276.420588,1083,426,554.611501,17.405543,1.264014,True
194,1773634997.005121,1773635254.041040,1139,394,509.831183,33.993777,1.210782,True
195,1773634997.005152,1773635306.566432,978,437,614.861552,34.479571,1.331151,True
196,1773634997.005182,1773635119.342057,26,146,240.390454,25.721027,1.480479,True
197,1773634997.005212,1773635067.019633,386,61,135.722034,37.717334,1.633412,True
198,1773634997.005242,1773635269.456132,1074,411,540.572505,36.364073,1.229777,True
199,1773634997.005271,1773635127.739675,209,162,257.118439,33.938801,1.386209,True
200,1773634997.005301,1773635340.170133,1099,455,681.958213,12.573614,1.474415,True
201,1773634997.005329,1773635025.543169,120,12,52.683236,18.578371,3.100442,True
202,1773634997.005368,1773635112.833785,126,173,227.243370,14.844433,1.234878,True
203,1773634997.005399,1773635111.965143,416,140,225.485096,34.392639,1.374766,True
204,1773634997.005429,1773635059.250467,394,83,120.033711,7.472780,1.372694,True
205,1773634997.005458,1773635265.433066,1043,399,532.376261,25.622612,1.273250,True
206,1773634997.005587,1773635309.925432,1099,396,621.339281,12.669418,1.540936,True
207,1773634997.005618,1773635150.095442,857,91,301.658101,99.406750,2.247237,True
208,1773634997.005649,1773635179.397998,209,217,360.240638,20.656306,1.572150,True
209,1773634997.005680,1773635267.667011,1109,365,536.757846,13.604640,1.437234,True
210,1773634997.005710,1773635385.422400,993,441,772.247531,15.845596,1.719095,True
211,1773634997.005739,1773635350.705586,888,418,702.791218,21.715881,1.633274,True
212,1773634997.005768,1773635295.970436,1141,388,593.300566,29.199100,1.457627,True
213,1773634997.005798,1773635301.774580,1067,394,604.886832,22.679051,1.481445,True
214,1773634997.005831,1773635351.620516,1116,423,704.558158,14.598244,1.634976,True
215,1773634997.005867,1773635077.823159,416,79,156.941260,12.572519,1.850881,True
216,1773634997.005897,1773635450.099978,1126,520,901.473534,20.570584,1.697308,True
217,1773634997.005925,1773635156.287835,203,179,313.828064,13.518822,1.687131,True
218,1773634997.005975,1773635130.713686,379,144,262.657915,15.759523,1.726562,True
219,1773634997.006006,1773635147.517604,56,164,296.245576,21.630831,1.684753,True
220,1773634997.006036,1773635342.966372,1232,410,687.122485,29.114210,1.608822,True
221,1773634997.006065,1773635146.456188,209,162,294.080016,22.593850,1.686249,True
222,1773634997.006095,1773635146.739500,206,162,294.625621,14.512930,1.739830,True
223,1773634997.006124,1773635279.444913,1083,378,560.014625,12.487488,1.452327,True
224,1773634997.006157,1773635158.889358,171,183,318.881674,20.485059,1.639542,True
225,1773634997.006186,1773635365.292544,982,429,731.665559,13.433276,1.678113,True
226,1773634997.006215,1773635062.970391,374,54,127.001422,15.674563,2.100507,True
227,1773634997.006245,1773635335.494251,1019,413,672.026712,31.072150,1.555715,True
228,1773634997.006274,1773635173.389802,126,205,347.795462,31.746028,1.549262,True
229,1773634997.006303,1773635310.347693,1147,396,621.690862,31.671308,1.493720,True
230,1773634997.006335,1773635361.117399,1078,428,723.208995,30.003020,1.623433,True
231,1773634997.006365,1773635339.324875,883,413,679.602051,29.251631,1.578520,True
232,1773634997.006395,1773635179.398155,169,217,359.725951,30.409415,1.524614,True
233,1773634997.006427,1773635365.292222,1094,429,731.493240,29.615215,1.639902,True
234,1773634997.006457,1773635371.418074,1001,427,743.723108,30.322316,1.674650,True
235,1773634997.006486,1773635075.940147,391,93,100.780152,1.355187,1.080706,True
236,1773634997.006516,1773635244.456052,1085,388,436.503062,3.202891,1.119639,True
237,1773634997.006545,1773635509.076492,1064,395,963.394636,198.622104,1.941047,True
238,1773634997.006579,1773635282.943466,1070,411,511.023425,4.382778,1.235709,True
239,1773634997.006610,1773635490.706264,972,575,922.313471,69.123689,1.486393,True
240,1773634997.006639,1773635285.516351,1099,394,493.579365,2.596133,1.249321,True
241,1773634997.006669,1773635323.551606,980,384,567.890072,3.278034,1.474183,True
242,1773634997.006707,1773635260.279879,1057,393,438.575541,1.624263,1.114672,True
243,1773634997.006735,1773635300.838012,1082,409,519.262780,2.161282,1.267406,True
244,1773634997.006765,1773635284.491088,1072,400,481.767241,1.636640,1.203335,True
245,1773634997.006794,1773635101.715619,385,98,112.623079,0.924156,1.151535,True
246,1773634997.006824,1773635135.704458,78,141,171.978867,0.767122,1.222941,True
247,1773634997.006856,1773635108.468794,412,100,112.419572,1.357697,1.121837,True
