RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773639920.312678,1773639997.775555,374,44,154.843402,3.288618,3.524530,True
1,1773639920.312822,1773640036.324221,396,109,231.916058,13.163661,2.025485,True
2,1773639920.312875,1773640073.737406,879,55,306.721940,4.485446,5.596972,True
3,1773639920.312914,1773640047.864096,91,16,254.948646,25.956977,15.266111,True
4,1773639920.312979,1773639985.340275,91,16,129.883773,17.255780,7.508533,True
5,1773639920.313019,1773640103.778763,381,84,366.739375,21.391854,4.160814,True
6,1773639920.313057,1773640156.866389,1313,142,472.892409,16.640855,3.235827,True
7,1773639920.313088,1773640019.042480,388,84,197.225088,18.678921,2.151159,True
8,1773639920.313120,1773639984.779917,242,14,128.679809,21.440885,8.249148,True
9,1773639920.313151,1773640171.368144,209,152,501.831458,25.894339,3.151901,True
10,1773639920.313181,1773640045.231212,394,124,249.538897,15.006975,1.906764,True
11,1773639920.313211,1773640078.507234,394,59,316.069291,21.327850,5.081749,True
12,1773639920.313246,1773640075.493140,1315,174,310.020354,11.097110,1.727880,True
13,1773639920.313277,1773640021.248379,389,90,201.509270,13.036059,2.117677,True
14,1773639920.313306,1773640034.698803,415,106,228.388350,17.149179,2.011802,True
15,1773639920.313336,1773639983.124516,120,12,125.216202,18.592892,9.693028,True
16,1773639920.313377,1773640012.294302,369,74,183.536057,21.354974,2.221659,True
17,1773639920.313406,1773640066.254056,206,162,291.433302,14.931254,1.717404,True
18,1773639920.313436,1773640054.772965,1353,142,268.450535,11.032359,1.825661,True
19,1773639920.313466,1773640058.055586,197,152,274.993768,12.971037,1.735250,True
20,1773639920.313499,1773640058.858251,181,154,276.576947,17.084702,1.696028,True
21,1773639920.313527,1773640002.616673,388,54,164.072649,18.528194,2.746122,True
22,1773639920.313560,1773640163.086241,203,147,484.987974,16.468589,3.209037,True
23,1773639920.313590,1773640085.115486,126,194,329.026882,21.278834,1.594549,True
24,1773639920.313619,1773640018.928127,389,87,196.629101,14.855225,2.113650,True
25,1773639920.313650,1773640047.864254,91,16,254.477554,25.720784,15.250451,True
26,1773639920.313679,1773640045.465826,181,123,249.657243,10.944531,1.956662,True
27,1773639920.313710,1773640229.446427,191,217,617.599178,21.154445,2.761318,True
28,1773639920.313740,1773640078.638631,27,183,315.964586,12.873566,1.665335,True
29,1773639920.313770,1773640216.355735,203,217,591.376266,16.393313,2.661958,True
30,1773639920.313800,1773640095.401598,398,81,349.446981,25.667526,4.047243,True
31,1773639920.313829,1773640069.686995,126,172,297.998301,16.966463,1.643461,True
32,1773639920.313859,1773640080.175501,209,181,318.953158,18.409893,1.669685,True
33,1773639920.313888,1773640196.101597,209,181,550.784413,21.090878,2.942742,True
34,1773639920.313918,1773640073.048969,28,175,304.656454,21.160487,1.629287,True
35,1773639920.313966,1773640021.305343,437,88,201.148669,14.737461,2.142658,True
36,1773639920.314001,1773640034.869856,181,104,228.255393,10.838021,2.110848,True
37,1773639920.314031,1773640153.328046,203,138,465.151754,16.308220,3.276230,True
38,1773639920.314060,1773640072.822787,200,177,304.118775,12.766121,1.655413,True
39,1773639920.314098,1773640047.864245,91,16,254.175889,25.570567,15.240355,True
40,1773639920.314127,1773640207.587348,1087,401,573.604619,16.869051,1.391839,True
41,1773639920.314156,1773640083.889028,382,64,326.185763,21.004211,4.844152,True
42,1773639920.314186,1773640125.353000,412,102,409.092422,16.253925,3.889490,True
43,1773639920.314215,1773640220.249656,194,217,598.862274,25.527912,2.654326,True
44,1773639920.314247,1773640229.446436,203,217,617.233634,20.972040,2.760470,True
45,1773639920.314277,1773640100.614468,200,217,359.550602,18.269837,1.580004,True
46,1773639920.314306,1773640072.710841,64,174,303.722769,21.031687,1.634052,True
47,1773639920.314344,1773640043.545239,458,123,245.369864,14.608320,1.891488,True
48,1773639920.314374,1773640171.839860,1352,158,501.936819,16.189746,3.093930,True
49,1773639920.314403,1773640235.610200,874,404,629.456892,10.698100,1.535382,True
50,1773639920.314433,1773640077.932618,378,58,314.080976,25.452893,5.063651,True
51,1773639920.314462,1773640047.748680,91,16,253.691564,20.897687,15.519592,True
