RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773636756.371992,1773636869.734386,374,44,226.457384,76.568889,3.485779,True
1,1773636756.372139,1773636999.366267,396,109,485.695533,77.755414,3.777223,True
2,1773636756.372194,1773636956.490746,879,55,399.921460,91.993979,5.702361,True
3,1773636756.372235,1773636937.312588,91,16,361.544632,95.281383,17.750883,True
4,1773636756.372271,1773636863.614845,91,16,214.129511,99.162268,7.664483,True
5,1773636756.372305,1773636877.544139,381,84,241.967156,91.912692,1.807885,True
6,1773636756.372338,1773637018.820245,1313,142,524.496937,88.335379,3.093344,True
7,1773636756.372369,1773636977.437380,388,84,441.709876,91.941119,4.214081,True
8,1773636756.372404,1773636766.242460,242,14,19.300009,4.696615,1.123338,True
9,1773636756.372435,1773637032.906219,209,152,552.603667,95.216706,3.029053,True
10,1773636756.372466,1773636895.427364,394,124,277.625323,99.097711,1.451444,True
11,1773636756.372496,1773636962.333612,394,59,411.415826,88.280910,5.571292,True
12,1773636756.372528,1773636904.245499,1315,174,295.217749,91.836602,1.175614,True
13,1773636756.372558,1773636882.745419,389,90,252.196083,99.065095,1.720573,True
14,1773636756.372590,1773636890.909873,415,106,268.503159,91.814704,1.682747,True
15,1773636756.372621,1773636932.955749,120,12,352.570882,91.853996,23.701535,True
16,1773636756.372655,1773636876.105693,369,74,238.852164,99.032587,1.915337,True
17,1773636756.372684,1773637039.523554,206,162,565.666197,95.130705,2.922581,True
18,1773636756.372715,1773636897.921849,1353,142,282.442500,91.772539,1.352269,True
19,1773636756.372746,1773637029.396151,197,152,545.368408,88.194886,3.027639,True
20,1773636756.372776,1773637034.945891,181,154,556.445915,91.800456,3.036898,True
21,1773636756.372809,1773636956.601431,388,54,399.734675,95.087065,5.748068,True
22,1773636756.372838,1773637025.733453,203,147,537.978029,88.162198,3.080930,True
23,1773636756.372869,1773636909.935777,126,194,306.362067,98.957591,1.074635,True
24,1773636756.372900,1773636980.259445,389,87,446.986380,91.757739,4.130566,True
25,1773636756.372953,1773636937.312756,91,16,361.071546,95.044307,17.735149,True
26,1773636756.372994,1773637005.608303,181,123,497.643536,88.120128,3.356749,True
27,1773636756.373026,1773636915.607881,191,217,317.621822,91.676036,1.046045,True
28,1773636756.373057,1773637059.935923,27,183,606.255591,91.716029,2.827140,True
29,1773636756.373088,1773637079.069014,203,217,644.500052,95.002923,2.543968,True
30,1773636756.373119,1773636782.620175,398,81,51.583723,6.094995,0.568609,True
31,1773636756.373149,1773637047.019207,126,172,580.359805,88.067516,2.878902,True
32,1773636756.373179,1773637057.968833,209,181,602.236562,91.674037,2.836458,True
33,1773636756.373210,1773637058.084564,209,181,602.450310,94.961529,2.819382,True
34,1773636756.373240,1773636805.005378,28,175,96.271526,6.596977,0.515371,True
35,1773636756.373271,1773636980.145183,437,88,446.530286,88.026772,4.120730,True
36,1773636756.373301,1773636890.286481,181,104,266.790744,98.821237,1.630772,True
37,1773636756.373330,1773637020.723532,203,138,527.643269,91.621456,3.182641,True
38,1773636756.373369,1773637054.091865,200,177,594.357261,94.907764,2.837781,True
39,1773636756.373406,1773636767.399502,91,16,20.950642,6.275591,0.978337,True
40,1773636756.373438,1773637214.640051,1087,401,915.410138,87.972062,2.068595,True
41,1773636756.373468,1773636967.676327,382,64,421.460888,91.577475,5.236245,True
42,1773636756.373502,1773636994.135045,412,102,474.354947,94.863821,3.757338,True
43,1773636756.373547,1773637076.795265,194,217,639.652665,87.939042,2.554230,True
44,1773636756.373580,1773637078.954623,203,217,643.949174,91.544382,2.557430,True
45,1773636756.373610,1773636817.344463,200,217,120.710207,5.461995,0.533557,True
46,1773636756.373640,1773636904.245773,64,174,294.490709,91.472985,1.173513,True
47,1773636756.373670,1773637009.158354,458,123,504.295510,94.810291,3.356436,True
48,1773636756.373700,1773637033.019474,1352,158,551.996602,87.885464,2.956122,True
49,1773636756.373729,1773637226.526437,874,404,938.988259,91.491535,2.102970,True
50,1773636756.373759,1773636962.890163,378,58,411.695612,94.778753,5.559945,True
