RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773641600.506178,1773641613.671298,374,44,25.543733,0.674135,0.578363,True
1,1773641600.506355,1773641624.601691,396,109,47.382650,2.301020,0.417422,True
2,1773641600.506437,1773641615.247648,879,55,28.652696,1.476119,0.503270,True
3,1773641600.506499,1773641610.068971,91,16,18.273333,0.642669,1.175378,True
4,1773641600.506554,1773641609.909313,91,16,17.932364,2.268158,1.044280,True
5,1773641600.506608,1773641620.378623,381,84,38.848730,1.482850,0.450191,True
6,1773641600.506660,1773641646.423277,1313,142,90.916840,2.827482,0.624747,True
7,1773641600.506711,1773641628.988848,388,84,56.025415,1.599753,0.655731,True
8,1773641600.506761,1773641619.698205,242,14,37.421918,6.549355,2.374813,True
9,1773641600.506824,1773641641.517375,209,152,81.038023,1.527150,0.526562,True
10,1773641600.506874,1773641638.314122,394,124,74.609549,6.527046,0.553516,True
11,1773641600.506925,1773641625.423652,394,59,48.808057,6.516707,0.729161,True
12,1773641600.507001,1773641644.366045,1315,174,86.670460,6.324648,0.464427,True
13,1773641600.507053,1773641621.296609,389,90,40.509367,1.355523,0.439931,True
14,1773641600.507103,1773641644.219439,415,106,86.333335,2.002301,0.803153,True
15,1773641600.507154,1773641609.153853,120,12,16.180043,0.953167,1.384261,True
16,1773641600.507204,1773641640.860342,369,74,79.572066,9.484891,0.960098,True
17,1773641600.507253,1773641632.494041,206,162,62.817725,2.126187,0.376966,True
18,1773641600.507302,1773641648.499888,1353,142,94.809194,9.175485,0.607331,True
19,1773641600.507352,1773641649.669620,197,152,97.126056,9.452811,0.580618,True
20,1773641600.507401,1773641643.204015,181,154,84.174215,6.419401,0.508201,True
21,1773641600.507450,1773641627.990798,388,54,53.725305,6.227216,0.896190,True
22,1773641600.507504,1773641630.505614,203,147,58.734160,1.258962,0.393666,True
23,1773641600.507557,1773641648.259907,126,194,94.221481,6.387467,0.455099,True
24,1773641600.507608,1773641633.016662,389,87,63.712850,6.195141,0.668811,True
25,1773641600.507657,1773641609.881175,91,16,17.419888,1.265881,1.076934,True
26,1773641600.507710,1773641626.278563,181,123,50.192899,0.835070,0.404572,True
27,1773641600.507761,1773641649.680015,191,217,96.974637,6.163115,0.420424,True
28,1773641600.507811,1773641656.303571,27,183,110.199919,9.068444,0.555667,True
29,1773641600.507864,1773641658.452461,203,217,114.478429,9.346300,0.486723,True
30,1773641600.507913,1773641628.478964,398,81,54.509349,6.311995,0.602467,True
31,1773641600.507983,1773641644.894276,126,172,87.317626,1.459639,0.502093,True
32,1773641600.508034,1773641646.178280,209,181,89.863603,6.289927,0.464298,True
33,1773641600.508084,1773641636.163568,209,181,69.811833,1.953705,0.376990,True
34,1773641600.508133,1773641634.699861,28,175,66.863695,1.129414,0.377783,True
35,1773641600.508182,1773641633.127484,437,88,63.698101,6.076996,0.662312,True
36,1773641600.508244,1773641643.752582,181,104,84.926318,8.981482,0.737329,True
37,1773641600.508295,1773641629.181225,203,138,55.761087,1.136140,0.398722,True
38,1773641600.508343,1773641634.981423,200,177,67.340358,0.705808,0.378605,True
39,1773641600.508392,1773641624.142322,91,16,45.641609,6.406027,2.615705,True
40,1773641600.508440,1773641678.958000,1087,401,155.251159,6.395378,0.372139,True
41,1773641600.508492,1773641617.282510,382,64,31.878988,1.093762,0.488654,True
42,1773641600.508541,1773641623.044089,412,102,43.379894,1.857064,0.411117,True
43,1773641600.508588,1773641658.452588,194,217,114.175170,9.194359,0.486022,True
44,1773641600.508641,1773641659.074135,203,217,115.395904,8.895295,0.493058,True
45,1773641600.508699,1773641651.787857,200,217,100.800925,6.340646,0.437316,True
46,1773641600.508748,1773641634.517032,64,174,66.237710,0.999126,0.377102,True
47,1773641600.508795,1773641626.278824,458,123,49.738588,0.607889,0.402711,True
48,1773641600.508843,1773641631.607797,1352,158,60.376133,1.791480,0.373151,True
49,1773641600.508891,1773641682.936977,874,404,163.013923,8.841065,0.382563,True
50,1773641600.508960,1773641616.105175,378,58,29.326571,0.995132,0.497043,True
51,1773641600.509012,1773641610.068683,91,16,17.231705,0.564169,1.111169,True
52,1773641600.509060,1773641640.562406,389,89,78.197665,8.807643,0.788523,True
53,1773641600.509107,1773641654.970770,212,183,106.992231,9.084747,0.537953,True
54,1773641600.509155,1773641671.451960,1085,394,139.933214,5.870264,0.341127,True
55,1773641600.509201,1773641627.926711,407,131,52.862379,0.941397,0.399392,True
56,1773641600.509248,1773641632.149221,396,82,61.285110,6.221322,0.679800,True
57,1773641600.509294,1773641667.400192,1029,399,131.766387,0.880279,0.328860,True
58,1773641600.509342,1773641684.555678,962,399,166.056614,9.032106,0.394534,True
59,1773641600.509407,1773641649.680007,203,217,96.282223,5.816943,0.418821,True
60,1773641600.509459,1773641621.487238,898,94,39.877014,1.662641,0.410907,True
61,1773641600.509507,1773641646.458717,181,253,89.798767,0.457509,0.354529,True
62,1773641600.509554,1773641622.680104,320,18,42.219035,5.784880,2.143186,True
63,1773641600.509602,1773641685.424758,1119,414,167.688161,8.690136,0.384983,True
64,1773641600.509648,1773641643.536960,124,157,83.889146,5.944182,0.499647,True
65,1773641600.509694,1773641653.136320,1313,179,103.067126,8.956408,0.528712,True
66,1773641600.509745,1773641673.735421,1096,383,144.243016,8.657261,0.354937,True
67,1773641600.509793,1773641623.606308,400,102,43.963655,2.869950,0.406868,True
68,1773641600.509840,1773641691.121467,1057,424,178.972081,6.092075,0.408700,True
69,1773641600.509886,1773641643.600763,203,162,83.906111,6.080660,0.483388,True
