RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773655293.465544,1773655333.347524,374,44,79.354396,1.410945,1.812638,True
1,1773655293.465697,1773655321.937885,396,109,56.511035,0.991004,0.514074,True
2,1773655293.465755,1773655346.710495,879,55,106.034893,3.134744,1.905558,True
3,1773655293.465796,1773655319.108288,91,16,50.808020,1.080565,3.315164,True
4,1773655293.465837,1773655304.541558,91,16,21.652696,3.480280,1.211494,True
5,1773655293.465872,1773655357.002176,381,84,126.553078,2.743299,1.491684,True
6,1773655293.465905,1773655326.865561,1313,142,66.257534,4.680821,0.436714,True
7,1773655293.465953,1773655352.014637,388,84,116.532893,5.423358,1.338669,True
8,1773655293.465988,1773655301.150427,242,14,14.783494,0.643444,1.087696,True
9,1773655293.466021,1773655321.780258,209,152,56.023030,1.676384,0.359912,True
10,1773655293.466052,1773655317.632804,394,124,47.707377,1.386993,0.376588,True
11,1773655293.466083,1773655340.246602,394,59,92.914716,4.969705,1.516293,True
12,1773655293.466118,1773655396.253373,1315,174,204.907052,18.475495,1.077639,True
13,1773655293.466150,1773655341.015092,389,90,94.409994,2.969442,1.027422,True
14,1773655293.466180,1773655366.006611,415,106,144.370099,12.720043,1.253810,True
15,1773655293.466211,1773655317.297251,120,12,46.930663,4.424276,3.864217,True
16,1773655293.466251,1773655354.090353,369,74,120.495932,15.694426,1.435637,True
17,1773655293.466282,1773655388.068817,206,162,188.429763,18.394515,1.056120,True
18,1773655293.466312,1773655383.635185,1353,142,179.540954,12.649000,1.183631,True
19,1773655293.466345,1773655387.636780,197,152,187.522728,10.281318,1.173784,True
20,1773655293.466374,1773655389.133206,181,154,190.493447,18.389078,1.124865,True
21,1773655293.466403,1773655337.611030,388,54,87.428017,3.634800,1.581004,True
22,1773655293.466433,1773655364.472756,203,147,141.130135,3.015277,0.945992,True
23,1773655293.466462,1773655405.023362,126,194,222.210314,15.618577,1.070424,True
24,1773655293.466492,1773655317.987566,389,87,48.116692,2.705034,0.528043,True
25,1773655293.466521,1773655301.506477,91,16,15.133907,1.505796,0.908541,True
26,1773655293.466551,1773655367.750382,181,123,147.600573,5.776927,1.162489,True
27,1773655293.468035,1773655340.182769,191,217,92.443369,3.234276,0.413005,True
28,1773655293.468084,1773655401.577287,27,183,215.211973,12.542580,1.113568,True
29,1773655293.468117,1773655411.396252,203,217,234.829316,10.175055,1.040066,True
30,1773655293.468150,1773655316.188993,398,81,44.392426,4.424873,0.499594,True
31,1773655293.468179,1773655325.132295,126,172,62.256755,1.162277,0.357278,True
32,1773655293.468209,1773655326.939073,209,181,65.849057,1.430623,0.357880,True
33,1773655293.468240,1773655400.570047,209,181,213.090773,18.250466,1.082446,True
34,1773655293.468270,1773655375.601089,28,175,163.130109,2.211660,0.924819,True
35,1773655293.468300,1773655311.276309,437,88,34.458882,1.119304,0.383214,True
36,1773655293.468333,1773655349.457372,181,104,110.799946,2.722188,1.049299,True
37,1773655293.468362,1773655380.234410,203,138,172.333455,14.693991,1.150653,True
38,1773655293.468392,1773655326.202099,200,177,64.246215,1.366377,0.357272,True
39,1773655293.468421,1773655321.933967,91,16,55.687980,2.359466,3.555234,True
40,1773655293.468450,1773655501.360157,1087,401,414.520091,10.231951,1.010720,True
41,1773655293.468479,1773655312.807458,382,64,37.392107,2.522990,0.553478,True
42,1773655293.468508,1773655346.141024,412,102,104.038502,4.134465,0.989149,True
43,1773655293.468538,1773655390.305967,194,217,192.347483,2.790797,0.877577,True
44,1773655293.468570,1773655417.034162,203,217,245.782647,12.398780,1.080481,True
45,1773655293.468600,1773655410.848140,200,217,233.389324,5.018051,1.057274,True
46,1773655293.468628,1773655325.761340,64,174,63.193969,1.001896,0.359492,True
47,1773655293.468657,1773655317.079817,458,123,45.810613,1.270680,0.365081,True
48,1773655293.468686,1773655385.476683,1352,158,182.583513,18.063464,1.047898,True
49,1773655293.468715,1773655356.398372,874,404,124.406842,0.971249,0.306292,True
50,1773655293.468747,1773655330.966737,378,58,73.522811,2.041874,1.254052,True
51,1773655293.468780,1773655304.541710,91,16,20.650147,2.978980,1.178078,True
52,1773655293.468810,1773655311.461765,389,89,34.468686,1.217894,0.377850,True
