RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773650530.437799,1773650572.246037,374,44,83.265439,1.109851,1.910595,True
1,1773650530.437966,1773650598.526142,396,109,135.803859,4.888390,1.212180,True
2,1773650530.438034,1773650576.479098,879,55,91.689417,4.125225,1.621559,True
3,1773650530.438100,1773650563.150831,91,16,65.010468,5.596728,3.960916,True
4,1773650530.438141,1773650562.775107,91,16,64.237405,3.234174,4.066882,True
5,1773650530.438184,1773650585.683292,381,84,110.032137,4.845456,1.267309,True
6,1773650530.438235,1773650607.176708,1313,142,152.998239,4.082230,1.056142,True
7,1773650530.438277,1773650587.599287,388,84,113.821861,5.553663,1.304436,True
8,1773650530.438317,1773650659.680557,242,14,257.962221,2.965602,19.615125,True
9,1773650530.438363,1773650613.952185,209,152,166.484716,3.180753,1.081483,True
10,1773650530.438406,1773650603.881987,394,124,146.323004,4.791746,1.150661,True
11,1773650530.438449,1773650690.168658,394,59,318.873481,13.405231,5.266694,True
12,1773650530.438487,1773650618.978775,1315,174,176.473208,4.018176,0.996850,True
13,1773650530.438530,1773650729.557773,389,90,397.611370,9.215600,4.363997,True
14,1773650530.438568,1773650597.082860,415,106,132.638050,5.478245,1.211046,True
15,1773650530.438614,1773650658.102593,120,12,254.656744,13.361937,21.935892,True
16,1773650530.438652,1773650582.989824,369,74,104.410601,3.105898,1.387736,True
17,1773650530.438698,1773650783.581739,206,162,505.572791,9.172764,3.083230,True
18,1773650530.438733,1773650769.750099,1353,142,477.889058,3.117500,3.367174,True
19,1773650530.438777,1773650774.437289,197,152,487.240688,9.415244,3.164407,True
20,1773650530.438815,1773650779.223634,181,154,496.791824,13.308670,3.160021,True
21,1773650530.438865,1773650575.183379,388,54,88.688515,4.673506,1.585189,True
22,1773650530.438899,1773650775.545126,203,147,489.388947,9.118814,3.289521,True
23,1773650530.438949,1773650626.536573,126,194,191.353595,3.900168,0.971261,True
24,1773650530.438991,1773650589.653510,389,87,117.565211,5.371507,1.304578,True
25,1773650530.439022,1773650656.054588,91,16,250.345934,11.126354,15.947972,True
26,1773650530.439053,1773650758.579433,181,123,455.373673,7.736256,3.669159,True
27,1773650530.439086,1773650635.895184,191,217,209.983987,2.987948,0.958315,True
28,1773650530.439130,1773650793.402834,27,183,524.977528,13.223510,2.811835,True
29,1773650530.439281,1773650635.008907,203,217,208.170716,4.588919,0.942508,True
30,1773650530.439336,1773650712.174664,398,81,362.477497,9.297795,4.414746,True
31,1773650530.439386,1773650783.894181,126,172,505.895852,11.063026,2.893759,True
32,1773650530.439427,1773650621.766603,209,181,181.621022,3.804019,0.987872,True
33,1773650530.439467,1773650621.432580,209,181,180.931938,5.275524,0.975869,True
34,1773650530.439514,1773650620.571968,28,175,179.189973,2.913168,1.013085,True
35,1773650530.439548,1773650587.778288,437,88,113.579471,4.523307,1.253519,True
36,1773650530.439580,1773650596.232734,181,104,130.465699,3.760681,1.230146,True
37,1773650530.439637,1773650607.058142,203,138,152.095826,5.232157,1.071998,True
38,1773650530.439679,1773650621.250257,200,177,180.459718,2.870313,1.009031,True
39,1773650530.439726,1773650654.115180,91,16,246.165773,7.596780,15.904600,True
40,1773650530.439771,1773650706.925156,1087,401,351.764995,4.469776,0.868238,True
41,1773650530.439809,1773650696.459397,382,64,330.812924,9.178926,5.105302,True
42,1773650530.439855,1773650737.556505,412,102,412.978957,10.943227,3.980552,True
43,1773650530.439893,1773650812.856790,194,217,563.560493,8.892163,2.567909,True
44,1773650530.439959,1773650633.426317,203,217,204.679346,3.673736,0.930582,True
45,1773650530.440005,1773650633.304580,200,217,204.414398,5.145126,0.922543,True
46,1773650530.440053,1773650620.335893,64,174,178.456557,2.783218,1.015453,True
47,1773650530.440096,1773650603.633444,458,123,145.030455,4.394324,1.152755,True
48,1773650530.440140,1773650781.247018,1352,158,500.237166,7.499537,3.138456,True
49,1773650530.440183,1773650992.787752,874,404,923.292920,9.092342,2.268488,True
50,1773650530.440222,1773650578.307787,378,58,94.315804,3.609914,1.591331,True
51,1773650530.440267,1773650563.150820,91,16,63.979762,5.081472,3.926553,True
52,1773650530.440310,1773650590.991180,389,89,119.640717,2.719661,1.328648,True
53,1773650530.440357,1773650624.261093,212,183,186.157764,4.329631,0.999056,True
54,1773650530.440399,1773650688.030727,1085,394,313.675820,3.567634,0.789079,True
55,1773650530.440443,1773650604.905716,407,131,147.405355,5.038706,1.095128,True
56,1773650530.440490,1773650586.048776,396,82,109.671191,2.676950,1.320917,True
57,1773650530.440528,1773650703.299829,1029,399,344.151540,4.287924,0.853929,True
58,1773650530.440575,1773650702.402457,962,399,342.333889,3.524697,0.851279,True
59,1773650530.440613,1773650811.784788,203,217,561.073931,10.761468,2.547743,True
60,1773650530.440658,1773650592.823562,898,94,123.130791,4.984322,1.270392,True
61,1773650530.440695,1773650836.627317,181,253,610.717174,7.360181,2.394274,True
62,1773650530.440740,1773650659.619972,320,18,256.680562,8.953658,14.572171,True
63,1773650530.440776,1773650961.537289,1119,414,860.496961,12.847472,2.052420,True
64,1773650530.440821,1773650615.274207,124,157,167.949034,2.590505,1.059991,True
65,1773650530.440855,1773650621.819776,1313,179,181.018175,4.201329,0.993353,True
66,1773650530.440892,1773650889.537815,1096,383,716.431649,10.685899,1.847502,True
67,1773650530.440958,1773650743.402334,400,102,424.137198,7.295591,4.127145,True
68,1773650530.441003,1773651059.074753,1057,424,1055.461691,8.888600,2.474168,True
69,1773650530.441035,1773650615.333333,203,162,167.958989,3.405683,1.022070,True
70,1773650530.441065,1773650632.492481,1314,216,202.254158,4.876884,0.918034,True
71,1773650530.441094,1773650593.405243,2,93,124.058612,2.514993,1.321126,True
72,1773650530.441129,1773650992.918529,1065,409,923.060889,10.620367,2.236374,True
73,1773650530.441159,1773650578.366204,372,60,93.934658,4.113447,1.522393,True
74,1773650530.441191,1773650688.030556,1104,394,313.241995,6.511799,0.780484,True
75,1773650530.441225,1773650717.540295,1075,415,372.241347,4.822412,0.887485,True
76,1773650530.441255,1773650676.032025,1225,372,289.204254,2.460633,0.772894,True
