RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773661364.308721,1773661373.045463,374,44,17.471847,3.527945,0.324277,True
1,1773661385.879699,1773661407.645543,396,109,43.525870,2.896381,0.376199,True
2,1773661387.015581,1773661395.040482,879,55,16.028196,1.816718,0.263176,True
3,1773661387.859136,1773661391.898236,91,16,8.066501,1.098603,0.464527,True
4,1773661393.769758,1773661395.859560,91,16,4.174103,0.409028,0.251005,True
5,1773661395.864786,1773661412.168210,381,84,32.597342,0.768084,0.383485,True
6,1773661403.034492,1773661430.408096,1313,142,54.743621,1.894734,0.374815,True
7,1773661405.563973,1773661421.073139,388,84,31.006643,0.681477,0.365363,True
8,1773661405.991892,1773661409.328007,242,14,6.662590,0.790565,0.451694,True
9,1773661406.631886,1773661436.237560,209,152,59.197751,0.277339,0.390201,True
10,1773661407.808323,1773661430.354107,394,124,45.077783,0.764107,0.360274,True
11,1773661411.444484,1773661420.143430,394,59,17.396667,0.877397,0.284815,True
12,1773661412.219929,1773661435.711327,1315,174,46.977276,2.798163,0.255371,True
13,1773661417.037328,1773661433.511136,389,90,32.925713,0.658948,0.362548,True
14,1773661420.096795,1773661439.418597,415,106,38.635487,0.757302,0.360745,True
15,1773661421.461206,1773661423.592413,120,12,4.256959,0.364202,0.353887,True
16,1773661423.489910,1773661437.119175,369,74,27.252820,0.690434,0.363868,True
17,1773661428.739153,1773661455.671118,206,162,53.852398,0.429000,0.331822,True
18,1773661429.431923,1773661447.305129,1353,142,35.738825,2.859629,0.233186,True
19,1773661429.556080,1773661454.599664,197,152,50.083664,0.470002,0.328567,True
20,1773661434.604423,1773661459.851242,181,154,50.487980,0.356314,0.327658,True
21,1773661434.795352,1773661444.090532,388,54,18.576735,0.858486,0.334307,True
22,1773661453.271145,1773661477.797823,203,147,49.047836,0.431856,0.332986,True
23,1773661455.109849,1773661482.104894,126,194,53.968372,0.354966,0.277790,True
24,1773661456.626315,1773661471.070439,389,87,28.876621,0.661357,0.328084,True
25,1773661463.876669,1773661466.498122,91,16,5.235219,0.318730,0.327766,True
26,1773661466.701156,1773661490.809460,181,123,48.199142,0.271135,0.392853,True
27,1773661467.598333,1773661509.687186,191,217,84.169924,0.429599,0.387687,True
28,1773661469.016569,1773661503.307730,27,183,68.560550,0.467783,0.374136,True
29,1773661471.157638,1773661512.715296,203,217,83.105762,0.430747,0.382755,True
30,1773661471.182669,1773661485.364577,398,81,28.362609,0.889158,0.343418,True
31,1773661477.871147,1773661511.288769,126,172,66.823702,0.390513,0.388498,True
32,1773661479.281536,1773661513.916329,209,181,69.257037,0.482126,0.382083,True
33,1773661481.163981,1773661505.956105,209,181,49.564584,0.705411,0.271440,True
34,1773661485.037888,1773661519.215336,28,175,68.353395,0.217641,0.391585,True
35,1773661488.148601,1773661505.820556,437,88,35.338128,0.764094,0.397403,True
36,1773661488.782912,1773661510.352224,181,104,43.137029,0.488082,0.414067,True
37,1773661489.713461,1773661516.868034,203,138,54.287510,0.430291,0.393118,True
38,1773661490.423729,1773661524.891627,200,177,68.918003,0.457204,0.388982,True
39,1773661490.927786,1773661493.717633,91,16,5.567524,0.321826,0.349713,True
40,1773661493.892533,1773661539.413617,1087,401,91.024325,2.259395,0.221912,True
41,1773661495.580204,1773661509.909063,382,64,28.656062,0.695591,0.443817,True
42,1773661496.342360,1773661516.876208,412,102,41.056041,0.660056,0.399960,True
43,1773661496.612374,1773661544.395377,194,217,95.558122,0.871336,0.438365,True
44,1773661500.958489,1773661549.604203,203,217,97.285662,0.484346,0.448154,True
45,1773661502.069506,1773661550.213730,200,217,96.273077,0.508378,0.443355,True
46,1773661504.759207,1773661544.171997,64,174,78.824116,0.283526,0.453992,True
47,1773661506.073404,1773661530.222847,458,123,48.297671,0.429602,0.392361,True
48,1773661507.199503,1773661543.781139,1352,158,73.157607,1.982844,0.453342,True
49,1773661507.346964,1773661554.342586,874,404,93.989672,1.926563,0.228444,True
50,1773661508.130233,1773661515.650412,378,58,15.039044,2.028514,0.228255,True
51,1773661511.008317,1773661512.707565,91,16,3.384323,0.258687,0.208376,True
52,1773661515.214087,1773661536.928740,389,89,43.415680,0.781371,0.484481,True
53,1773661520.652585,1773661541.228769,212,183,41.142545,0.512280,0.223243,True
54,1773661522.409589,1773661574.701403,1085,394,104.568208,2.251463,0.260348,True
55,1773661523.108258,1773661555.844145,407,131,65.460054,0.630602,0.498688,True
56,1773661523.891889,1773661545.285092,396,82,42.778676,0.722173,0.519216,True
57,1773661526.249245,1773661658.002572,1029,399,263.492127,1.498873,0.658275,True
58,1773661530.486683,1773661661.205188,962,399,261.435324,1.487676,0.653135,True
59,1773661531.374788,1773661596.317492,203,217,129.863661,2.033086,0.591808,True
60,1773661531.761958,1773661555.070544,898,94,46.609617,1.525431,0.484776,True
61,1773661531.941171,1773661567.928117,181,253,71.952046,0.482745,0.283608,True
62,1773661532.535496,1773661538.048099,320,18,11.021657,2.603224,0.495202,True
63,1773661533.050584,1773661664.972454,1119,414,263.821735,1.910323,0.634168,True
64,1773661533.431498,1773661570.157182,124,157,73.433725,1.806685,0.459148,True
65,1773661533.969392,1773661569.710926,1313,179,71.473621,1.009542,0.395866,True
66,1773661538.038752,1773661662.077224,1096,383,248.068534,1.635581,0.645112,True
67,1773661540.777466,1773661563.536225,400,102,45.503896,0.749321,0.443115,True
68,1773661544.999955,1773661703.404359,1057,424,316.796640,1.595776,0.745156,True
