RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773658743.555403,1773658756.622732,374,44,26.133380,3.137397,0.534790,True
1,1773658765.125439,1773658791.521429,396,109,52.770416,0.540488,0.483610,True
2,1773658766.261878,1773658785.738888,879,55,38.938540,3.293223,0.660098,True
3,1773658767.105161,1773658774.358827,91,16,14.493601,2.841579,0.776801,True
4,1773658773.016722,1773658778.273397,91,16,10.511756,0.434654,0.671807,True
5,1773658775.110228,1773658800.119612,381,84,50.005286,1.050932,0.589811,True
6,1773658782.280300,1773658851.765023,1313,142,138.968060,4.806455,0.951501,True
7,1773658784.809297,1773658811.322432,388,84,53.004878,0.819217,0.628743,True
8,1773658785.238472,1773658789.768150,242,14,9.041829,0.576937,0.651145,True
9,1773658785.877401,1773658831.314502,209,152,90.868833,0.490812,0.598530,True
10,1773658787.053754,1773658825.389967,394,124,76.654845,0.597244,0.618354,True
11,1773658790.689728,1773658818.346215,394,59,55.301235,1.318714,0.930733,True
12,1773658791.465403,1773658842.896312,1315,174,102.846202,1.712891,0.584586,True
13,1773658796.283419,1773658824.609489,389,90,56.639557,0.637629,0.629235,True
14,1773658799.342304,1773658830.669767,415,106,62.647397,0.590128,0.591022,True
15,1773658800.707333,1773658806.332716,120,12,11.235241,0.636051,0.963563,True
16,1773658802.735547,1773658825.932481,369,74,46.388431,0.742872,0.625282,True
17,1773658807.985495,1773658854.385150,206,162,92.787792,0.394819,0.573869,True
18,1773658808.677699,1773658852.600464,1353,142,87.834018,2.847133,0.602744,True
19,1773658808.802172,1773658855.841171,197,152,94.070920,3.499051,0.599814,True
20,1773658813.850459,1773658857.898220,181,154,88.090004,0.519874,0.572354,True
21,1773658814.041339,1773658829.648822,388,54,31.199486,0.641541,0.576565,True
22,1773658832.517696,1773658876.104419,203,147,87.151802,0.464045,0.593752,True
23,1773658834.355697,1773658925.618403,126,194,182.507910,0.733309,0.941837,True
24,1773658835.872051,1773658861.842098,389,87,51.924417,0.627370,0.596477,True
25,1773658843.123219,1773658850.656171,91,16,15.064622,0.744401,0.954681,True
26,1773658845.947589,1773658884.263699,181,123,76.622769,0.469889,0.624204,True
27,1773658846.844405,1773658924.426149,191,217,155.153939,0.533062,0.715837,True
28,1773658848.262188,1773658910.412550,27,183,124.289267,0.366350,0.680895,True
29,1773658850.402788,1773658959.675027,203,217,218.538846,0.839578,1.007867,True
30,1773658850.428145,1773658875.556625,398,81,50.239603,0.646366,0.619915,True
31,1773658857.117003,1773658920.065160,126,172,125.890941,0.596740,0.732715,True
32,1773658858.526579,1773658926.149286,209,181,135.235916,0.641427,0.747747,True
33,1773658860.410080,1773658927.455896,209,181,134.090391,0.406452,0.742689,True
34,1773658864.284126,1773658931.746490,28,175,134.919217,0.379931,0.773214,True
35,1773658867.394472,1773658897.822380,437,88,60.844176,0.855635,0.689523,True
36,1773658868.027225,1773658904.993823,181,104,73.925699,0.849103,0.709482,True
37,1773658868.960849,1773658911.839699,203,138,85.756390,0.546399,0.621971,True
38,1773658869.669884,1773658924.523783,200,177,109.693738,0.691812,0.619329,True
39,1773658870.174305,1773658875.129364,91,16,9.900578,0.369752,0.635388,True
40,1773658873.139027,1773659140.580338,1087,401,534.881319,2.803982,1.330193,True
