RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773660135.288506,1773660144.854392,374,44,19.129918,3.591614,0.361356,True
1,1773660156.858971,1773660175.642456,396,109,37.551398,2.841493,0.321388,True
2,1773660157.995042,1773660165.758678,879,55,15.515393,1.822356,0.253575,True
3,1773660158.838832,1773660161.479328,91,16,5.279617,1.254541,0.268338,True
4,1773660164.749148,1773660167.271139,91,16,5.028393,0.329035,0.313291,True
5,1773660166.843742,1773660180.211050,381,84,26.722815,0.856561,0.311642,True
6,1773660174.013450,1773660193.049234,1313,142,38.064057,2.763225,0.250361,True
7,1773660176.543197,1773660193.803694,388,84,34.507431,1.107927,0.402404,True
8,1773660176.971774,1773660179.732908,242,14,5.512789,0.436730,0.390466,True
9,1773660177.610811,1773660195.439301,209,152,35.648023,0.497763,0.232783,True
10,1773660178.786845,1773660200.205579,394,124,42.822030,0.740603,0.342125,True
11,1773660182.423144,1773660192.972154,394,59,21.088191,0.681512,0.351839,True
12,1773660183.199002,1773660204.138115,1315,174,41.872385,2.727360,0.226272,True
13,1773660188.016677,1773660205.301506,389,90,34.548062,0.696079,0.380359,True
14,1773660191.075469,1773660210.752180,415,106,39.341868,0.663901,0.368362,True
15,1773660192.440807,1773660194.491977,120,12,4.084118,0.308852,0.343206,True
16,1773660194.469389,1773660208.455471,369,74,27.954487,0.601831,0.374694,True
17,1773660199.718187,1773660216.572330,206,162,33.686625,0.516252,0.206027,True
18,1773660200.411508,1773660223.699547,1353,142,46.568017,1.950490,0.316436,True
19,1773660200.535066,1773660215.992506,197,152,30.907300,0.455500,0.201668,True
20,1773660205.583966,1773660229.161777,181,154,47.144032,0.451166,0.305182,True
21,1773660205.776366,1773660211.669550,388,54,11.784938,0.868289,0.205974,True
22,1773660224.250525,1773660248.153558,203,147,47.792338,0.486850,0.324010,True
23,1773660226.088808,1773660257.988130,126,194,63.797071,0.371021,0.328632,True
24,1773660227.606701,1773660239.294110,389,87,23.373415,0.857919,0.261808,True
25,1773660234.855854,1773660237.499613,91,16,5.275900,0.346053,0.328656,True
26,1773660237.680667,1773660258.576080,181,123,41.769108,0.407418,0.339030,True
27,1773660238.578415,1773660262.870019,191,217,48.581892,0.483772,0.222676,True
28,1773660239.995699,1773660273.079801,27,183,66.166713,0.234857,0.362263,True
29,1773660242.136736,1773660284.386411,203,217,84.483766,0.276927,0.389846,True
30,1773660242.161229,1773660256.021148,398,81,27.710481,0.655248,0.338190,True
31,1773660248.850700,1773660283.347035,126,172,68.974430,0.392074,0.401066,True
32,1773660250.259869,1773660270.795756,209,181,41.058767,0.565878,0.224960,True
33,1773660252.143106,1773660288.148709,209,181,71.995468,0.423995,0.397619,True
34,1773660256.017158,1773660291.162341,28,175,70.286682,0.355144,0.401905,True
35,1773660259.128325,1773660276.244445,437,88,34.213744,0.767392,0.384441,True
36,1773660259.760685,1773660280.250560,181,104,40.972133,0.449980,0.393419,True
37,1773660260.692764,1773660288.974192,203,138,56.554098,0.481894,0.409286,True
38,1773660261.403168,1773660281.978445,200,177,41.138873,0.461511,0.231121,True
39,1773660261.907426,1773660264.617414,91,16,5.412366,0.277660,0.342314,True
40,1773660264.872400,1773660312.959851,1087,401,96.173242,2.340065,0.234583,True
41,1773660266.558203,1773660282.186399,382,64,31.240733,0.745979,0.484044,True
42,1773660267.321756,1773660289.029295,412,102,43.397449,0.712745,0.422621,True
43,1773660267.592246,1773660313.944446,194,217,92.685301,0.918676,0.424845,True
44,1773660271.937405,1773660319.338253,203,217,94.795933,0.485065,0.436624,True
45,1773660273.050187,1773660320.003881,200,217,93.905849,0.392173,0.432934,True
46,1773660275.736760,1773660314.165773,64,174,76.836222,0.331682,0.442223,True
47,1773660277.052335,1773660304.894189,458,123,55.661194,0.823496,0.449489,True
48,1773660278.179312,1773660313.108536,1352,158,69.856841,2.009385,0.432149,True
49,1773660278.324720,1773660399.622027,874,404,242.592476,2.696757,0.595275,True
50,1773660279.109149,1773660285.308303,378,58,12.397012,0.868718,0.202251,True
51,1773660281.987779,1773660285.243114,91,16,6.501248,0.339562,0.410779,True
52,1773660286.193987,1773660305.117027,389,89,37.838311,0.732904,0.421652,True
53,1773660291.632357,1773660338.584989,212,183,93.891474,0.395421,0.513715,True
54,1773660293.388541,1773660342.565396,1085,394,98.347809,2.319739,0.244346,True
55,1773660294.086969,1773660322.884543,407,131,57.577515,0.637768,0.437998,True
56,1773660294.870968,1773660313.499744,396,82,37.247987,0.676916,0.451495,True
57,1773660297.228468,1773660381.955223,1029,399,169.443934,0.815139,0.423690,True
58,1773660301.465044,1773660435.798855,962,399,268.649776,1.460644,0.671329,True
59,1773660302.353882,1773660364.229237,203,217,123.732951,2.082976,0.563194,True
60,1773660302.741984,1773660324.689826,898,94,43.894264,1.575403,0.455042,True
61,1773660302.919485,1773660378.519775,181,253,151.182330,0.371637,0.598455,True
62,1773660303.514662,1773660308.884190,320,18,10.737633,0.800701,0.584525,True
63,1773660304.029242,1773660393.877173,1119,414,179.682475,1.000480,0.432644,True
64,1773660304.411180,1773660325.132618,124,157,41.437611,0.396640,0.263083,True
65,1773660304.949124,1773660327.474521,1313,179,45.035043,2.734490,0.237644,True
66,1773660309.018407,1773660447.682470,1096,383,277.310254,1.560221,0.721859,True
67,1773660311.756857,1773660340.104851,400,102,56.681271,0.726951,0.554003,True
68,1773660315.978635,1773660478.051300,1057,424,324.132728,1.588126,0.762517,True
69,1773660317.888070,1773660369.624207,203,162,103.470727,0.502503,0.639554,True
70,1773660319.610453,1773660346.042854,1314,216,52.863259,2.673976,0.233439,True
71,1773660320.909896,1773660346.179540,2,93,50.533540,0.249721,0.546563,True
72,1773660322.665890,1773660482.108151,1065,409,318.874069,1.575181,0.777693,True
73,1773660326.060965,1773660344.940443,372,60,37.743234,0.656272,0.628593,True
74,1773660328.031471,1773660483.305800,1104,394,310.540654,1.677733,0.785911,True
75,1773660329.352343,1773660488.462648,1075,415,318.198576,1.866392,0.764087,True
76,1773660331.388824,1773660478.881200,1225,372,294.966786,1.832009,0.790121,True
77,1773660331.906450,1773660492.668036,1118,426,321.511191,2.975622,0.749495,True
78,1773660333.474911,1773660346.566202,380,102,26.172894,0.865418,0.250569,True
79,1773660333.512055,1773660482.483153,1133,385,297.924104,3.033902,0.767943,True
80,1773660335.495182,1773660365.577074,42,167,60.154062,0.194798,0.361200,True
