RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773665084.450429,1773665089.241886,374,44,9.580935,0.648374,0.207734,True
1,1773665091.633868,1773665101.665155,396,109,20.050622,1.597930,0.170858,True
2,1773665092.011870,1773665097.258458,879,55,10.483330,2.369062,0.150264,True
3,1773665092.293045,1773665094.410129,91,16,4.216498,0.645594,0.238060,True
4,1773665094.263797,1773665095.539785,91,16,2.530164,0.176822,0.156889,True
5,1773665094.962195,1773665099.640190,381,84,9.354436,0.402188,0.107858,True
6,1773665097.352175,1773665111.484992,1313,142,28.254117,0.459423,0.197125,True
7,1773665098.195273,1773665102.491447,388,84,8.584629,0.404607,0.098554,True
8,1773665098.337766,1773665099.853688,242,14,3.020186,0.260091,0.212315,True
9,1773665098.551151,1773665105.909559,209,152,14.701162,0.270763,0.095566,True
10,1773665098.942674,1773665107.928319,394,124,17.955738,0.314711,0.143423,True
11,1773665100.154814,1773665106.519141,394,59,12.714934,0.173841,0.216226,True
12,1773665100.413075,1773665117.669778,1315,174,34.497944,0.509751,0.196464,True
13,1773665102.019298,1773665110.326183,389,90,16.605705,1.617158,0.168411,True
14,1773665103.039129,1773665113.375437,415,106,20.671382,0.232340,0.194658,True
15,1773665103.494345,1773665104.760305,120,12,2.524335,0.175747,0.213508,True
16,1773665104.170087,1773665107.854785,369,74,7.358580,0.504938,0.093886,True
17,1773665105.920386,1773665121.954439,206,162,32.045414,0.195498,0.197826,True
18,1773665106.151330,1773665118.335209,1353,142,24.350765,2.179358,0.157244,True
19,1773665106.192333,1773665117.187387,197,152,21.972509,0.253410,0.143835,True
20,1773665107.875580,1773665119.109624,181,154,22.454459,0.223698,0.145299,True
21,1773665107.939043,1773665112.378377,388,54,8.862832,2.003033,0.129430,True
22,1773665114.097563,1773665128.596232,203,147,28.976084,0.184347,0.197204,True
23,1773665114.710740,1773665130.398441,126,194,31.374041,0.178048,0.161637,True
24,1773665115.215582,1773665123.789658,389,87,17.136512,0.165675,0.197335,True
25,1773665117.633054,1773665118.388186,91,16,1.508939,0.107196,0.093450,True
26,1773665118.574631,1773665124.077718,181,123,11.004668,0.226905,0.088342,True
27,1773665118.873872,1773665140.586082,191,217,43.422992,0.228543,0.199974,True
