RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
114,1774004489.315136,1774004542.415422,197,183,53.094372,0.862007,0.286991,True,0.005914,1
369,1774004548.167307,1774004904.158171,1199,394,170.434569,90.382928,0.203694,True,185.556295,2
115,1774004489.898789,1774004551.375507,197,217,61.475935,0.333418,0.283067,True,0.000783,1
370,1774004548.521907,1774004829.231585,91,16,95.058802,73.281940,1.451791,True,185.650876,2
711,1774004619.689849,1774005157.552116,181,112,30.012237,0.574737,0.265203,True,507.850030,1
116,1774004490.147943,1774004733.721583,1378,407,243.567502,151.986077,0.225570,True,0.006139,2
371,1774004548.641962,1774004917.173147,1013,422,182.989503,85.561227,0.231421,True,185.541682,2
117,1774004490.421970,1774004743.085449,1214,421,252.656320,154.143428,0.234555,True,0.007158,2
372,1774004548.669605,1774004902.340250,990,392,167.190654,75.694864,0.234005,True,186.479992,2
118,1774004490.613549,1774004892.924657,1016,375,402.299676,325.732314,0.204726,True,0.011432,3
373,1774004549.019820,1774004862.215497,1314,200,127.055517,78.933520,0.241819,True,186.140159,2
714,1774004620.910673,1774005153.517554,395,91,24.420642,0.243761,0.268632,True,508.186239,1
119,1774004490.721173,1774004727.633152,1186,398,236.904904,140.779134,0.242130,True,0.007075,2
374,1774004549.078859,1774005127.533049,1069,499,391.316857,254.385252,0.274963,True,187.137333,3
715,1774004621.404029,1774005135.661427,324,18,6.472003,2.200688,0.251254,True,507.785394,1
120,1774004490.823295,1774004921.324751,1100,426,430.494161,318.861923,0.262664,True,0.007295,3
375,1774004549.097085,1774005133.036974,1017,519,396.748308,265.525299,0.253326,True,187.191581,3
121,1774004490.984162,1774004551.541980,218,217,60.548938,0.425842,0.278348,True,0.008879,1
376,1774004549.696327,1774004859.417116,200,183,123.118465,73.393290,0.273215,True,186.602324,2
717,1774004621.459037,1774005157.812854,397,103,27.552409,2.936402,0.241333,True,508.801408,1
122,1774004491.398474,1774004915.727536,1232,419,424.328393,330.541809,0.224370,True,0.000669,3
377,1774004549.887165,1774004863.898885,124,204,127.589853,86.625985,0.201792,True,186.421868,2
718,1774004621.523127,1774005157.464806,452,101,26.216009,1.947751,0.242683,True,509.725670,1
123,1774004491.683596,1774004914.345205,975,416,422.658796,318.005532,0.252177,True,0.002814,3
378,1774004550.035981,1774004902.831659,895,393,166.511703,88.857999,0.198096,True,186.283976,2
719,1774004621.644246,1774005156.090097,391,93,24.513409,0.225130,0.264003,True,509.932442,1
124,1774004491.914890,1774004549.265998,209,217,57.345303,0.167612,0.264712,True,0.005806,1
379,1774004550.646107,1774004847.061986,399,112,108.861013,86.977037,0.197153,True,187.554866,2
125,1774004492.249007,1774004523.267933,181,85,31.011839,0.199222,0.366817,True,0.007087,1
380,1774004550.743834,1774004843.114773,410,95,104.902998,85.894630,0.202217,True,187.467940,2
126,1774004492.275745,1774004899.289807,1029,388,407.012894,314.091582,0.240107,True,0.001168,3
381,1774004551.313581,1774004899.289622,1107,388,160.699421,85.516814,0.194270,True,187.276621,2
722,1774004622.047929,1774005158.965853,398,99,26.005141,0.539276,0.259856,True,510.912784,1
127,1774004492.348709,1774004915.803780,888,418,423.444282,317.332467,0.254465,True,0.010790,3
382,1774004551.740416,1774004865.814841,212,217,126.978788,83.105846,0.203115,True,187.095636,2
128,1774004492.413059,1774004892.924393,1113,375,400.501827,332.755872,0.181139,True,0.009507,3
383,1774004552.049650,1774004897.180018,1007,385,158.261649,77.438954,0.210476,True,186.868719,2
129,1774004492.430917,1774005129.267027,1035,520,636.834182,503.870816,0.256191,True,0.001928,4
384,1774004552.799215,1774005162.117810,1052,652,422.556935,265.464094,0.241310,True,186.761661,3
725,1774004622.238209,1774005156.090311,385,84,22.097615,0.641242,0.258511,True,511.754486,1
130,1774004492.431042,1774004742.670621,1009,425,250.226770,134.286411,0.273444,True,0.012809,2
385,1774004552.804503,1774004899.367678,1143,388,159.796387,83.363900,0.197500,True,186.766788,2
131,1774004492.520604,1774005109.547237,869,450,617.020514,494.800891,0.272204,True,0.006119,4
386,1774004553.048835,1774004829.473838,307,18,89.830529,77.847380,0.704891,True,186.594473,2
132,1774004492.566903,1774004925.583166,1183,431,433.015603,314.887287,0.274717,True,0.000660,3
387,1774004553.306129,1774004842.693254,392,91,102.136528,73.536614,0.317777,True,187.250597,2
133,1774004492.916506,1774004722.010523,972,395,229.086111,136.234814,0.235663,True,0.007906,2
388,1774004553.509680,1774004859.745764,129,185,119.107262,66.816397,0.284189,True,187.128823,2
134,1774004493.174826,1774004723.607868,1097,396,230.429636,143.119986,0.221037,True,0.003406,2
389,1774004553.541441,1774004855.111581,129,159,113.860673,81.684290,0.203648,True,187.709467,2
135,1774004493.319317,1774004544.890178,206,183,51.570090,2.199737,0.271266,True,0.000771,1
390,1774004553.813798,1774004925.486485,936,431,183.826893,78.085220,0.245911,True,187.845794,2
136,1774004493.342961,1774004547.598470,181,208,54.246484,1.406580,0.255265,True,0.009026,1
391,1774004553.984816,1774004864.064155,128,205,122.393801,83.507780,0.190618,True,187.685539,2
137,1774004493.346227,1774004548.532897,1316,200,55.170016,2.156886,0.266398,True,0.016655,1
392,1774004554.230526,1774004899.289447,1025,388,156.612519,63.691644,0.240106,True,188.446402,2
138,1774004493.430262,1774005112.077145,908,456,618.642019,511.589889,0.235279,True,0.004863,4
393,1774004554.755726,1774004865.815265,203,217,122.718346,63.271758,0.275216,True,188.341193,2
139,1774004493.582790,1774004744.174441,1094,422,250.586569,146.205018,0.247937,True,0.005081,2
394,1774004555.167823,1774004843.701535,431,97,100.594437,66.584776,0.354267,True,187.939275,2
140,1774004493.597021,1774004918.024986,996,422,424.425826,327.272349,0.230768,True,0.002138,3
395,1774004555.314176,1774004905.265733,1000,396,162.096306,66.522637,0.241959,True,187.855251,2
