RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
533,1774005455.938867,1774005631.325476,163,157,54.169428,5.989652,0.308845,True,121.217181,1
108,1774005358.191222,1774005456.164391,1065,395,97.968367,1.463294,0.244937,True,0.004802,1
703,1774005488.945555,1774005792.354734,1050,374,130.290154,26.419944,0.278472,True,173.119024,1
21,1774005327.042236,1774005331.358166,388,54,4.309876,0.183404,0.077858,True,0.006053,1
788,1774005503.801599,1774005744.307597,394,70,34.003923,11.672651,0.323642,True,206.502075,1
278,1774005396.680640,1774005576.635352,1073,420,155.568171,39.828651,0.276228,True,24.386542,1
873,1774005522.965381,1774005883.408021,907,429,136.372771,12.192895,0.290140,True,224.069868,1
363,1774005415.804609,1774005533.404337,125,205,56.865377,5.229205,0.253118,True,60.734351,1
958,1774005541.353184,1774005828.075432,1226,95,38.685923,8.852699,0.317375,True,248.036325,1
1043,1774005557.736966,1774005862.476451,403,91,32.494647,3.763545,0.319234,True,272.244838,1
534,1774005456.129804,1774005602.606675,382,62,25.439902,5.978672,0.319037,True,121.036969,1
109,1774005358.448638,1774005474.919984,1157,426,116.470406,1.568488,0.270357,True,0.000939,1
704,1774005489.272185,1774005710.301771,401,86,47.804232,21.227302,0.312670,True,173.225353,1
22,1774005330.737119,1774005344.650583,203,147,13.909691,0.100460,0.094584,True,0.003773,1
789,1774005503.842308,1774005751.590311,425,96,40.460954,10.846927,0.311727,True,207.287049,1
279,1774005396.742399,1774005571.946957,1147,413,150.328023,39.277109,0.269541,True,24.876535,1
874,1774005523.003001,1774005779.712933,429,108,32.667163,5.664635,0.252360,True,224.042768,1
364,1774005416.457869,1774005525.356296,206,167,48.806307,5.218187,0.262579,True,60.092120,1
959,1774005541.441049,1774005908.833001,1031,397,119.351084,8.759663,0.279271,True,248.040869,1
1044,1774005558.129220,1774005878.338850,389,94,48.099627,17.832589,0.325452,True,272.110003,1
1097,1774005569.211220,1774005968.638442,1007,385,114.194153,12.691345,0.264330,True,285.233069,1
1146,1774005578.090422,1774006015.269895,1207,368,138.317939,35.792967,0.279360,True,298.861533,1
