RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
778,1774003800.438324,1774004298.122930,379,88,29.677808,5.667389,0.275982,True,468.006798,1
268,1774003692.462254,1774004032.776148,1217,566,317.717263,0.000000,0.562331,True,22.596631,4
779,1774003800.462849,1774004310.036523,1129,136,41.509099,4.818955,0.271779,True,468.064575,1
269,1774003692.486876,1774004030.803479,1056,399,314.546225,0.000000,0.790317,True,23.770377,4
780,1774003800.515755,1774004300.166435,372,90,28.854820,3.328555,0.286812,True,470.795860,1
270,1774003692.962646,1774004006.238721,951,446,289.651720,0.000000,0.650903,True,23.624355,4
696,1774003787.235258,1774004280.252356,206,165,64.373371,14.914752,0.301577,True,428.643727,1
271,1774003693.211186,1774003994.491001,1233,402,277.810856,0.000000,0.692795,True,23.468959,4
697,1774003787.272870,1774004265.098163,371,97,49.146965,23.237808,0.269887,True,428.678329,1
272,1774003693.694289,1774003857.584644,1317,170,140.576946,0.000000,0.831816,True,23.313409,3
698,1774003787.456887,1774004246.182209,373,66,30.219835,14.831466,0.236744,True,428.505486,1
783,1774003800.688694,1774004292.265618,377,53,19.173602,4.514877,0.281899,True,472.403322,1
273,1774003694.131645,1774004053.909090,1103,521,336.890855,0.000000,0.647867,True,22.886590,4
699,1774003787.507149,1774004253.945445,385,73,35.555606,20.799444,0.204947,True,430.882690,1
274,1774003694.177202,1774004016.418568,887,376,298.478270,0.000000,0.795942,True,23.763095,4
700,1774003787.600960,1774004283.293869,203,167,64.656894,13.851218,0.306058,True,431.036014,1
785,1774003801.691594,1774004306.759700,393,101,32.014958,7.679307,0.243357,True,473.053149,1
275,1774003694.479553,1774003993.907866,1123,397,275.546229,0.000000,0.695824,True,23.882085,4
701,1774003787.949785,1774004279.408721,398,132,59.870326,19.650512,0.307021,True,431.588610,1
276,1774003694.563209,1774004016.429227,1095,380,297.983289,0.000000,0.786236,True,23.882729,4
787,1774003802.219183,1774004298.296773,379,62,22.824889,8.212252,0.239551,True,473.252701,1
277,1774003694.985559,1774003998.004819,1079,420,279.392511,0.000000,0.666808,True,23.626749,4
788,1774003802.923791,1774004296.378352,394,70,20.895456,2.123763,0.272054,True,472.559105,1
278,1774003695.801534,1774004004.712647,1073,421,285.068627,0.000000,0.678735,True,23.842486,4
704,1774003788.392632,1774004260.940382,401,86,40.063553,19.248428,0.244884,True,432.484197,1
789,1774003802.961451,1774004303.507456,425,96,26.693417,2.146417,0.258389,True,473.852588,1
279,1774003695.863637,1774004007.866371,1147,414,287.723353,0.000000,0.696667,True,24.279381,4
790,1774003803.096508,1774004285.416020,313,18,6.005523,0.479014,0.325089,True,476.313990,1
