RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
786,1773998520.435443,1773998923.851083,1208,413,142.858779,7.509990,0.328516,True,260.556860,2
191,1773998392.454990,1773998528.024401,1113,531,135.566628,1.536090,0.252888,True,0.002783,1
276,1773998413.024579,1773998599.291545,1095,379,162.175442,38.249505,0.327846,True,24.091524,2
956,1773998558.787720,1773999006.261794,1133,429,139.397900,4.041360,0.316254,True,308.076174,2
361,1773998433.100726,1773998623.649197,1132,414,132.999055,4.328058,0.311552,True,57.549416,2
787,1773998520.785895,1773998811.892238,379,62,30.858633,12.422827,0.302226,True,260.247710,1
192,1773998392.701144,1773998431.551616,1313,170,38.849671,1.494201,0.221038,True,0.000800,1
277,1773998413.445534,1773998610.006447,1079,419,172.807207,36.411550,0.326305,True,23.753706,2
957,1773998558.953959,1773998999.536509,1199,396,131.674504,6.485892,0.316933,True,308.908046,2
362,1773998433.109015,1773998620.679538,1088,386,129.955805,12.486583,0.305115,True,57.614718,2
788,1773998521.490109,1773998806.884970,394,70,24.680072,6.297259,0.266418,True,260.714789,1
193,1773998392.803608,1773998499.030148,1083,426,106.225760,1.189691,0.247144,True,0.000780,1
278,1773998414.261827,1773998610.722768,1073,420,173.187265,36.943290,0.325165,True,23.273675,2
958,1773998559.041234,1773998922.644094,1226,95,54.565989,5.635103,0.520541,True,309.036870,2
363,1773998433.385874,1773998575.700879,125,205,84.967494,4.244789,0.395700,True,57.347511,2
789,1773998521.528951,1773998812.844025,425,96,30.628645,6.286981,0.256228,True,260.686428,1
194,1773998393.008545,1773998483.203615,1139,394,90.184227,1.824770,0.224833,True,0.010843,1
279,1773998414.324874,1773998607.308933,1147,413,169.089290,36.259202,0.322403,True,23.894769,2
959,1773998559.129546,1773999000.936248,1031,397,132.288320,6.868161,0.316718,True,309.518382,2
364,1773998434.038869,1773998562.306988,206,167,71.562549,15.730776,0.336336,True,56.705571,2
790,1773998521.665337,1773998791.961317,313,18,8.817915,5.358829,0.203476,True,261.478065,1
195,1773998393.368771,1773998501.852108,978,437,108.477507,1.041536,0.246413,True,0.005830,1
280,1773998414.555682,1773998534.137191,212,183,95.415658,35.757262,0.327793,True,24.165850,1
960,1773998559.400082,1773998948.921870,206,189,79.875540,4.666894,0.400046,True,309.646248,2
