RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
1356,1774174401.027864,1774175786.286759,1061,448,567.884939,221.741117,0.774371,True,817.373956,2
3056,1774174401.081981,1774177598.212710,1288,68,231.769475,145.669991,1.285067,True,2965.361253,1
1441,1774174401.032143,1774175681.888094,1035,391,394.171430,154.646560,0.614166,True,886.684522,2
1781,1774174401.042558,1774176274.287694,981,381,549.713664,333.927998,0.567857,True,1323.531472,2
1951,1774174401.047807,1774176286.292218,980,372,434.079052,195.183124,0.643924,True,1451.165360,2
2716,1774174401.071463,1774177703.727854,1082,607,794.089695,328.387637,0.768485,True,2508.566696,2
1357,1774174401.027892,1774175779.753439,1041,385,560.043088,151.213585,1.064660,True,818.682458,1
1442,1774174401.032171,1774175521.952926,385,67,234.184334,172.697608,0.931617,True,886.736421,2
1782,1774174401.042587,1774176339.510959,1029,405,614.885966,360.343180,0.630056,True,1323.582407,2
1952,1774174401.047841,1774176467.707827,1102,530,613.738799,215.511244,0.752793,True,1452.921187,2
2717,1774174401.071492,1774177034.062221,390,75,123.548549,54.194558,0.937216,True,2509.442179,1
1358,1774174401.027921,1774176698.717536,955,602,1478.596298,897.017173,0.967686,True,819.093317,3
1443,1774174401.032199,1774175524.455941,380,97,233.916441,92.066556,1.477603,True,889.507301,1
1783,1774174401.042620,1774176173.040944,374,91,447.622215,297.425153,1.668856,True,1324.376109,2
1953,1774174401.047870,1774176297.401274,1005,394,442.163659,232.592838,0.533259,True,1454.189744,2
2718,1774174401.071522,1774177608.754576,1115,477,696.651090,369.074738,0.688186,True,2511.031964,2
1359,1774174401.027953,1774175543.849382,857,117,323.205208,221.719071,0.874880,True,819.616222,2
3059,1774174401.082073,1774177830.246591,1092,389,462.439120,144.305924,0.819931,True,2966.725397,1
1444,1774174401.032231,1774175788.557822,1046,393,498.007302,92.055428,1.035592,True,889.518289,1
1784,1774174401.042648,1774176442.203060,1023,415,713.924629,290.192432,1.023508,True,1327.235783,2
1954,1774174401.047899,1774176150.948560,403,94,295.536711,257.541846,0.408547,True,1454.363951,2
2719,1774174401.071550,1774177585.792750,1140,403,673.023799,309.789038,0.903569,True,2511.697401,2
1360,1774174401.027981,1774175821.042123,1036,394,599.988105,191.228295,1.040101,True,820.026037,2
3060,1774174401.082103,1774177573.337723,376,58,205.366194,104.939739,1.761868,True,2966.889427,1
1445,1774174401.032262,1774175869.541975,1036,390,577.729532,169.499963,1.049433,True,890.780180,2
1785,1774174401.042677,1774175813.469610,956,59,83.347060,32.034459,0.884700,True,1329.079873,1
1955,1774174401.047928,1774177006.041969,1169,451,1149.621080,799.052952,0.779040,True,1455.372962,3
2720,1774174401.071579,1774177418.999479,1316,288,504.460979,354.716325,0.521758,True,2513.466920,2
1361,1774174401.028011,1774175301.084809,385,88,79.576730,14.559958,0.747319,True,820.480068,1
1446,1774174401.032291,1774176639.787516,985,552,1347.328478,819.330857,0.958253,True,891.426747,3
1786,1774174401.042705,1774176287.670757,1057,388,557.330579,336.674353,0.570171,True,1329.297473,2
1956,1774174401.047956,1774176372.991616,1140,397,513.948493,149.080135,0.921385,True,1457.995167,2
2721,1774174401.071613,1774177722.281642,1078,615,807.505840,329.342775,0.778767,True,2513.704189,2
1362,1774174401.028039,1774175701.211373,1313,148,478.379534,361.062247,0.798077,True,821.803800,2
3062,1774174401.082160,1774177620.945256,91,16,250.690699,188.363363,4.155156,True,2969.172396,1
1447,1774174401.032320,1774175694.531975,1054,397,401.958530,170.147466,0.585381,True,891.541126,2
1787,1774174401.042739,1774176741.259967,1053,385,1009.655361,395.832700,1.598497,True,1330.561867,2
1957,1774174401.047985,1774176304.489166,1083,395,443.590798,214.558500,0.581300,True,1459.850383,2
2722,1774174401.071645,1774177758.592990,1078,459,843.479414,327.459352,1.126681,True,2514.041931,2
1363,1774174401.028067,1774175872.465231,1035,395,647.790593,231.010336,1.057818,True,823.646570,2
3063,1774174401.082189,1774177606.000140,394,80,235.714069,122.173067,1.437228,True,2969.203882,1
1448,1774174401.032351,1774175548.651570,181,126,256.068252,159.776057,0.770338,True,891.550968,2
1788,1774174401.042767,1774176300.767700,1041,395,568.894908,345.738521,0.566387,True,1330.830025,2
1958,1774174401.048013,1774176382.652686,1034,398,520.986470,235.575621,0.718919,True,1460.618203,2
2723,1774174401.071675,1774177627.685015,1050,501,711.937090,330.573360,0.762727,True,2514.676250,2
1364,1774174401.028096,1774175661.999771,1171,380,437.314527,217.677726,0.579517,True,823.657148,2
3064,1774174401.082218,1774177810.911693,398,94,440.552001,203.096255,2.553288,True,2969.277475,1
1449,1774174401.032379,1774175849.654215,1089,412,554.872267,110.455457,1.081306,True,893.749568,1
1789,1774174401.042795,1774176325.417937,1146,401,593.482900,351.177622,0.605763,True,1330.892241,2
1959,1774174401.048041,1774176193.927308,404,131,332.250332,176.268306,1.199862,True,1460.628935,2
2724,1774174401.071703,1774177672.717567,978,550,756.916836,363.435072,0.716725,True,2514.729027,2
1365,1774174401.028124,1774175591.054280,1314,218,366.087795,229.677356,0.628620,True,823.938361,2
3065,1774174401.082249,1774177867.912230,1167,414,497.521188,133.407704,0.881631,True,2969.308793,1
1450,1774174401.032408,1774175564.044616,405,89,269.147745,144.624591,1.415036,True,893.864463,1
1790,1774174401.042824,1774176391.855961,1038,401,657.759772,324.122849,0.834092,True,1333.053365,2
1960,1774174401.048070,1774176468.102188,1073,422,606.209394,249.896814,0.846348,True,1460.844724,2
2725,1774174401.071732,1774177532.874666,1136,411,617.011946,371.549958,0.598688,True,2514.790987,2
1366,1774174401.028153,1774175652.268430,1003,376,427.075874,251.764720,0.467496,True,824.164403,2
3066,1774174401.082278,1774177845.496379,1027,396,474.652122,153.209954,0.813778,True,2969.761978,1
1451,1774174401.032459,1774175839.933163,1097,393,544.495064,146.588598,1.015068,True,894.405640,2
1791,1774174401.042855,1774176865.745559,1051,440,1131.423638,398.241248,1.670119,True,1333.279066,2
1961,1774174401.048098,1774176119.132594,243,14,256.667816,251.964929,0.361761,True,1461.416680,2
2726,1774174401.071761,1774177468.968437,1144,385,553.094978,336.292177,0.564591,True,2514.801697,2
1367,1774174401.028185,1774175777.026687,1013,439,551.369367,226.702402,0.741249,True,824.629136,2
3067,1774174401.082307,1774177816.068948,181,104,444.925685,196.248289,2.414344,True,2970.060955,1
1452,1774174401.032488,1774175773.761642,1168,436,477.584766,177.334177,0.690231,True,895.144389,2
1792,1774174401.042884,1774176194.148942,15,134,459.500067,372.310930,0.655557,True,1333.605991,2
1962,1774174401.048126,1774176284.247923,1146,389,419.670133,187.729442,0.597785,True,1463.529665,2
2727,1774174401.071793,1774177762.874099,1147,669,843.846761,312.523893,0.795394,True,2517.955545,2
1368,1774174401.028216,1774175850.434900,1129,526,624.715340,237.001112,0.738503,True,824.691343,2
3068,1774174401.082336,1774177943.367517,1319,209,572.119828,202.207980,1.778422,True,2970.165353,1
1453,1774174401.032516,1774175504.155530,333,18,206.123099,178.924891,1.599895,True,896.999915,2
1793,1774174401.042912,1774176915.854815,1006,394,1180.674145,958.047302,0.566481,True,1334.137757,3
1963,1774174401.048154,1774176352.849635,1017,394,487.526231,187.917044,0.762364,True,1464.275250,2
2728,1774174401.071822,1774177066.146236,393,122,147.107885,18.924906,1.059363,True,2517.966530,1
1369,1774174401.028245,1774176932.396059,986,441,1706.001322,1143.877542,1.277554,True,825.366492,2
3069,1774174401.082377,1774177876.259547,1319,150,502.487336,208.917109,1.970270,True,2972.689835,1
1454,1774174401.032545,1774175745.844304,1053,415,447.586290,170.785250,0.668602,True,897.225470,2
1794,1774174401.042941,1774175878.178408,424,102,142.987033,67.209287,0.750275,True,1334.148434,1
1964,1774174401.048183,1774177069.456731,1164,395,1202.052620,752.401810,1.141246,True,1466.355928,3
2729,1774174401.071863,1774177806.183046,1045,479,887.039552,344.805755,1.134380,True,2518.071632,2
1370,1774174401.028273,1774175643.037704,1028,366,415.702063,239.625396,0.482402,True,826.307368,2
3070,1774174401.082406,1774177831.390806,408,105,457.608356,208.906693,2.391362,True,2972.700044,1
1455,1774174401.032573,1774175561.299926,396,107,262.123235,106.877950,1.464578,True,898.144118,2
1795,1774174401.042969,1774176345.042141,1029,415,609.747985,346.109066,0.636809,True,1334.251187,2
1965,1774174401.048211,1774176176.802121,1312,156,307.764750,220.976046,0.559927,True,1467.989160,2
2730,1774174401.071901,1774177380.832860,1324,200,461.678771,341.314016,0.604848,True,2518.082187,2
1371,1774174401.028302,1774176382.545927,1160,400,1154.519235,805.127954,0.875667,True,826.998389,3
1456,1774174401.032602,1774175884.577771,986,448,585.318645,83.346731,1.122980,True,898.226524,1
1796,1774174401.043003,1774177038.607733,1006,488,1303.262001,956.290571,0.712467,True,1334.302730,3
1966,1774174401.048242,1774176352.743847,1096,396,483.194976,223.002767,0.658714,True,1468.500629,2
2731,1774174401.071930,1774177058.712464,1057,89,139.393324,59.283895,0.910334,True,2518.247210,1
1372,1774174401.028334,1774177735.091455,1160,639,2507.053721,2043.178766,0.727077,True,827.009400,5
3072,1774174401.082485,1774177826.689760,1820,109,452.678407,202.055719,2.320580,True,2972.928867,1
1457,1774174401.032631,1774175647.194700,1315,198,345.538724,118.164265,1.154185,True,900.623345,1
1797,1774174401.043031,1774176793.437627,1005,386,1056.534521,471.647095,1.519188,True,1335.860075,2
1967,1774174401.048270,1774176175.205732,983,151,304.470948,227.482616,0.513256,True,1469.686513,2
2732,1774174401.071959,1774177355.599661,374,64,435.903253,322.876373,1.794077,True,2518.624450,2
1373,1774174401.028366,1774177748.832170,1036,650,2520.690917,1995.786796,0.808789,True,827.112888,5
3073,1774174401.082514,1774177843.099342,1034,403,467.724646,123.882018,0.855330,True,2974.292182,1
1458,1774174401.032663,1774175505.534135,407,83,203.774911,80.846570,1.499126,True,900.726561,1
1798,1774174401.043062,1774176191.247736,404,96,454.129438,398.154317,0.589212,True,1336.075236,2
1968,1774174401.048390,1774176358.637926,1050,412,487.850713,227.430169,0.633627,True,1469.738824,2
2733,1774174401.071987,1774177755.588350,1086,451,833.734533,357.200321,1.058965,True,2520.781831,2
1374,1774174401.028394,1774176548.198809,1007,441,1318.819047,891.993390,0.970058,True,828.351368,2
3074,1774174401.082546,1774177843.324044,1122,396,467.721503,146.028136,0.814414,True,2974.519995,1
932,1774174401.014657,1774175436.901237,1296,405,511.703053,72.125257,1.088064,True,524.183527,1
1459,1774174401.032691,1774175861.883943,1032,398,560.022335,137.659821,1.063885,True,900.828916,1
1799,1774174401.043090,1774176454.471982,1147,509,715.083606,361.083404,0.696851,True,1338.345286,2
1969,1774174401.048443,1774176170.068280,399,87,298.261141,254.648832,0.507120,True,1470.758695,2
2734,1774174401.072020,1774177454.355717,1031,375,530.454285,347.315270,0.489677,True,2522.829412,2
1375,1774174401.028435,1774175818.150968,1154,482,587.746439,248.587300,0.705113,True,829.376094,2
3075,1774174401.082574,1774177826.414196,1113,375,448.582242,153.094899,0.790073,True,2976.749380,1
1460,1774174401.032721,1774175751.799347,1064,396,324.981605,61.947306,0.665910,True,1025.785021,1
1800,1774174401.043118,1774175896.042145,1314,138,156.590687,54.664383,0.743988,True,1338.408340,1
1970,1774174401.048474,1774176159.361682,404,118,286.950751,208.992109,0.666313,True,1471.362457,2
2735,1774174401.072049,1774177520.502367,1111,401,596.590178,345.342597,0.628119,True,2522.840140,2
1376,1774174401.028465,1774175662.622970,1039,385,431.222324,208.742186,0.579375,True,830.372181,2
3076,1774174401.082602,1774177603.090620,181,78,224.763311,120.929833,1.348487,True,2977.244707,1
1461,1774174401.032750,1774175787.861711,1044,450,361.033258,58.200612,0.674460,True,1025.795702,1
1801,1774174401.043147,1774176416.537191,1008,408,674.930311,296.338650,0.930201,True,1340.563733,2
1971,1774174401.048504,1774176173.040638,1992,91,300.567867,224.769516,0.842204,True,1471.424268,2
2736,1774174401.072078,1774177064.664104,392,97,140.710495,31.687693,1.135654,True,2522.881532,1
1377,1774174401.028495,1774176628.597228,1082,538,1396.668320,850.223132,1.017589,True,830.900414,2
3077,1774174401.082631,1774177943.824222,203,217,564.141853,178.935114,1.783365,True,2978.599738,1
1462,1774174401.032779,1774176335.324939,1214,406,908.485470,638.136194,0.667529,True,1025.806690,2
1802,1774174401.043175,1774175850.142752,397,93,108.218052,28.629857,0.865089,True,1340.881525,1
1972,1774174401.048533,1774176342.785400,1163,409,470.013613,227.699929,0.593906,True,1471.723255,2
2737,1774174401.072107,1774177020.370886,1443,76,96.407221,20.003364,1.018718,True,2522.891558,1
1378,1774174401.028523,1774176403.865890,1144,404,1171.894803,894.485145,0.688361,True,830.942563,3
3078,1774174401.082659,1774177839.206994,397,115,458.417939,195.277917,2.308246,True,2979.706395,1
1463,1774174401.032808,1774175731.871790,1033,406,305.021647,63.684403,0.595894,True,1025.817335,1
1803,1774174401.043203,1774176399.849010,1027,450,657.862585,354.145681,0.676430,True,1340.943223,2
1973,1774174401.048562,1774177689.854160,1103,577,1816.722857,1370.987710,0.773846,True,1472.082741,4
2738,1774174401.072135,1774177537.953988,1000,414,613.938208,340.835776,0.661265,True,2522.943644,2
1379,1774174401.028551,1774177729.526497,979,622,2497.266102,2021.811609,0.765627,True,831.231844,5
3079,1774174401.082688,1774177856.300940,1110,408,475.460433,130.214174,0.848271,True,2979.757819,1
1464,1774174401.032837,1774175561.366522,42,154,134.505635,66.414263,0.445042,True,1025.828049,1
1804,1774174401.043231,1774175876.166102,424,96,133.953031,51.902602,0.863689,True,1341.169841,1
1974,1774174401.048592,1774177743.435943,1123,651,1870.129135,1414.106076,0.701574,True,1472.258217,4
2739,1774174401.072164,1774177078.338716,1722,100,154.311672,72.547458,0.825901,True,2522.954880,1
1380,1774174401.028580,1774175655.697051,181,147,423.426653,266.128915,1.077382,True,831.241818,2
933,1774174401.014685,1774175485.235179,1199,440,559.923087,79.387028,1.094615,True,524.297407,1
1465,1774174401.032865,1774175704.110468,1025,401,277.238592,68.081340,0.522893,True,1025.839012,1
1805,1774174401.043262,1774176364.496520,1042,424,619.968204,349.932971,0.638381,True,1343.485055,2
1975,1774174401.048620,1774176298.239593,1032,396,422.645359,218.867417,0.515894,True,1474.545614,2
2740,1774174401.072193,1774177471.639343,1186,380,547.447096,319.926479,0.600318,True,2523.120054,2
1381,1774174401.028609,1774175604.700743,1232,80,372.326391,272.599089,1.262371,True,831.345743,2
3081,1774174401.084220,1774177783.096632,1466,76,401.315004,197.650156,2.715531,True,2980.697408,1
