RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
3056,1774162918.067901,1774165300.995583,1288,69,178.838961,0.000000,2.629985,True,2204.088721,3
2291,1774162918.044532,1774165169.124064,1028,397,726.830196,0.000000,1.835430,True,1524.249336,3
421,1774162917.984451,1774163576.547194,945,504,653.423666,97.760635,1.104698,True,5.139078,1
2036,1774162918.035509,1774164442.285299,1099,57,215.098129,132.308876,1.478380,True,1309.151661,1
591,1774162917.991138,1774163700.022320,1127,563,610.767683,2.428637,1.082454,True,171.263499,1
3396,1774162918.078379,1774165554.346259,390,94,140.158980,49.721334,0.972448,True,2496.108900,1
251,1774162917.979275,1774163138.830948,846,108,217.527936,44.432456,1.617715,True,3.323737,1
1547,1774162918.020357,1774163887.012913,2042,56,109.672572,71.006357,0.703022,True,859.319984,1
422,1774162917.984479,1774163385.540539,1050,403,462.407811,106.603014,0.885087,True,5.148248,1
2037,1774162918.035539,1774164793.891681,1051,396,566.139862,142.115773,1.073479,True,1309.716281,2
2292,1774162918.044563,1774165272.710479,1364,481,830.405914,0.000000,1.730012,True,1524.260002,3
3057,1774162918.067934,1774165892.970772,1103,404,769.413686,100.131038,1.660751,True,2205.489151,2
592,1774162917.991166,1774163694.795221,1076,464,605.199819,115.171329,1.058377,True,171.604236,2
3397,1774162918.078407,1774165531.127882,404,108,116.878217,18.949399,0.915223,True,2496.171258,1
252,1774162917.979303,1774163282.506280,1140,430,361.192350,42.978023,0.741758,True,3.334627,1
1545,1774162918.020299,1774164315.757536,1173,385,539.269445,104.928656,1.131096,True,858.467792,1
2038,1774162918.035567,1774165020.023280,1138,398,791.961243,176.589347,1.550055,True,1310.026470,2
2293,1774162918.044591,1774165137.521499,1034,418,695.123597,0.000000,1.666963,True,1524.353310,3
3058,1774162918.067963,1774165679.482641,1148,424,555.833370,59.162022,1.174164,True,2205.581308,1
423,1774162917.984507,1774163296.089016,1036,386,372.945433,102.493984,0.702471,True,5.159076,1
593,1774162917.991194,1774163560.466866,1067,393,468.918573,13.961176,1.160606,True,173.557099,2
3398,1774162918.078450,1774165518.495946,1508,84,103.968603,31.217904,0.876514,True,2496.448892,1
253,1774162917.979331,1774163527.215534,1059,649,605.890984,36.467805,0.878739,True,3.345219,2
1546,1774162918.020328,1774164254.277665,1073,454,477.778383,43.316371,0.959077,True,858.478954,2
424,1774162917.984538,1774163413.819164,1062,413,490.664363,113.259676,0.916031,True,5.170263,1
2039,1774162918.035596,1774164972.677593,1148,375,744.399054,157.232417,1.569964,True,1310.242943,2
2294,1774162918.044620,1774164996.568579,1084,414,552.814685,93.187479,1.112899,True,1525.709274,2
3059,1774162918.067992,1774165600.302134,1092,390,476.519519,0.000000,1.224986,True,2205.714623,3
594,1774162917.991223,1774163304.649032,402,73,213.048161,113.166103,1.387251,True,173.609648,1
3399,1774162918.078479,1774165599.786810,372,61,184.747980,96.102034,1.477432,True,2496.960351,1
254,1774162917.979362,1774163087.443808,1354,200,166.108881,53.685576,0.564941,True,3.355565,1
1543,1774162918.020237,1774164078.865756,685,120,304.500436,107.051299,1.659236,True,856.345082,1
425,1774162917.984566,1774163368.196340,1070,398,445.030734,106.569862,0.852546,True,5.181040,1
2040,1774162918.035628,1774164387.861446,424,114,159.027218,59.554502,0.880290,True,1310.798601,1
2295,1774162918.044648,1774164650.977008,378,45,206.882393,92.846920,2.591715,True,1526.049967,2
3060,1774162918.068020,1774165280.693355,376,59,155.400360,0.000000,2.679317,True,2207.224975,3
595,1774162917.991251,1774163228.747080,209,179,136.233534,0.812325,0.760793,True,174.522295,1
3400,1774162918.078507,1774166200.875684,1093,397,785.408412,155.792626,1.589939,True,2497.388764,2
255,1774162917.979390,1774163074.049759,167,171,152.704442,45.155703,0.632640,True,3.365927,1
1544,1774162918.020267,1774163901.626067,398,98,126.859009,57.037521,0.719809,True,856.746791,1
426,1774162917.984595,1774163190.048643,206,181,266.872767,102.461626,0.913395,True,5.191281,1
2041,1774162918.035654,1774164403.117355,388,80,174.056712,101.556561,0.917723,True,1311.024988,1
2296,1774162918.044676,1774164651.350025,1028,55,204.821442,82.294915,2.269010,True,1528.483906,2
3061,1774162918.068048,1774165708.937005,1171,531,583.591844,0.000000,1.101117,True,2207.277113,3
596,1774162917.991281,1774163612.977742,1047,401,519.716172,116.652195,1.007660,True,175.270290,2
3401,1774162918.078535,1774165910.575124,1006,396,494.411748,54.353199,1.114072,True,2498.084840,2
256,1774162917.979448,1774163081.735656,1792,50,160.379870,54.415365,2.162541,True,3.376338,1
427,1774162917.984623,1774163159.553967,419,130,236.367458,113.227697,0.954572,True,5.201886,1
2042,1774162918.035683,1774164795.388522,1091,397,563.824979,138.304053,1.074548,True,1313.527860,2
2297,1774162918.044705,1774164976.898909,1103,397,530.061816,0.000000,1.338540,True,1528.792388,3
3062,1774162918.068076,1774165220.954899,91,17,93.929712,0.000000,5.870607,True,2208.957110,3
597,1774162917.991309,1774163233.684364,200,193,140.109940,0.783434,0.725659,True,175.583115,1
3402,1774162918.078563,1774165896.648311,982,399,480.474676,56.526662,1.065196,True,2498.095072,2
257,1774162917.979486,1774163159.434784,40,134,238.068057,33.880654,1.535244,True,3.387241,1
428,1774162917.984652,1774163157.138803,181,132,233.941937,106.538701,0.972544,True,5.212214,1
2043,1774162918.035711,1774164418.708535,1484,88,185.909461,105.494863,0.924306,True,1314.763363,1
2298,1774162918.044734,1774164762.615610,1314,156,313.688029,86.344573,1.466732,True,1530.882847,2
3063,1774162918.068104,1774165314.126303,394,80,186.307476,74.999081,1.408967,True,2209.750723,1
598,1774162917.991338,1774163619.936334,942,404,525.462411,112.181352,1.025511,True,176.482584,2
3403,1774162918.078597,1774165616.709235,428,98,200.317343,101.246757,1.021346,True,2498.313296,1
3,1774162917.971541,1774162986.300320,91,16,67.655811,15.851658,3.453610,True,0.672968,1
258,1774162917.979520,1774163034.004282,407,104,112.626695,34.041471,0.762963,True,3.398068,1
429,1774162917.984680,1774163402.386182,1127,415,479.178729,102.429920,0.910021,True,5.222774,1
2044,1774162918.035740,1774164450.620795,1312,181,217.647007,63.917874,0.854051,True,1314.938048,1
2299,1774162918.044762,1774164776.611983,404,92,326.937925,0.000000,3.592724,True,1531.629296,3
3064,1774162918.068132,1774165334.945086,398,94,207.023700,83.079942,1.332729,True,2209.853255,1
599,1774162917.991366,1774163612.707689,1072,446,517.124219,2.352766,1.156790,True,177.592104,1
3404,1774162918.078642,1774166150.957021,1055,411,733.949089,94.132643,1.560528,True,2498.929290,2
4,1774162917.971577,1774163051.272436,91,16,132.616112,21.626460,7.399310,True,0.684747,1
259,1774162917.979549,1774163246.387680,1065,411,324.998745,51.558156,0.666928,True,3.409386,1
430,1774162917.984711,1774163369.754342,1043,394,446.535672,113.195780,0.848193,True,5.233959,1
2045,1774162918.035771,1774164988.824579,1031,403,755.406989,133.045336,1.548163,True,1315.381819,2
2300,1774162918.044790,1774164963.662741,1002,389,513.035290,0.000000,1.322256,True,1532.582661,3
3065,1774162918.068160,1774165866.905499,1167,414,738.973409,101.029372,1.544659,True,2209.863929,2
600,1774162917.991398,1774163618.212311,1232,419,522.471935,84.754730,1.047170,True,177.748979,2
3405,1774162918.078671,1774165574.596684,402,105,154.795843,52.899796,0.979770,True,2501.722170,1
5,1774162917.971611,1774163102.162939,381,84,183.497126,16.715088,2.009422,True,0.694202,1
260,1774162917.979581,1774163226.305564,181,241,304.906009,44.336133,1.085708,True,3.419973,1
2046,1774162918.035800,1774164770.725886,1089,402,536.706516,104.273835,1.078386,True,1315.983570,2
2301,1774162918.044822,1774165075.613289,1128,502,624.758928,87.867866,1.071639,True,1532.809539,2
3066,1774162918.068191,1774165608.360540,1027,397,480.377119,0.000000,1.213074,True,2209.915230,3
431,1774162917.984739,1774163121.535352,413,95,198.305647,106.506140,0.976590,True,5.244966,1
601,1774162917.991443,1774163147.606711,373,91,51.690031,3.389880,0.536668,True,177.925237,1
3406,1774162918.078700,1774166169.497198,1045,397,748.317675,75.328353,1.699468,True,2503.100823,2
6,1774162917.971654,1774163053.642991,1313,142,134.966075,20.237870,0.813675,True,0.705262,1
261,1774162917.979610,1774163167.045317,1314,137,245.634871,54.360833,1.406427,True,3.430836,1
432,1774162917.984767,1774163283.562772,934,378,360.322787,102.397542,0.684152,True,5.255218,1
2047,1774162918.035827,1774164784.967812,1135,390,550.896179,110.584545,1.131907,True,1316.035806,2
2302,1774162918.044851,1774164985.217626,1018,396,534.353280,0.000000,1.352793,True,1532.819495,3
3067,1774162918.068219,1774165323.712027,181,104,195.675917,54.775119,1.367969,True,2209.967891,1
602,1774162917.991475,1774163522.483313,999,395,426.544776,3.882730,1.072746,True,177.947061,1
3407,1774162918.078732,1774165970.338685,16,177,548.397359,89.199270,2.609080,True,2503.862594,2
7,1774162917.971697,1774163017.700439,388,84,99.013026,13.937839,1.025002,True,0.715717,1
262,1774162917.979639,1774163046.373469,181,128,124.952537,55.669741,0.545534,True,3.441293,1
433,1774162917.984798,1774163302.337157,1039,379,379.086620,113.163651,0.703500,True,5.265738,1
2048,1774162918.035856,1774164373.492942,391,87,139.306723,62.705401,0.890713,True,1316.150364,1
2303,1774162918.044882,1774164629.694878,840,45,176.701836,62.443787,2.596774,True,1534.948160,2
3068,1774162918.068247,1774165373.380048,1319,210,245.159392,0.000000,1.173011,True,2210.152408,3
603,1774162917.991507,1774163650.278924,1146,426,553.740529,117.066509,1.027468,True,178.546888,2
3408,1774162918.078761,1774165577.990133,203,162,156.037255,7.112998,0.924995,True,2503.874117,1
