RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
514,1774262734.557367,1774262886.297763,1013,421,98.457262,3.354586,0.226435,True,53.283135,1
217,1774262734.547858,1774262909.648251,203,179,172.010713,28.242768,0.807685,True,3.089679,1
60,1774262734.542846,1774262761.670001,898,94,25.833632,3.668455,0.238335,True,1.293523,1
515,1774262734.557396,1774262862.583907,847,89,72.220635,49.678483,0.256161,True,55.805876,1
175,1774262734.546516,1774262867.216647,181,113,130.029146,28.692757,0.904789,True,2.640985,1
218,1774262734.547888,1774262887.134012,379,144,149.485908,41.435736,0.755596,True,3.100216,1
516,1774262734.557425,1774262817.941759,375,101,24.876949,0.947900,0.239290,True,58.507385,1
601,1774262734.560176,1774262900.703193,373,91,27.267664,7.468542,0.219990,True,138.875354,1
559,1774262734.558739,1774262905.829315,405,83,62.872334,0.866566,0.756168,True,108.398242,1
219,1774262734.547917,1774262898.164217,56,164,160.505006,43.385733,0.718523,True,3.111294,1
62,1774262734.542912,1774262878.598142,320,18,142.741007,27.396106,6.784994,True,1.314223,1
262,1774262734.549237,1774262874.871619,181,128,136.752872,38.950151,0.770100,True,3.569510,1
153,1774262734.545848,1774262910.127940,167,179,173.177360,32.552227,0.790029,True,2.404732,1
517,1774262734.557454,1774262882.372472,1046,393,89.256235,2.613799,0.221027,True,58.558783,1
16,1774262734.541403,1774262837.341455,369,74,101.977429,16.404951,1.172226,True,0.822622,1
35,1774262734.542037,1774262843.535511,437,88,107.967620,24.175501,0.963128,True,1.025854,1
348,1774262734.552069,1774262885.616146,181,140,146.577024,59.433826,0.626929,True,4.487053,1
107,1774262734.544319,1774262848.145175,874,89,111.805613,19.192374,1.052423,True,1.795242,1
518,1774262734.557483,1774262811.966300,395,58,14.846553,0.974799,0.243364,True,62.562264,1
19,1774262734.541502,1774262889.437272,197,152,154.041470,18.249878,0.899282,True,0.854299,1
99,1774262734.544081,1774262887.854421,1350,146,151.600424,19.278358,0.912566,True,1.709916,1
178,1774262734.546603,1774262825.130854,1847,53,87.911146,46.190152,0.802327,True,2.673104,1
221,1774262734.547975,1774262903.133141,209,162,165.452940,25.980794,0.866287,True,3.132226,1
434,1774262734.554837,1774262890.456768,91,24,150.495342,102.396679,2.091246,True,5.406589,1
519,1774262734.557513,1774262815.352797,402,86,17.191869,0.924027,0.191386,True,63.603415,1
179,1774262734.546635,1774262855.529044,392,96,118.298521,26.430589,0.967031,True,2.683888,1
10,1774262734.541100,1774262874.930361,394,124,139.630645,20.232158,0.970719,True,0.758616,1
562,1774262734.558840,1774262848.884023,91,24,5.595414,0.458463,0.223346,True,108.729769,1
222,1774262734.548004,1774262896.762229,206,162,159.071421,35.633753,0.766694,True,3.142804,1
350,1774262734.552132,1774262849.681489,407,92,110.621023,62.865799,0.524783,True,4.508334,1
520,1774262734.557542,1774262891.714641,1207,386,93.490690,4.997298,0.229853,True,63.666409,1
180,1774262734.546664,1774262790.352276,197,217,53.111267,2.924002,0.232348,True,2.694345,1
18,1774262734.541468,1774262881.437804,1353,142,146.053167,26.526956,0.847704,True,0.843169,1
308,1774262734.550787,1774262806.612069,91,16,68.001969,38.458683,1.969552,True,4.059313,1
478,1774262734.556242,1774262888.055429,91,24,147.616002,125.764949,0.950046,True,5.883186,1
65,1774262734.543002,1774262910.127642,1313,179,174.238202,21.507544,0.858037,True,1.346438,1
181,1774262734.546694,1774262863.971934,975,409,126.720704,25.261169,0.248675,True,2.704536,1
28,1774262734.541792,1774262798.216299,27,183,62.724901,18.890220,0.240850,True,0.949606,1
309,1774262734.550817,1774262876.784157,335,18,138.163807,48.493994,5.274695,True,4.069534,1
2,1774262734.540789,1774262905.304106,879,55,170.090300,8.994901,2.983248,True,0.673017,1
564,1774262734.558901,1774262884.185261,2042,52,40.582472,3.999709,0.717309,True,109.043888,1
522,1774262734.557600,1774262881.559470,191,162,77.135395,32.362836,0.278090,True,69.866475,1
22,1774262734.541596,1774262784.646378,203,147,49.218579,18.953720,0.207294,True,0.886202,1
310,1774262734.550865,1774262868.908798,895,114,130.277677,52.855203,0.685155,True,4.080256,1
565,1774262734.558931,1774262881.734234,328,18,37.025064,31.942645,0.298966,True,110.150240,1
51,1774262734.542557,1774262743.560535,91,16,7.820301,3.224699,0.306374,True,1.197677,1
523,1774262734.557634,1774262901.873008,978,430,96.570648,2.061937,0.220300,True,70.744727,1
4,1774262734.540893,1774262874.686931,91,16,139.452461,28.018723,7.428916,True,0.693578,1
226,1774262734.548120,1774262825.307335,374,54,87.572634,28.145224,1.121272,True,3.186581,1
157,1774262734.545969,1774262895.262727,200,161,158.268332,28.885599,0.808642,True,2.448426,1
3,1774262734.540849,1774262743.278194,91,16,8.053959,2.004797,0.403277,True,0.683386,1
80,1774262734.543474,1774262906.186435,42,167,170.136699,15.719715,0.930223,True,1.506261,1
47,1774262734.542436,1774262876.780170,458,123,141.082789,16.071499,1.024683,True,1.154944,1
158,1774262734.545998,1774262895.321620,1313,156,158.316281,30.613108,0.823891,True,2.459341,1
440,1774262734.555022,1774262883.119435,298,18,143.094113,102.333105,2.397706,True,5.470299,1
161,1774262734.546092,1774262859.576181,399,106,122.538581,34.175410,0.841554,True,2.491507,1
30,1774262734.541875,1774262770.392465,398,81,34.879159,12.743155,0.276700,True,0.971431,1
49,1774262734.542498,1774262841.342918,874,404,105.624323,18.662996,0.215785,True,1.176097,1
272,1774262734.549540,1774262901.378292,1317,169,163.153492,42.819994,0.716271,True,3.675260,1
357,1774262734.552343,1774262834.666042,1996,70,95.531500,58.670216,0.534222,True,4.582199,1
25,1774262734.541697,1774262806.900332,91,16,71.441213,16.309941,3.675418,True,0.917421,1
570,1774262734.559193,1774262875.215746,393,105,26.323000,0.602650,0.247311,True,114.333553,1
53,1774262734.542616,1774262912.803146,212,183,177.041501,17.884772,0.874488,True,1.219029,1
528,1774262734.557788,1774262872.219455,181,104,65.198134,3.533444,0.598686,True,72.463533,1
97,1774262734.544021,1774262874.458156,243,14,138.226262,31.551542,8.205748,True,1.687873,1
42,1774262734.542280,1774262774.663996,412,102,39.020760,12.613585,0.261457,True,1.100956,1
529,1774262734.557834,1774262881.559372,206,162,74.004706,29.232272,0.278090,True,72.996832,1
17,1774262734.541435,1774262793.114618,206,162,57.740353,12.882278,0.278622,True,0.832830,1
317,1774262734.551085,1774262813.806440,91,24,75.099420,52.779564,0.970429,True,4.155935,1
36,1774262734.542068,1774262864.343323,181,104,128.764481,16.190407,1.092952,True,1.036774,1
190,1774262734.547019,1774262843.596002,408,91,106.247689,35.975857,0.780798,True,2.801295,1
14,1774262734.541335,1774262778.557876,415,106,43.215642,12.914214,0.288585,True,0.800899,1
318,1774262734.551114,1774262856.886317,428,102,118.168323,54.630911,0.629083,True,4.166880,1
41,1774262734.542250,1774262832.833740,382,64,97.201094,19.898931,1.227018,True,1.090396,1
531,1774262734.557895,1774262826.513628,975,68,14.544572,5.462995,0.135546,True,77.411162,1
319,1774262734.551153,1774262863.082949,878,110,124.355106,63.197978,0.561075,True,4.176690,1
38,1774262734.542135,1774262798.157148,200,177,62.557789,12.657131,0.283526,True,1.057225,1
192,1774262734.547077,1774262905.947145,1313,170,168.577045,41.713599,0.750671,True,2.823023,1
235,1774262734.548397,1774262853.179445,391,93,115.350347,25.831712,0.973029,True,3.280701,1
15,1774262734.541372,1774262755.674630,120,12,20.321770,19.028821,0.117541,True,0.811488,1
533,1774262734.557955,1774262850.735013,163,157,35.377353,2.463795,0.210984,True,80.799705,1
8,1774262734.541036,1774262755.840079,242,14,20.561671,7.790150,0.982425,True,0.737372,1
