RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
697,1774275144.494066,1774275183.666786,371,97,39.172209,2.938715,0.377432,True,0.000511,1
1292,1774275873.744163,1774275910.916464,391,90,37.166397,1.045781,0.405850,True,0.005904,1
1972,1774276866.367862,1774277103.015972,1163,409,236.639730,75.762921,0.394306,True,0.008380,2
2142,1774277097.568704,1774277118.199714,383,48,20.630487,0.955303,0.418621,True,0.000523,1
357,1774274706.464202,1774274734.395856,1996,70,27.922848,3.335781,0.356334,True,0.008806,1
698,1774275145.595108,1774275173.388451,373,66,27.782680,2.105311,0.395036,True,0.010663,1
1293,1774275874.015213,1774275997.313601,1094,376,123.297788,2.232911,0.322840,True,0.000599,1
1973,1774276867.171893,1774277180.529648,1103,577,313.347070,62.068376,0.436248,True,0.010685,2
2143,1774277100.095775,1774277105.701499,120,12,5.599795,0.543993,0.459618,True,0.005930,1
358,1774274706.652684,1774274754.778082,1314,139,48.120771,1.651380,0.336735,True,0.004627,1
699,1774275145.899572,1774275173.040165,385,73,27.133843,0.556102,0.369135,True,0.006750,1
1294,1774275874.586845,1774276098.940548,1050,438,224.342882,1.225197,0.510567,True,0.010822,1
1974,1774276870.032888,1774277177.796768,1123,651,307.760246,56.108445,0.387157,True,0.003634,2
2144,1774277100.259628,1774277134.235750,376,84,33.969453,0.727975,0.400500,True,0.006669,1
359,1774274706.760331,1774274766.424274,181,173,59.653364,3.037832,0.329160,True,0.010579,1
700,1774275146.457647,1774275212.449521,203,167,65.982965,1.379747,0.389176,True,0.008909,1
1295,1774275875.182759,1774276174.039619,1148,614,298.849033,1.979067,0.484290,True,0.007827,1
1975,1774276870.080580,1774277105.891264,1032,396,235.802970,43.875705,0.485892,True,0.007715,2
2145,1774277100.580567,1774277183.227972,1315,199,82.640741,1.614484,0.409224,True,0.006664,1
360,1774274707.781217,1774274857.610396,1049,397,149.825469,3.762859,0.368845,True,0.003710,1
701,1774275148.551887,1774275205.062109,398,132,56.509569,0.714261,0.425918,True,0.000653,1
1296,1774275877.052710,1774276072.097171,1142,361,195.038681,1.666948,0.537144,True,0.005781,1
1976,1774276870.398421,1774276879.493415,315,18,9.084597,1.767510,0.430417,True,0.010397,1
