RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
1376,1774265128.116575,1774265284.995888,1039,385,156.878745,27.343751,0.337331,True,0.000569,1
2056,1774266153.416451,1774266371.404053,1183,501,217.976816,1.380333,0.433193,True,0.010787,1
1546,1774265385.024981,1774265643.859538,1073,454,258.831900,23.545284,0.519397,True,0.002657,1
2226,1774266366.850635,1774266535.739608,1131,396,168.880237,2.213230,0.421942,True,0.008736,1
1716,1774265644.067100,1774265787.721298,1050,362,143.653637,1.157082,0.394727,True,0.000561,1
1377,1774265128.246339,1774265668.285306,1082,538,540.033243,230.779879,0.575891,True,0.005724,2
2057,1774266153.854869,1774266319.650882,1182,372,165.795342,2.498147,0.440154,True,0.000671,1
1547,1774265385.430917,1774265475.084410,2042,56,89.650681,26.505397,1.148096,True,0.002811,1
2227,1774266371.670875,1774266436.312195,1353,144,64.636640,1.588907,0.440893,True,0.004679,1
1717,1774265644.809443,1774265774.106297,1069,410,129.290158,2.136905,0.310888,True,0.006696,1
1378,1774265128.868734,1774265288.654956,1144,404,159.779524,2.800093,0.389527,True,0.006698,1
2058,1774266154.314498,1774266366.396921,1167,398,212.071746,2.421455,0.528086,True,0.010677,1
1548,1774265385.698945,1774265628.147194,1061,408,242.439521,32.874560,0.514902,True,0.008728,1
2228,1774266372.472602,1774266417.522566,1484,159,45.049398,2.812997,0.267319,True,0.000566,1
1718,1774265646.366045,1774265650.495363,242,14,4.123635,1.070902,0.234826,True,0.005682,1
1379,1774265129.096124,1774265698.708921,979,622,569.609999,240.960633,0.529226,True,0.002798,2
2059,1774266154.471844,1774266197.303316,381,76,42.824842,0.851412,0.559646,True,0.006629,1
1549,1774265387.650849,1774265496.177891,17,120,108.526206,20.921451,0.736174,True,0.000836,1
2229,1774266377.418895,1774266539.963357,1183,384,162.535606,1.467078,0.420544,True,0.008856,1
1719,1774265647.193633,1774265822.165731,1116,451,174.961344,1.454251,0.385571,True,0.010754,1
1380,1774265131.562752,1774265191.673231,181,147,60.099576,0.551116,0.407866,True,0.010902,1
2060,1774266155.312018,1774266332.694904,1198,405,177.374090,1.958813,0.434196,True,0.008796,1
1550,1774265392.044440,1774265522.019919,1316,170,129.971797,19.890856,0.651367,True,0.003683,1
2230,1774266378.074754,1774266445.056041,1318,148,66.980574,2.439815,0.439053,True,0.000713,1
1720,1774265648.046768,1774265810.706863,998,411,162.649344,1.839406,0.392219,True,0.010751,1
1381,1774265134.999361,1774265190.625237,1232,80,55.619204,20.454745,0.445120,True,0.006672,1
2061,1774266155.420474,1774266329.675050,1006,397,174.251857,2.975231,0.432517,True,0.002719,1
1551,1774265392.127551,1774265489.165246,439,98,97.035030,26.451820,0.727662,True,0.002665,1
2231,1774266384.574331,1774266426.192541,1907,90,41.615510,1.976277,0.445385,True,0.002700,1
1721,1774265649.337285,1774265805.217928,1103,393,155.879880,1.917560,0.392761,True,0.000763,1
1382,1774265135.122597,1774265314.355917,1126,446,179.226621,1.433794,0.399534,True,0.006699,1
2062,1774266156.969363,1774266324.289803,1026,385,167.310254,1.924130,0.430693,True,0.010186,1
1552,1774265393.183065,1774265512.087518,390,155,118.903922,15.389297,0.672173,True,0.000531,1
2232,1774266386.998318,1774266425.532775,401,82,38.523754,0.548073,0.468836,True,0.010704,1
1722,1774265652.999225,1774265816.587908,1163,418,163.588117,1.326976,0.389115,True,0.000566,1
1383,1774265135.887403,1774265286.796115,1024,385,150.905991,1.888840,0.388065,True,0.002721,1
2063,1774266157.194572,1774266335.984211,1022,413,178.778980,1.952844,0.429190,True,0.010659,1
1553,1774265394.131101,1774265629.927975,1023,406,235.790807,17.802270,0.538243,True,0.006067,1
2233,1774266389.613205,1774266436.224577,1961,95,46.602672,2.260867,0.471721,True,0.008700,1
1723,1774265654.515856,1774265837.819946,1065,474,183.302333,1.245716,0.384898,True,0.001756,1
1384,1774265143.950260,1774265156.816055,917,33,12.863114,0.890977,0.374129,True,0.002681,1
2064,1774266157.841564,1774266209.096477,900,102,51.254270,1.995478,0.487711,True,0.000643,1
1554,1774265394.450413,1774265662.200166,1029,519,267.749125,24.131066,0.470305,True,0.000628,1
2234,1774266389.716115,1774266431.522256,403,135,41.797135,1.002451,0.304438,True,0.009006,1
1724,1774265655.946613,1774265701.771485,1063,93,45.821154,1.376391,0.483095,True,0.003718,1
1385,1774265145.294222,1774265284.927025,1226,393,139.624031,2.375105,0.350125,True,0.008772,1
