RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
1190,1774309709.135519,1774309949.071377,1203,421,239.931140,2.611061,0.565048,True,0.004717,1
1360,1774309919.563594,1774310024.492964,1036,394,104.921649,2.033611,0.261802,True,0.007721,1
1530,1774310172.621855,1774310351.319167,1053,414,178.689696,1.701249,0.428543,True,0.007617,1
1668,1774310388.548653,1774310570.494505,1039,417,181.935577,2.621127,0.431044,True,0.010275,1
1191,1774309710.430427,1774309759.232812,380,81,48.798713,1.962315,0.585455,True,0.003671,1
2470,1774311519.443113,1774311533.084257,368,45,13.634473,0.784968,0.292034,True,0.006671,1
1361,1774309919.986201,1774309967.350233,385,88,47.357285,0.549386,0.538022,True,0.006747,1
1531,1774310173.296518,1774310183.650267,304,18,10.351076,3.475618,0.404439,True,0.002673,1
1666,1774310386.468641,1774310415.662682,378,56,29.192383,0.683960,0.518335,True,0.001658,1
1192,1774309713.096195,1774309929.231214,1156,388,216.132159,1.505406,0.554591,True,0.002861,1
2471,1774311519.848228,1774311618.903368,1236,376,99.050432,2.792871,0.256687,True,0.004708,1
1362,1774309922.045310,1774310005.914787,1313,148,83.864794,1.453101,0.560624,True,0.004682,1
1532,1774310174.328611,1774310275.913784,1097,418,101.579794,2.034580,0.238718,True,0.005378,1
1667,1774310388.263107,1774310557.640905,1052,378,169.372040,1.243729,0.445964,True,0.005759,1
1193,1774309714.141221,1774309939.436293,1191,409,225.290468,1.868168,0.547604,True,0.004604,1
2472,1774311521.573047,1774311575.010352,772,136,53.433599,0.919584,0.388993,True,0.003706,1
1363,1774309922.517304,1774310114.589747,1035,395,192.068776,2.352569,0.481513,True,0.003666,1
1533,1774310174.730773,1774310377.582421,1018,476,202.844934,1.294272,0.424317,True,0.006715,1
1664,1774310383.319036,1774310553.346487,1036,375,170.022813,1.900554,0.449525,True,0.004638,1
1194,1774309715.971887,1774309945.614957,1156,408,229.632349,1.522111,0.560467,True,0.010721,1
1364,1774309923.481123,1774310023.985984,1171,380,100.495120,2.204621,0.259342,True,0.009741,1
1534,1774310175.171490,1774310199.405755,1143,70,24.223612,3.657576,0.298058,True,0.010653,1
1665,1774310385.578887,1774310418.806612,380,61,33.219054,0.881395,0.538961,True,0.008671,1
1195,1774309716.512813,1774310048.097882,1102,612,331.584471,3.780406,0.536504,True,0.000598,1
2474,1774311526.958972,1774311633.817334,1034,417,106.854646,1.953873,0.252165,True,0.003717,1
1365,1774309924.325329,1774310041.471029,1314,218,117.142967,2.900769,0.526462,True,0.002733,1
1535,1774310180.780593,1774310208.930221,991,108,28.138933,1.871060,0.245494,True,0.010695,1
1661,1774310382.471064,1774310404.418445,444,101,21.936704,0.845352,0.210914,True,0.010677,1
1196,1774309717.025621,1774309929.559908,1149,385,212.533643,3.267550,0.544964,True,0.000644,1
2475,1774311528.262843,1774311557.981289,383,94,29.713581,1.553976,0.302791,True,0.004865,1
1366,1774309924.542672,1774310105.155979,1003,376,180.604632,1.814689,0.476773,True,0.008675,1
1536,1774310181.343136,1774310216.648676,1155,75,35.302768,1.324390,0.459167,True,0.002773,1
1663,1774310383.101989,1774310634.390123,1036,590,251.279451,2.620570,0.422171,True,0.008683,1
1197,1774309717.352310,1774309934.236241,1064,394,216.883317,1.441561,0.548198,True,0.000613,1
1367,1774309924.706261,1774310138.274261,1013,439,213.560353,1.411076,0.484359,True,0.007647,1
1537,1774310183.290498,1774310367.055471,1143,429,183.755250,1.520473,0.425782,True,0.009723,1
1662,1774310382.757910,1774310584.752671,1012,461,201.992100,1.245625,0.436405,True,0.002661,1
1198,1774309719.049311,1774309933.689465,1182,388,214.635293,2.550141,0.548024,True,0.004861,1
1368,1774309925.113871,1774310178.857735,1129,526,253.735188,3.173276,0.477261,True,0.008676,1
1538,1774310184.613072,1774310354.544537,1068,401,169.923625,1.550558,0.420933,True,0.007840,1
1199,1774309720.790429,1774309939.164275,981,400,218.369174,2.050434,0.542152,True,0.004672,1
2478,1774311531.755641,1774311584.638980,402,135,52.882704,0.667409,0.389666,True,0.000636,1
1369,1774309929.277691,1774310038.772798,986,441,109.486347,1.783788,0.244779,True,0.008759,1
10,1774308106.713845,1774308135.831865,394,124,29.117422,0.501474,0.232650,True,0.000598,1
1539,1774310185.043126,1774310315.884864,1036,619,130.841131,1.972197,0.208526,True,0.000607,1
1200,1774309721.286050,1774309744.028346,1339,69,22.733623,2.521092,0.297243,True,0.008673,1
1370,1774309929.790714,1774310103.065340,1028,366,173.274065,1.246423,0.471309,True,0.000560,1
1540,1774310186.605613,1774310375.873078,1032,447,189.265783,1.205391,0.421660,True,0.001682,1
1201,1774309724.820739,1774309949.951278,1033,406,225.123756,1.375259,0.552465,True,0.006783,1
1371,1774309930.610998,1774310123.200921,1160,400,192.583182,1.910240,0.477877,True,0.006741,1
11,1774308111.078614,1774308118.695266,394,59,7.616041,0.788617,0.117714,True,0.000611,1
1541,1774310188.615977,1774310281.062960,1015,399,92.443286,1.990381,0.227269,True,0.003697,1
1202,1774309725.449551,1774309962.980271,1112,431,237.523972,2.119931,0.547451,True,0.006748,1
2481,1774311537.007678,1774311568.133442,373,88,31.122146,0.907890,0.347290,True,0.003618,1
1372,1774309932.018023,1774310087.942480,1160,639,155.921753,2.202228,0.240940,True,0.002705,1
12,1774308112.008362,1774308151.060513,1315,174,39.051563,1.362974,0.217853,True,0.000589,1
1542,1774310189.305845,1774310233.704312,1312,175,44.396555,3.798307,0.233323,True,0.001912,1
1203,1774309729.451277,1774309860.069465,1051,382,130.615534,2.029720,0.337496,True,0.002654,1
2482,1774311538.325203,1774311566.648572,387,67,28.314686,0.700386,0.418398,True,0.008683,1
1373,1774309935.831235,1774310242.275023,1036,650,306.433157,1.223360,0.470277,True,0.010631,1
13,1774308117.789776,1774308139.637036,389,90,21.839523,0.496753,0.239806,True,0.007737,1
1543,1774310189.881194,1774310244.030598,685,120,54.146752,0.799440,0.448297,True,0.002652,1
1204,1774309729.666851,1774309867.432814,1010,397,137.760298,3.834228,0.338197,True,0.005665,1
2483,1774311538.934156,1774311596.374195,1315,188,57.434307,2.561563,0.293437,True,0.005732,1
1374,1774309935.988444,1774310147.754745,1007,441,211.764665,2.235174,0.476203,True,0.001636,1
14,1774308121.461144,1774308145.659802,415,106,24.198075,0.533560,0.225376,True,0.000583,1
1544,1774310190.779891,1774310236.961190,398,98,46.180746,0.754467,0.468312,True,0.000553,1
1205,1774309729.992070,1774309955.399005,1115,413,225.399016,1.360686,0.543782,True,0.007918,1
2484,1774311540.213893,1774311604.556809,1315,154,64.342361,1.675119,0.409590,True,0.000554,1
1375,1774309939.001985,1774310169.923591,1154,482,230.919925,1.583100,0.476792,True,0.001681,1
15,1774308123.098694,1774308126.287491,120,12,3.180115,0.302824,0.261572,True,0.008682,1
1545,1774310194.779438,1774310361.558168,1173,385,166.771970,1.522397,0.430337,True,0.006761,1
1206,1774309731.980551,1774309869.096792,1025,407,137.109560,4.396184,0.326880,True,0.006680,1
2485,1774311540.667742,1774311585.092705,58,111,44.417255,1.671229,0.388600,True,0.007708,1
1376,1774309939.154593,1774310123.492256,1039,385,184.332968,3.170660,0.471777,True,0.004695,1
24,1774308165.296046,1774308180.458424,389,87,15.159760,0.830363,0.166621,True,0.002618,1
1546,1774310196.063933,1774310395.715331,1073,454,199.647655,1.400614,0.437631,True,0.003742,1
1207,1774309732.377663,1774309950.933357,1143,393,218.555062,1.443146,0.553857,True,0.000632,1
2486,1774311543.215086,1774311571.719528,957,74,28.503883,1.189212,0.374174,True,0.000559,1
1377,1774309939.285264,1774310191.119292,1082,538,251.825322,3.035962,0.463295,True,0.008706,1
16,1774308125.533062,1774308143.073699,369,74,17.532510,0.518842,0.233064,True,0.008127,1
1547,1774310196.469938,1774310223.649064,2042,56,27.178556,3.437043,0.431664,True,0.000569,1
1208,1774309732.596347,1774309860.002175,1226,379,127.398484,3.213493,0.328532,True,0.007343,1
2487,1774311544.130331,1774311560.270163,647,46,16.136932,1.246477,0.330899,True,0.002900,1
1378,1774309939.909236,1774310132.747936,1144,404,192.837935,4.406636,0.467571,True,0.000766,1
25,1774308173.996498,1774308176.955134,91,16,2.949815,0.255567,0.179616,True,0.008822,1
1548,1774310196.739420,1774310370.007082,1061,408,173.267081,1.898959,0.421052,True,0.000580,1
1209,1774309735.165595,1774309965.852919,1024,419,230.680537,1.333006,0.548678,True,0.006787,1
1379,1774309940.135000,1774310230.241452,979,622,290.105725,4.180920,0.460426,True,0.000728,1
17,1774308131.832522,1774308164.068095,206,162,32.228885,0.396420,0.197717,True,0.006688,1
1549,1774310198.690346,1774310250.080703,17,120,51.389808,1.501040,0.419233,True,0.000548,1
1210,1774309736.663098,1774309965.694068,1136,418,229.023192,1.489616,0.545644,True,0.007779,1
2489,1774311545.394568,1774311566.924701,382,54,21.524466,0.576272,0.395249,True,0.005667,1
1380,1774309942.601869,1774310018.056845,181,147,75.444220,2.336031,0.500741,True,0.010756,1
18,1774308132.663443,1774308161.151397,1353,142,28.482215,1.627492,0.190459,True,0.005738,1
1550,1774310203.084007,1774310274.173546,1316,170,71.078518,1.596059,0.411139,True,0.011022,1
1211,1774309737.113756,1774309955.398718,1083,399,218.284076,1.882750,0.543722,True,0.000886,1
2490,1774311545.436205,1774311584.228283,392,104,38.786478,0.961159,0.367236,True,0.005600,1
1381,1774309946.038357,1774309993.540701,1232,80,47.498734,1.453518,0.582851,True,0.003610,1
19,1774308132.811758,1774308163.063028,197,152,30.248614,1.675583,0.189225,True,0.002656,1
