RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
1327,1774268895.684980,1774269080.801975,1051,420,185.110174,2.165503,0.436622,True,0.006821,1
2377,1774270410.935893,1774270575.887030,977,411,164.949396,1.231920,0.399311,True,0.001741,1
68,1774267291.355711,1774267442.832808,1057,424,151.476546,1.142263,0.355400,True,0.000551,1
578,1774267979.882484,1774268178.361992,1065,426,198.473746,1.455536,0.463572,True,0.005763,2
1325,1774268893.944689,1774268975.308937,1314,164,81.360571,1.474338,0.490100,True,0.003677,1
2378,1774270413.903768,1774270567.726682,1076,375,153.814153,1.197825,0.408065,True,0.008761,1
69,1774267293.647352,1774267343.195394,203,162,49.542226,0.509414,0.304552,True,0.005816,1
579,1774267979.905865,1774268058.248456,128,173,78.339024,0.388658,0.453200,True,0.003567,1
1326,1774268894.199782,1774268934.864460,1029,71,40.657963,2.413152,0.546354,True,0.006716,1
2379,1774270415.554124,1774270533.134131,1131,413,117.579516,2.184666,0.280085,True,0.000490,1
70,1774267295.713555,1774267351.532331,1314,216,55.813906,2.523714,0.247861,True,0.004870,1
580,1774267979.970613,1774268094.306931,1037,415,114.335833,1.958151,0.271444,True,0.000485,1
1323,1774268891.400606,1774269050.027250,1065,439,158.624655,3.742892,0.353611,True,0.001988,1
2380,1774270417.796981,1774270596.313963,1008,446,178.508666,1.285160,0.398255,True,0.008316,1
71,1774267297.273051,1774267324.258494,2,93,26.982737,0.457033,0.288323,True,0.002706,1
581,1774267981.458455,1774268195.008820,966,403,213.539686,1.141831,0.528353,True,0.010679,2
1324,1774268892.618786,1774269033.384527,1230,413,140.765131,3.573825,0.332989,True,0.000611,1
2381,1774270417.836973,1774270483.974195,1353,182,66.126986,2.092164,0.353784,True,0.010236,1
72,1774267299.379980,1774267453.892737,1065,409,154.508334,1.211480,0.375728,True,0.004424,1
582,1774267981.550739,1774268027.112976,380,99,45.561663,1.134568,0.453338,True,0.000574,1
1321,1774268891.000037,1774269065.910261,1075,516,174.909621,2.141465,0.335472,True,0.000602,1
2382,1774270420.631020,1774270432.897430,730,42,12.263740,1.524756,0.261926,True,0.002670,1
73,1774267303.454742,1774267321.183220,372,60,17.723655,0.573123,0.290687,True,0.004822,1
583,1774267982.481872,1774268190.238111,1087,396,207.755704,1.412393,0.522388,True,0.000535,2
1322,1774268891.008294,1774269110.926320,1179,511,219.915162,1.424089,0.428414,True,0.002864,1
2383,1774270420.808619,1774270580.102528,1240,398,159.291047,1.441337,0.397606,True,0.002862,1
74,1774267305.819099,1774267457.590616,1104,394,151.763594,1.379241,0.382657,True,0.007922,1
584,1774267982.811994,1774268061.722991,218,179,78.900234,1.484598,0.434919,True,0.010763,1
1319,1774268887.462253,1774269042.545918,1139,429,155.083070,3.652769,0.353809,True,0.000596,1
2384,1774270422.566131,1774270460.689971,398,105,38.116009,0.679600,0.359965,True,0.007831,1
75,1774267307.404217,1774267466.334543,1075,415,158.926587,1.273718,0.380804,True,0.003739,1
585,1774267983.045013,1774268010.740564,387,75,27.690852,1.461107,0.354456,True,0.004699,1
1320,1774268887.997084,1774268964.215809,1785,137,76.207957,2.043450,0.545327,True,0.010768,1
2385,1774270426.099305,1774270472.284128,1386,125,46.177444,2.107965,0.355399,True,0.007380,1
76,1774267309.848134,1774267429.962967,1225,372,120.114200,2.380044,0.317343,True,0.000633,1
586,1774267983.626208,1774268174.849858,1000,498,191.216417,2.045077,0.380626,True,0.007233,1
1317,1774268882.677817,1774269031.469340,1202,411,148.784818,2.301997,0.357275,True,0.006706,1
2386,1774270426.117100,1774270591.223808,1182,411,165.106122,1.269334,0.399602,True,0.000586,1
77,1774267310.469750,1774267473.309239,1118,426,162.832757,1.357761,0.379941,True,0.006733,1
587,1774267989.056438,1774268019.216322,383,114,30.159257,0.811187,0.259717,True,0.000627,1
1318,1774268886.762733,1774269030.931233,1102,396,144.166781,2.198536,0.359413,True,0.001719,1
2387,1774270427.663469,1774270460.471967,400,92,32.807934,1.062227,0.348854,True,0.000565,1
78,1774267312.350967,1774267343.274616,380,102,30.914764,0.537607,0.300764,True,0.008886,1
588,1774267989.307864,1774268187.621147,1093,429,198.304477,1.353977,0.460165,True,0.008806,2
1315,1774268880.414763,1774269070.121211,1046,418,189.702767,2.162929,0.449736,True,0.003681,1
2388,1774270427.719616,1774270507.375003,1316,256,79.648691,2.389136,0.302979,True,0.006696,1
79,1774267312.396387,1774267432.892148,1133,385,120.491097,2.109375,0.308286,True,0.004664,1
589,1774267991.698102,1774268196.982559,1262,390,205.283990,1.431787,0.524042,True,0.000468,2
1316,1774268882.605807,1774269069.709502,1054,419,187.097975,1.262089,0.444583,True,0.005720,1
2389,1774270427.891958,1774270451.449324,398,97,23.548671,3.669862,0.207071,True,0.008696,1
80,1774267314.775800,1774267357.930046,42,167,43.149515,0.337869,0.257901,True,0.004730,1
590,1774267992.606215,1774268217.342717,1473,450,224.729887,2.268638,0.495459,True,0.006615,2
1313,1774268880.332573,1774269066.921206,1020,400,186.587891,1.271759,0.464451,True,0.000742,1
2390,1774270429.039670,1774270441.116347,650,54,12.074096,2.303368,0.184353,True,0.002581,1
81,1774267317.399347,1774267434.856330,1140,377,117.448251,2.120543,0.306723,True,0.008732,1
591,1774267996.874278,1774268249.464656,1127,563,252.585664,1.338197,0.447060,True,0.004715,2
1314,1774268880.335304,1774269062.844230,1008,395,182.500473,1.722852,0.458826,True,0.008453,1
2391,1774270429.052887,1774270594.156731,1160,414,165.093269,1.050147,0.397199,True,0.010575,1
82,1774267321.280072,1774267402.496760,126,203,81.214001,0.351465,0.400310,True,0.002687,1
592,1774268001.878773,1774268196.589729,1076,464,194.707051,2.024493,0.416161,True,0.003905,1
1311,1774268877.165062,1774269072.535895,1033,427,195.365085,2.818894,0.451986,True,0.005748,1
2392,1774270431.876880,1774270461.127214,1187,84,29.242607,1.437672,0.334999,True,0.007728,1
83,1774267322.668594,1774267356.296438,431,84,33.620058,0.636843,0.397388,True,0.007786,1
593,1774268002.500968,1774268159.099288,1067,393,156.589013,3.383266,0.390831,True,0.009307,1
1312,1774268877.467708,1774269062.154545,1009,397,184.679142,1.687394,0.462100,True,0.007695,1
2393,1774270433.499820,1774270595.700690,1094,406,162.196187,1.335462,0.397187,True,0.004682,1
84,1774267328.528998,1774267537.872331,1115,421,209.334585,1.403494,0.495074,True,0.008748,2
594,1774268002.544728,1774268024.361479,402,73,21.809440,3.564155,0.253407,True,0.007311,1
1309,1774268875.509980,1774269111.460417,1017,537,235.941780,2.484070,0.435555,True,0.008657,1
2394,1774270434.766932,1774270613.351639,1098,449,178.573869,1.468590,0.395324,True,0.010838,1
85,1774267329.702535,1774267395.370981,206,179,65.661661,0.513380,0.366002,True,0.006785,1
595,1774268003.199697,1774268051.855953,209,179,48.647590,3.046859,0.256184,True,0.008666,1
1310,1774268875.615419,1774269091.070721,1139,674,215.449655,2.193907,0.316873,True,0.005647,1
2395,1774270436.740055,1774270461.777917,398,80,25.035826,0.679098,0.308313,True,0.002036,1
86,1774267329.708780,1774267367.575905,400,91,37.855627,1.310965,0.406052,True,0.011499,1
596,1774268004.539328,1774268162.704945,1047,401,158.154152,3.263853,0.387226,True,0.011465,1
2,1774267101.776172,1774267110.015359,879,55,8.235537,1.619399,0.122521,True,0.003650,1
2396,1774270436.888333,1774270455.304803,954,54,18.407736,1.253939,0.323657,True,0.008735,1
87,1774267329.796283,1774267489.935666,1123,396,160.132784,1.957736,0.400443,True,0.006599,1
597,1774268006.554693,1774268090.334319,200,193,83.770976,0.450612,0.433960,True,0.008650,1
3,1774267102.787146,1774267105.491410,91,16,2.700430,0.891638,0.120586,True,0.003834,1
2397,1774270440.108059,1774270471.982343,419,99,31.869497,0.575535,0.319326,True,0.004787,1
88,1774267329.907460,1774267484.223692,862,379,154.307625,1.043062,0.405462,True,0.008607,1
598,1774268008.111792,1774268200.846074,942,404,192.733707,1.186147,0.475304,True,0.000576,2
4,1774267109.880081,1774267113.492770,91,16,3.602228,0.453599,0.209909,True,0.010460,1
2398,1774270441.964190,1774270475.176378,400,97,33.207508,0.969339,0.335814,True,0.004680,1
89,1774267330.636346,1774267538.725643,859,422,208.084287,2.541879,0.488224,True,0.005010,2
599,1774268009.154147,1774268218.189594,1072,446,209.028767,1.397890,0.466586,True,0.006680,2
5,1774267112.393468,1774267129.901708,381,84,17.507647,0.699864,0.202503,True,0.000593,1
2399,1774270443.247466,1774270592.661186,1146,375,149.413102,1.310898,0.395995,True,0.000619,1
90,1774267330.672009,1774267454.861995,890,402,124.189453,1.761423,0.305307,True,0.000534,1
600,1774268009.660282,1774268221.827437,1232,419,212.159548,2.570875,0.501408,True,0.007607,2
6,1774267120.997494,1774267149.616516,1313,142,28.615269,1.381358,0.193148,True,0.003753,1
2400,1774270443.800902,1774270595.789108,1210,385,151.982454,2.182403,0.390104,True,0.005752,1
91,1774267330.816986,1774267537.559320,1192,419,206.731428,1.847050,0.490154,True,0.010907,2
601,1774268010.428804,1774268057.885247,373,91,47.451708,0.670780,0.519788,True,0.004735,1
7,1774267124.033261,1774267140.466198,388,84,16.426189,0.489452,0.192009,True,0.006749,1
2401,1774270443.830104,1774270474.986169,396,90,31.148295,1.437596,0.333828,True,0.007771,1
92,1774267331.376645,1774267491.866906,899,403,160.481543,1.593410,0.395244,True,0.008718,1
602,1774268011.361672,1774268174.929358,999,395,163.558022,2.019106,0.409997,True,0.009664,1
8,1774267124.547369,1774267126.668573,242,14,2.120586,0.542897,0.121361,True,0.000618,1
2402,1774270443.880368,1774270457.278940,435,64,13.389930,0.834371,0.199295,True,0.008643,1
93,1774267332.523264,1774267421.246497,163,224,88.715586,1.046188,0.393136,True,0.007646,1
603,1774268012.114794,1774268212.215280,1146,426,200.089783,1.584201,0.467072,True,0.010704,2
9,1774267125.314045,1774267154.416331,209,152,29.098585,0.352710,0.190370,True,0.003701,1
2403,1774270446.152530,1774270476.057450,375,96,29.901232,0.598867,0.308446,True,0.003688,1
94,1774267333.685044,1774267405.275205,181,212,71.585558,0.460082,0.337088,True,0.004603,1
604,1774268014.949911,1774268305.956498,1049,667,290.996824,1.381945,0.434857,True,0.009764,2
10,1774267126.726233,1774267150.626308,394,124,23.891330,0.506068,0.190124,True,0.008745,1
2404,1774270447.125045,1774270475.494085,381,81,28.366322,0.846646,0.343996,True,0.002718,1
95,1774267336.059325,1774267371.301607,416,88,35.231523,0.701915,0.396892,True,0.010759,1
605,1774268017.039809,1774268179.021614,1130,375,161.972950,2.105691,0.427453,True,0.008855,1
11,1774267131.089073,1774267142.607814,394,59,11.509419,0.520917,0.189457,True,0.009322,1
2405,1774270453.048395,1774270485.415602,384,99,32.362543,0.659417,0.323501,True,0.004664,1
96,1774267336.184258,1774267463.473892,1163,426,127.278959,2.148429,0.294425,True,0.010675,1
606,1774268017.041028,1774268212.124344,1009,419,195.064964,1.391455,0.463334,True,0.018352,2
12,1774267132.019958,1774267160.705778,1315,174,28.677952,2.382677,0.151996,True,0.007869,1
2406,1774270459.752847,1774270486.953552,1912,72,27.195964,3.442548,0.334555,True,0.004740,1
97,1774267337.271696,1774267344.674818,243,14,7.392394,3.259878,0.317886,True,0.010727,1
607,1774268018.478007,1774268172.786357,1317,320,154.302663,1.648043,0.478541,True,0.005688,2
13,1774267137.801095,1774267150.037667,389,90,12.228640,0.823349,0.128149,True,0.007933,1
2407,1774270460.176335,1774270594.639759,1095,423,134.460791,5.020729,0.306730,True,0.002633,1
98,1774267337.885852,1774267463.862064,1041,428,125.973061,2.338780,0.289542,True,0.003150,1
608,1774268018.599950,1774268071.214621,921,114,52.605946,2.581744,0.442692,True,0.008725,1
14,1774267141.471920,1774267161.767009,415,106,20.285893,0.533767,0.188115,True,0.009196,1
2408,1774270460.474206,1774270593.330202,1201,426,132.854437,5.608426,0.299402,True,0.001559,1
99,1774267338.062729,1774267398.691229,1350,146,60.617846,1.449142,0.408060,True,0.010654,1
609,1774268019.653029,1774268227.119944,1157,429,207.460124,2.221757,0.479529,True,0.006791,2
15,1774267143.110405,1774267145.272372,120,12,2.153102,0.353560,0.163595,True,0.008864,1
2409,1774270460.731682,1774270609.781445,1092,502,149.049188,6.068242,0.285391,True,0.000575,1
100,1774267338.769084,1774267537.559519,1104,396,198.782446,2.062956,0.498024,True,0.007988,2
610,1774268020.136633,1774268217.165090,1093,425,197.021698,2.289428,0.459274,True,0.006760,2
24,1774267185.307652,1774267201.507202,389,87,16.194824,0.535819,0.182081,True,0.004727,1
2410,1774270461.699425,1774270503.337924,1109,91,41.629758,1.461054,0.446319,True,0.008740,1
101,1774267338.892667,1774267463.930451,1127,426,125.031212,3.526254,0.285894,True,0.006572,1
611,1774268020.351563,1774268209.453211,1035,405,189.091334,3.027915,0.460553,True,0.010313,2
16,1774267145.544327,1774267159.754868,369,74,14.206815,0.444127,0.188530,True,0.003726,1
2411,1774270463.479019,1774270498.045140,366,80,34.565483,0.556761,0.430490,True,0.000638,1
102,1774267343.493439,1774267525.637608,1114,414,182.143580,1.359835,0.437733,True,0.000589,2
612,1774268020.364110,1774268202.787010,1009,395,182.413736,2.258676,0.457246,True,0.009165,2
25,1774267194.007697,1774267197.007579,91,16,2.991889,0.305580,0.179087,True,0.007994,1
2412,1774270463.759732,1774270511.490114,1730,104,47.722554,2.224192,0.441732,True,0.007828,1
103,1774267344.583418,1774267521.576016,1083,396,176.991897,1.884217,0.443311,True,0.000700,2
613,1774268020.858595,1774268057.413610,482,73,36.547262,1.843298,0.481999,True,0.007753,1
17,1774267151.843307,1774267175.767323,206,162,23.920293,0.530832,0.145276,True,0.003723,1
2413,1774270467.306469,1774270529.415558,1357,200,62.104324,2.598771,0.299023,True,0.004765,1
104,1774267344.678213,1774267414.323425,1313,173,69.636582,1.626823,0.395406,True,0.008631,1
614,1774268022.531768,1774268068.468812,401,104,45.929336,1.134274,0.434904,True,0.007708,1
18,1774267152.674763,1774267173.886453,1353,142,21.207887,2.540599,0.132392,True,0.003802,1
2414,1774270468.759236,1774270505.090263,372,79,36.319726,0.653625,0.457258,True,0.011302,1
105,1774267345.154768,1774267540.706570,888,395,195.542464,2.472197,0.490026,True,0.009339,2
615,1774268022.919017,1774268227.474918,1046,429,204.546246,1.946522,0.473364,True,0.009655,2
19,1774267152.823315,1774267180.712412,197,152,27.880376,0.395119,0.182022,True,0.008720,1
2415,1774270469.433479,1774270591.987687,1025,414,122.551432,2.429117,0.290853,True,0.002776,1
106,1774267345.246980,1774267398.602731,13,130,53.347068,2.825732,0.391638,True,0.008682,1
616,1774268025.081226,1774268219.376783,1230,389,194.293929,1.438990,0.497049,True,0.001628,2
20,1774267158.882204,1774267187.501628,181,154,28.611634,0.418860,0.184266,True,0.007791,1
2416,1774270470.202651,1774270587.706984,1171,396,117.501443,3.821021,0.287799,True,0.002890,1
107,1774267345.574060,1774267384.169005,874,89,38.585191,1.834565,0.417621,True,0.009754,1
617,1774268025.189865,1774268071.449588,161,159,46.252334,0.429402,0.290019,True,0.007389,1
21,1774267159.111183,1774267169.215412,388,54,10.098505,0.563405,0.179908,True,0.005723,1
2417,1774270473.577669,1774270505.089761,371,62,31.511185,0.682067,0.505395,True,0.000907,1
108,1774267346.005688,1774267521.832535,1065,395,175.820147,2.023840,0.441107,True,0.006700,2
618,1774268028.844975,1774268143.522283,26,238,114.667948,1.381995,0.478000,True,0.009360,2
22,1774267181.282084,1774267208.655297,203,147,27.366467,0.345714,0.185074,True,0.006746,1
2418,1774270474.248445,1774270539.640184,881,141,65.384092,1.110035,0.459100,True,0.007647,1
109,1774267347.541677,1774267548.492298,1157,426,200.946839,1.819265,0.468535,True,0.003782,2
619,1774268028.967386,1774268223.092558,1108,399,194.115344,1.259220,0.484563,True,0.009828,2
23,1774267183.488071,1774267221.549963,126,194,38.053101,0.427403,0.194952,True,0.008790,1
2419,1774270474.540970,1774270526.889669,413,106,52.344056,1.421914,0.484973,True,0.004643,1
110,1774267347.706629,1774267462.627918,1077,390,114.917539,1.685198,0.291086,True,0.003751,1
620,1774268029.793734,1774268081.490520,378,124,51.690104,0.985393,0.412233,True,0.006683,1
26,1774267197.398071,1774267222.459017,181,123,25.054216,0.374281,0.202295,True,0.006730,1
2420,1774270475.630303,1774270478.138266,120,12,2.504230,0.407982,0.190568,True,0.003734,1
111,1774267351.667286,1774267547.039673,1149,411,195.364769,1.257646,0.473432,True,0.007618,2
621,1774268029.810801,1774268216.532917,1051,410,186.711413,1.706272,0.452335,True,0.010703,2
27,1774267198.474606,1774267225.858331,191,217,27.378948,0.410324,0.124855,True,0.004776,1
2421,1774270482.599893,1774270648.682216,1087,394,166.079638,1.158427,0.419647,True,0.002685,1
112,1774267351.905417,1774267466.868035,996,389,114.953875,2.002679,0.291111,True,0.008743,1
622,1774268031.327398,1774268069.446770,2,93,38.114743,0.553350,0.408276,True,0.004630,1
28,1774267200.176292,1774267241.366023,27,183,41.180902,0.288537,0.224683,True,0.008829,1
2422,1774270483.925187,1774270653.512031,1136,396,169.577535,1.268054,0.426100,True,0.009309,1
113,1774267352.963740,1774267524.172821,990,394,171.202251,1.155104,0.432690,True,0.006830,2
623,1774268032.328315,1774268208.751728,1001,373,176.415732,2.006215,0.468843,True,0.007681,1
29,1774267202.745569,1774267252.729129,203,217,49.982921,0.395096,0.229573,True,0.000639,1
2423,1774270484.414746,1774270507.890938,376,56,23.472455,0.939743,0.409686,True,0.003737,1
114,1774267354.285210,1774267422.982466,197,183,68.696672,0.500128,0.374706,True,0.000583,1
624,1774268032.678625,1774268232.233755,1059,429,199.554406,1.197347,0.463451,True,0.000725,2
30,1774267202.774994,1774267213.442250,398,81,10.664615,0.940797,0.121548,True,0.002640,1
2424,1774270485.250642,1774270654.432988,1244,396,169.181753,1.447204,0.424644,True,0.000593,1
115,1774267357.782721,1774267435.935149,197,217,78.146518,0.351558,0.360162,True,0.005910,1
625,1774268033.613888,1774268210.225985,996,385,176.611515,1.607776,0.455739,True,0.000582,2
31,1774267210.801304,1774267252.536226,126,172,41.726212,0.346977,0.241984,True,0.008709,1
2425,1774270485.367050,1774270671.834601,1184,424,186.459907,1.848700,0.436433,True,0.007644,1
116,1774267359.284148,1774267481.821542,1378,407,122.534725,2.578441,0.295459,True,0.002670,1
626,1774268033.681559,1774268213.797423,1096,396,180.111169,2.687980,0.449173,True,0.004695,1
32,1774267212.493662,1774267256.605296,209,181,44.109902,0.373052,0.242982,True,0.001732,1
2426,1774270487.188303,1774270530.949358,1047,87,43.754339,1.164755,0.495228,True,0.006717,1
117,1774267360.929018,1774267549.241603,1214,421,188.308787,1.344132,0.445154,True,0.003799,2
627,1774268034.207731,1774268072.162658,417,98,37.947287,1.525678,0.375481,True,0.007639,1
33,1774267214.752601,1774267259.073025,209,181,44.314590,0.406750,0.243932,True,0.005834,1
2427,1774270487.875579,1774270522.947025,1999,97,35.070826,3.578783,0.328042,True,0.000620,1
118,1774267362.076630,1774267545.581048,1016,375,183.498710,1.353990,0.487018,True,0.005708,2
628,1774268036.112244,1774268217.165081,1139,396,181.041991,1.261784,0.455140,True,0.010845,2
34,1774267219.402754,1774267262.126921,28,175,42.717400,0.413748,0.243124,True,0.006767,1
2428,1774270488.340490,1774270642.256984,1085,375,153.912724,1.262339,0.408156,True,0.003769,1
119,1774267362.722667,1774267538.525098,1186,398,175.794710,2.013513,0.437736,True,0.007721,2
629,1774268036.917408,1774268047.309008,310,18,10.390970,1.116031,0.545585,True,0.000630,1
35,1774267223.135325,1774267245.865317,437,88,22.727299,0.550263,0.254908,True,0.002693,1
2429,1774270488.481891,1774270654.212435,1002,398,165.723800,1.773418,0.412973,True,0.006743,1
120,1774267363.332580,1774267552.683138,1100,426,189.341756,2.060894,0.440661,True,0.008802,2
630,1774268038.757638,1774268250.010886,1027,482,211.244072,1.249708,0.436579,True,0.009177,2
36,1774267223.895072,1774267250.074039,181,104,26.178294,0.369518,0.250571,True,0.000674,1
2430,1774270489.121212,1774270647.123400,1063,385,157.994484,3.290807,0.402874,True,0.007704,1
121,1774267364.303415,1774267451.363496,218,217,87.055375,1.368643,0.396698,True,0.004706,1
631,1774268039.326429,1774268217.108338,1007,388,177.776557,1.925734,0.454395,True,0.005352,1
37,1774267225.012956,1774267242.865357,203,138,17.845730,0.540349,0.126317,True,0.006671,1
2431,1774270489.604446,1774270558.352525,1315,163,68.747588,1.919601,0.412518,True,0.000492,1
122,1774267366.783078,1774267490.927473,1232,419,124.141632,2.344612,0.291380,True,0.002763,1
632,1774268039.596886,1774268088.606541,161,150,49.009103,2.158954,0.314431,True,0.000552,1
38,1774267225.864709,1774267271.467128,200,177,45.594702,0.483669,0.256313,True,0.007717,1
2432,1774270489.772435,1774270663.418340,1150,411,173.640191,2.238588,0.418053,True,0.005714,1
123,1774267368.498093,1774267564.231973,975,416,195.730270,1.153208,0.468860,True,0.003610,2
633,1774268041.852558,1774268218.811806,1025,394,176.952569,1.283843,0.446994,True,0.006679,2
39,1774267226.469990,1774267228.582441,91,16,2.103737,0.322366,0.118758,True,0.008714,1
2433,1774270490.834275,1774270521.225393,1098,88,30.382436,2.640980,0.318867,True,0.008681,1
124,1774267369.888187,1774267456.352215,209,217,86.463346,0.358014,0.398636,True,0.000682,1
634,1774268042.203135,1774268224.250372,1044,413,182.039582,2.163398,0.436593,True,0.007654,2
40,1774267230.027296,1774267343.792589,1087,401,113.764703,1.178353,0.281466,True,0.000590,1
125,1774267371.891758,1774267406.461612,181,85,34.566194,0.510803,0.405421,True,0.003660,1
635,1774268042.934292,1774268074.760139,404,108,31.823153,0.960326,0.288438,True,0.002694,1
41,1774267232.051019,1774267248.152941,382,64,16.091206,0.609006,0.245749,True,0.010715,1
2435,1774270492.168288,1774270647.565723,1069,388,155.392689,2.195411,0.395859,True,0.004746,1
126,1774267372.050011,1774267487.878496,1029,388,115.827955,2.117736,0.293825,True,0.000530,1
636,1774268043.160018,1774268235.668483,1036,425,192.504884,1.708075,0.449992,True,0.003580,2
42,1774267232.966634,1774267246.155020,412,102,13.179681,0.844173,0.122134,True,0.008705,1
