RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1761006073.219996,1761006241.405793,374,44,335.806752,1.599998,7.77225,True
1,1761006073.220118,1761006321.421986,396,109,495.814109,3.247479,4.560802,True
2,1761006073.220173,1761006249.926641,879,55,352.800645,20.213259,6.159026,True
3,1761006073.220212,1761006224.756201,91,16,302.438481,18.906489,18.902133,True
4,1761006073.220248,1761006221.608269,91,16,296.12204,22.624156,18.233192,True
5,1761006073.220282,1761006276.771547,381,84,406.428037,17.44604,4.68653,True
6,1761006073.220314,1761006350.47046,1313,142,553.806633,14.772667,3.822936,True
7,1761006073.220349,1761006272.179244,388,84,397.202442,28.584483,4.44118,True
8,1761006073.22038,1761006218.301658,242,14,289.424141,23.61267,20.447036,True
9,1761006073.22041,1761006330.958661,209,152,514.718257,14.104175,3.315325,True
10,1761006073.22044,1761006337.9603,394,124,528.700811,11.352935,4.20608,True
11,1761006073.220471,1761006250.51169,394,59,353.781506,18.821785,5.775168,True
12,1761006073.220501,1761006695.643155,1315,174,1244.023592,539.478005,4.072518,True
13,1761006073.220532,1761006283.200498,389,90,419.115274,28.519749,4.388714,True
14,1761006073.220564,1761006325.081082,415,106,502.854354,22.517782,4.574634,True
15,1761006073.220595,1761006218.776247,120,12,290.224411,17.33907,24.807758,True
16,1761006073.220625,1761006260.740649,369,74,374.131275,23.526745,4.802802,True
17,1761006073.220655,1761006367.399835,206,162,587.428681,14.654361,3.557604,True
18,1761006073.220685,1761006319.306429,1353,142,491.220149,14.007377,3.384488,True
19,1761006073.220715,1761006327.237682,197,152,507.061079,18.735576,3.233944,True
20,1761006073.220745,1761006334.010725,181,154,520.586239,28.444667,3.216612,True
21,1761006073.220778,1761006246.967122,388,54,346.477257,11.235081,6.325324,True
22,1761006073.220823,1761006356.35895,203,147,565.241315,20.001137,3.734522,True
23,1761006073.22086,1761006361.315492,126,194,575.132541,23.452412,2.858446,True
24,1761006073.22089,1761006282.569102,389,87,417.616942,22.411025,4.595418,True
25,1761006073.22092,1761006222.865189,91,16,298.186664,17.232088,18.730305,True
26,1761006073.220951,1761006335.057083,181,123,522.551005,14.557782,4.163879,True
27,1761006073.220984,1761006736.9819,191,217,1326.373706,520.385342,3.731428,True
28,1761006073.221014,1761006350.689012,27,183,553.769043,18.638374,2.940278,True
29,1761006073.221044,1761006742.084004,203,217,1336.53751,473.541195,3.995353,True
30,1761006073.221074,1761006267.429691,398,81,387.20602,28.335929,4.485876,True
31,1761006073.221103,1761006695.139297,126,172,1242.604227,502.929137,4.325585,True
32,1761006073.221132,1761006350.767241,209,181,553.839263,23.353795,2.947141,True
33,1761006073.221161,1761006707.645041,209,181,1267.574122,502.908657,4.248141,True
34,1761006073.221196,1761006712.376413,28,175,1277.014259,464.969829,4.666922,True
35,1761006073.221229,1761006282.324159,437,88,416.886831,14.45984,4.625598,True
36,1761006073.221258,1761006296.09631,181,104,444.411279,13.813042,4.180565,True
37,1761006073.221288,1761006349.984705,203,138,552.167676,11.061707,3.949679,True
38,1761006073.221317,1761006698.630753,200,177,1249.436027,502.854121,4.241943,True
39,1761006073.221347,1761006224.755907,91,16,301.665141,18.518983,18.876411,True
40,1761006073.221379,1761006936.609796,1087,401,1725.351693,481.688008,3.109159,True
41,1761006073.221408,1761006253.508145,382,64,359.124821,28.217229,5.252501,True
42,1761006073.221437,1761006303.978311,412,102,460.044207,17.046972,4.386111,True
43,1761006073.221466,1761006744.81826,194,217,1341.700398,470.410191,4.033751,True
44,1761006073.221506,1761006734.082248,203,217,1320.20654,467.717219,3.94671,True
45,1761006073.221535,1761006736.981895,200,217,1325.982484,464.849854,3.986725,True
46,1761006073.221563,1761006348.183146,64,174,548.366466,23.202153,3.035632,True
47,1761006073.221597,1761006340.497386,458,123,532.972662,22.160148,4.186988,True
48,1761006073.221641,1761006356.682672,1352,158,565.322479,16.981355,3.492619,True
49,1761006073.2217,1761006962.398826,874,404,1776.732025,520.146373,3.118079,True
50,1761006073.221751,1761006255.295976,378,58,362.505423,14.29634,6.108931,True
51,1761006073.221781,1761006220.756743,91,16,293.40408,10.908596,18.833032,True
52,1761006073.221824,1761006274.915167,389,89,401.69967,18.37717,4.355938,True
53,1761006073.221879,1761006716.817169,212,183,1285.482352,473.28079,4.462646,True
54,1761006073.221909,1761006905.329398,1085,394,1662.485995,473.270008,3.025995,True
55,1761006073.221937,1761006334.487473,407,131,520.781292,16.906149,3.875963,True
56,1761006073.22197,1761006274.688797,396,82,401.162622,14.232041,4.776921,True
57,1761006073.222,1761006927.042359,1029,399,1705.847306,520.060245,2.979364,True
58,1761006073.22203,1761007482.9139,962,399,2817.569196,1002.032284,4.561651,True
59,1761006073.222058,1761006736.981914,203,217,1325.682411,520.03903,3.72983,True
60,1761006073.222085,1761006285.490078,898,94,422.678589,18.292375,4.348239,True
61,1761006073.222116,1761006767.957699,181,253,1387.592689,461.955045,3.673165,True
62,1761006073.222144,1761006222.944653,320,18,297.545099,19.567573,16.351619,True
63,1761006073.222175,1761007549.059691,1119,414,2949.753685,999.383042,4.722447,True
64,1761006073.222203,1761006333.332919,124,157,518.280135,23.008528,3.174818,True
65,1761006073.22223,1761006355.683638,1313,179,562.960955,13.50077,3.086855,True
66,1761006073.22226,1761006851.901557,1096,383,1555.375334,527.517598,2.690727,True
67,1761006073.222289,1761006299.242164,400,102,450.03627,27.938733,4.179184,True
68,1761006073.222316,1761007615.406227,1057,424,3082.343336,1017.7728,4.880781,True
69,1761006073.222344,1761006338.017038,203,162,527.545156,13.458972,3.193082,True
70,1761006073.222378,1761006734.004933,1314,216,1319.498833,464.583957,3.976348,True
71,1761006073.222409,1761006288.784343,2,93,429.037492,16.737534,4.481521,True
72,1761006073.222435,1761006928.538235,1065,409,1708.522916,512.994755,2.930216,True
73,1761006073.222463,1761006255.219,372,60,361.864441,10.675614,5.952353,True
74,1761006073.22249,1761006905.32949,1104,394,1662.062561,527.433224,2.887098,True
75,1761006073.222521,1761007582.551754,1075,415,3016.485357,1070.24242,4.70107,True
76,1761006073.222548,1761006839.876655,1225,372,1531.114021,516.151047,2.735749,True
77,1761006073.222575,1761007609.686198,1118,426,3070.712236,999.234923,4.874064,True
