RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1761019063.923834,1761019070.712259,374,44,13.575137,1.573225,0.279114,True
1,1761019081.166537,1761019103.554532,396,109,44.754242,3.096937,0.385716,True
2,1761019082.075408,1761019090.129403,879,55,16.100466,1.499312,0.270392,True
3,1761019082.750134,1761019087.058412,91,16,8.600737,1.916773,0.445598,True
4,1761019087.479163,1761019089.615041,91,16,4.25421,0.327042,0.261811,True
5,1761019089.154657,1761019104.744946,381,84,31.172881,0.735821,0.366712,True
6,1761019094.890696,1761019119.902617,1313,142,50.014186,1.733148,0.342419,True
7,1761019096.914096,1761019113.411482,388,84,32.993416,0.723717,0.388792,True
8,1761019097.256595,1761019100.318204,242,14,6.111643,0.909793,0.400142,True
9,1761019097.767843,1761019123.71897,209,152,51.890597,0.403701,0.340973,True
10,1761019098.708882,1761019121.989474,394,124,46.545788,0.815032,0.371795,True
11,1761019101.618213,1761019113.612608,394,59,23.977404,0.826571,0.399152,True
12,1761019102.238846,1761019130.702223,1315,174,56.913873,2.42715,0.314952,True
13,1761019106.092844,1761019121.957749,389,90,31.720031,0.768224,0.347773,True
14,1761019108.540388,1761019125.850553,415,106,34.602359,0.874604,0.321217,True
15,1761019109.63147,1761019112.029359,120,12,4.782135,0.323322,0.405347,True
16,1761019111.254968,1761019124.505417,369,74,26.499663,0.539061,0.355625,True
17,1761019115.454452,1761019138.361027,206,162,45.797939,0.428285,0.281799,True
18,1761019116.00904,1761019136.225487,1353,142,40.415334,2.341606,0.270026,True
19,1761019116.107348,1761019141.93519,197,152,51.646029,0.401878,0.339365,True
20,1761019120.147015,1761019146.418912,181,154,52.536332,0.394271,0.340798,True
21,1761019120.299913,1761019129.844666,388,54,19.075977,0.745175,0.345864,True
22,1761019135.079695,1761019154.000089,203,147,37.81916,0.467325,0.255834,True
23,1761019136.550474,1761019172.78292,126,194,72.451878,0.347886,0.373596,True
24,1761019137.764127,1761019152.759733,389,87,29.981672,0.58739,0.341794,True
25,1761019143.563562,1761019146.491943,91,16,5.839148,0.323341,0.36772,True
26,1761019145.824276,1761019169.25068,181,123,46.839156,0.383195,0.380787,True
27,1761019146.542062,1761019181.117434,191,217,69.12918,0.492985,0.31776,True
28,1761019147.675918,1761019175.263224,27,183,55.167063,0.28474,0.301551,True
29,1761019149.388878,1761019183.832927,203,217,68.88249,0.429262,0.316913,True
30,1761019149.408745,1761019165.432614,398,81,32.040456,0.60387,0.392957,True
31,1761019154.759485,1761019191.106935,126,172,72.677194,0.355468,0.422934,True
32,1761019155.887846,1761019195.418786,209,181,79.054308,0.417015,0.436874,True
33,1761019157.393794,1761019196.850346,209,181,78.890268,0.488931,0.435563,True
34,1761019160.494855,1761019193.322776,28,175,65.654437,0.203589,0.376154,True
35,1761019162.981781,1761019183.217088,437,88,40.467001,0.726049,0.456793,True
36,1761019163.488563,1761019186.249212,181,104,45.515651,0.676064,0.435336,True
37,1761019164.234192,1761019193.572991,203,138,58.661109,0.511818,0.424447,True
38,1761019164.801728,1761019198.079773,200,177,66.538584,0.402975,0.375771,True
39,1761019165.205502,1761019167.539542,91,16,4.652431,0.303787,0.28991,True
40,1761019167.577168,1761019269.016564,1087,401,202.863187,1.887707,0.502439,True
41,1761019168.926119,1761019181.978258,382,64,26.098662,1.362162,0.392643,True
42,1761019169.536447,1761019187.840514,412,102,36.587889,1.37674,0.348625,True
43,1761019169.752618,1761019227.130036,194,217,114.747386,0.416172,0.529311,True
44,1761019173.229509,1761019209.636161,203,217,72.794158,0.44742,0.334939,True
45,1761019174.118838,1761019232.261894,200,217,116.264263,0.390405,0.536453,True
46,1761019176.269174,1761019206.476956,64,174,60.404027,0.293621,0.347459,True
47,1761019177.321948,1761019213.936615,458,123,73.20878,0.655088,0.594702,True
48,1761019178.222479,1761019206.070693,1352,158,55.692799,2.409865,0.339382,True
49,1761019178.340002,1761019322.73517,874,404,288.768402,1.218676,0.713523,True
50,1761019178.966089,1761019191.400267,378,58,24.851048,1.301198,0.413155,True
51,1761019181.269655,1761019184.576867,91,16,6.598541,0.390077,0.413898,True
52,1761019184.635974,1761019200.928459,389,89,32.583601,0.81547,0.361001,True
53,1761019188.984746,1761019225.004742,212,183,72.032295,0.463888,0.393233,True
54,1761019190.390459,1761019321.722087,1085,394,262.645598,1.879253,0.663528,True
55,1761019190.949309,1761019211.780997,407,131,41.653732,2.162287,0.30378,True
56,1761019191.577017,1761019218.460244,396,82,53.760864,0.608681,0.6562,True
57,1761019193.462914,1761019350.15669,1029,399,313.372066,1.42763,0.78378,True
58,1761019196.851635,1761019354.668689,962,399,315.622434,1.289975,0.78978,True
59,1761019197.562596,1761019284.945876,203,217,174.750421,1.827835,0.800568,True
60,1761019197.872582,1761019227.608766,898,94,59.458998,1.439291,0.623868,True
61,1761019198.015634,1761019280.529718,181,253,165.012838,0.505134,0.652808,True
62,1761019198.491688,1761019201.551213,320,18,6.107467,0.704582,0.317817,True
63,1761019198.903581,1761019778.140621,1119,414,1158.467662,289.864058,2.103156,True
64,1761019199.208748,1761019248.697492,124,157,98.974056,0.498319,0.631255,True
65,1761019199.63835,1761019259.197679,1313,179,119.105299,2.999849,0.652278,True
66,1761019202.894543,1761019351.283316,1096,383,296.763458,1.427899,0.77313,True
67,1761019205.085193,1761019231.545519,400,102,52.904952,0.748682,0.516399,True
68,1761019208.462563,1761019783.70212,1057,424,1150.461442,249.614534,2.129662,True
69,1761019209.990314,1761019271.784903,203,162,123.57161,0.577953,0.763936,True
70,1761019211.367972,1761019297.142704,1314,216,171.541755,1.787037,0.789557,True
71,1761019212.407387,1761019237.945424,2,93,51.054434,1.08006,0.5432,True
72,1761019213.81275,1761019776.72712,1065,409,1125.812639,266.519887,2.10611,True
73,1761019216.528534,1761019233.042534,372,60,33.010409,0.738218,0.546986,True
74,1761019218.105197,1761019767.692087,1104,394,1099.154416,281.566651,2.080376,True
75,1761019219.162099,1761019778.883261,1075,415,1119.436436,275.099752,2.039461,True
76,1761019220.790606,1761019363.890278,1225,372,286.190747,2.125149,0.765675,True
