RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1761011092.477244,1761011102.687428,374,44,20.418929,3.211638,0.40017,True
1,1761011109.720486,1761011130.241393,396,109,41.030324,0.564875,0.37468,True
2,1761011110.629577,1761011120.983415,879,55,20.692032,1.273217,0.359608,True
3,1761011111.30527,1761011114.583349,91,16,6.554555,0.893347,0.377414,True
4,1761011116.033031,1761011119.090836,91,16,6.108026,1.225279,0.325516,True
5,1761011117.708623,1761011133.450911,381,84,31.476836,0.673501,0.371125,True
6,1761011123.444062,1761011149.617959,1313,142,52.332277,2.219463,0.35541,True
7,1761011125.467966,1761011141.920483,388,84,32.903774,0.600452,0.389197,True
8,1761011125.810581,1761011129.369965,242,14,7.109138,0.686339,0.494061,True
9,1761011126.321941,1761011151.887832,209,152,51.126225,0.51158,0.335196,True
10,1761011127.26325,1761011150.20992,394,124,45.883805,0.609742,0.368082,True
11,1761011130.171672,1761011141.153497,394,59,21.942138,0.605167,0.367879,True
12,1761011130.792326,1761011159.10271,1315,174,56.613295,2.26585,0.314147,True
13,1761011134.646501,1761011150.058749,389,90,30.814978,0.764874,0.337642,True
14,1761011137.093451,1761011156.501794,415,106,38.801157,0.662894,0.363222,True
15,1761011138.18717,1761011140.831722,120,12,5.287807,0.318977,0.451712,True
16,1761011139.808282,1761011153.306401,369,74,26.980801,0.693027,0.360106,True
17,1761011144.00865,1761011167.692552,206,162,47.356464,0.522861,0.290892,True
18,1761011144.56223,1761011165.196584,1353,142,41.255336,2.526782,0.274671,True
19,1761011144.661932,1761011166.756341,197,152,44.187716,2.859009,0.2737,True
20,1761011148.700568,1761011174.857644,181,154,52.296618,0.47185,0.338724,True
21,1761011148.854686,1761011158.299649,388,54,18.888699,0.795139,0.341388,True
22,1761011163.633926,1761011191.162203,203,147,55.051149,0.501491,0.373628,True
23,1761011165.104166,1761011189.032722,126,194,47.835639,0.372837,0.245921,True
24,1761011166.318266,1761011182.276748,389,87,31.89579,0.624046,0.363625,True
25,1761011172.117698,1761011174.209011,91,16,4.16502,0.269773,0.259683,True
26,1761011174.37763,1761011200.836391,181,123,52.899964,0.440301,0.429997,True
