RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1761022965.425277,1761022975.439993,374,44,20.02778,3.057512,0.394657,True
1,1761022982.668631,1761023002.372675,396,109,39.394679,0.566062,0.359524,True
2,1761022983.578102,1761022992.984866,879,55,18.796191,2.289673,0.305676,True
3,1761022984.252047,1761022987.965707,91,16,7.415844,1.905536,0.367354,True
4,1761022988.982297,1761022991.779169,91,16,5.592733,0.414261,0.345231,True
5,1761022990.656841,1761023002.463548,381,84,23.606256,0.846212,0.274217,True
6,1761022996.393139,1761023021.46201,1313,142,50.130274,1.66615,0.343717,True
7,1761022998.416418,1761023012.532587,388,84,28.216527,0.696544,0.331566,True
8,1761022998.760375,1761023001.534164,242,14,5.546456,0.623527,0.378687,True
9,1761022999.270802,1761023024.489983,209,152,50.421082,0.432507,0.33105,True
10,1761023000.211456,1761023024.090614,394,124,47.750964,0.773217,0.381933,True
11,1761023003.120363,1761023015.549966,394,59,24.849949,0.781821,0.414968,True
12,1761023003.740795,1761023033.278312,1315,174,59.057711,2.378935,0.327623,True
13,1761023007.595153,1761023023.986149,389,90,32.768607,0.753814,0.359717,True
14,1761023010.042477,1761023027.987307,415,106,35.87827,0.770409,0.334361,True
15,1761023011.134346,1761023013.546993,120,12,4.816077,0.394599,0.401953,True
16,1761023012.757538,1761023025.61798,369,74,25.712051,0.680746,0.342895,True
17,1761023016.956553,1761023044.800571,206,162,55.678684,0.474506,0.342883,True
18,1761023017.51136,1761023038.009698,1353,142,40.983427,2.318169,0.274222,True
19,1761023017.610072,1761023043.652936,197,152,52.084691,0.402129,0.342269,True
20,1761023021.648715,1761023041.331252,181,154,39.345018,0.48266,0.254002,True
21,1761023021.802011,1761023030.794373,388,54,17.983678,0.587845,0.328223,True
22,1761023036.582351,1761023065.821252,203,147,58.456219,0.386263,0.397739,True
23,1761023038.054435,1761023079.036745,126,194,81.963721,0.368112,0.422775,True
24,1761023039.266665,1761023055.676613,389,87,32.79855,0.592718,0.374486,True
25,1761023045.066322,1761023047.815762,91,16,5.487479,0.369624,0.34119,True
26,1761023047.326634,1761023062.403254,181,123,30.131857,0.393422,0.243758,True
27,1761023048.044325,1761023106.714033,191,217,117.318804,0.416943,0.541212,True
28,1761023049.17864,1761023093.517952,27,183,88.675367,0.282572,0.485675,True
29,1761023050.891112,1761023109.537687,203,217,117.277399,0.442672,0.540902,True
30,1761023050.911493,1761023068.589636,398,81,35.339076,0.707468,0.432895,True
31,1761023056.262496,1761023105.987461,126,172,99.429241,0.364245,0.579327,True
32,1761023057.391732,1761023108.89222,209,181,102.999721,0.447029,0.569737,True
33,1761023058.896273,1761023111.56613,209,181,105.323516,0.428333,0.582751,True
34,1761023061.996514,1761023114.732555,28,175,105.462872,0.408815,0.603759,True
35,1761023064.484939,1761023087.83655,437,88,46.691966,0.770346,0.527835,True
36,1761023064.991851,1761023091.809567,181,104,53.63455,0.650896,0.514404,True
37,1761023065.73658,1761023082.907514,203,138,34.322892,0.400743,0.247607,True
38,1761023066.304773,1761023121.725274,200,177,110.819814,0.460242,0.627043,True
39,1761023066.707651,1761023071.916405,91,16,10.402403,0.436739,0.664378,True
40,1761023069.078926,1761023242.050277,1087,401,345.927076,1.410259,0.861292,True
