RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
9753,1774327874.099908,1774329841.204995,426,84,53.623121,1.605499,0.626718,True,1913.481966,1
7798,1774327874.035179,1774329575.749410,410,113,54.492026,0.827233,0.479150,True,1647.222206,1
6523,1774327873.994495,1774329320.785444,384,103,80.387216,23.337359,0.559312,True,1366.403733,1
468,1774327873.796377,1774327964.975305,206,179,85.493759,20.530361,0.364963,True,5.685169,1
5163,1774327873.950041,1774329085.251229,378,47,105.336966,58.832996,1.010956,True,1105.964222,1
11028,1774327874.141142,1774330013.681749,205,191,50.520827,0.361732,0.263995,True,2089.019780,1
12303,1774327874.184768,1774330245.501111,480,96,24.191784,2.519446,0.228130,True,2347.124559,1
13578,1774327874.345407,1774330466.836685,181,157,31.476026,9.041743,0.143810,True,2561.015252,1
15533,1774327874.409313,1774331117.806416,1213,397,196.422034,22.450679,0.439322,True,3046.975069,1
469,1774327873.796407,1774328348.911740,888,426,469.418780,27.131722,1.040675,True,5.696553,1
5164,1774327873.950074,1774329081.875870,394,99,101.656681,16.728063,0.866619,True,1106.269115,1
6524,1774327873.994531,1774329318.911974,415,108,78.449712,12.346808,0.617784,True,1366.467732,1
7799,1774327874.035212,1774329532.644794,327,18,11.334717,0.875032,0.615276,True,1647.274865,1
9754,1774327874.099939,1774329941.632635,416,89,153.612859,36.005192,1.336451,True,1913.919837,1
11029,1774327874.141196,1774330033.173420,421,95,69.918104,59.922866,0.106332,True,2089.114120,2
12304,1774327874.184800,1774330306.206805,194,90,84.823469,38.744337,0.517743,True,2347.198536,1
13579,1774327874.345439,1774330649.575793,84,140,213.768699,50.918556,1.171584,True,2561.461655,1
15534,1774327874.409346,1774330966.562170,35,110,45.050895,2.255176,0.392621,True,3047.101929,1
470,1774327873.796436,1774327926.692042,209,183,47.189527,14.659966,0.178734,True,5.706078,1
5165,1774327873.950103,1774329075.869028,1066,408,95.521721,16.185302,0.194930,True,1106.397203,1
6525,1774327873.994560,1774329394.217180,394,90,153.235658,44.649027,1.220075,True,1366.986962,1
7800,1774327874.035243,1774329568.463727,397,96,47.143479,0.937403,0.486380,True,1647.285004,1
9755,1774327874.099972,1774329937.712753,424,86,149.681475,38.772145,1.304816,True,1913.931306,1
11030,1774327874.141237,1774330067.376277,328,61,103.897122,22.537584,1.355992,True,2089.337918,1
12305,1774327874.184842,1774330764.473150,1081,411,542.973509,79.596159,1.130189,True,2347.314800,1
13580,1774327874.345468,1774330465.069686,414,99,28.973737,5.645195,0.238046,True,2561.750481,1
15535,1774327874.409378,1774331121.620932,1161,418,200.046307,16.554197,0.440029,True,3047.165247,1
471,1774327873.796466,1774328080.711609,1102,433,201.197278,22.468625,0.413724,True,5.717865,1
5166,1774327873.950133,1774329223.857671,1107,397,243.395518,55.617574,0.474187,True,1106.512020,1
6526,1774327873.994590,1774329263.858967,1086,95,22.815254,3.474759,0.205750,True,1367.049123,1
7801,1774327874.035273,1774329608.334913,1030,408,86.902689,1.131593,0.210740,True,1647.396951,1
9756,1774327874.100001,1774329907.043944,427,79,118.895311,14.749967,1.335197,True,1914.048632,1
11031,1774327874.141270,1774330054.143095,1218,51,90.654611,22.526512,1.362562,True,2089.347214,1
12306,1774327874.184872,1774330313.392654,192,76,91.786295,14.687876,1.027979,True,2347.421487,1
13581,1774327874.345498,1774330873.472484,1020,390,437.242605,50.441376,0.994348,True,2561.884381,1
15536,1774327874.409407,1774331001.508901,1039,411,79.923877,11.190042,0.167643,True,3047.175617,1
472,1774327873.796499,1774328064.010262,1007,424,184.486050,21.812926,0.384570,True,5.727714,1
5167,1774327873.950163,1774329237.672255,1130,460,257.093637,32.026828,0.490342,True,1106.628455,1
6527,1774327873.994619,1774329659.855155,1044,378,418.758056,25.561318,1.042962,True,1367.102479,1
7802,1774327874.035302,1774329605.284194,1014,394,83.769234,2.195300,0.207567,True,1647.479658,1
9757,1774327874.100030,1774329804.168920,1033,90,15.955854,1.281580,0.164879,True,1914.113036,1
11032,1774327874.141308,1774329980.289120,1969,59,16.768774,2.027422,0.254161,True,2089.379038,1
12307,1774327874.184901,1774330732.402150,1103,417,510.671317,46.453762,1.115908,True,2347.545932,1
13582,1774327874.345527,1774330491.948388,231,63,55.665097,19.692063,0.580210,True,2561.937764,1
15537,1774327874.409437,1774331283.557642,1086,410,361.189769,91.849685,0.658533,True,3047.958436,1
473,1774327873.796532,1774327961.061779,203,167,81.527120,22.801585,0.353768,True,5.738127,1
5168,1774327873.950205,1774329553.596631,1133,425,572.678280,87.778400,1.143632,True,1106.968146,1
