RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
7976,1774331498.489960,1774333071.351363,397,98,122.043638,10.968686,1.145103,True,1450.817766,1
5426,1774331498.407431,1774332545.922203,397,107,23.604903,2.793684,0.196332,True,1023.909870,1
3880,1774331498.357228,1774332237.818494,1048,80,38.509184,21.257663,0.218374,True,700.952083,1
4560,1774331498.378838,1774332435.718866,200,162,82.917844,10.799809,0.447938,True,854.422184,1
9251,1774331498.532236,1774333227.579014,1113,89,115.848137,1.628722,1.297948,True,1613.198641,1
11206,1774331498.597177,1774333846.597131,1051,395,475.463513,2.582117,1.200207,True,1872.536440,1
12481,1774331498.639220,1774333687.495596,219,80,114.708475,30.230516,1.069341,True,2074.147901,1
13756,1774331498.803192,1774334284.693507,909,425,497.816241,57.352252,1.038830,True,2288.074075,1
15031,1774331498.845106,1774334160.946594,200,217,119.214818,21.447848,0.452625,True,2542.886670,1
3881,1774331498.357257,1774332560.092861,181,222,360.386914,93.166152,1.209144,True,701.348691,1
4561,1774331498.378870,1774332648.385070,165,223,295.195209,78.096786,0.977921,True,854.810991,1
5427,1774331498.407459,1774332650.286399,1210,106,127.958534,39.533689,0.842141,True,1023.920405,1
7977,1774331498.489989,1774333442.199503,1092,373,492.775843,10.853342,1.295491,True,1450.933671,1
9252,1774331498.532265,1774333162.743874,1025,91,50.970309,0.708488,0.558465,True,1613.241299,1
11207,1774331498.597207,1774333398.649890,391,111,27.410012,0.497502,0.244659,True,1872.642671,1
12482,1774331498.639250,1774333593.015515,222,81,20.206302,5.721427,0.181061,True,2074.169963,1
13757,1774331498.803221,1774334266.666995,1050,404,479.778763,45.647928,1.077248,True,2288.085011,1
15032,1774331498.845135,1774334107.730975,181,107,65.873572,21.645818,0.417243,True,2543.012269,1
3882,1774331498.357286,1774332404.164511,1139,405,204.407006,30.392238,0.430730,True,701.400219,1
4562,1774331498.378901,1774332437.200032,1073,429,83.936079,8.652015,0.175897,True,854.885052,1
5428,1774331498.407489,1774332601.068767,1018,411,78.481119,6.474302,0.175626,True,1024.180159,1
7978,1774331498.490022,1774333212.896310,1349,199,263.462053,15.292615,1.253381,True,1450.944234,1
9253,1774331498.532295,1774333200.948226,181,168,89.039421,0.849746,0.528082,True,1613.376510,1
11208,1774331498.597238,1774333583.191213,995,416,211.909016,0.865765,0.508538,True,1872.684959,1
12483,1774331498.639281,1774334037.958324,1137,385,465.066423,27.046531,1.140677,True,2074.252620,1
13758,1774331498.803251,1774334273.478817,1043,411,486.472460,58.975276,1.042676,True,2288.203106,1
15033,1774331498.845164,1774334114.307597,1085,395,72.366544,2.971606,0.176129,True,2543.095889,1
3883,1774331498.357316,1774332399.694032,1014,391,199.683004,31.889012,0.430241,True,701.653713,1
4563,1774331498.378930,1774332431.311272,1074,394,78.036573,10.578852,0.171648,True,854.895769,1
5429,1774331498.407519,1774332777.621775,1069,462,254.950998,17.984375,0.514027,True,1024.263258,1
7979,1774331498.490052,1774332991.290445,386,69,41.845605,2.407326,0.579975,True,1450.954788,1
9254,1774331498.532324,1774333434.120050,1122,589,322.201031,0.839315,0.546534,True,1613.386696,1
11209,1774331498.597268,1774333563.676135,1035,373,192.161658,0.901742,0.514140,True,1872.917209,1
12484,1774331498.639312,1774334067.650055,1064,419,494.748002,29.802265,1.112310,True,2074.262742,1
13759,1774331498.803280,1774333926.487416,181,236,139.272887,21.114338,0.502802,True,2288.411249,1
15034,1774331498.845193,1774334460.235664,1079,385,417.916362,40.450296,0.982985,True,2543.474109,1
