RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
9585,1774324315.541798,1774326193.584355,406,104,25.310623,3.941523,0.207467,True,1852.731934,1
8310,1774324315.501904,1774326068.648899,401,127,66.044053,0.674186,0.518808,True,1687.102942,1
199,1774324315.136903,1774324401.967232,209,162,83.937689,9.921735,0.459726,True,2.892640,1
7035,1774324315.460859,1774325978.544487,880,415,244.718085,8.116406,0.571502,True,1418.365543,2
8905,1774324315.520516,1774326182.192001,398,168,102.453080,0.710295,0.609238,True,1764.218405,1
10860,1774324315.583262,1774326534.240796,181,292,193.675594,1.062151,0.661902,True,2024.981940,2
12815,1774324315.646175,1774326984.879012,399,178,291.130731,64.487577,1.280470,True,2378.102106,1
14090,1774324315.687950,1774327374.757876,1151,396,456.026349,31.008013,1.075996,True,2603.043577,1
15365,1774324315.729598,1774327351.807664,401,87,80.314086,22.240962,0.675269,True,2955.763979,1
16640,1774324315.771366,1774327548.409155,394,90,18.244010,10.805615,0.083577,True,3214.393779,1
180,1774324315.136316,1774324568.870225,197,217,251.042656,15.507337,1.090441,True,2.691253,1
7036,1774324315.460893,1774325797.632367,403,94,63.700308,7.275322,0.606720,True,1418.471166,1
8311,1774324315.501937,1774326121.235949,381,75,118.559433,32.103149,1.168328,True,1687.174579,1
8906,1774324315.520548,1774326094.437092,1684,77,14.686972,2.516588,0.160137,True,1764.229572,1
9586,1774324315.541844,1774326251.309391,405,136,83.014217,0.458908,0.611521,True,1852.753330,1
10861,1774324315.583290,1774326402.388854,246,115,61.813080,0.881432,0.534488,True,2024.992484,1
12816,1774324315.646211,1774327178.978900,924,396,485.127134,35.002184,1.139557,True,2378.205554,1
14091,1774324315.687981,1774327411.013324,1068,421,492.270190,33.136869,1.093175,True,2603.055153,1
15366,1774324315.729630,1774327492.329072,1247,421,220.825427,22.230216,0.472846,True,2955.774014,1
16641,1774324315.771399,1774327647.450508,1115,521,117.097718,19.201247,0.188262,True,3214.581392,1
178,1774324315.136258,1774324452.597229,1847,53,134.792070,11.789268,2.365438,True,2.668901,1
7037,1774324315.460926,1774326285.281967,1187,450,550.979435,11.789499,1.200868,True,1418.841606,1
8312,1774324315.501969,1774326284.003132,11,182,281.315483,32.092359,1.376923,True,1687.185680,1
8907,1774324315.520577,1774326103.348029,418,120,23.586728,2.505551,0.177153,True,1764.240724,1
9587,1774324315.541879,1774326487.485933,181,513,319.066311,0.736804,0.621737,True,1852.877743,2
10862,1774324315.583318,1774326514.810403,181,153,174.181135,0.998836,1.139357,True,2025.045949,2
12817,1774324315.646241,1774326834.726422,420,80,140.864083,48.771352,1.165731,True,2378.216097,1
14092,1774324315.688010,1774326954.703804,200,167,35.813926,4.765997,0.187036,True,2603.201869,1
15367,1774324315.729660,1774327299.998457,400,103,28.298417,7.927587,0.199714,True,2955.970381,1
16642,1774324315.771428,1774327567.355137,1200,397,36.980146,14.636727,0.056423,True,3214.603563,1
