RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
14089,1774317649.667507,1774320237.517616,1005,397,195.785262,14.384258,0.458083,True,2392.064847,1
5759,1774317649.280881,1774319328.908898,1012,375,579.208579,79.063899,1.337285,True,1100.419438,1
12814,1774317649.626477,1774319823.821588,1493,41,12.426444,4.999695,0.185669,True,2161.768667,1
15364,1774317649.711040,1774320386.618202,1044,406,84.808618,9.680787,0.185501,True,2652.098544,1
5760,1774317649.280914,1774318950.248959,1110,379,200.539698,13.743324,0.494170,True,1100.428348,1
12815,1774317649.626507,1774319936.527077,399,178,125.121147,7.989587,0.661760,True,2161.779424,2
14090,1774317649.667540,1774320247.557801,1151,396,205.762044,24.123798,0.459844,True,2392.128217,1
15365,1774317649.711076,1774320363.622880,401,87,61.740661,27.605783,0.396917,True,2652.171143,1
12816,1774317649.626539,1774319893.818239,924,396,82.401141,7.573057,0.189438,True,2161.790559,1
14091,1774317649.667572,1774320123.781573,1068,421,81.870661,8.042735,0.175781,True,2392.243339,1
15366,1774317649.711107,1774320540.316458,1247,421,238.369751,18.970538,0.522379,True,2652.235600,2
5761,1774317649.280944,1774318865.004134,395,43,115.073982,69.751426,1.079108,True,1100.649209,1
5762,1774317649.280973,1774319318.985044,1298,376,569.043580,71.877017,1.325777,True,1100.660492,1
12817,1774317649.626567,1774319909.895438,420,80,98.442983,23.832139,0.944441,True,2161.825888,1
14092,1774317649.667601,1774320080.584805,200,167,38.590431,7.959045,0.184526,True,2392.326773,1
15367,1774317649.711146,1774320372.734910,400,103,70.721863,27.193085,0.426753,True,2652.301900,1
5763,1774317649.281002,1774318813.458663,407,132,63.125338,7.161042,0.427208,True,1101.052323,1
12818,1774317649.626596,1774319923.501687,898,87,111.693919,32.676419,0.918808,True,2162.181172,1
14093,1774317649.667633,1774320125.420676,1131,429,83.261506,7.794200,0.176325,True,2392.491538,1
15368,1774317649.711196,1774320442.941566,949,89,140.916155,70.497498,0.800212,True,2652.314215,1
5764,1774317649.281032,1774318777.258626,314,18,26.863137,18.167258,0.511522,True,1101.114457,1
12819,1774317649.626625,1774319894.100581,475,88,82.154808,8.226170,0.849754,True,2162.319148,2
14094,1774317649.667666,1774320067.322542,911,87,24.936374,9.193455,0.183057,True,2392.718503,1
