RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
491,1774273442.076456,1774273473.078930,91,16,24.987239,10.564694,0.961503,True,6.015235,1
1086,1774273442.096047,1774273592.550538,379,60,138.044104,59.762251,1.326811,True,12.410387,1
143,1774273442.065345,1774273602.449428,1133,396,158.220557,4.980166,0.387950,True,2.163526,1
661,1774273442.082916,1774273488.977589,373,57,39.056560,15.880456,0.413859,True,7.838114,1
236,1774273442.068329,1774273599.299562,1085,388,153.948528,8.461145,0.375936,True,3.282705,1
1511,1774273442.109149,1774273530.241637,380,58,21.445305,1.208550,0.355031,True,66.687183,1
492,1774273442.076486,1774273542.713603,77,187,94.612256,11.333963,0.447733,True,6.024861,1
112,1774273442.064414,1774273605.730117,996,389,161.834495,7.700401,0.397253,True,1.831208,1
1512,1774273442.109177,1774273537.834199,1786,67,29.027316,6.632443,0.339316,True,66.697706,1
918,1774273442.090817,1774273616.003059,1658,82,163.310534,28.418622,1.665332,True,10.601708,1
493,1774273442.076515,1774273615.619586,1056,396,167.507271,12.893250,0.391428,True,6.035800,1
1088,1774273442.096106,1774273584.835253,1596,52,130.307880,58.031655,1.417181,True,12.431267,1
1768,1774273442.117024,1774273619.401015,1082,428,75.322888,12.573117,0.146955,True,101.961102,1
663,1774273442.082973,1774273545.143307,130,199,95.200732,16.610669,0.396920,True,7.859602,1
323,1774273442.071110,1774273613.740772,394,86,167.458042,9.177483,1.862124,True,4.211620,1
494,1774273442.076545,1774273610.898916,1033,397,162.776726,12.084310,0.380536,True,6.045645,1
664,1774273442.083002,1774273610.177860,1008,398,160.224037,15.096560,0.365560,True,7.870821,1
1939,1774273442.122261,1774273611.443472,379,70,32.605269,18.729967,0.201091,True,136.715942,1
239,1774273442.068427,1774273566.807366,972,575,121.424228,11.559262,0.191402,True,3.314710,1
324,1774273442.071176,1774273537.678182,1023,421,91.385520,7.197158,0.200448,True,4.221486,1
920,1774273442.090892,1774273492.865016,405,133,40.153262,15.591926,0.186071,True,10.620862,1
495,1774273442.076573,1774273593.311558,1118,378,145.178630,10.522937,0.357177,True,6.056355,1
1090,1774273442.096165,1774273580.722643,1201,45,126.173898,55.997507,1.594918,True,12.452580,1
104,1774273442.064165,1774273533.903324,1313,173,90.092695,6.951410,0.483380,True,1.746464,1
665,1774273442.083030,1774273469.574159,91,16,19.609809,16.138515,0.231420,True,7.881320,1
240,1774273442.068455,1774273602.509891,1099,394,157.115752,7.563757,0.380539,True,3.325684,1
325,1774273442.071207,1774273529.127293,1314,152,82.821790,7.508103,0.498766,True,4.234296,1
496,1774273442.076601,1774273529.989913,1269,152,81.846299,11.292348,0.467245,True,6.067013,1
1091,1774273442.096194,1774273621.122848,931,92,166.562231,63.627941,1.131146,True,12.464423,1
