RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
8991,1774423213.089373,1774423242.571936,377,65,29.481635,0.590735,0.451420,True,0.000928,1
6441,1774422753.997577,1774422982.812745,203,162,228.808221,44.438929,1.145151,True,0.006947,1
7716,1774422997.416531,1774423141.007778,400,106,141.054207,7.818142,1.268915,True,2.537040,1
1149,1774421597.189806,1774421949.710390,1025,428,352.519868,1.056617,0.823099,True,0.000716,1
3699,1774422185.171087,1774422261.791396,392,138,76.611512,23.129936,0.390376,True,0.008797,1
10266,1774423428.174215,1774423483.057218,424,95,54.882099,5.849382,0.521625,True,0.000904,1
12221,1774423779.169034,1774423994.571990,1116,444,215.399762,4.583354,0.475884,True,0.003194,1
16046,1774424656.417397,1774424840.311856,1134,159,183.891710,30.964903,0.967891,True,0.002749,1
1150,1774421597.466714,1774421761.011121,439,161,163.534670,0.995414,1.015870,True,0.009736,1
3700,1774422185.191335,1774422312.365132,1314,236,127.162967,24.199462,0.438143,True,0.010830,1
6442,1774422754.578065,1774422821.285141,415,123,66.699913,13.784796,0.433730,True,0.007163,1
7717,1774422997.464086,1774423171.447187,1085,409,171.460586,0.621665,0.418723,True,2.522515,1
8992,1774423213.193015,1774423412.370426,1081,402,199.173832,0.708179,0.494927,True,0.003580,1
10267,1774423428.243811,1774423437.320395,181,125,9.072039,2.445638,0.053439,True,0.004544,1
12222,1774423779.183144,1774423825.312819,228,59,46.118973,0.385665,0.788505,True,0.010702,1
16047,1774424656.541695,1774424798.210474,408,116,141.664779,20.486757,1.053722,True,0.004000,1
3701,1774422185.596680,1774422306.149094,1317,231,120.546988,17.386054,0.448526,True,0.005425,1
6443,1774422754.713380,1774423208.279382,1083,379,453.560027,49.931952,1.067799,True,0.005975,1
1151,1774421597.507750,1774421872.410455,963,393,274.895602,137.132116,0.351437,True,0.007104,2
7718,1774422997.551169,1774423310.993073,1102,400,310.807342,26.130064,0.713477,True,2.634561,1
8993,1774423213.396010,1774423242.330234,376,64,28.930793,0.617310,0.449420,True,0.003431,1
10268,1774423428.392216,1774423916.844354,1141,449,488.450306,109.226694,0.846481,True,0.001832,2
12223,1774423779.242146,1774424010.974608,1071,450,231.724976,12.023024,0.489314,True,0.007486,1
16048,1774424657.192422,1774424670.253002,1316,169,13.056798,1.303839,0.069958,True,0.003782,1
1152,1774421597.747789,1774421631.377988,1130,45,33.622229,13.382897,0.459985,True,0.007970,1
3702,1774422186.239569,1774422217.204434,91,16,30.961168,24.317101,0.442938,True,0.003698,1
6444,1774422754.714619,1774422902.399526,414,103,147.669293,47.550383,0.981558,True,0.015613,1
7719,1774422997.643537,1774423035.531983,402,113,34.622797,11.182881,0.209285,True,3.265649,1
8994,1774423213.637473,1774423411.274048,1014,396,197.635957,0.741082,0.498468,True,0.000618,1
10269,1774423428.393442,1774423441.347989,206,163,12.943446,0.255339,0.078322,True,0.011101,1
12224,1774423779.603391,1774423831.038373,231,81,51.423566,8.370895,0.538158,True,0.011415,1
16049,1774424657.249474,1774424856.049685,1082,375,198.788458,36.415741,0.434152,True,0.011753,1
1153,1774421597.824614,1774421947.670188,1139,425,349.841825,1.303203,0.822025,True,0.003749,1
3703,1774422186.821891,1774422194.484092,1259,81,7.661519,1.262893,0.079983,True,0.000683,1
6445,1774422754.742911,1774422807.687530,1504,83,52.936924,16.060896,0.449708,True,0.007694,1
7720,1774422997.655988,1774423319.558149,1029,396,318.306190,48.649445,0.682675,True,3.595971,1
8995,1774423213.756359,1774423223.963907,374,28,10.198960,0.788795,0.348525,True,0.008588,1
10270,1774423428.395080,1774423441.156112,1314,186,12.740691,2.277738,0.056557,True,0.020341,1
12225,1774423779.647278,1774423808.585733,197,52,28.929496,0.465404,0.558119,True,0.008960,1
16050,1774424657.397849,1774424861.841253,1099,427,204.435642,25.895537,0.419108,True,0.007762,1
1154,1774421598.080364,1774421650.536807,383,56,52.451646,1.128301,0.933152,True,0.004797,1
3704,1774422187.193361,1774422252.754651,382,103,65.560514,29.938672,0.349234,True,0.000776,1
6446,1774422754.772235,1774422793.649386,1038,431,38.876597,8.566929,0.070488,True,0.000554,1
7721,1774422997.703850,1774423035.236373,393,108,33.973799,11.720781,0.207972,True,3.558724,1
8996,1774423213.878580,1774423240.512111,376,67,26.630019,0.244150,0.399786,True,0.003511,1
10271,1774423428.498709,1774423770.210742,1024,414,341.700256,0.863991,0.825269,True,0.011776,1
12226,1774423780.077510,1774423955.268777,212,217,175.184096,0.566994,0.808413,True,0.007171,1
16051,1774424657.447322,1774424690.955756,119,12,33.496549,29.761715,0.339530,True,0.011885,1
1155,1774421598.447433,1774421916.941569,912,395,318.484314,1.091705,0.805565,True,0.009821,1
3705,1774422187.219849,1774422681.729244,1135,455,494.503634,67.910566,0.939632,True,0.005762,1
6447,1774422754.925805,1774422792.712814,1992,50,37.782111,15.881148,0.446958,True,0.004899,1
7722,1774422997.724502,1774423047.094101,203,159,45.693742,11.583102,0.215890,True,3.675857,1
8997,1774423213.985949,1774423282.941146,897,141,68.944357,1.172343,0.484086,True,0.010840,1
10272,1774423428.773646,1774423490.506837,394,87,61.728192,1.102127,0.704954,True,0.004999,1
12227,1774423780.142476,1774423827.514029,1590,76,47.364970,13.027329,0.457835,True,0.006584,1
16052,1774424657.505701,1774424885.601091,1093,529,228.089454,28.128086,0.378715,True,0.005937,1
1156,1774421598.821048,1774421610.621737,206,179,11.798977,0.224799,0.065023,True,0.001712,1
3706,1774422187.536865,1774422645.521311,1053,427,457.983032,59.183382,0.936149,True,0.001415,1
6448,1774422754.957925,1774422808.219703,385,51,53.257727,30.161142,0.461932,True,0.004051,1
7723,1774422997.818203,1774423298.136755,1082,577,296.714291,11.991150,0.494311,True,3.604261,1
8998,1774423214.004057,1774423252.066539,402,88,38.058553,0.545101,0.431189,True,0.003929,1
10273,1774423429.196720,1774423491.090434,400,91,61.886923,0.559452,0.681416,True,0.006792,1
12228,1774423780.172880,1774423831.609532,204,85,51.427639,12.994478,0.457538,True,0.009013,1
16053,1774424657.803366,1774424807.167506,1236,108,149.363408,31.944216,1.097376,True,0.000731,1
1157,1774421599.025841,1774421633.623899,1179,498,34.593235,1.196873,0.067196,True,0.004824,1
3707,1774422187.846907,1774422509.243553,1111,438,321.393499,143.032423,0.408149,True,0.003146,2
6449,1774422755.012243,1774422793.866195,1256,48,38.851073,18.332884,0.436557,True,0.002878,1
7724,1774422998.016157,1774423143.304577,370,79,141.795772,48.392661,1.197476,True,3.492648,1
8999,1774423214.186848,1774423259.828767,395,93,45.631984,0.972440,0.485430,True,0.009936,1
10274,1774423429.279709,1774423441.995677,1318,163,12.709220,1.241624,0.070788,True,0.006748,1
12229,1774423780.272851,1774423849.969156,181,145,69.691396,5.453305,0.446098,True,0.004910,1
16054,1774424657.978898,1774424913.656866,1093,377,255.674170,33.895543,0.589837,True,0.003798,1
1158,1774421600.020899,1774421616.568873,120,12,16.543671,11.113742,0.493630,True,0.004303,1
3708,1774422188.163136,1774422196.820109,1123,87,8.646238,2.930794,0.066459,True,0.010735,1
6450,1774422755.060325,1774422811.877177,396,99,56.807852,13.300593,0.443952,True,0.009000,1
7725,1774422998.047871,1774423111.525565,2008,66,109.891535,24.681991,1.310916,True,3.586160,1
9000,1774423214.416183,1774423255.327310,385,85,40.907792,0.312217,0.483281,True,0.003334,1
10275,1774423429.641978,1774423496.759460,1312,121,67.110622,7.277254,0.498611,True,0.006859,1
12230,1774423780.374344,1774423829.759625,208,57,49.374358,0.788212,0.867610,True,0.010923,1
16055,1774424658.311990,1774424916.319624,1022,396,257.998383,31.427116,0.573598,True,0.009251,1
1159,1774421600.089490,1774421611.461627,311,18,11.360655,0.390675,0.645293,True,0.011483,1
3709,1774422188.247764,1774422845.754620,1119,399,657.504503,245.582261,1.034981,True,0.002354,2
6451,1774422755.216124,1774422770.747564,396,113,15.522600,0.375597,0.135241,True,0.008840,1
7726,1774422998.192949,1774423018.709157,120,12,16.943548,6.007151,0.994218,True,3.572660,1
9001,1774423215.189853,1774423259.905694,418,95,44.705035,0.446733,0.470833,True,0.010806,1
10276,1774423429.655064,1774423573.832054,181,169,144.172637,0.448821,0.855499,True,0.004353,1
12231,1774423780.526001,1774423851.671185,405,88,71.136703,0.638909,0.810319,True,0.008481,1
16056,1774424658.313194,1774424686.521065,1052,386,28.189359,1.209080,0.070079,True,0.018512,1
1160,1774421600.348245,1774421683.941288,1989,88,83.590220,43.922570,0.455950,True,0.002822,1
3710,1774422188.322081,1774422395.545160,1314,176,207.221520,58.398127,0.850419,True,0.001559,1
6452,1774422755.560044,1774423127.326861,1050,440,371.761464,181.667477,0.433016,True,0.005353,2
7727,1774422998.464445,1774423041.063128,400,110,39.277132,0.477384,0.355961,True,3.321552,1
9002,1774423215.296130,1774423276.827952,399,123,61.531153,0.807174,0.497738,True,0.000669,1
10277,1774423429.919995,1774423698.724944,1097,386,268.796078,105.693085,0.423644,True,0.008871,2
12232,1774423780.759437,1774423845.604189,400,86,64.836325,0.631160,0.755355,True,0.008426,1
16057,1774424658.883210,1774424731.707889,393,95,72.813839,34.910745,0.403224,True,0.010839,1
1161,1774421600.507527,1774422066.794269,1086,390,466.277735,143.731075,0.829169,True,0.009007,2
3711,1774422188.337135,1774422308.522021,382,79,120.177430,49.840864,0.901751,True,0.007456,1
6453,1774422755.587053,1774422906.078196,396,108,150.479995,46.681994,0.970075,True,0.011148,1
7728,1774422998.509387,1774423027.369189,1560,52,25.510025,13.912480,0.227403,True,3.349777,1
9003,1774423216.067141,1774423292.721741,31,157,76.647373,0.304596,0.489377,True,0.007227,1
10278,1774423430.143162,1774423522.564279,1094,140,92.419802,17.873068,0.536307,True,0.001314,1
12233,1774423780.826841,1774423839.368143,44,103,58.536585,12.344108,0.452867,True,0.004717,1
16058,1774424659.214295,1774424665.590137,408,102,6.373066,0.457586,0.058569,True,0.002775,1
1162,1774421600.810318,1774421921.618634,1219,388,320.797433,0.883968,0.826650,True,0.010882,1
3712,1774422188.384435,1774422471.236913,1112,397,282.841124,143.168462,0.352709,True,0.011355,2
6454,1774422755.597562,1774422831.718958,401,97,76.107627,37.325243,0.403983,True,0.013769,1
7729,1774422998.777500,1774423208.003711,215,163,206.123514,48.021270,0.975940,True,3.102696,1
9004,1774423216.068372,1774423264.671940,415,103,48.586105,0.293516,0.473457,True,0.017463,1
10279,1774423430.493753,1774423438.324909,392,87,7.827354,0.450576,0.085776,True,0.003802,1
