RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
9840,1774430848.929194,1774430886.291439,391,99,22.076024,1.268313,0.212324,True,15.286222,1
8565,1774430629.967391,1774430726.520746,424,87,24.717458,0.511572,0.281464,True,71.835896,1
646,1774428980.010830,1774429036.942852,409,146,56.926009,0.335845,0.390277,True,0.006013,1
7290,1774430407.260844,1774430549.300795,404,93,37.546558,2.876157,0.376852,True,104.493393,1
647,1774428980.030284,1774429402.516755,1002,373,422.478103,150.637638,0.730754,True,0.008368,2
7291,1774430407.303120,1774430637.821253,380,81,126.014340,69.299858,0.708931,True,104.503793,1
8566,1774430630.376983,1774430760.984050,393,106,59.003734,1.084024,0.551616,True,71.603333,1
9841,1774430848.977761,1774430912.946291,1835,85,48.454006,1.084285,0.563925,True,15.514524,1
7292,1774430407.321696,1774430528.234336,399,57,16.259115,0.474536,0.281867,True,104.653525,1
8567,1774430630.447960,1774431020.045103,1313,190,318.043863,25.721174,1.546681,True,71.553279,1
9842,1774430848.987395,1774430903.900893,881,75,39.211127,4.128883,0.474084,True,15.702371,1
648,1774428980.509817,1774429028.919323,942,104,48.404430,0.608330,0.464040,True,0.005076,1
649,1774428980.725975,1774429250.663847,983,414,269.930227,2.122038,0.648446,True,0.007646,1
7293,1774430407.650119,1774430522.271283,410,35,10.212259,0.830990,0.275920,True,104.408905,1
8568,1774430630.558167,1774430706.691434,334,18,4.283445,0.423130,0.227077,True,71.849822,1
9843,1774430849.102048,1774431094.614741,411,116,229.862682,72.761082,1.366101,True,15.650011,2
650,1774428980.916700,1774430079.583873,1113,1000,1098.660356,153.275457,0.946331,True,0.006818,2
7294,1774430407.845186,1774430555.566187,412,114,43.326577,3.759056,0.350155,True,104.394425,1
8569,1774430630.624520,1774430745.191531,456,78,42.762888,1.470397,0.536266,True,71.804123,1
9844,1774430849.441393,1774431002.800816,398,87,137.952352,3.123723,1.567775,True,15.407071,1
651,1774428980.992552,1774429066.513910,203,217,85.517992,0.713599,0.392613,True,0.003367,1
7295,1774430407.860675,1774430820.097945,1070,409,307.795827,70.447837,0.581735,True,104.441443,1
8570,1774430630.760792,1774430820.537289,1316,213,118.097353,1.459504,0.550179,True,71.679145,1
9845,1774430849.564162,1774431088.548559,1316,149,223.689220,3.112845,1.490381,True,15.295176,1
652,1774428981.077270,1774429012.593813,435,83,31.513420,0.689080,0.375907,True,0.003123,1
7296,1774430407.869150,1774430628.064313,398,117,115.740259,21.868471,0.809240,True,104.454904,1
8571,1774430630.778435,1774430771.211117,416,118,68.759987,1.448658,0.575311,True,71.672694,1
9846,1774430850.091749,1774431000.150694,206,162,135.145446,106.743044,0.176412,True,14.913499,2
653,1774428981.267216,1774428985.264009,91,16,3.994882,1.586832,0.160537,True,0.001911,1
7297,1774430407.886555,1774431192.097141,1020,565,679.761443,21.858011,1.166495,True,104.449144,1
8572,1774430630.832885,1774430718.293288,374,50,15.799787,0.436431,0.313538,True,71.660616,1
9847,1774430850.203372,1774430972.911929,1220,66,107.443048,3.411877,1.600480,True,15.265510,1
654,1774428981.357029,1774429229.353276,1071,386,247.988773,1.492384,0.640250,True,0.007475,1
7298,1774430408.040475,1774430650.921361,377,95,138.552864,73.137854,0.695904,True,104.328023,1
8573,1774430630.949367,1774430756.358676,398,95,53.473783,1.133182,0.556815,True,71.935526,1
9848,1774430850.433355,1774430892.255272,389,97,26.568875,0.473463,0.271827,True,15.253041,1
655,1774428981.729935,1774429078.520876,167,217,96.782972,0.290035,0.446727,True,0.007968,1
7299,1774430408.085239,1774431100.335102,1120,423,587.894894,40.695785,1.296680,True,104.354968,1
8574,1774430631.066045,1774430746.854586,382,82,43.708319,1.243181,0.524261,True,72.080223,1
9849,1774430850.489228,1774430909.481352,403,80,43.584874,0.879147,0.540579,True,15.407251,1
7300,1774430408.300275,1774430685.086297,416,136,172.542379,50.224061,0.906062,True,104.243643,1
8575,1774430631.091685,1774430749.652368,387,86,46.494776,1.231905,0.532504,True,72.065907,1
9850,1774430850.905575,1774431133.150449,1315,150,267.125628,81.543868,1.245515,True,15.119246,2
656,1774428981.731146,1774429044.741192,200,161,62.992507,0.319950,0.391703,True,0.017539,1
657,1774428981.865134,1774429018.529147,181,92,36.655126,0.236733,0.400202,True,0.008887,1
7301,1774430408.685428,1774430537.963274,420,100,24.812652,0.488477,0.245699,True,104.465194,1
8576,1774430631.103091,1774430863.842344,437,90,160.559095,14.780151,1.637966,True,72.180158,1
9851,1774430851.082061,1774431010.362286,961,395,144.327425,67.285531,0.195538,True,14.952800,2
658,1774428982.044968,1774429026.388208,181,118,44.337284,0.322348,0.376196,True,0.005955,1
7302,1774430408.698802,1774430889.072729,997,529,375.650815,72.083462,0.574938,True,104.723112,1
8577,1774430631.123914,1774430750.796324,406,150,47.378108,0.530994,0.314410,True,72.294302,1
9852,1774430851.298351,1774430903.080174,206,153,37.001795,0.308651,0.241402,True,14.780028,1
659,1774428982.541858,1774429661.994753,1201,546,679.446362,187.477662,0.902695,True,0.006533,2
7303,1774430408.897693,1774430603.363065,1077,429,89.629480,1.134640,0.206764,True,104.835893,1
8578,1774430631.197613,1774430855.327659,394,90,151.815895,24.210913,1.433764,True,72.314151,1
9853,1774430851.415169,1774431105.859178,409,122,239.770503,85.073902,1.278484,True,14.673506,2
660,1774428982.545080,1774429483.103646,1208,400,500.545502,185.686200,0.789121,True,0.013064,2
7304,1774430409.048502,1774430825.037142,1093,611,311.188664,2.150384,0.506620,True,104.799976,1
8579,1774430631.197739,1774430728.690963,398,91,25.086507,1.469204,0.262414,True,72.406717,1
9854,1774430851.457738,1774430869.183616,310,18,3.022340,0.549779,0.145445,True,14.703538,1
661,1774428982.706904,1774428995.310906,373,57,12.597144,0.550706,0.215115,True,0.006859,1
7305,1774430409.499952,1774430597.259061,997,427,82.901403,0.993744,0.192272,True,104.857706,1
8580,1774430631.426538,1774430822.726583,1052,514,119.111598,1.458799,0.229343,True,72.188446,1
9855,1774430851.901556,1774430893.425359,181,94,26.323086,2.200128,0.259387,True,15.200717,1
662,1774428983.003314,1774429500.537341,1005,407,517.532074,168.535813,0.859597,True,0.001953,2
7306,1774430409.579627,1774430547.187362,414,82,32.797565,2.473427,0.374372,True,104.810169,1
8581,1774430631.540936,1774430877.658618,908,89,173.846982,47.127579,1.439993,True,72.270700,1
9856,1774430851.968008,1774431098.443161,420,95,231.329300,104.944628,1.344518,True,15.145853,2
663,1774428983.092176,1774429071.556820,130,199,88.457211,0.395809,0.444755,True,0.007433,1
7307,1774430409.704504,1774430840.094542,1028,442,325.640460,71.051349,0.577300,True,104.749578,1
8582,1774430631.565747,1774430731.183719,398,86,27.145133,0.496958,0.313508,True,72.472839,1
9857,1774430852.100366,1774430885.547267,1972,75,18.423077,2.178470,0.219522,True,15.023824,1
664,1774428983.321137,1774429475.066513,1008,398,491.739322,145.506334,0.872123,True,0.006054,2
7308,1774430409.840464,1774430641.603393,389,136,127.029191,19.618246,0.795637,True,104.733738,1
8583,1774430631.639366,1774430764.863811,389,100,60.761802,0.712279,0.606561,True,72.462643,1
9858,1774430852.115945,1774431007.423911,397,100,140.248431,122.308845,0.181208,True,15.059535,2
665,1774428983.422302,1774428989.915538,91,16,6.483214,0.703567,0.385310,True,0.010021,1
7309,1774430409.843764,1774430553.038775,405,97,38.210466,7.540054,0.319483,True,104.984545,1
8584,1774430631.792771,1774430754.362739,457,88,50.249044,0.397548,0.573006,True,72.320924,1
9859,1774430852.180662,1774430913.741362,181,95,46.554640,0.612341,0.488748,True,15.006060,1
666,1774428983.699907,1774429023.745851,392,109,40.045308,0.505636,0.366108,True,0.000636,1
7310,1774430409.925622,1774430546.461088,181,128,31.505997,0.284646,0.245837,True,105.029469,1
8585,1774430632.550473,1774430727.274022,413,74,23.149696,0.830865,0.305737,True,71.573853,1
9860,1774430852.270696,1774430910.512572,451,82,43.268496,0.509428,0.527890,True,14.973380,1
667,1774428983.772066,1774429026.449167,394,94,42.676088,0.483447,0.453684,True,0.001014,1
7311,1774430410.022589,1774430534.215834,1132,75,19.167913,1.310791,0.241312,True,105.025331,1
