RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
16135,1774417194.538762,1774417384.955606,1159,396,190.406058,25.349200,0.417865,True,0.010787,1
4565,1774414896.123462,1774414974.810203,1046,439,78.685919,1.973609,0.175142,True,0.000821,1
5840,1774415153.519044,1774415166.291969,181,123,12.772275,2.052963,0.087863,True,0.000649,1
4566,1774414896.254041,1774414910.144605,1344,56,13.885727,4.243437,0.175314,True,0.004837,1
5841,1774415153.650871,1774415193.759566,1116,406,40.105898,1.919002,0.094289,True,0.002797,1
16136,1774417194.593841,1774417406.833080,1028,429,212.231332,57.886583,0.360619,True,0.007907,1
5842,1774415154.513684,1774415200.409341,1437,82,45.887323,10.897563,0.431972,True,0.008334,1
16137,1774417194.700227,1774417393.731846,1096,411,199.024636,37.551043,0.393838,True,0.006983,1
4567,1774414896.365675,1774415118.593633,402,122,222.220966,84.801062,1.135702,True,0.006991,1
12824,1774416409.649045,1774416458.047005,1620,105,48.397097,1.196282,0.453854,True,0.000862,1
4568,1774414896.695166,1774415111.239582,877,105,214.542512,98.191956,1.118755,True,0.001903,1
5843,1774415154.903757,1774415218.456795,407,90,63.551536,18.434943,0.506928,True,0.001502,1
16138,1774417195.998383,1774417395.151971,1095,437,199.152927,25.986901,0.397170,True,0.000662,1
4569,1774414897.420935,1774414955.413359,1543,46,57.985004,35.597043,0.497510,True,0.007419,1
5844,1774415154.918611,1774415391.222156,1049,411,236.294166,26.086364,0.512702,True,0.009378,1
16139,1774417196.614059,1774417199.997181,1163,50,3.382535,1.198451,0.044573,True,0.000587,1
4570,1774414897.598298,1774415003.093313,69,162,105.487961,29.392885,0.472640,True,0.007054,1
5845,1774415155.527196,1774415293.406377,384,87,137.867991,41.294024,1.122953,True,0.011189,1
16140,1774417196.677221,1774417261.085135,327,18,64.406786,55.810364,0.505672,True,0.001128,1
4571,1774414897.875244,1774414961.385297,1068,388,63.502244,1.282066,0.160776,True,0.007809,1
5846,1774415156.362766,1774415471.662590,1080,559,315.290719,24.320379,0.521452,True,0.009105,1
16141,1774417196.694475,1774417392.683199,1106,392,195.983755,41.348249,0.395487,True,0.004969,1
4572,1774414897.935133,1774414966.657542,372,83,68.711327,30.887685,0.461264,True,0.011082,1
