RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
7118,1774426634.231085,1774427055.015767,1166,610,328.196953,1.231673,0.536889,True,92.587729,1
1652,1774425461.846659,1774425638.842845,1152,400,169.855359,19.862947,0.375921,True,7.140827,1
5843,1774426384.627265,1774426441.477988,407,90,29.297052,7.610044,0.243674,True,27.553671,1
10348,1774427189.719011,1774427315.393234,120,12,57.502403,33.508766,2.181240,True,68.171820,1
9073,1774426971.550985,1774427011.410364,1153,77,16.660662,1.254094,0.202718,True,23.198717,1
11623,1774427404.942353,1774427615.633331,1092,428,204.236845,0.521949,0.477084,True,6.454132,1
12898,1774427660.154741,1774427683.709981,1318,404,23.551525,1.255578,0.055325,True,0.003715,1
16128,1774428422.156638,1774428667.960636,1088,415,245.803280,53.795029,0.463788,True,0.000719,1
1653,1774425462.350241,1774425502.556504,238,14,33.558487,19.122797,1.110438,True,6.647776,1
5844,1774426384.644729,1774426505.075454,1049,411,92.880941,9.217846,0.204056,True,27.549784,1
7119,1774426634.257264,1774426743.240183,401,83,16.316068,3.690933,0.153965,True,92.666851,1
9074,1774426971.662905,1774427066.218680,1038,436,71.153156,1.146783,0.160934,True,23.402619,1
10349,1774427189.753028,1774427423.743297,181,104,165.747599,19.926840,1.415736,True,68.242669,1
11624,1774427405.029890,1774427721.405427,974,601,309.949669,23.171299,0.477964,True,6.425868,1
12899,1774427660.176023,1774428164.848268,1102,420,504.668531,1.392901,1.201135,True,0.003714,1
16129,1774428422.601400,1774428549.130215,406,91,126.525014,28.046033,1.094211,True,0.003801,1
5845,1774426385.252988,1774426434.061831,384,87,21.350945,9.455895,0.138315,True,27.457898,1
7120,1774426634.633256,1774426855.350167,1193,598,128.415411,5.977829,0.205088,True,92.301500,1
1654,1774425463.015856,1774425621.027344,997,393,152.018505,17.560698,0.343005,True,5.992984,1
9075,1774426971.766349,1774427072.936865,374,64,77.310746,0.502878,1.219173,True,23.859770,1
10350,1774427189.927496,1774427416.419886,399,97,158.413794,19.916210,1.442683,True,68.078596,1
11625,1774427405.314023,1774427594.735276,1100,392,183.268020,1.826446,0.464045,True,6.153232,1
12900,1774427660.319809,1774427668.318788,181,98,7.994163,1.290686,0.069108,True,0.004816,1
16130,1774428422.718309,1774428613.311582,1188,401,190.587098,27.658793,0.407321,True,0.006175,1
1655,1774425463.047848,1774425625.424576,1025,394,156.404724,18.298984,0.351414,True,5.972003,1
5846,1774426386.088727,1774426529.983187,1080,559,117.126137,9.309685,0.193219,True,26.768324,1
7121,1774426635.043699,1774426812.301029,439,39,85.127384,51.753754,0.878253,True,92.129946,1
9076,1774426972.273697,1774427067.578594,374,56,71.803287,0.713796,1.292536,True,23.501610,1
10351,1774427190.748505,1774427419.307256,410,100,161.208059,19.823275,1.428129,True,67.350691,1
11626,1774427405.323094,1774427868.738421,1122,393,456.497605,6.277538,1.148521,True,6.917722,1
12901,1774427660.961184,1774427740.824506,631,78,79.862611,1.404926,1.018931,True,0.000711,1
16131,1774428422.926558,1774428565.871444,209,217,142.944073,39.491533,0.478947,True,0.000812,1
1656,1774425463.162431,1774425674.736283,1121,440,205.705271,19.819519,0.423430,True,5.868581,1
5847,1774426386.247139,1774426439.470362,407,96,26.539947,13.189183,0.140534,True,26.683276,1
7122,1774426635.238280,1774426876.579925,395,82,149.394812,51.743320,1.205574,True,91.946833,1
9077,1774426972.613232,1774427081.668261,408,83,85.882574,0.702710,1.038779,True,23.172455,1
10352,1774427190.882885,1774427537.723801,982,157,279.614145,51.751836,1.460656,True,67.226772,1
11627,1774427405.383129,1774427444.953592,18,128,32.690618,6.679756,0.204810,True,6.879845,1
12902,1774427661.030829,1774428222.772119,989,468,561.735282,0.472428,1.201848,True,0.006008,2
16132,1774428422.996834,1774428611.158143,1083,396,188.157316,23.623191,0.416542,True,0.003993,1
1657,1774425463.322134,1774425548.008695,1312,141,78.967101,19.079535,0.427768,True,5.719460,1
5848,1774426386.444299,1774426518.318603,453,53,105.220543,55.694561,0.952423,True,26.653761,1
7123,1774426635.238427,1774426747.659521,397,86,20.243933,5.496815,0.173496,True,92.177161,1
9078,1774426972.643601,1774427089.168248,396,96,93.275907,0.679596,0.974698,True,23.248740,1
10353,1774427191.206965,1774427785.867941,1015,420,527.747365,21.780482,1.207558,True,66.913611,1
11628,1774427405.479338,1774427442.474840,405,97,29.835942,7.241205,0.235362,True,7.159560,1
12903,1774427661.046956,1774428109.422080,1074,430,448.363368,1.385218,1.041907,True,0.011756,2
16133,1774428423.556573,1774428663.762127,1146,417,240.197679,29.558697,0.506344,True,0.007875,1
1658,1774425463.396216,1774425538.933888,403,113,69.881023,17.517228,0.467534,True,5.656649,1
5849,1774426386.714870,1774426492.242720,381,93,79.071515,24.151412,0.596958,True,26.456335,1
7124,1774426635.328604,1774426783.755175,403,109,56.138736,0.742459,0.512928,True,92.287835,1
9079,1774426972.663587,1774427214.814663,181,179,218.912143,0.847063,1.225085,True,23.238933,1
10354,1774427191.263294,1774427294.068516,518,100,35.855058,11.799475,0.242986,True,66.950164,1
11629,1774427405.561207,1774427466.058515,1069,386,53.408551,11.215813,0.109592,True,7.088756,1
12904,1774427661.166884,1774427671.647384,322,18,10.473309,1.269217,0.541417,True,0.007191,1
16134,1774428423.918733,1774428547.692321,407,91,123.769711,22.028227,1.130461,True,0.003876,1
1659,1774425463.795931,1774425619.414937,1036,388,150.351674,18.255394,0.341334,True,5.267331,1
5850,1774426386.752998,1774426941.082853,1164,414,527.867087,44.293724,1.170880,True,26.462768,1
7125,1774426635.569075,1774426757.610351,381,51,29.077352,0.460529,0.572336,True,92.963923,1
9080,1774426972.849391,1774427102.381255,374,109,106.467813,0.772160,0.978663,True,23.064051,1
10355,1774427191.404483,1774427303.977595,420,200,44.929467,0.522908,0.223149,True,67.643644,1
11630,1774427405.803773,1774427544.822700,395,88,131.991781,20.008530,1.287164,True,7.027146,1
12905,1774427661.313951,1774427840.556421,203,167,179.235445,1.046127,1.073430,True,0.007025,1
16135,1774428424.154647,1774428612.180348,1159,396,188.014727,26.217487,0.409613,True,0.010975,1
1660,1774425464.181672,1774425527.534760,385,80,58.460768,19.776732,0.489671,True,4.892320,1
5851,1774426387.006732,1774426932.872518,1010,419,519.645920,36.104912,1.156797,True,26.219866,1
7126,1774426636.247838,1774426817.764140,1047,394,89.116715,5.571056,0.212584,True,92.399587,1
9081,1774426972.860097,1774427013.383292,392,86,17.291391,0.529230,0.197202,True,23.231805,1
10356,1774427191.578995,1774427350.288688,1005,415,90.530636,1.111428,0.215988,True,68.179057,1
11631,1774427406.043533,1774427506.662384,211,60,93.820380,19.997859,1.251229,True,6.798470,1
12906,1774427661.321741,1774428131.193771,990,424,469.862282,1.111326,1.108158,True,0.009749,2
16136,1774428424.209808,1774428621.586727,1028,429,197.367763,29.635031,0.391899,True,0.009155,1
1661,1774425464.314385,1774425535.888975,444,101,66.805170,19.037273,0.477679,True,4.769420,1
5852,1774426387.281574,1774426726.124953,1014,429,312.887223,19.871889,0.684615,True,25.956157,2
7127,1774426636.488659,1774426750.302915,1475,77,21.644937,3.039072,0.244814,True,92.169319,1
9082,1774426973.000489,1774427035.054311,2010,66,38.708669,1.133038,0.578087,True,23.345154,1
10357,1774427191.598668,1774427292.302812,181,96,31.834865,9.545102,0.234629,True,68.869279,1
11632,1774427406.079618,1774427481.326018,16,112,68.304717,21.605718,0.420712,True,6.941683,1
12907,1774427661.818055,1774428184.351855,1265,429,522.530035,2.195629,1.215735,True,0.003765,1
16137,1774428424.316123,1774428622.500934,1096,411,198.176143,39.821297,0.386231,True,0.008667,1
1662,1774425464.361340,1774425683.642168,1012,461,214.547351,17.474406,0.428419,True,4.733476,1
5853,1774426387.285982,1774426514.191230,2008,50,100.859365,57.623501,0.882365,True,26.045884,1
7128,1774426636.727846,1774426789.736949,409,103,60.478583,0.450731,0.588508,True,92.530520,1
