RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
12220,1774349396.248724,1774349426.368107,182,106,30.110656,0.257833,0.284313,True,0.008726,1
8395,1774348564.862563,1774348591.866505,374,101,27.003336,0.426713,0.265766,True,0.000606,1
9670,1774348834.462555,1774348856.810000,418,84,22.341582,0.439487,0.263881,True,0.005863,1
8396,1774348564.941616,1774348597.130581,374,94,32.183082,0.466716,0.341036,True,0.005883,1
9671,1774348834.475085,1774348862.005135,397,137,27.526335,1.133278,0.194067,True,0.003716,1
12221,1774349396.701250,1774349581.808459,1116,444,185.103089,1.093095,0.415372,True,0.004120,1
14176,1774349897.013208,1774349904.835522,997,89,7.818610,0.935337,0.078219,True,0.003704,1
9672,1774348835.107635,1774348846.674047,372,57,11.564662,0.387278,0.199596,True,0.001750,1
12222,1774349396.718475,1774349422.474590,228,59,25.747735,1.117387,0.424661,True,0.008380,1
8397,1774348565.141483,1774348583.354263,386,64,18.206842,0.643413,0.278785,True,0.005938,1
8398,1774348565.378238,1774348746.931673,1201,543,181.552797,0.975033,0.333169,True,0.000638,1
9673,1774348835.210633,1774348994.915868,1086,393,159.701503,0.559418,0.405975,True,0.003732,1
12223,1774349396.793206,1774349589.077116,1071,450,192.275909,0.997086,0.426011,True,0.008001,1
8399,1774348565.716901,1774348573.690458,1622,95,7.966613,1.635305,0.067354,True,0.006944,1
9674,1774348835.354046,1774348868.598875,397,108,33.237952,0.623961,0.304804,True,0.006876,1
12224,1774349397.244674,1774349401.361412,231,81,4.116035,0.260730,0.048191,True,0.000702,1
14179,1774349897.441589,1774349921.767956,1115,446,24.320489,1.141703,0.052087,True,0.005878,1
8400,1774348565.718120,1774348589.228489,407,88,23.493933,0.353878,0.265978,True,0.016437,1
9675,1774348835.933175,1774348854.824423,385,88,18.888519,0.399655,0.212516,True,0.002728,1
12225,1774349397.299330,1774349418.443960,197,52,21.133854,0.790635,0.398887,True,0.010776,1
14180,1774349898.287036,1774349903.072254,1806,67,4.780473,1.773303,0.045563,True,0.004745,1
8401,1774348565.748096,1774348571.232371,402,81,5.476604,0.434062,0.063032,True,0.007671,1
9676,1774348836.054543,1774348995.212336,998,388,159.151503,0.542001,0.409844,True,0.006289,1
12226,1774349397.838839,1774349491.497502,212,217,93.657278,0.302834,0.432196,True,0.001386,1
14181,1774349898.403583,1774349925.349188,203,162,26.943584,0.222234,0.165971,True,0.002021,1
8402,1774348566.521024,1774348596.162389,372,120,29.633669,0.235870,0.247040,True,0.007695,1
9677,1774348836.055308,1774348846.709007,408,55,10.637546,0.502381,0.187688,True,0.016152,1
12227,1774349397.918959,1774349420.869272,1590,76,22.944386,1.085364,0.291454,True,0.005927,1
14182,1774349898.529260,1774349922.731403,1313,153,24.201580,1.236817,0.151084,True,0.000562,1
8403,1774348566.616157,1774348678.159507,1051,388,111.535611,0.624195,0.286593,True,0.007740,1
9678,1774348836.107858,1774348868.371627,405,105,32.258061,0.224256,0.308017,True,0.005709,1
12228,1774349397.955891,1774349423.629595,204,85,25.672765,1.108505,0.292432,True,0.000938,1
14183,1774349898.707996,1774349906.976802,1331,123,8.258101,1.294969,0.057075,True,0.010705,1
8404,1774348566.899880,1774348594.759539,395,73,27.850655,0.502119,0.379841,True,0.009005,1
9679,1774348836.960178,1774348870.927728,401,106,33.966940,0.728969,0.316552,True,0.000610,1
12229,1774349398.082072,1774349460.333580,181,145,62.248900,0.319665,0.430064,True,0.002608,1
14184,1774349898.831543,1774349919.491798,949,124,20.657954,2.164581,0.150353,True,0.002301,1
9680,1774348836.968092,1774348993.425750,1131,397,156.453888,0.554964,0.393684,True,0.003769,1
12230,1774349398.208071,1774349422.590532,208,57,24.377710,0.339046,0.429262,True,0.004750,1
8405,1774348567.230452,1774348572.478134,382,75,5.238135,0.455681,0.064628,True,0.009547,1
8406,1774348567.394255,1774348592.180168,2,93,24.785124,0.162396,0.267638,True,0.000789,1
9681,1774348837.011964,1774348863.988447,438,93,26.974703,0.621367,0.286449,True,0.001780,1
12231,1774349398.398627,1774349437.079050,405,88,38.678375,0.275739,0.441410,True,0.002048,1
8407,1774348567.553859,1774348577.937248,381,176,10.375556,0.414449,0.056921,True,0.007832,1
9682,1774348837.289178,1774348876.639259,396,123,39.342206,0.773288,0.316139,True,0.007875,1
12232,1774349398.689979,1774349437.019654,400,86,38.326369,0.392473,0.446281,True,0.003306,1
8408,1774348567.570746,1774348591.012469,409,86,23.440109,0.321413,0.271985,True,0.001614,1
9683,1774348837.637789,1774348859.505710,400,108,21.866221,0.417593,0.200454,True,0.001700,1
12233,1774349398.774048,1774349403.841974,44,103,5.065156,0.090209,0.048774,True,0.002770,1
