RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
14174,1774338677.442800,1774338701.206243,1000,414,23.752676,1.688590,0.053424,True,0.010766,1
8394,1774337346.655730,1774337373.244349,402,93,26.584002,0.558893,0.282882,True,0.004617,1
9669,1774337616.232548,1774337651.217027,409,105,34.973843,0.615759,0.330366,True,0.010637,1
2341,1774335803.543328,1774335810.919384,398,123,7.369458,0.449230,0.056723,True,0.006598,1
4229,1774336341.394110,1774336541.984717,994,436,200.581277,8.256388,0.442126,True,0.009330,1
2342,1774335803.572124,1774335827.595521,1121,423,24.014464,1.145664,0.054191,True,0.008933,1
4230,1774336341.414696,1774336470.247339,1095,411,128.822039,0.771115,0.312319,True,0.010605,1
8395,1774337346.750748,1774337374.703517,374,101,27.947030,0.566031,0.273810,True,0.005739,1
9670,1774337616.352552,1774337644.396176,418,84,28.037015,0.499744,0.331774,True,0.006608,1
4231,1774336341.634957,1774336470.101366,1061,410,128.464799,1.223351,0.311104,True,0.001610,1
8396,1774337346.831543,1774337369.171342,374,94,22.332187,0.960567,0.229802,True,0.007611,1
9671,1774337616.364496,1774337658.818145,397,137,42.447742,0.599153,0.307710,True,0.005908,1
14176,1774338678.902690,1774338702.211184,997,89,23.303875,0.753666,0.256252,True,0.004619,1
2343,1774335803.626745,1774335808.925490,428,101,5.290075,0.800441,0.044896,True,0.008671,1
2344,1774335803.668452,1774335915.685308,1077,391,112.008232,0.893097,0.284911,True,0.008625,1
4232,1774336341.655375,1774336363.695812,1020,414,22.037885,1.262109,0.050305,True,0.002553,1
8397,1774337347.030603,1774337350.233488,386,64,3.197334,0.422877,0.044039,True,0.005551,1
9672,1774337616.998429,1774337634.650297,372,57,17.643152,0.238200,0.310803,True,0.008717,1
2345,1774335803.921924,1774335876.159105,1341,50,72.236640,47.567403,0.503454,True,0.000540,1
4233,1774336341.830087,1774336546.899338,991,394,205.063513,31.435986,0.441800,True,0.005738,1
8398,1774337347.268425,1774337511.646368,1201,543,164.369550,0.622955,0.302115,True,0.008392,1
9673,1774337617.100376,1774337684.629424,1086,393,67.528590,0.726124,0.170414,True,0.000458,1
2346,1774335805.747742,1774335885.535965,384,69,79.781311,45.372013,0.506019,True,0.006912,1
4234,1774336342.021711,1774336370.942437,242,14,28.920146,23.399311,0.424680,True,0.000581,1
