RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
610,1774002538.603054,1774002866.674180,1093,425,148.529373,39.612075,0.256880,True,179.541753,2
780,1774002569.449442,1774002892.359737,372,90,25.584705,1.474654,0.270899,True,297.325590,1
185,1774002442.285421,1774002534.271719,1028,394,91.981292,1.175587,0.231058,True,0.005006,1
270,1774002461.894711,1774002694.551038,951,445,209.971720,86.991713,0.276982,True,22.684607,2
950,1774002607.496858,1774003069.129822,390,83,91.464795,54.838967,0.446656,True,370.168169,1
355,1774002482.721712,1774002697.147904,1102,455,158.809039,33.232312,0.276601,True,55.617152,2
440,1774002504.533051,1774002678.677815,298,18,55.909292,42.338761,0.798267,True,118.235472,1
525,1774002522.472697,1774002860.155192,1160,421,179.833037,69.650126,0.262340,True,157.849457,2
611,1774002538.638882,1774002854.194849,1035,405,135.712477,37.048382,0.244218,True,179.843489,2
781,1774002569.612753,1774003016.765692,1297,368,149.980121,81.491704,0.186617,True,297.172818,2
186,1774002442.293152,1774002538.244725,874,402,95.943699,0.855452,0.237128,True,0.007873,1
271,1774002462.144125,1774002676.147506,1233,401,190.812526,101.144485,0.224170,True,23.190856,2
356,1774002483.067814,1774002687.828058,1026,429,148.468930,34.465522,0.266363,True,56.291313,2
441,1774002504.665920,1774002858.662414,1002,388,235.566176,144.480979,0.235362,True,118.430317,2
526,1774002522.515164,1774002876.946849,1216,466,196.573750,74.037808,0.263518,True,157.857935,2
612,1774002538.640119,1774002843.886511,1009,395,125.054585,38.925705,0.218601,True,180.191808,2
782,1774002569.620440,1774003050.209987,1012,420,183.413880,77.104585,0.253721,True,297.175667,2
187,1774002442.763931,1774002714.246372,997,492,271.476520,149.261115,0.248911,True,0.005921,2
272,1774002462.629844,1774002621.000180,1317,169,135.581512,89.589788,0.273760,True,22.788824,2
952,1774002607.564957,1774003064.792138,373,69,85.828311,50.258087,0.523092,True,371.398869,1
357,1774002483.201323,1774002566.531454,1996,70,27.101019,8.682488,0.266935,True,56.229112,1
442,1774002504.777997,1774002910.770534,1021,390,286.857617,146.687668,0.360334,True,119.134920,2
527,1774002522.516376,1774002868.647175,912,427,187.204986,78.609452,0.254919,True,158.925813,2
613,1774002538.723336,1774002742.350602,482,73,22.439429,6.041848,0.227744,True,181.187837,1
783,1774002569.622704,1774002881.365108,377,53,14.558458,1.443181,0.252217,True,297.183946,1
188,1774002442.835897,1774002495.222559,72,245,52.380624,0.705116,0.211785,True,0.006037,1
273,1774002463.065876,1774002712.568475,1103,520,226.660736,90.268956,0.262797,True,22.841864,2
953,1774002608.416294,1774003070.662646,401,89,90.778737,52.620344,0.433618,True,371.467615,1
358,1774002483.232674,1774002616.020295,1314,139,75.774055,47.366112,0.205855,True,57.013567,2
443,1774002505.259170,1774002738.045354,209,217,114.049815,41.111768,0.337676,True,118.736369,1
528,1774002522.517542,1774002715.632382,181,104,34.105593,1.500763,0.316552,True,159.009248,1
614,1774002539.002174,1774002787.984730,401,104,67.899682,29.887235,0.369053,True,181.082874,2
784,1774002569.812454,1774003042.770449,1191,411,175.952419,67.049444,0.265617,True,297.005576,2
189,1774002442.837142,1774002535.815641,851,397,92.962768,1.484242,0.231006,True,0.015731,1
274,1774002463.109476,1774002658.961082,887,375,171.869712,100.520861,0.190772,True,23.981894,2
954,1774002608.495326,1774003094.907408,203,183,114.664163,52.261189,0.342873,True,371.747919,1
359,1774002483.250184,1774002621.951488,181,173,81.347707,36.677007,0.259713,True,57.353597,2
444,1774002505.407187,1774002703.468510,386,96,79.144713,42.576206,0.384932,True,118.916611,1
529,1774002522.676806,1774002730.224486,206,162,48.064441,0.867856,0.293146,True,159.483240,1
615,1774002539.066212,1774002866.762134,1046,429,146.038809,35.949156,0.257219,True,181.657113,2
