RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
1971,1774170643.263010,1774172376.023360,1992,91,324.998138,72.421873,2.806403,True,1407.762213,2
24,1774170643.198070,1774170744.450078,389,87,100.298869,20.457978,0.928382,True,0.953140,1
696,1774170643.220908,1774170984.304043,206,165,100.682244,25.390252,0.459098,True,240.400890,1
2888,1774170643.292352,1774173329.105843,1324,141,228.798179,97.540144,0.937557,True,2457.015312,1
356,1774170643.210131,1774171251.686909,1026,429,603.942321,63.236927,1.263330,True,4.534458,1
3483,1774170643.311320,1774173916.836996,1015,122,165.588723,43.542773,1.008644,True,3107.936953,1
526,1774170643.215533,1774171309.989430,1216,466,534.646505,1.621738,1.146290,True,132.127392,2
1206,1774170643.237077,1774171976.473274,1025,407,657.714299,135.864157,1.285345,True,675.521898,2
1801,1774170643.255832,1774172533.012378,1008,408,619.526356,102.653560,1.269958,True,1270.230189,2
3653,1774170643.318463,1774174043.439979,53,148,161.609479,47.040634,0.779380,True,3238.512037,1
16,1774170643.197687,1774170736.483972,369,74,92.421704,20.546275,0.984595,True,0.864581,1
697,1774170643.220938,1774170961.919658,371,97,78.287688,25.380107,0.551121,True,240.411032,1
1972,1774170643.263040,1774172689.996282,1163,409,638.960101,75.392333,1.381294,True,1407.773142,2
2889,1774170643.292381,1774173209.862432,399,94,108.384884,38.543280,0.750985,True,2458.185166,1
357,1774170643.210163,1774170817.013060,1996,70,169.258785,57.478714,1.620001,True,4.544112,1
527,1774170643.215566,1774171296.708215,912,427,519.032617,1.338230,1.215245,True,134.460032,2
1207,1774170643.237106,1774172078.310767,1143,393,759.439054,104.939811,1.669641,True,675.634607,2
1802,1774170643.255862,1774172125.056277,397,93,211.455613,126.185649,0.926847,True,1270.344802,1
3654,1774170643.318492,1774173973.463007,1163,82,91.579740,16.432384,0.927745,True,3238.564775,1
698,1774170643.220968,1774170940.276472,373,66,50.608175,4.072282,0.715937,True,246.447329,1
1973,1774170643.263069,1774173002.475569,1103,577,949.860513,79.650572,1.510781,True,1409.351987,3
25,1774170643.198101,1774170710.241305,91,16,66.079071,10.023437,3.737042,True,0.964134,1
2890,1774170643.292426,1774173793.652879,1106,396,690.169065,107.323140,1.475559,True,2460.191388,2
358,1774170643.210193,1774170878.122203,1314,139,230.357679,83.643686,1.063145,True,4.554331,1
3485,1774170643.311379,1774174169.326286,1037,396,415.410069,44.727223,0.938438,True,3110.604837,1
528,1774170643.215596,1774170869.440145,181,104,89.614532,0.802722,0.862251,True,136.610016,1
1208,1774170643.237136,1774171950.421341,1226,379,630.321472,129.857970,1.323978,True,676.862734,2
1803,1774170643.255890,1774172674.437481,1027,450,759.676512,51.954589,1.576218,True,1271.505079,2
17,1774170643.197719,1774170793.618468,206,162,149.545009,10.112441,0.866041,True,0.875740,1
699,1774170643.220998,1774170944.886791,385,73,54.165127,4.116582,0.695119,True,247.500667,1
1974,1774170643.263098,1774173064.640636,1123,651,1012.014456,83.449395,1.428562,True,1409.363081,3
2891,1774170643.292458,1774173241.079762,380,91,136.898752,61.916031,0.833141,True,2460.888552,1
359,1774170643.210222,1774170915.684341,181,173,267.909106,63.205745,1.190136,True,4.565012,1
3486,1774170643.311408,1774173984.272616,388,98,230.007191,92.937428,1.413090,True,3110.954016,1
529,1774170643.215626,1774170913.017565,206,162,133.076484,0.553990,0.823121,True,136.725456,1
1209,1774170643.237165,1774171836.430436,1024,419,516.023128,24.344167,1.176265,True,677.170144,1
1804,1774170643.255919,1774172041.851306,424,96,126.751434,59.267084,0.710362,True,1271.843953,1
18,1774170643.197751,1774170890.719036,1353,142,246.634429,20.388172,1.604583,True,0.886855,1
700,1774170643.221027,1774170980.282320,203,167,89.550309,4.106258,0.514723,True,247.510985,1
1975,1774170643.263128,1774172664.856388,1032,396,612.219589,88.859759,1.324962,True,1409.373671,2
2892,1774170643.292488,1774173338.770813,411,188,234.310647,61.636775,0.923390,True,2461.167678,1
360,1774170643.210252,1774171097.566853,1049,397,449.780601,57.446850,0.990742,True,4.576000,1
530,1774170643.215655,1774171142.190183,1010,396,362.133397,2.840364,0.909603,True,136.841131,1
1210,1774170643.237194,1774171864.002545,1136,418,543.583548,36.697099,1.215555,True,677.181803,1
1805,1774170643.255951,1774172671.423119,1042,424,756.209669,83.745947,1.589749,True,1271.957498,2
3657,1774170643.318580,1774174051.155029,814,160,166.173888,42.295053,0.779112,True,3241.662561,1
19,1774170643.197783,1774170899.811809,197,152,255.716715,15.465874,1.591065,True,0.897310,1
701,1774170643.221056,1774170967.016119,398,132,76.058296,4.406222,0.546962,True,247.736767,1
1976,1774170643.263158,1774172347.047791,315,19,292.243231,89.102371,11.285603,True,1411.541402,3
2893,1774170643.292518,1774173250.159544,411,104,145.646966,58.167373,0.849316,True,2461.220060,1
361,1774170643.210280,1774171154.541366,1132,414,506.743484,83.610793,1.024534,True,4.587602,1
3488,1774170643.311483,1774174110.026983,1064,364,354.813587,41.769516,0.862380,True,3111.901912,1
531,1774170643.215684,1774170834.674263,975,68,54.606723,2.124750,0.783313,True,136.851857,1
1211,1774170643.237226,1774171954.554928,1083,399,634.000919,95.274146,1.353585,True,677.316783,2
1806,1774170643.255981,1774172744.133291,1094,385,828.590410,153.381386,1.758357,True,1272.286900,2
3658,1774170643.318610,1774174100.138481,392,96,215.010227,59.796363,1.633830,True,3241.809644,1
20,1774170643.197815,1774170790.522402,181,154,146.416159,14.365882,0.863074,True,0.908428,1
702,1774170643.221086,1774171463.564842,1241,422,570.253781,0.000000,1.354522,True,250.089975,3
1977,1774170643.263187,1774172448.017796,1316,152,393.161058,0.000000,2.603716,True,1411.593552,3
2894,1774170643.292548,1774173925.126251,1162,398,819.203660,97.441081,1.818042,True,2462.630043,2
362,1774170643.210310,1774171058.937864,1088,386,411.129370,78.728189,0.863380,True,4.598184,1
3489,1774170643.311513,1774174140.574983,1093,397,385.249204,52.271439,0.840853,True,3112.014266,1
532,1774170643.215713,1774171482.939391,1033,396,702.249518,20.274811,1.726518,True,137.474159,2
1212,1774170643.237255,1774171471.333511,1989,83,150.768930,43.208733,1.311710,True,677.327326,1
1807,1774170643.256010,1774172101.284980,415,93,185.627130,94.861037,0.986588,True,1272.401841,1
21,1774170643.197960,1774170726.915557,388,54,82.797628,18.536111,1.212481,True,0.919969,1
703,1774170643.221115,1774171427.818788,1050,374,533.831686,4.043637,1.420343,True,250.765987,1
1978,1774170643.263216,1774172873.785748,1014,399,817.386164,0.000000,2.053734,True,1413.136367,3
2895,1774170643.292577,1774173297.595230,181,60,191.661307,97.429409,1.597151,True,2462.641346,1
363,1774170643.210346,1774170934.284815,125,205,286.465620,57.413850,1.122803,True,4.608849,1
3490,1774170643.311543,1774173999.654124,398,104,243.114450,106.129277,1.329953,True,3113.228132,1
533,1774170643.215743,1774170867.158816,163,157,86.232053,0.690593,0.548343,True,137.711020,1
1213,1774170643.237284,1774171886.196874,1046,438,565.518428,38.671897,1.205598,True,677.441162,1
1808,1774170643.256039,1774172706.734546,1096,411,791.066007,95.738917,1.695920,True,1272.412500,2
3660,1774170643.318669,1774174225.621093,949,407,340.179092,15.686115,0.799244,True,3242.123332,1
22,1774170643.197995,1774170787.053227,203,147,142.924427,12.479678,0.893457,True,0.930805,1
704,1774170643.221144,1774170965.908345,401,86,70.940019,27.748081,0.508140,True,251.747182,1
1979,1774170643.263246,1774172913.654402,1071,427,854.810063,0.000000,2.006596,True,1415.581093,3
2896,1774170643.292606,1774173714.487742,1093,414,605.782743,31.316147,1.390960,True,2465.412393,2
364,1774170643.210378,1774170905.377369,206,167,257.547160,83.577909,1.048008,True,4.619832,1
3491,1774170643.311572,1774174154.419435,1072,444,397.755944,20.838259,0.850830,True,3113.351919,1
534,1774170643.215775,1774170820.908593,382,62,39.817284,0.867069,0.638528,True,137.875535,1
1214,1774170643.237320,1774171931.094061,1025,375,610.025947,71.610059,1.439615,True,677.830794,2
1809,1774170643.256070,1774172343.810545,398,127,425.925141,129.650950,2.351382,True,1274.629334,2
3661,1774170643.318698,1774174122.020871,403,105,236.557818,62.689147,1.671814,True,3242.144355,1
23,1774170643.198027,1774170818.388853,126,194,174.249284,16.680771,0.816417,True,0.941542,1
705,1774170643.221173,1774171614.323876,1436,386,719.026625,41.196214,1.760598,True,252.076078,2
1980,1774170643.263276,1774173038.745266,1069,524,979.674787,0.000000,1.873183,True,1415.807203,3
2897,1774170643.292639,1774173933.380940,1176,621,824.407880,71.154686,1.214925,True,2465.680421,2
365,1774170643.210408,1774170825.632351,376,73,177.791325,78.695688,1.376328,True,4.630619,1
3492,1774170643.311605,1774173817.097034,242,14,58.712891,49.212818,0.730775,True,3115.072538,1
535,1774170643.215808,1774171457.217027,1082,426,675.528798,14.792292,1.554674,True,138.472421,2
1215,1774170643.237354,1774171822.848888,1317,192,501.769302,111.445238,2.043581,True,677.842232,2
1810,1774170643.256099,1774172907.582358,1052,564,987.351422,98.194401,1.579320,True,1276.974837,2
706,1774170643.221202,1774171206.713277,389,66,309.506105,0.000000,4.761632,True,253.985970,3
1981,1774170643.263305,1774172398.953707,421,93,337.964120,80.507204,2.798445,True,1417.726282,2
26,1774170643.198133,1774170773.064923,181,123,128.890888,14.298753,0.939280,True,0.975902,1
2898,1774170643.292667,1774173341.302598,393,91,230.059971,98.423238,1.462630,True,2467.949959,1
366,1774170643.210453,1774170929.567162,127,198,281.715542,57.381485,1.138752,True,4.641167,1
3493,1774170643.311638,1774174228.142360,1132,437,468.437726,112.804971,0.815671,True,3116.392996,1
536,1774170643.215842,1774171245.241254,1311,415,462.206631,2.954375,1.109305,True,139.818781,1
1216,1774170643.237385,1774171982.348731,1083,407,661.227954,144.980521,1.271545,True,677.883392,2
1811,1774170643.256128,1774172721.150618,1089,394,800.804389,65.477196,1.871062,True,1277.090101,2
27,1774170643.198165,1774170940.044953,191,217,295.859473,24.874832,1.254559,True,0.987315,1
707,1774170643.221232,1774171196.441974,386,50,299.130976,0.000000,6.104714,True,254.089766,3
1982,1774170643.263335,1774172373.076257,1474,109,311.910358,47.276973,2.450309,True,1417.902564,2
2899,1774170643.292696,1774173874.157715,1109,405,762.698211,39.923355,1.789047,True,2468.166807,2
367,1774170643.210483,1774170858.582319,404,109,210.719959,83.545940,1.177537,True,4.651876,1
3494,1774170643.311668,1774173999.431431,397,114,239.591639,87.363583,1.347151,True,3116.528124,1
537,1774170643.215870,1774170955.782724,200,217,172.736829,0.539040,0.797212,True,139.830024,1
1217,1774170643.237427,1774172113.078195,1036,538,788.603155,143.520252,1.201272,True,681.237613,2
1812,1774170643.256157,1774172929.797367,1160,443,1009.440199,98.068560,2.061927,True,1277.101011,2
3664,1774170643.318785,1774174205.984009,194,152,317.810536,101.992852,1.429256,True,3244.854688,1
28,1774170643.198197,1774170812.161227,27,183,167.964077,18.456813,0.821468,True,0.998952,1
708,1774170643.221261,1774171542.033512,1069,426,642.447811,29.158576,1.443033,True,256.364439,1
1983,1774170643.263364,1774172913.768025,1097,394,849.021532,0.000000,2.160360,True,1421.483130,3
2900,1774170643.292726,1774173264.347242,410,92,152.558586,68.338927,0.925491,True,2468.495931,1
368,1774170643.210513,1774171172.118492,1026,409,524.244619,78.663440,1.092111,True,4.663360,1
3495,1774170643.311697,1774173884.969964,120,12,124.924224,112.463950,1.132752,True,3116.734043,1
538,1774170643.215899,1774170795.303205,91,16,12.153239,2.839053,0.620946,True,139.934066,1
1218,1774170643.237458,1774171817.227252,1035,398,492.563890,40.357486,1.139059,True,681.425905,1
1813,1774170643.256186,1774172065.813642,1786,50,144.276362,87.188342,1.165062,True,1278.281094,1
