RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
9076,1774320926.206666,1774322652.725810,374,56,46.308125,29.566882,0.304386,True,1680.211019,1
5846,1774320926.102817,1774322908.119106,1080,559,820.809790,67.062585,1.350801,True,1161.206498,1
1659,1774320925.968554,1774321221.566097,1036,388,79.118212,13.926884,0.168453,True,216.479331,1
4571,1774320926.061914,1774321884.633996,1068,388,71.475381,3.724292,0.175067,True,887.096700,1
10351,1774320926.248841,1774322846.852767,410,100,56.529017,0.546066,0.565484,True,1864.074909,1
11626,1774320926.290316,1774323054.228989,1122,393,90.504322,12.758919,0.198330,True,2037.434351,1
14856,1774320926.517503,1774323996.129007,983,390,432.299653,41.346165,1.005022,True,2637.311851,1
16131,1774320926.559005,1774323999.074341,209,217,119.471161,20.125274,0.459935,True,2953.044174,1
1660,1774320925.968583,1774321169.867161,385,80,27.336021,15.286757,0.152522,True,216.562556,1
4572,1774320926.061943,1774321844.021650,372,83,30.800925,12.237217,0.226387,True,887.158781,1
5847,1774320926.102861,1774322283.772399,407,96,196.233334,79.565549,1.228082,True,1161.436205,1
9077,1774320926.206695,1774322629.841718,408,83,23.330623,5.504599,0.217391,True,1680.304400,1
10352,1774320926.248878,1774322876.368945,982,157,85.909980,0.716985,0.546109,True,1864.210087,1
11627,1774320926.290345,1774323042.835923,18,128,79.059154,15.838198,0.497803,True,2037.486424,1
14857,1774320926.517534,1774323593.888979,912,94,29.848820,13.925627,0.171217,True,2637.522625,1
16132,1774320926.559034,1774324049.064693,1083,396,169.451183,20.114457,0.378068,True,2953.054476,1
4573,1774320926.061972,1774321995.336200,209,162,181.557149,118.285933,0.392989,True,887.717079,2
5848,1774320926.102893,1774322214.029808,453,53,126.040174,54.337676,1.378894,True,1161.886740,1
1661,1774320925.968612,1774321211.351586,444,101,68.776772,24.132436,0.446443,True,216.606201,1
9078,1774320926.206728,1774322764.055668,396,96,157.345323,15.597861,1.492079,True,1680.503617,1
10353,1774320926.248922,1774323023.446367,1015,420,232.758614,1.253197,0.552519,True,1864.438830,1
11628,1774320926.290378,1774323017.587150,405,97,53.685584,7.128562,0.484969,True,2037.611188,1
14858,1774320926.517566,1774323675.445304,849,69,111.394213,47.782494,0.935466,True,2637.533525,1
16133,1774320926.559067,1774324130.928811,1146,417,251.221890,57.244500,0.466292,True,2953.147855,1
1662,1774320925.968642,1774321742.103991,1012,461,599.231720,56.320248,1.180242,True,216.903629,1
4574,1774320926.062001,1774322299.918651,1103,427,486.077182,47.151239,1.030343,True,887.779469,1
5849,1774320926.102922,1774322276.426409,381,93,188.323435,66.268567,1.326683,True,1162.000051,1
9079,1774320926.206757,1774322657.910786,181,179,51.179919,5.284850,0.257837,True,1680.524111,1
10354,1774320926.248955,1774322848.911268,518,100,58.213228,1.242537,0.575462,True,1864.449084,1
11629,1774320926.290408,1774323441.354818,1069,386,477.150168,3.862049,1.229320,True,2037.914242,1
14859,1774320926.517595,1774323645.409328,181,100,81.089791,40.769714,0.407274,True,2637.801943,1
16134,1774320926.559096,1774323954.608606,407,91,74.890156,28.269929,0.518003,True,2953.159354,1
1663,1774320925.968671,1774321702.386404,1036,590,559.391117,30.991951,0.897112,True,217.026616,1
4575,1774320926.062030,1774322087.216853,1300,405,273.364676,118.212702,0.384040,True,887.790147,2
5850,1774320926.102951,1774322666.817353,1164,414,578.367636,56.141352,1.264470,True,1162.346766,1
9080,1774320926.206786,1774322770.102498,374,109,163.276534,13.657930,1.385357,True,1680.619178,1
10355,1774320926.248986,1774322899.346958,420,200,108.637477,1.231414,0.539729,True,1864.460495,1
11630,1774320926.290438,1774323092.433054,395,88,128.217127,3.850533,1.429501,True,2037.925488,1
14860,1774320926.517624,1774323686.597603,1079,594,120.838707,13.954542,0.180243,True,2639.241272,1
16135,1774320926.559134,1774324130.876108,1159,396,251.044442,76.421491,0.442083,True,2953.272532,1
1664,1774320925.968701,1774321461.416983,1036,375,318.266425,189.339906,0.344723,True,217.181858,2
4576,1774320926.062059,1774322257.568352,1039,395,443.705136,48.711251,1.002523,True,887.801158,1
