RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
11113,1774345372.524016,1774345458.867670,210,132,68.084915,10.881714,0.436666,True,18.258740,1
4643,1774343925.944490,1774344221.891637,1005,393,295.939412,11.970117,0.724411,True,0.007736,2
5918,1774344247.098053,1774344515.112396,1018,397,268.008826,21.330482,0.622925,True,0.005517,1
1413,1774342993.942228,1774343107.558533,1028,374,113.609561,1.346508,0.300973,True,0.006744,1
3368,1774343566.988932,1774343642.341413,1108,434,50.491436,12.334018,0.088123,True,24.861045,1
12983,1774345839.942683,1774345847.406477,401,88,7.460062,0.528088,0.079678,True,0.003732,1
13663,1774346015.662290,1774346185.538142,1052,414,169.869266,1.339425,0.408063,True,0.006587,1
1414,1774342993.981654,1774343118.612554,1101,411,124.621614,1.200407,0.301027,True,0.009286,1
3369,1774343567.246271,1774343602.131843,325,18,9.563980,6.951387,0.153682,True,25.321592,1
4644,1774343926.408204,1774344245.686892,1089,396,319.273910,21.061414,0.754968,True,0.004779,2
5919,1774344247.288376,1774344289.146488,1057,413,41.847082,1.140831,0.098802,True,0.011030,1
11114,1774345372.765156,1774345463.661398,201,146,72.867903,8.610885,0.443152,True,18.028338,1
12984,1774345839.966115,1774346012.394048,1234,405,172.426691,0.859997,0.424670,True,0.001243,1
13664,1774346015.707808,1774346044.362438,126,74,28.651940,0.237899,0.389233,True,0.002690,1
11115,1774345372.984838,1774345444.036939,1370,97,53.232428,9.250012,0.458150,True,17.819673,1
3370,1774343567.399848,1774343639.162392,397,100,46.419944,1.226505,0.456499,True,25.342600,1
4645,1774343926.415142,1774344000.793422,1407,92,74.369305,33.244558,0.451920,True,0.008975,1
5920,1774344247.376149,1774344325.322418,375,70,77.940282,12.837812,0.943514,True,0.005986,1
1415,1774342994.386322,1774343333.844956,1179,921,339.457771,1.369805,0.367487,True,0.000863,1
12985,1774345840.290658,1774345865.759910,226,49,25.457792,0.565600,0.518587,True,0.011461,1
13665,1774346015.743924,1774346071.804060,1419,132,56.051556,1.256090,0.418286,True,0.008580,1
1416,1774342995.110614,1774343112.893893,1005,394,117.780495,0.723927,0.297854,True,0.002784,1
3371,1774343567.484115,1774343637.346552,398,92,44.593640,5.435102,0.430314,True,25.268797,1
4646,1774343926.895944,1774344224.310372,1060,383,297.404984,18.417809,0.730333,True,0.009444,2
5921,1774344247.510547,1774344516.952315,1010,391,269.435643,2.206736,0.685202,True,0.006125,1
11116,1774345373.366409,1774345435.903907,487,78,45.087990,10.194134,0.453167,True,17.449507,1
12986,1774345840.352415,1774346029.638307,1309,442,189.284938,0.729270,0.427564,True,0.000953,1
13666,1774346015.758307,1774346122.788641,1039,409,107.025702,0.800192,0.260357,True,0.004633,1
1417,1774342995.462630,1774343120.638356,1151,404,125.170985,0.879314,0.308416,True,0.004741,1
3372,1774343567.941160,1774343748.065160,1125,399,155.300449,4.563840,0.378735,True,24.823551,1
4647,1774343926.898397,1774343979.324666,396,76,52.409538,18.743591,0.448879,True,0.016731,1
5922,1774344247.629304,1774344288.018388,1016,397,40.388443,3.269487,0.093735,True,0.000641,1
11117,1774345373.622575,1774345442.616623,409,97,51.790890,10.838432,0.426588,True,17.203159,1
12987,1774345840.370488,1774345892.957345,1950,99,52.583173,1.077378,0.525569,True,0.003683,1
1418,1774342995.760533,1774343041.114702,181,167,45.348261,0.250679,0.271672,True,0.005908,1
3373,1774343568.407289,1774343767.525212,1168,427,174.750585,6.127190,0.395830,True,24.367338,1
4648,1774343926.927014,1774343934.161762,296,18,7.225126,0.297974,0.407480,True,0.009623,1
5923,1774344247.977667,1774344268.111662,397,88,20.123090,2.911244,0.197837,True,0.010905,1
11118,1774345373.722393,1774345484.534636,1318,201,93.698071,8.567733,0.425652,True,17.114172,1
12988,1774345840.515633,1774345858.595538,399,107,18.073182,0.450855,0.166248,True,0.006722,1
13668,1774346016.353446,1774346062.558181,973,100,46.202839,1.747775,0.449041,True,0.001895,1
1419,1774342995.868896,1774343106.722143,1149,379,110.852573,0.601082,0.291671,True,0.000674,1
3374,1774343568.421782,1774343626.488214,2045,60,33.702379,3.850334,0.505967,True,24.364053,1
4649,1774343927.311669,1774344227.668093,1139,407,300.349391,10.605805,0.713654,True,0.007032,2
5924,1774344248.053318,1774344287.964649,1050,396,39.902567,2.837229,0.093836,True,0.008765,1
11119,1774345373.726005,1774345462.415000,217,138,71.567023,9.206938,0.455183,True,17.121972,1
12989,1774345840.995781,1774345888.134406,412,89,47.131805,0.629290,0.528438,True,0.006820,1
13669,1774346016.421291,1774346046.444347,219,69,30.017189,0.788413,0.429835,True,0.005867,1
1420,1774342998.090810,1774343131.493697,1070,428,133.398018,0.503042,0.311229,True,0.004868,1
3375,1774343568.640480,1774343765.860116,1097,403,173.059647,5.390629,0.417087,True,24.159989,1
4650,1774343927.610992,1774344056.152713,203,217,128.530944,32.046551,0.446687,True,0.010777,1
5925,1774344248.279792,1774344523.515910,1118,415,275.228076,21.583059,0.612669,True,0.008042,1
11120,1774345374.558150,1774345449.867845,395,110,59.008971,10.150799,0.448240,True,16.300725,1
12990,1774345841.360876,1774345914.852068,1166,419,73.482402,1.123126,0.173108,True,0.008791,1
13670,1774346016.421441,1774346042.843554,888,70,26.405740,0.669748,0.372985,True,0.016372,1
1421,1774342998.202951,1774343023.107729,992,97,24.895998,0.761524,0.251401,True,0.008781,1
3376,1774343568.922708,1774343658.546134,200,165,65.737847,4.519432,0.373283,True,23.885578,1
4651,1774343927.669494,1774344007.550805,44,141,79.875223,17.647549,0.444483,True,0.006088,1
5926,1774344248.309695,1774344253.298934,1077,51,4.978460,1.139079,0.076788,True,0.010779,1
11121,1774345374.701292,1774345451.467444,240,118,60.597651,10.794804,0.425665,True,16.168502,1
12991,1774345841.392295,1774345858.321617,424,98,16.920840,1.091897,0.163185,True,0.008482,1
13671,1774346016.695291,1774346112.810764,1314,225,96.105859,1.283519,0.423314,True,0.009614,1
1422,1774342998.553800,1774343063.611514,1035,616,65.046899,11.468586,0.087119,True,0.010816,1
3377,1774343569.760134,1774343764.658532,997,418,171.839379,6.082941,0.397497,True,23.059020,1
4652,1774343928.175254,1774344304.442871,1093,429,376.260033,32.910441,0.802219,True,0.007584,2
5927,1774344248.372336,1774344523.515922,1164,414,275.132704,24.260646,0.607438,True,0.010882,1
11122,1774345375.205849,1774345439.370939,181,85,48.490055,8.523329,0.475794,True,15.675035,1
12992,1774345841.425730,1774345903.695856,1066,125,62.262692,0.497547,0.498106,True,0.007433,1
13672,1774346017.196072,1774346021.887248,391,88,4.686424,0.406073,0.049199,True,0.004753,1
11123,1774345375.292175,1774345486.586149,172,201,95.693877,9.162491,0.432657,True,15.600098,1
13673,1774346017.242178,1774346120.530548,1058,386,103.287580,0.774269,0.266268,True,0.000790,1
3378,1774343569.910853,1774343666.286546,203,181,73.456617,3.806253,0.386946,True,22.919076,1
4653,1774343928.495097,1774344266.398979,1005,414,337.900095,19.088022,0.771942,True,0.003787,2
5928,1774344248.633352,1774344347.584321,1591,96,98.943531,14.779935,0.885933,True,0.007438,1
12993,1774345841.465643,1774345863.050256,618,134,21.574300,2.005752,0.147132,True,0.010313,1
1423,1774342999.100612,1774343119.402285,912,395,120.299807,0.565240,0.303895,True,0.001866,1
1424,1774342999.834171,1774343064.373880,1353,234,64.528634,0.532840,0.274660,True,0.011075,1
3379,1774343569.914064,1774343619.384267,374,40,26.543681,5.347446,0.543493,True,22.926522,1
4654,1774343928.544524,1774344266.153427,1086,423,337.599677,23.086069,0.745293,True,0.009226,2
5929,1774344248.709018,1774344514.498112,1147,392,265.785143,23.930990,0.618553,True,0.003952,1
11124,1774345375.512649,1774345469.065016,183,155,78.161952,10.106667,0.441917,True,15.390415,1
12994,1774345841.471265,1774345867.326927,200,161,25.839835,1.137041,0.154392,True,0.015827,1
1425,1774342999.906841,1774343022.373351,388,88,22.463785,0.562779,0.251736,True,0.002725,1
3380,1774343570.028097,1774343637.489599,181,95,44.638133,4.476446,0.427252,True,22.823369,1
4655,1774343928.902668,1774344247.701581,1038,375,318.792096,32.183025,0.766334,True,0.006817,2
5930,1774344248.781660,1774344347.584155,408,96,98.797982,14.634548,0.885931,True,0.004513,1
11125,1774345375.629956,1774345449.124691,415,112,58.210480,10.750364,0.427569,True,15.284255,1
12995,1774345841.549779,1774345847.227996,91,16,5.677517,0.418255,0.350618,True,0.000700,1
13675,1774346018.071362,1774346021.148489,469,60,3.076535,0.478370,0.044037,True,0.000592,1
1426,1774343000.056185,1774343056.323854,1044,394,56.259802,12.295933,0.111867,True,0.007867,1
3381,1774343570.312137,1774343631.591612,1176,77,38.729385,6.039818,0.430126,True,22.550090,1
4656,1774343929.007328,1774344059.096366,1104,396,130.084213,1.017553,0.326751,True,0.004826,1
5931,1774344248.785178,1774344305.604797,388,49,56.808562,2.451602,1.132437,True,0.011057,1
11126,1774345376.182347,1774345432.544690,1022,68,41.619740,8.479518,0.494630,True,14.742603,1
12996,1774345842.028271,1774345888.252217,744,89,46.213246,0.509030,0.519366,True,0.010700,1
13676,1774346018.149645,1774346070.243688,401,128,52.088031,0.426405,0.406784,True,0.006011,1
1427,1774343000.094545,1774343121.213107,997,393,121.117598,1.027601,0.306352,True,0.000963,1
3382,1774343570.952018,1774343747.302392,1046,396,154.428688,3.762298,0.381434,True,21.921687,1
4657,1774343929.480163,1774344226.443444,937,571,296.960168,1.211924,0.518857,True,0.003113,1
5932,1774344249.039611,1774344256.158660,382,65,7.116133,2.252145,0.076000,True,0.002916,1
11127,1774345376.196987,1774345451.369107,175,114,60.433129,9.118360,0.454113,True,14.738991,1
12997,1774345842.393092,1774345852.282440,702,57,9.881594,0.600281,0.165738,True,0.007754,1
13677,1774346018.295390,1774346055.631557,401,89,37.330475,0.577705,0.417645,True,0.005692,1
1428,1774343000.141303,1774343153.875374,1109,488,153.728197,0.694280,0.314238,True,0.005874,1
3383,1774343571.206551,1774343709.301533,181,284,116.416996,5.303276,0.392628,True,21.677986,1
4658,1774343929.937182,1774343953.313102,1060,395,23.375297,1.103168,0.056528,True,0.000623,1
5933,1774344249.270311,1774344331.527443,1995,56,82.246824,28.542248,0.976447,True,0.010309,1
11128,1774345376.620166,1774345476.162728,201,171,85.216389,13.053140,0.424490,True,14.326174,1
12998,1774345842.401052,1774345856.603344,622,88,14.191488,1.069892,0.150823,True,0.010804,1
13678,1774346018.428190,1774346044.413249,1005,401,25.977319,1.102395,0.062187,True,0.007740,1
1429,1774343000.261052,1774343045.324862,1311,159,45.063164,0.751938,0.280451,True,0.000647,1
3384,1774343571.674005,1774343633.533236,373,81,40.637690,4.432715,0.452562,True,21.221542,1
