RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
95,1781689859.359165,1781690439.509588,13886,534,154.231451,13.382354,0.264257,True,425.918972,1
138,1781689869.714223,1781690484.350420,6171,34,38.100544,14.247057,0.722833,True,576.535653,1
53,1781689849.729112,1781689943.811037,3121,18,12.695603,5.582340,0.418427,True,81.386321,1
96,1781689859.731200,1781690336.914306,6237,3,49.764307,49.483011,0.140648,True,427.418799,1
25,1781689844.357471,1781689887.342195,3156,21,42.978093,35.679691,0.364920,True,0.006632,1
139,1781689869.791130,1781690479.248181,3237,29,30.312570,15.226069,0.538804,True,579.144481,1
54,1781689849.927299,1781689944.892402,4115,24,13.765281,7.099396,0.289821,True,81.199821,1
97,1781689859.930539,1781690474.944043,7935,375,180.924377,49.048666,0.352609,True,434.089126,1
55,1781689850.017444,1781690460.916568,10355,584,523.925510,337.317264,0.320083,True,86.973614,584
98,1781689860.147845,1781690343.349113,6231,3,41.101623,40.820813,0.140405,True,442.099645,1
24,1781689844.296311,1781689899.198595,3176,19,54.895575,50.466408,0.246065,True,0.006709,1
141,1781689870.136047,1781690464.441260,6918,3,9.490696,9.210793,0.139951,True,584.814516,1
56,1781689850.028741,1781689948.177960,8772,1,8.971150,8.968302,0.000000,True,89.178069,1
99,1781689860.276394,1781690539.087341,8429,439,214.892441,34.072684,0.412830,True,463.918507,1
142,1781689870.568606,1781690469.029407,6648,3,11.827025,9.420143,1.203441,True,586.633776,1
57,1781689850.139030,1781690488.677533,1477,615,544.863655,326.614523,0.355455,True,93.674847,584
100,1781689860.553328,1781690435.401105,3184,195,102.924006,35.100076,0.349608,True,471.923770,1
143,1781689870.688077,1781690531.039919,6635,3,73.774646,73.499677,0.137484,True,586.577197,1
58,1781689850.318040,1781689952.579153,6669,3,7.679707,7.395599,0.142054,True,94.581406,1
144,1781689871.204518,1781690479.248365,6472,26,18.327621,7.964014,0.414544,True,589.716227,1
59,1781689850.365602,1781689952.579163,6188,3,7.668048,7.383879,0.142085,True,94.545512,1
102,1781689861.319711,1781690388.551137,6717,3,51.626081,50.503176,0.561452,True,475.605345,1
145,1781689871.329952,1781690471.355132,6256,3,6.906131,6.621604,0.142264,True,593.119049,1
60,1781689851.198361,1781689958.597514,6185,3,10.413812,10.129784,0.142014,True,96.985341,1
103,1781689861.505855,1781690358.481403,7173,3,19.868749,18.029794,0.919477,True,477.106798,1
146,1781689871.448392,1781690479.248502,6580,23,12.476075,6.712040,0.262002,True,595.324035,1
61,1781689851.667352,1781690430.585550,3628,555,478.070320,320.033453,0.285265,True,100.847878,584
104,1781689861.775769,1781690362.314350,3153,22,18.961476,16.070696,0.137656,True,481.577105,1
0,1781689839.501320,1781689872.933453,9013,3,33.431157,3.384143,15.023507,True,0.000976,1
147,1781689871.514233,1781690512.082980,6182,34,43.048762,13.072242,0.908379,True,597.519986,1
62,1781689851.725201,1781690466.766103,1902,587,514.176371,304.312607,0.358129,True,100.864530,584
105,1781689861.905351,1781690393.813411,3136,20,39.412690,35.651354,0.197965,True,492.495370,1
18,1781689843.000108,1781690032.545794,6059,475,189.545096,21.022275,0.355533,True,0.000590,1
148,1781689872.158615,1781690507.136990,3156,24,35.779727,10.749604,1.088266,True,599.198648,1
63,1781689851.867852,1781690066.836779,14041,227,114.236062,46.210906,0.300996,True,100.732866,1
19,1781689843.086154,1781689882.457366,3133,23,39.363602,29.763259,0.436379,True,0.007610,1
64,1781689851.904387,1781690037.750287,6618,35,79.144851,64.665251,0.425871,True,106.701050,1
107,1781689862.181381,1781690524.835985,2651,366,166.347807,7.653027,0.434780,True,496.306797,1
20,1781689843.134299,1781690009.920276,5954,420,166.785511,31.672085,0.322466,True,0.000466,1
17,1781689842.704015,1781689914.288671,13544,71,71.574076,30.142495,0.591880,True,0.010581,1
150,1781689872.517686,1781690484.350721,6178,3,5.096395,4.812113,0.142141,True,606.736640,1
65,1781689852.242886,1781690066.904783,9615,203,105.264771,45.566633,0.295535,True,109.397126,1
108,1781689862.298801,1781690387.505626,3153,27,25.184513,14.815444,0.398810,True,500.022312,1
21,1781689843.422544,1781689877.540023,7460,3,34.109751,33.833680,0.138035,True,0.007728,1
151,1781689872.972553,1781690488.818350,6247,3,9.552239,9.265515,0.143362,True,606.293557,1
66,1781689852.249197,1781690013.367581,6520,47,46.737382,40.576445,0.133933,True,114.381001,1
109,1781689862.592977,1781690379.342184,3172,17,14.005547,11.799774,0.137861,True,502.743661,1
152,1781689873.146048,1781690488.818538,6535,3,9.541794,9.254882,0.143456,True,606.130697,1
67,1781689852.693954,1781690030.237753,7413,23,61.315460,54.348268,0.316691,True,116.228338,1
110,1781689863.271151,1781690554.789209,2133,347,188.158248,23.421196,0.476119,True,503.359810,1
23,1781689843.917658,1781689993.668290,2012,354,149.749951,36.125574,0.321882,True,0.000681,1
153,1781689873.329102,1781690492.822798,6814,3,8.469585,8.186368,0.141608,True,611.024111,1
68,1781689853.009362,1781690338.604934,12095,239,366.564866,292.027835,0.313181,True,119.030706,584
111,1781689863.334028,1781690392.218955,6358,28,16.991639,6.130574,0.402262,True,511.893288,1
26,1781689844.506109,1781690425.749048,6324,548,552.808614,383.961960,0.308678,True,28.434325,584
69,1781689853.016595,1781690354.395039,1066,324,368.870734,295.020041,0.228640,True,132.507710,602
112,1781689863.457497,1781690393.604576,3222,19,15.626959,10.499128,0.284880,True,514.520120,1
27,1781689844.701239,1781689961.634255,6820,26,88.682029,83.769051,0.196519,True,28.250987,1
155,1781689874.269119,1781690507.136757,4021,20,18.456159,3.859346,0.768253,True,614.411479,1
70,1781689853.375443,1781690028.362797,3377,22,39.764568,35.982066,0.180119,True,135.222786,1
113,1781689863.535540,1781690400.129281,4042,20,20.785357,14.115896,0.351024,True,515.808384,1
28,1781689844.933863,1781689884.920369,3161,20,10.032143,5.155984,0.256640,True,29.954363,1
156,1781689874.339938,1781690495.062763,6192,3,6.237677,5.954332,0.141672,True,614.485148,1
71,1781689853.583857,1781690415.187308,2038,524,424.566829,273.447417,0.288947,True,137.036622,584
114,1781689864.012560,1781690396.284704,6854,3,13.719492,13.433315,0.143089,True,518.552652,1
29,1781689845.044163,1781689906.153756,7141,36,28.610013,7.236970,0.610658,True,32.499580,1
157,1781689874.695812,1781690497.680665,7038,3,8.843973,8.561781,0.141096,True,614.140880,1
72,1781689854.091135,1781690354.459209,898,324,360.780221,273.285659,0.270881,True,139.587853,584
115,1781689864.064171,1781690544.179196,12159,237,156.662771,47.268778,0.463534,True,523.452255,1
30,1781689845.441377,1781689899.267936,3134,21,17.334323,5.272530,0.603090,True,36.492236,1
158,1781689874.699047,1781690513.239688,6168,26,20.409114,7.800757,0.504334,True,618.131526,1
73,1781689854.286303,1781690037.822899,3331,20,35.965816,25.891145,0.530246,True,147.570779,1
116,1781689864.471488,1781690405.241392,6658,27,16.688535,9.852564,0.262922,True,524.081368,1
31,1781689845.622494,1781689898.175735,4348,20,16.107124,5.137611,0.577343,True,36.446118,1
159,1781689875.391523,1781690509.117654,3178,23,14.053206,5.566987,0.385737,True,619.672925,1
74,1781689854.293560,1781690366.630270,5391,361,364.708825,265.043196,0.276849,True,147.627885,584
117,1781689864.483860,1781690457.195613,6165,25,64.976075,51.508351,0.561155,True,527.735678,1
32,1781689845.703527,1781689889.936942,7111,3,7.477856,7.204659,0.136599,True,36.755558,1
75,1781689854.377636,1781690060.446959,11041,98,50.515953,26.492486,0.247665,True,155.553370,1
118,1781689864.766871,1781690446.040296,3128,18,52.429944,50.117635,0.136018,True,528.843481,1
33,1781689845.887619,1781689899.537350,3156,20,14.606438,11.042118,0.187596,True,39.043294,1
8,1781689841.492427,1781689872.933857,6253,3,31.440502,12.116355,9.662073,True,0.000929,1
161,1781689875.561690,1781690536.780034,7125,26,39.097735,35.716920,0.135233,True,622.120609,1
76,1781689854.507188,1781690040.132210,6251,3,26.761940,26.479916,0.141012,True,158.863082,1
119,1781689864.786289,1781690403.136783,7379,3,9.320569,9.042858,0.138856,True,529.029925,1
34,1781689845.959556,1781689904.122257,4186,24,19.179762,11.030486,0.354316,True,38.982939,1
9,1781689841.598743,1781690546.938264,7236,794,705.331839,427.538940,0.350306,True,0.007682,584
77,1781689854.524474,1781690400.479189,6525,481,381.798032,251.747141,0.270939,True,164.156683,584
120,1781689864.796513,1781690408.275536,2983,18,11.985053,7.741582,0.249616,True,531.493971,1
35,1781689846.184960,1781689911.219757,3155,25,23.872809,11.779113,0.503904,True,41.161989,1
2,1781689840.353046,1781689889.868227,6725,32,49.504589,7.491867,1.355249,True,0.010591,1
78,1781689854.820603,1781690415.257649,14081,522,388.508802,234.930024,0.294777,True,171.928244,584
121,1781689865.372493,1781690451.753535,4232,22,51.618517,43.593056,0.382165,True,534.762526,1
36,1781689846.333575,1781689966.622414,6166,23,76.752423,73.776839,0.135254,True,43.536416,1
79,1781689855.166358,1781690324.193140,8974,219,295.821594,226.121879,0.319723,True,173.205189,584
122,1781689865.799046,1781690410.387299,6169,25,9.903409,6.719868,0.132648,True,534.684844,1
37,1781689846.450021,1781689901.846943,6355,3,11.905448,11.628577,0.138436,True,43.491474,1
4,1781689841.115096,1781689985.517538,2290,316,144.394783,6.732856,0.437022,True,0.007659,1
165,1781689875.954554,1781690515.956580,7294,3,6.830166,6.547824,0.141171,True,633.171861,1
80,1781689855.361563,1781690054.111316,3135,16,23.862774,21.792455,0.138021,True,174.886979,1
123,1781689865.899363,1781690414.730764,8077,3,11.589232,11.314507,0.137363,True,537.242170,1
38,1781689847.032056,1781689924.385067,6198,39,26.202541,5.663755,0.540494,True,51.150470,1
5,1781689841.306042,1781689968.917587,4834,173,127.600935,9.039952,0.689308,True,0.010610,1
166,1781689876.525427,1781690521.393814,6911,24,9.309111,6.127265,0.138341,True,635.559276,1
81,1781689855.409318,1781690062.954902,6905,3,30.405290,30.131106,0.137092,True,177.140295,1
39,1781689847.070688,1781689972.037289,6169,27,72.829960,69.368718,0.133125,True,52.136640,1
6,1781689841.344884,1781690041.888884,6758,500,200.539350,6.506112,0.388844,True,0.004650,1
82,1781689855.914631,1781690382.559427,15761,417,344.798311,254.969597,0.215934,True,181.846484,585
40,1781689847.123400,1781689913.689844,3068,20,14.419236,5.795021,0.453906,True,52.147207,1
7,1781689841.380873,1781689882.063934,3121,20,40.682570,14.993735,1.352044,True,0.000491,1
83,1781689856.112752,1781690375.221602,7543,415,337.388151,237.711236,0.240765,True,181.720698,584
126,1781689866.824365,1781690445.161018,954,48,34.764932,8.813918,0.552149,True,543.571720,1
1,1781689840.340772,1781690048.232020,7322,490,207.890601,10.015311,0.404653,True,0.000646,1
41,1781689847.384263,1781689908.462770,6306,3,8.914714,8.639611,0.137551,True,52.163793,1
84,1781689856.122079,1781690377.972794,934,421,337.838842,229.011355,0.259113,True,184.011873,584
127,1781689866.867005,1781690422.650223,9389,3,7.910722,7.637335,0.136693,True,547.872496,1
42,1781689847.436990,1781690528.190535,5710,745,626.341837,367.296555,0.348179,True,54.411707,584
3,1781689840.373749,1781689881.931944,3137,19,41.547481,9.972300,1.754177,True,0.010715,1
85,1781689856.189950,1781690332.469384,7011,3,290.576782,290.294765,0.141009,True,185.702652,585
43,1781689847.519971,1781689931.109910,6721,29,26.981668,9.284853,0.632029,True,56.608271,1
171,1781689877.833864,1781690558.366406,7043,36,30.165044,18.329802,0.338150,True,650.367497,1
86,1781689856.748671,1781690365.325924,2350,355,317.091140,232.309674,0.239496,True,191.486113,585
44,1781689847.521170,1781689930.971643,1053,26,24.816159,7.854126,0.678481,True,58.634314,1
87,1781689856.908623,1781690287.144205,3357,23,233.028145,212.848682,0.917248,True,197.207437,584
130,1781689867.685691,1781690438.056563,7295,3,15.397598,15.119304,0.139147,True,554.973275,1
45,1781689848.116037,1781689931.109579,6950,25,22.643954,10.270713,0.515552,True,60.349588,1
10,1781689841.803539,1781690001.853331,10498,402,160.042164,11.798093,0.369686,True,0.007628,1
173,1781689878.065570,1781690554.724577,4490,16,17.941782,15.873016,0.137918,True,658.717224,1
88,1781689857.630184,1781690280.822273,7307,3,220.368464,212.094893,4.136786,True,202.823625,584
131,1781689868.003170,1781690446.242923,4388,21,20.483104,13.675390,0.340386,True,557.756648,1
46,1781689848.366844,1781689919.012447,6785,3,7.786891,7.510752,0.138069,True,62.858712,1
11,1781689841.949847,1781689874.880128,6506,3,32.924653,14.419566,9.252543,True,0.005628,1
