RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
80,1781687130.517497,1781687442.326412,3135,16,51.971075,43.543076,0.561867,True,259.837840,1
123,1781687141.055192,1781687828.575289,8077,3,16.484685,16.205463,0.139611,True,671.035413,1
38,1781687122.188632,1781687197.109944,6198,39,25.556740,5.485274,0.528196,True,49.364573,1
81,1781687130.565161,1781687434.174538,6905,3,37.085473,36.809397,0.138038,True,266.523904,1
39,1781687122.226166,1781687243.999254,6169,27,71.459379,67.991344,0.133386,True,50.313709,1
82,1781687131.070993,1781687635.228779,15761,417,237.051058,169.533576,0.162302,True,267.106728,2
40,1781687122.279900,1781687186.659014,3068,20,14.045954,5.618983,0.443525,True,50.333160,1
83,1781687131.268224,1781687633.238803,7543,415,227.079737,139.422109,0.211733,True,274.890841,2
41,1781687122.539672,1781687181.558265,6306,3,8.678573,8.404352,0.137111,True,50.340019,1
84,1781687131.278557,1781687815.972363,934,421,391.174075,301.550153,0.213390,True,293.519731,3
85,1781687131.346443,1781687442.193228,7011,3,11.443129,10.159742,0.641694,True,299.403656,1
43,1781687122.675410,1781687203.705407,6721,29,26.386353,9.062631,0.618704,True,54.643644,1
86,1781687131.905272,1781687625.112004,2350,355,190.928643,119.172359,0.202701,True,302.278089,2
44,1781687122.677590,1781687203.568534,1053,26,24.245335,7.648636,0.663868,True,56.645609,1
87,1781687132.065179,1781687457.913433,3357,23,19.971428,3.971935,0.727250,True,305.876826,1
14,1781687117.641501,1781687648.720691,12846,466,531.072477,435.707601,0.205086,True,0.006713,3
45,1781687123.271204,1781687203.705208,6950,25,22.144995,9.975392,0.507067,True,58.289009,1
88,1781687132.786798,1781687445.215335,7307,3,3.019357,2.457003,0.281177,True,309.409180,1
46,1781687123.523801,1781687191.811892,6785,3,7.557925,7.281409,0.138258,True,60.730166,1
89,1781687132.996229,1781687467.675249,898,57,25.344054,2.605103,0.406053,True,309.334966,1
47,1781687123.598729,1781687273.755099,3806,309,87.085342,6.277856,0.262362,True,63.071028,1
90,1781687133.097490,1781687447.920647,7122,3,2.701605,2.426498,0.137554,True,312.121553,1
48,1781687124.091021,1781687211.668418,6563,25,24.417288,9.061863,0.639809,True,63.160109,1
91,1781687133.527143,1781687450.371194,6484,3,2.439764,2.163724,0.138020,True,314.404288,1
49,1781687124.489292,1781687260.544317,1110,240,68.731742,4.500406,0.268750,True,67.323283,1
92,1781687133.546571,1781687452.671538,6165,3,2.296621,2.019950,0.138336,True,316.828345,1
16,1781687117.763654,1781687224.727093,9418,145,106.952805,20.674209,0.599157,True,0.010635,1
50,1781687124.556158,1781687290.303502,15366,344,96.399164,8.562630,0.256083,True,69.348180,1
93,1781687133.916623,1781687455.111736,6345,3,2.432406,2.155156,0.138625,True,318.762706,1
51,1781687124.857286,1781687217.302912,6598,26,20.186985,11.110131,0.363074,True,72.258642,1
94,1781687134.330064,1781687461.004339,6608,28,5.886822,2.247578,0.134787,True,320.787453,1
24,1781687119.452577,1781687172.535115,3176,19,53.078733,48.719028,0.242206,True,0.003804,1
52,1781687124.874685,1781687209.475517,7490,3,5.901196,4.651546,0.624825,True,78.699636,1
53,1781687124.884983,1781687216.219069,3121,18,12.510134,5.481850,0.413428,True,78.823953,1
96,1781687134.887219,1781687567.784098,6237,3,106.770678,85.572684,10.598997,True,326.126201,2
17,1781687117.860549,1781687187.248376,13544,71,69.380204,29.049125,0.576158,True,0.007623,1
54,1781687125.083185,1781687217.303098,4115,24,13.582161,6.985651,0.286805,True,78.637752,1
97,1781687135.086421,1781687627.849234,7935,375,160.169177,72.654828,0.233996,True,332.593636,2
15,1781687117.747290,1781687193.897570,15172,80,76.145618,23.606253,0.665055,True,0.004662,1
98,1781687135.303884,1781687567.783705,6231,3,98.550967,75.118303,11.716332,True,333.928853,2
12,1781687117.311711,1781687262.564770,915,355,145.252482,16.172593,0.364632,True,0.000577,1
56,1781687125.184975,1781687220.517608,8772,1,8.847438,8.844367,0.000000,True,86.485196,1
99,1781687135.432478,1781687644.886153,8429,439,173.692128,88.677605,0.194097,True,335.761547,2
13,1781687117.370575,1781687158.669007,6166,24,41.295514,17.129131,1.050712,True,0.002918,1
100,1781687135.709550,1781687773.161990,3184,195,205.377417,150.319658,0.283803,True,432.075023,2
