RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
194,1781689031.063048,1781689520.542213,3122,21,10.111695,7.429649,0.134102,True,479.367470,1
22,1781688992.069323,1781689319.231355,11339,848,327.157324,50.048542,0.327165,True,0.004709,1
109,1781689011.231540,1781689280.009419,3172,17,4.298430,2.068567,0.139366,True,264.479449,1
67,1781689001.331950,1781689176.228887,7413,23,60.986823,54.064538,0.314649,True,113.910114,1
152,1781689021.783968,1781689417.569760,6535,3,18.582974,18.306247,0.138363,True,377.202818,1
195,1781689031.326941,1781689524.068805,7952,3,12.158047,11.877757,0.140145,True,480.583817,1
23,1781688992.555590,1781689139.936905,2012,354,147.375641,35.122825,0.317997,True,0.005674,1
110,1781689011.909641,1781689476.764014,2133,347,198.341753,46.577189,0.438626,True,266.512620,1
238,1781689039.371963,1781689649.654873,6177,31,19.289190,14.823329,0.148862,True,590.993721,1
68,1781689001.647402,1781689240.016178,12095,239,121.655314,46.313654,0.316562,True,116.713463,1
153,1781689021.967051,1781689410.027184,6814,3,10.426355,10.149935,0.138210,True,377.633777,1
26,1781688993.143345,1781689252.760375,6324,548,232.031463,82.421402,0.273510,True,27.585567,1
111,1781689011.972507,1781689286.958029,6358,28,6.940551,2.177869,0.176396,True,268.044971,1
239,1781689039.410491,1781689667.632102,5939,15,34.503244,31.714687,0.199183,True,593.718368,1
69,1781689001.654747,1781689285.232711,1066,324,153.425764,32.867489,0.373245,True,130.152199,1
154,1781689022.902341,1781689510.425741,916,265,110.812938,10.138059,0.381344,True,376.710461,1
197,1781689031.563784,1781689543.278606,6053,89,26.370462,9.136223,0.195844,True,485.344360,1
27,1781688993.339476,1781689108.031744,6820,26,87.291446,82.409577,0.195275,True,27.400822,1
112,1781689012.095167,1781689286.957677,3222,19,3.906881,1.411601,0.138627,True,270.955630,1
240,1781689039.615811,1781689686.957480,1085,75,45.553494,23.439762,0.298834,True,601.788175,1
70,1781689002.013315,1781689174.369086,3377,22,39.492264,35.728491,0.179227,True,132.863506,1
155,1781689022.907556,1781689431.650296,4021,20,27.570486,8.517774,1.002774,True,381.172255,1
198,1781689032.015658,1781689560.632152,3126,20,41.284860,24.912410,0.861708,True,487.331634,1
28,1781688993.571949,1781689032.499737,3161,20,9.874120,5.058801,0.253438,True,29.053667,1
113,1781689012.173069,1781689290.772701,4042,20,7.302186,4.758218,0.133893,True,271.297446,1
71,1781689002.221772,1781689349.954748,2038,524,213.064471,27.784140,0.354264,True,134.668505,1
156,1781689022.977478,1781689421.680381,6192,3,14.453896,12.269263,1.092316,True,384.249007,1
199,1781689032.074515,1781689564.570446,6288,3,44.017371,42.091430,0.962970,True,488.478561,1
29,1781688993.682337,1781689053.308350,7141,36,28.056211,7.107423,0.598537,True,31.569802,1
114,1781689012.651090,1781689330.760421,6854,3,45.520943,45.240115,0.140414,True,272.588387,1
242,1781689040.175863,1781689652.285007,6810,3,2.624411,2.338961,0.142725,True,609.484734,1
72,1781689002.729252,1781689286.546698,898,324,146.601848,30.660432,0.358952,True,137.215598,1
157,1781689023.334352,1781689425.019874,7038,3,15.056622,14.071640,0.492491,True,386.628900,1
30,1781688994.079500,1781689046.572931,3134,21,16.989461,5.147133,0.592116,True,35.503970,1
115,1781689012.701781,1781689391.383856,12159,237,104.826347,8.489370,0.408208,True,273.855728,1
243,1781689041.215763,1781689656.075049,8099,3,3.783240,3.498332,0.142454,True,611.076046,1
73,1781689002.925567,1781689183.768165,3331,20,35.713583,25.704252,0.526807,True,145.129014,1
158,1781689023.336568,1781689433.193312,6168,26,23.155545,11.431125,0.468977,True,386.701199,1
201,1781689032.460544,1781689570.197299,3132,18,36.598366,22.092708,0.853274,True,501.138390,1
31,1781688994.261480,1781689045.503253,4348,20,15.784690,5.011976,0.566985,True,35.457083,1
116,1781689013.108134,1781689310.160548,6658,27,23.191974,12.969078,0.393188,True,273.860440,1
244,1781689041.286767,1781689667.563590,3147,21,14.454858,3.935115,0.525987,True,611.821964,1
15,1781688991.228959,1781689068.000278,15172,80,76.767681,23.801893,0.670453,True,0.003638,1
74,1781689002.931851,1781689304.118605,5391,361,156.001034,27.968142,0.355647,True,145.185720,1
159,1781689024.029849,1781689432.797993,3178,23,19.985193,8.656058,0.514961,True,388.782951,1
202,1781689032.529097,1781689555.977200,6648,3,13.434376,13.148860,0.142758,True,510.013728,1
32,1781688994.342497,1781689037.407274,7111,3,7.299111,7.027388,0.135861,True,35.765666,1
117,1781689013.121468,1781689313.271142,6165,25,26.290576,16.317454,0.415547,True,273.859098,1
245,1781689041.809504,1781689666.278177,3164,19,10.198389,1.927980,0.459467,True,614.270284,1
75,1781689003.015126,1781689206.331369,11041,98,50.294961,26.362607,0.246725,True,153.021282,1
160,1781689024.121038,1781689615.316881,2428,508,200.169629,9.659660,0.375759,True,391.026214,1
33,1781688994.525631,1781689046.841950,3156,20,14.331655,10.787266,0.186547,True,37.984664,1
118,1781689013.404564,1781689334.017641,3128,18,43.242160,40.946596,0.135033,True,277.370918,1
76,1781689003.144724,1781689186.080619,6251,3,26.595713,26.319526,0.138094,True,156.340182,1
161,1781689024.199064,1781689440.642596,7125,26,23.205322,10.820793,0.495381,True,393.238210,1
34,1781688994.597559,1781689051.302685,4186,24,18.781612,10.776572,0.348045,True,37.923513,1
119,1781689013.423982,1781689306.815921,7379,3,15.967744,15.688236,0.139754,True,277.424195,1
25,1781688992.996985,1781689034.867227,3156,21,41.869721,34.686645,0.359154,True,0.000521,1
77,1781689003.162186,1781689346.127929,6525,481,181.376923,13.585653,0.349565,True,161.588820,1
162,1781689024.250793,1781689665.534629,2392,621,248.022070,7.294321,0.388271,True,393.261766,1
205,1781689032.989717,1781689558.265614,6167,3,6.934478,6.649647,0.142416,True,518.341419,1
35,1781688994.823023,1781689058.279697,3155,25,23.409774,11.560856,0.493705,True,40.046900,1
120,1781689013.434279,1781689313.405232,2983,18,15.628234,11.288508,0.255278,True,284.342720,1
248,1781689041.966618,1781689697.879568,6165,3,32.341140,32.058459,0.141340,True,623.571811,1
24,1781688992.935393,1781689046.502532,3176,19,53.566550,49.186413,0.243341,True,0.000588,1
78,1781689003.459483,1781689365.977868,14081,522,193.210573,20.030224,0.332400,True,169.307812,1
163,1781689024.384335,1781689662.607013,8619,593,245.032441,18.496902,0.382661,True,393.190238,1
206,1781689033.785076,1781689572.258929,6662,24,16.276937,4.437119,0.514775,True,522.196916,1
36,1781688994.971694,1781689112.973387,6166,23,75.628953,72.664182,0.134762,True,42.372741,1
121,1781689014.009358,1781689318.106670,4232,22,16.800557,7.759460,0.430528,True,287.296755,1
249,1781689042.783064,1781689676.096773,3301,19,9.812781,1.138954,0.481879,True,623.500927,1
12,1781688990.792438,1781689136.888571,915,355,146.087473,16.269433,0.366718,True,0.008660,1
79,1781689003.804354,1781689272.625936,8974,219,98.251085,23.570809,0.342570,True,170.570497,1
164,1781689024.449189,1781689672.836367,2885,613,251.150166,6.572083,0.399637,True,397.237013,1
66,1781689000.887118,1781689159.474150,6520,47,46.497002,40.352153,0.133584,True,112.090030,1
37,1781688995.088087,1781689049.079154,6355,3,11.663356,11.388201,0.137578,True,42.327711,1
122,1781689014.436962,1781689325.207075,6169,25,21.086728,8.057548,0.542883,True,289.683385,1
16,1781688991.245298,1781689099.032243,9418,145,107.778349,20.835371,0.603771,True,0.008596,1
80,1781689003.999664,1781689200.012930,3135,16,23.773320,21.706047,0.137818,True,172.239946,1
165,1781689024.592845,1781689446.837207,7294,3,25.087298,24.808733,0.139282,True,397.157064,1
208,1781689033.939071,1781689582.138869,6757,3,21.503721,21.222314,0.140704,True,526.696076,1
38,1781688995.670296,1781689071.231216,6198,39,25.722222,5.518705,0.531671,True,49.838698,1
123,1781689014.537206,1781689316.417200,8077,3,9.597499,9.318950,0.139274,True,292.282495,1
251,1781689043.234119,1781689706.614670,6641,28,38.977024,29.959176,0.333994,True,624.403527,1
18,1781688991.638341,1781689178.545187,6059,475,186.901121,20.445195,0.351173,True,0.005726,1
0,1781688988.141672,1781689020.717990,9013,3,32.575305,3.316328,14.629488,True,0.001013,1
81,1781689004.047349,1781689208.866018,6905,3,30.317110,30.042205,0.137452,True,174.501559,1
166,1781689025.163920,1781689436.544346,6911,24,11.521714,5.648586,0.255353,True,399.858713,1
209,1781689034.254471,1781689582.139071,6579,3,19.344008,19.062534,0.140737,True,528.540592,1
39,1781688995.708852,1781689118.350081,6169,27,71.845778,68.387002,0.133030,True,50.795451,1
124,1781689014.986887,1781689473.197421,4541,362,163.028077,7.663689,0.430372,True,295.182458,1
252,1781689043.375866,1781689675.250603,6172,3,2.403452,2.118137,0.142658,True,629.471285,1
82,1781689004.551886,1781689361.154352,15761,417,177.449665,37.385843,0.336692,True,179.152802,1
