RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
104,1781688094.393427,1781688586.918859,3153,22,41.337160,37.269829,0.193682,True,451.188272,1
62,1781688084.342463,1781688565.326436,1902,587,382.389890,19.813198,0.618732,True,98.594083,3
19,1781688075.703291,1781688113.985206,3133,23,38.278336,28.849438,0.428586,True,0.003578,1
105,1781688094.522890,1781688555.297398,3136,20,9.661176,7.054074,0.137216,True,451.113332,1
63,1781688084.485117,1781688391.760443,14041,227,208.812780,46.031159,0.720273,True,98.462546,2
18,1781688075.617131,1781688359.013456,6059,475,283.390704,20.382951,0.554869,True,0.005620,2
64,1781688084.521732,1781688362.325663,6618,36,173.488675,0.000000,4.956819,True,104.315256,3
20,1781688075.751836,1781688240.003252,5954,420,164.244770,30.696372,0.318731,True,0.006645,1
65,1781688084.861241,1781688391.760257,9615,203,199.877088,45.402922,0.764724,True,107.021928,2
21,1781688076.039669,1781688109.132715,7460,3,33.089368,32.814627,0.137371,True,0.003679,1
108,1781688094.916471,1781688567.079222,3153,27,11.778111,8.250247,0.135687,True,460.384640,1
66,1781688084.866491,1781688243.455520,6520,47,46.634791,40.465090,0.134124,True,111.954238,1
22,1781688076.048776,1781688570.475261,11339,848,494.420830,49.923949,0.524790,True,0.005655,3
109,1781688095.210609,1781688585.020280,3172,17,27.229165,25.060322,0.135553,True,462.580506,1
23,1781688076.535077,1781688223.908569,2012,354,147.367773,35.025874,0.318249,True,0.005719,1
26,1781688077.122264,1781688415.240369,6324,548,310.605957,82.348776,0.417289,True,27.512148,2
111,1781688095.951472,1781688611.932602,6358,28,46.603416,32.828072,0.510198,True,469.377714,1
69,1781688085.633929,1781688545.629671,1066,324,329.898186,32.882075,0.919555,True,130.097556,3
2,1781688072.970903,1781688121.214015,6725,32,48.239482,7.276901,1.321374,True,0.003630,1
27,1781688077.319381,1781688191.881166,6820,26,87.234847,82.336847,0.195920,True,27.326938,1
112,1781688096.074296,1781688610.705290,3222,19,43.623310,31.075273,0.697113,True,471.007685,1
70,1781688085.993796,1781688350.109091,3377,23,131.279098,0.000000,5.967232,True,132.836197,3
28,1781688077.551893,1781688116.392471,3161,20,9.861254,5.035562,0.253984,True,28.979324,1
113,1781688096.152274,1781688588.796166,4042,20,18.316156,15.756792,0.134703,True,474.327736,1
71,1781688086.200359,1781688722.915702,2038,524,502.063325,27.761095,0.906888,True,134.652019,4
29,1781688077.661254,1781688137.192756,7141,36,28.055260,7.114549,0.598306,True,31.476241,1
114,1781688096.630392,1781688602.096443,6854,3,21.108423,20.836890,0.135766,True,484.357629,1
72,1781688086.708675,1781688545.570913,898,325,321.655755,0.000000,0.992765,True,137.206483,4
15,1781688075.208512,1781688151.856980,15172,80,76.644820,23.732174,0.669780,True,0.003648,1
