RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
145,1781685967.122317,1781686419.650293,6256,3,15.253129,14.982186,0.135471,True,437.274848,1
60,1781685946.991113,1781686059.338462,6185,3,10.165579,9.882315,0.141632,True,102.181770,1
25,1781685940.150179,1781685989.713226,3156,21,49.560444,42.423611,0.356842,True,0.002603,1
103,1781685957.298748,1781686291.752229,7173,3,48.158381,47.888711,0.134835,True,286.295100,1
146,1781685967.241234,1781686426.408775,6580,23,19.875738,15.141398,0.215197,True,439.291802,1
61,1781685947.459932,1781686239.202152,3628,555,185.810583,5.663579,0.325175,True,105.931636,2
17,1781685938.497327,1781686015.938896,13544,71,77.438898,37.111935,0.576099,True,0.002671,1
104,1781685957.568690,1781686301.767053,3153,22,55.431203,45.147300,0.489710,True,288.767160,1
24,1781685940.089635,1781686001.255366,3176,19,61.155120,56.795386,0.242207,True,0.010610,1
147,1781685967.306167,1781686442.577489,6182,34,32.066212,14.702122,0.526185,True,443.205110,1
62,1781685947.517807,1781686266.783429,1902,587,213.317666,19.757448,0.330308,True,105.947956,2
18,1781685938.794541,1781686132.677313,6059,475,193.882213,28.352417,0.349219,True,0.000559,1
190,1781685976.889956,1781686623.637978,6170,3,14.801067,14.521713,0.139677,True,631.946955,1
105,1781685957.698462,1781686299.316546,3136,20,46.003997,38.169987,0.412316,True,295.614087,1
148,1781685967.952628,1781686459.004709,3156,24,44.895159,19.498263,1.104213,True,446.156923,1
63,1781685947.660436,1781686167.093338,14041,227,113.616408,45.825589,0.299959,True,105.816494,1
19,1781685938.879648,1781685985.013238,3133,23,46.124965,36.723528,0.427338,True,0.008625,1
106,1781685957.766374,1781686507.854473,5922,542,251.801727,6.657299,0.453132,True,298.286372,2
149,1781685968.100293,1781686638.717420,1322,514,221.258946,16.149300,0.399824,True,449.358180,2
64,1781685947.696966,1781686137.840993,6618,35,78.495767,64.137058,0.422315,True,111.648260,1
20,1781685938.927153,1781686110.321041,5954,420,171.391319,38.572392,0.316990,True,0.002570,1
192,1781685977.236791,1781686652.097937,3132,24,24.036251,15.433819,0.374019,True,650.824894,1
107,1781685957.974543,1781686442.377705,2651,366,184.223058,15.045808,0.463499,True,300.180104,2
150,1781685968.310673,1781686433.880083,6178,3,14.220984,13.948615,0.136185,True,451.348426,1
65,1781685948.035555,1781686167.157366,9615,203,104.771068,45.221438,0.294800,True,114.350744,1
21,1781685939.216113,1781685980.168656,7460,3,40.943885,40.664485,0.139700,True,0.008658,1
108,1781685958.091958,1781686278.565455,3153,27,20.143583,14.778429,0.206352,True,300.329915,1
151,1781685968.764514,1781686436.108420,6247,3,12.708186,12.436134,0.136026,True,454.635720,1
66,1781685948.041773,1781686113.763963,6520,47,46.457721,40.301570,0.133829,True,119.264469,1
22,1781685939.224326,1781686286.731741,11339,848,347.495163,57.659091,0.342191,True,0.012252,2
109,1781685958.386067,1781686275.402807,3172,17,14.577415,12.374947,0.137654,True,302.439325,1
9,1781685937.391692,1781686270.498405,7236,794,333.098159,22.337084,0.391880,True,0.008554,2
152,1781685968.937426,1781686438.428803,6535,3,12.011198,11.739330,0.135934,True,457.480179,1
67,1781685948.487323,1781686130.386308,7413,23,60.838375,53.934303,0.313821,True,121.060610,1
23,1781685939.710667,1781686094.289909,2012,354,154.575560,42.862051,0.316469,True,0.003682,1
110,1781685959.064945,1781686501.155232,2133,347,234.361052,24.688415,0.605990,True,307.729235,2
153,1781685969.122471,1781686441.099498,6814,3,10.658633,10.388278,0.135178,True,461.318395,1
26,1781685940.298243,1781686238.530228,6324,548,262.839580,81.799875,0.330968,True,35.392406,2
111,1781685959.126790,1781686298.597881,6358,28,28.096647,14.583753,0.500478,True,311.374444,1
6,1781685937.137637,1781686141.932116,6758,500,204.788853,14.321708,0.381698,True,0.005626,1
154,1781685970.057048,1781686533.079696,916,265,99.195826,6.945331,0.349434,True,463.826823,1
69,1781685948.809844,1781686258.151880,1066,324,172.016193,32.780826,0.431069,True,137.325843,2
27,1781685940.494395,1781686062.379563,6820,26,86.677096,81.788010,0.195563,True,35.208071,1
112,1781685959.250270,1781686293.187018,3222,19,17.775372,9.673272,0.450117,True,316.161376,1
155,1781685970.062262,1781686460.250256,4021,20,24.136039,6.194408,0.944296,True,466.051955,1
70,1781685949.168486,1781686128.542246,3377,22,39.319177,35.550661,0.179453,True,140.054583,1
28,1781685940.726969,1781685987.386212,3161,20,9.799240,4.989520,0.253143,True,36.860002,1
113,1781685959.328260,1781686301.766846,4042,20,26.157090,17.376437,0.462140,True,316.281496,1
156,1781685970.133168,1781686444.744406,6192,3,6.306858,6.037468,0.134695,True,468.304380,1
71,1781685949.376674,1781686328.003886,2038,524,236.757533,27.670116,0.399785,True,141.869679,2
29,1781685940.837265,1781686008.027962,7141,36,27.855580,7.074851,0.593735,True,39.335117,1
114,1781685959.805724,1781686301.767059,6854,3,23.924301,23.652760,0.135771,True,318.037034,1
3,1781685936.168734,1781685984.487474,3137,19,48.318262,17.742878,1.698632,True,0.000478,1
157,1781685970.489864,1781686453.420232,7038,3,12.315925,6.826401,2.744762,True,470.614443,1
72,1781685949.884844,1781686258.415172,898,324,164.124578,30.483269,0.413750,True,144.405750,2
30,1781685941.234313,1781686001.326001,3134,21,16.834837,5.085975,0.587443,True,43.256850,1
115,1781685959.858485,1781686430.430082,12159,237,151.861820,18.821481,0.563730,True,318.709777,2
10,1781685937.596781,1781686102.343447,10498,402,164.738990,19.434529,0.362355,True,0.007677,1
158,1781685970.492090,1781686511.630152,6168,26,69.247598,58.559136,0.427538,True,471.890463,1
73,1781685950.079031,1781686137.911167,3331,20,35.565027,25.584554,0.525288,True,152.267110,1
31,1781685941.415374,1781686000.262650,4348,20,15.638045,4.952605,0.562392,True,43.209232,1
116,1781685960.263516,1781686349.834081,6658,27,63.091544,52.042711,0.424955,True,326.479021,1
13,1781685938.007718,1781685987.386402,6166,24,49.371842,25.183664,1.051660,True,0.006842,1
159,1781685971.184983,1781686461.186296,3178,23,18.598016,5.342491,0.602524,True,471.403297,1
74,1781685950.086254,1781686275.607578,5391,361,173.198147,27.834315,0.403788,True,152.323177,2
32,1781685941.496418,1781685992.238999,7111,3,7.215106,6.940300,0.137403,True,43.527475,1
117,1781685960.276846,1781686311.071257,6165,25,24.274568,19.140219,0.213931,True,326.519843,1
75,1781685950.170303,1781686160.695197,11041,98,50.372350,26.210606,0.249090,True,160.152544,1
33,1781685941.681441,1781686001.595525,3156,20,14.198640,10.663350,0.186068,True,45.715444,1
118,1781685960.559844,1781686308.189652,3128,18,16.431659,14.178975,0.132511,True,331.198149,1
161,1781685971.354113,1781686466.405321,7125,26,21.594385,10.879303,0.428603,True,473.456824,1
76,1781685950.299739,1781686140.202145,6251,3,26.435424,26.157959,0.138732,True,163.466982,1
34,1781685941.752232,1781686006.022257,4186,24,18.614485,10.652515,0.346173,True,45.655540,1
119,1781685960.579268,1781686339.061017,7379,3,45.870211,45.594478,0.137866,True,332.611538,1
7,1781685937.175267,1781685984.618939,3121,20,47.443225,22.561578,1.309560,True,0.000447,1
77,1781685950.317054,1781686317.808528,6525,481,198.815562,13.476746,0.386123,True,168.675912,2
35,1781685941.978584,1781686012.947095,3155,25,23.229182,11.463891,0.490220,True,47.739329,1
120,1781685960.589553,1781686347.271648,2983,18,48.666033,40.179529,0.499206,True,338.016062,1
78,1781685950.614211,1781686333.352875,14081,522,206.414633,19.961068,0.357876,True,176.324031,2
36,1781685942.127249,1781686067.301523,6166,23,75.126789,72.158500,0.134922,True,50.047485,1
121,1781685961.164562,1781686308.714118,4232,22,9.394815,6.617631,0.132247,True,338.154741,1
0,1781685935.295810,1781685975.689175,9013,3,40.392310,11.379651,14.506329,True,0.001056,1
79,1781685950.959793,1781686246.329532,8974,219,117.786634,23.487643,0.432564,True,177.583105,2
37,1781685942.242529,1781686003.820339,6355,3,11.572820,11.297701,0.137560,True,50.004990,1
122,1781685961.592089,1781686317.874701,6169,25,16.100153,8.893134,0.300292,True,340.182459,1
165,1781685971.747767,1781686463.800098,7294,3,4.791579,4.513147,0.139216,True,487.260752,1
80,1781685951.154945,1781686154.132639,3135,16,23.744629,21.642448,0.140145,True,179.233064,1
38,1781685942.825349,1781686025.784134,6198,39,25.519775,5.483428,0.527272,True,57.439010,1
