RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
267,1781866851.328630,1781868274.064981,6554,254,345.570588,11.926407,1.318752,True,1077.165763,1
352,1781866851.331098,1781868369.034510,3134,21,9.271089,3.723302,0.277389,True,1508.432324,1
268,1781866851.328658,1781867957.595048,6621,3,12.263487,11.813653,0.224917,True,1094.002903,1
353,1781866851.331126,1781868430.814095,7116,51,61.777858,8.155684,1.072443,True,1517.705112,1
269,1781866851.328698,1781867969.336222,6193,3,11.738374,11.289170,0.224602,True,1106.269150,1
354,1781866851.331156,1781868399.186268,6449,3,23.929031,11.977934,5.975549,True,1523.926081,1
270,1781866851.328726,1781868375.255486,2016,302,405.908459,3.832363,1.335801,True,1118.018301,1
355,1781866851.331184,1781868399.554513,6487,3,23.917198,23.472664,0.222267,True,1524.306131,1
271,1781866851.328757,1781868006.017760,5682,35,32.605282,10.448796,0.651661,True,1122.083722,1
356,1781866851.331212,1781868443.033754,6178,3,63.796211,63.233884,0.281163,True,1527.906332,1
6,1781866851.320751,1781870272.368591,6758,500,3420.085650,2924.234038,0.993691,True,0.962190,6
272,1781866851.328784,1781868039.182561,6411,27,65.727506,24.514519,1.585115,True,1122.126271,1
357,1781866851.331239,1781868536.156388,6221,25,136.964225,76.656949,2.512803,True,1547.860924,2
9,1781866851.320850,1781868233.421866,7236,794,1381.107170,43.257352,1.687074,True,0.993846,1
273,1781866851.328811,1781868062.924227,7077,35,89.457596,7.754201,2.403041,True,1122.137820,1
358,1781866851.331266,1781868608.022853,6593,57,208.457558,68.189001,2.504796,True,1548.234028,2
1,1781866851.320538,1781868450.521271,7322,490,1598.294766,1120.885521,0.976297,True,0.905967,3
274,1781866851.328838,1781868184.887293,7718,191,211.388857,24.471078,0.983778,True,1122.169597,1
359,1781866851.331293,1781868414.555864,3130,19,14.639707,3.661189,0.609918,True,1548.584865,1
12,1781866851.320943,1781867654.649774,915,355,802.302405,455.398793,0.979954,True,1.026426,2
275,1781866851.328866,1781868037.380231,6165,23,63.788323,11.699749,2.367662,True,1122.263042,1
276,1781866851.328893,1781868001.264566,6956,3,27.618185,27.055020,0.281582,True,1122.317488,1
361,1781866851.331351,1781868460.904147,4210,20,46.342394,4.845967,2.184022,True,1563.230402,1
277,1781866851.328920,1781868126.628105,3185,24,138.178705,127.440095,0.466896,True,1137.120480,1
362,1781866851.331377,1781868915.676202,6686,25,494.183965,450.604310,1.815819,True,1570.160860,1
