RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
188,1781834711.543559,1781836067.717202,9227,160,683.989879,322.248152,2.275105,True,672.183764,1
17,1781834711.538328,1781835155.845109,13544,71,443.220954,75.555895,5.252358,True,1.085827,1
189,1781834711.543585,1781838187.164008,897,574,2799.039199,2179.263737,1.081633,True,676.581223,5
18,1781834711.538359,1781835839.709502,6059,475,1127.073578,353.732605,1.631521,True,1.097564,2
190,1781834711.543616,1781835412.412749,6170,3,16.457809,15.903631,0.277089,True,684.411324,1
19,1781834711.538389,1781835066.451936,3133,23,353.805823,38.878753,14.314867,True,1.107724,1
191,1781834711.543647,1781836139.322550,15454,338,734.193930,381.707165,1.045955,True,693.584973,2
20,1781834711.538419,1781835710.682232,5954,420,998.024857,87.584942,2.172888,True,1.118956,1
192,1781834711.543674,1781835440.688149,3132,24,28.497638,9.485887,0.826598,True,700.646836,1
21,1781834711.538472,1781834903.756651,7460,3,191.087715,109.065767,41.010974,True,1.130465,1
193,1781834711.543701,1781835432.743842,7423,3,20.510655,17.918676,1.295990,True,700.689485,1
22,1781834711.538503,1781837374.527722,11339,848,2661.847407,1659.869232,1.182973,True,1.141812,2
194,1781834711.543731,1781835482.094122,3122,21,69.671926,62.163288,0.375432,True,700.878465,1
23,1781834711.538533,1781836164.829937,2012,354,1452.139126,1068.962594,1.085486,True,1.152278,3
195,1781834711.543758,1781835439.542383,7952,3,21.826725,21.336288,0.245219,True,706.171900,1
196,1781834711.543785,1781837914.556351,1895,456,2492.550746,2188.775411,0.667638,True,710.461820,5
27,1781834711.538678,1781834943.014828,6820,26,230.279874,97.202297,5.323103,True,1.196276,1
197,1781834711.543814,1781835528.329128,6053,89,103.883543,26.027008,0.884733,True,712.901770,1
622,1781834711.556283,1781838300.968639,3126,23,9.647157,3.607480,0.274531,True,3579.765198,1
28,1781834711.538721,1781834989.181669,3161,20,276.436223,108.989169,8.813003,True,1.206725,1
198,1781834711.543841,1781835444.612560,3126,20,11.865885,3.635726,0.433166,True,721.202834,1
29,1781834711.538752,1781834975.110071,7141,36,262.354023,84.950744,5.068665,True,1.217296,1
199,1781834711.543868,1781835462.167819,6288,3,22.620638,22.134159,0.243239,True,728.003314,1
30,1781834711.538782,1781834896.986133,3134,21,184.218503,39.844028,7.218724,True,1.228848,1
625,1781834711.556369,1781838309.784985,3103,20,8.807581,3.613983,0.273347,True,3589.421034,1
31,1781834711.538818,1781834866.020176,4348,20,153.242065,47.694417,5.555139,True,1.239293,1
201,1781834711.543928,1781835476.822205,3132,18,36.123263,3.591225,1.913649,True,729.155013,1
32,1781834711.538849,1781834883.150559,7111,3,170.360801,97.111816,36.624493,True,1.250910,1
202,1781834711.543954,1781835452.604727,6648,3,7.986342,7.437988,0.274177,True,733.074430,1
33,1781834711.538883,1781835030.508805,3156,20,317.708549,115.142264,10.661383,True,1.261374,1
203,1781834711.543981,1781837092.139722,13183,566,1639.532236,861.794735,1.376527,True,741.063505,3
34,1781834711.538914,1781835030.432093,4186,24,317.621720,108.924138,9.073808,True,1.271459,1
204,1781834711.544007,1781836707.381284,907,396,1254.321743,979.037795,0.696921,True,741.515534,3
35,1781834711.538944,1781835085.554184,3155,25,372.733491,97.080514,11.485541,True,1.281750,1
205,1781834711.544034,1781835474.050313,6167,3,11.878775,11.392985,0.242895,True,750.627504,1
36,1781834711.538973,1781834897.170213,6166,23,184.338361,33.781064,6.843513,True,1.292879,1
206,1781834711.544060,1781835491.657154,6662,24,17.602052,12.081790,0.240011,True,762.511042,1
37,1781834711.539003,1781834915.454805,6355,3,202.610986,115.099310,43.755838,True,1.304817,1
207,1781834711.544087,1781838250.581147,2158,604,2773.756016,2117.922381,1.087618,True,765.281045,5
38,1781834711.539036,1781834991.195814,6198,39,278.342048,55.628895,5.860872,True,1.314730,1
208,1781834711.544114,1781835585.000385,6757,3,102.902519,102.341630,0.280445,True,770.553752,1
39,1781834711.539065,1781834951.904871,6169,27,239.039631,97.072022,5.460293,True,1.326175,1
209,1781834711.544149,1781835503.880867,6579,3,15.568394,15.085630,0.241382,True,776.768324,1
40,1781834711.539095,1781834873.499674,3068,20,160.623631,84.830741,3.989099,True,1.336948,1
210,1781834711.544177,1781835848.901175,4195,21,357.943467,304.278009,2.683273,True,779.413531,2
41,1781834711.539125,1781834820.633707,6306,3,107.746968,71.506500,18.120234,True,1.347613,1
211,1781834711.544204,1781835764.594802,6172,28,273.573547,238.174623,1.311071,True,779.477051,1
42,1781834711.539159,1781837348.539382,5710,745,2635.641646,1732.410507,1.214020,True,1.358577,3
212,1781834711.544231,1781836945.090012,11244,453,1453.421954,916.951061,1.186883,True,780.123828,2
43,1781834711.539201,1781834952.132322,6721,29,239.223052,56.476204,6.526673,True,1.370069,1
213,1781834711.544257,1781836200.482258,896,439,696.600727,47.048119,1.482997,True,792.337275,1
44,1781834711.539233,1781835068.816107,1053,26,355.895845,108.814312,9.883261,True,1.381028,1
214,1781834711.544284,1781835556.906746,6180,30,42.212839,11.408942,1.062203,True,803.149623,1
45,1781834711.539264,1781834904.013289,6950,25,191.081882,85.692770,4.391213,True,1.392143,1
215,1781834711.544310,1781835869.316472,9065,30,348.464044,220.859344,4.400162,True,809.308117,2
46,1781834711.539293,1781834827.924826,6785,3,114.982394,107.358741,3.811826,True,1.403140,1
216,1781834711.544338,1781835759.753472,3119,15,231.417522,200.859948,2.182684,True,816.791613,1
47,1781834711.539324,1781836112.906233,3806,309,1399.952240,1042.475678,1.160638,True,1.414669,3
217,1781834711.544364,1781836156.767361,914,387,628.358299,24.234251,1.565088,True,816.864697,1
48,1781834711.539351,1781834934.137534,6563,25,221.172103,71.427912,6.239341,True,1.426079,1
218,1781834711.544394,1781836916.093204,2986,436,1378.381657,893.298393,1.115134,True,826.167152,3
49,1781834711.539380,1781835528.406520,1110,240,815.430123,569.630921,1.028449,True,1.437017,2
219,1781834711.544435,1781835610.456668,6594,37,53.539150,12.245765,1.147038,True,845.373084,1
50,1781834711.539408,1781835955.084681,15366,344,1242.097123,700.479386,1.579060,True,1.448149,2
220,1781834711.544466,1781835596.796981,7027,3,26.770491,22.802987,1.983752,True,858.482024,1
51,1781834711.539454,1781834943.198703,6598,26,230.200637,114.831942,4.614748,True,1.458612,1
221,1781834711.544494,1781835629.490731,6326,3,58.380815,50.868095,3.756360,True,859.565422,1
52,1781834711.539487,1781834838.628496,7490,3,125.619333,123.362772,1.128281,True,1.469675,1
222,1781834711.544521,1781835587.144727,7436,3,14.272076,13.784168,0.243954,True,861.328130,1
53,1781834711.539515,1781834865.791562,3121,18,152.771650,84.686840,4.004989,True,1.480396,1
223,1781834711.544548,1781835848.175922,3133,19,263.398232,213.285006,2.784068,True,873.233143,2
54,1781834711.539546,1781835068.980018,4115,24,355.948646,96.870000,11.264289,True,1.491827,1
224,1781834711.544574,1781835841.355490,3118,17,256.351299,216.550450,2.487553,True,873.459617,2
55,1781834711.539573,1781837148.164619,10355,584,2435.121738,1732.265490,1.205585,True,1.503308,4
225,1781834711.544602,1781837046.493453,945,536,1459.345927,858.160794,1.123711,True,875.602924,2
56,1781834711.539604,1781834863.690487,8772,1,150.635830,150.634078,0.000000,True,1.515053,1
226,1781834711.544628,1781835813.827721,3024,111,223.816986,5.628321,1.983533,True,878.466107,1
57,1781834711.539632,1781838253.607344,1477,615,3540.541380,2884.550170,1.068390,True,1.526332,6
227,1781834711.544659,1781836192.129723,6756,38,595.323910,559.962851,0.955704,True,885.261154,2
58,1781834711.539660,1781834889.441139,6669,3,176.363792,160.236385,8.063704,True,1.537687,1
228,1781834711.544685,1781835610.295855,7030,3,13.446789,12.958273,0.244258,True,885.304381,1
59,1781834711.539688,1781834918.376797,6188,3,205.288342,204.733404,0.277469,True,1.548768,1
229,1781834711.544712,1781835896.316279,7175,41,290.770096,189.689668,2.527011,True,894.001472,2
230,1781834711.544739,1781837047.281954,15418,534,1436.984292,845.305686,1.110091,True,898.752923,2
60,1781834711.539715,1781834853.154097,6185,3,140.054058,132.027955,4.013051,True,1.560324,1
61,1781834711.539745,1781836100.561188,3628,555,1387.450710,466.762896,1.661891,True,1.570733,2
231,1781834711.544766,1781836182.310376,7833,374,571.848969,33.255757,1.443950,True,898.916641,1
62,1781834711.539772,1781838227.404586,1902,587,3514.283109,2832.102144,1.164131,True,1.581705,6
232,1781834711.544792,1781837952.199820,1083,481,2222.727696,1837.916453,0.801690,True,1017.927331,4
63,1781834711.539798,1781835537.700708,14041,227,824.568570,481.340931,1.518706,True,1.592339,2
233,1781834711.544818,1781835848.947639,3918,20,119.465100,98.026853,1.128329,True,1017.937720,1
64,1781834711.539825,1781835370.490345,6618,35,657.346760,495.274927,4.766819,True,1.603760,2
234,1781834711.544846,1781836779.430575,13242,434,1049.937240,699.283032,0.809825,True,1017.948489,2
65,1781834711.539856,1781835424.434835,9615,203,711.280972,416.886066,1.457401,True,1.614006,2
235,1781834711.544872,1781835830.230599,6171,3,100.725592,76.235693,12.244950,True,1017.960134,1
66,1781834711.539883,1781835008.899959,6520,47,295.734148,147.187044,3.229285,True,1.625929,1
236,1781834711.544904,1781836469.049157,3964,18,739.532744,716.633172,1.347034,True,1017.971508,2
67,1781834711.539910,1781835030.195951,7413,23,317.018734,131.588331,8.428655,True,1.637307,1
237,1781834711.544935,1781836811.388668,5654,442,1081.861288,680.664060,0.909744,True,1017.982445,2
68,1781834711.539937,1781835584.768904,12095,239,871.580867,467.488086,1.697869,True,1.648101,2
238,1781834711.544964,1781835885.540658,6177,31,156.001705,74.224971,2.725891,True,1017.993989,1
69,1781834711.539964,1781835643.960046,1066,324,930.760916,466.674194,1.436801,True,1.659166,2
239,1781834711.544996,1781835842.594821,5939,15,113.045836,108.413015,0.330916,True,1018.003989,1
70,1781834711.539991,1781835030.360640,3377,22,317.150493,127.287011,9.041118,True,1.670156,1
240,1781834711.545023,1781836099.759060,1085,75,370.199615,301.211717,0.932269,True,1018.014421,1
71,1781834711.540018,1781835895.272736,2038,524,1182.051798,150.467718,1.972436,True,1.680919,1
72,1781834711.540045,1781835514.687121,898,324,801.455889,131.534319,2.074061,True,1.691186,1
242,1781834711.545078,1781835981.219870,6810,3,221.464342,220.976826,0.243758,True,1048.210450,1
73,1781834711.540078,1781835029.878730,3331,20,316.636379,127.255032,9.967439,True,1.702273,1
243,1781834711.545109,1781836029.395175,8099,3,264.798645,238.655719,13.071463,True,1053.051422,1
74,1781834711.540108,1781835572.863854,5391,361,859.610425,150.435267,1.969931,True,1.713321,1
244,1781834711.545135,1781835870.477812,3147,21,93.992354,61.939535,1.602641,True,1064.940323,1
75,1781834711.540135,1781835214.358275,11041,98,501.094428,163.680561,3.478493,True,1.723712,1
245,1781834711.545166,1781836069.617548,3164,19,282.497926,216.132735,3.686955,True,1075.574456,1
76,1781834711.540166,1781834883.150355,6251,3,169.875744,127.222761,21.326492,True,1.734445,1
246,1781834711.545197,1781836849.659578,10704,346,1057.548587,746.949164,0.900288,True,1080.565794,2
77,1781834711.540193,1781835814.308553,6525,481,1101.022619,169.777165,1.940095,True,1.745740,1
247,1781834711.545224,1781836646.550484,9359,339,832.721011,505.415585,0.968359,True,1102.284248,2
78,1781834711.540220,1781835895.192015,14081,522,1181.894719,301.608687,1.689609,True,1.757077,1
248,1781834711.545253,1781835851.310699,6165,3,37.000359,36.516721,0.241819,True,1102.765087,1
79,1781834711.540252,1781835383.725541,8974,219,670.417627,190.363718,2.202082,True,1.767661,1
249,1781834711.545280,1781835849.170256,3301,19,18.931889,3.966513,0.831410,True,1118.693088,1
80,1781834711.540280,1781834989.260864,3135,16,275.941894,169.743971,7.079862,True,1.778690,1
250,1781834711.545306,1781836725.149723,5100,413,894.590730,615.590730,0.677184,True,1119.013686,2
81,1781834711.540307,1781834838.674860,6905,3,18.176345,17.620219,0.278063,True,108.958208,1
251,1781834711.545333,1781836043.513941,6641,28,210.766589,94.117204,4.320348,True,1121.202019,1
82,1781834711.540334,1781836732.295961,15761,417,1911.651394,1579.005498,0.799630,True,109.104234,4
252,1781834711.545360,1781835862.941028,6172,3,23.220777,22.737631,0.241573,True,1128.174891,1
83,1781834711.540364,1781836756.309906,7543,415,1928.383260,1559.817057,0.890257,True,116.386282,4
253,1781834711.545387,1781836054.598086,976,237,213.651424,1.324741,0.899689,True,1129.401275,1
84,1781834711.540391,1781836895.998498,934,421,2057.366184,1541.805464,1.227526,True,127.091923,4
254,1781834711.545416,1781836107.492059,6613,3,266.125848,265.567790,0.279029,True,1129.820796,1
85,1781834711.540417,1781834860.404357,7011,3,21.718723,14.236240,3.741242,True,127.145216,1
