RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
159,1781852308.821697,1781852936.305313,3178,23,72.145468,54.546506,0.799953,True,555.338148,1
244,1781852308.824201,1781853492.681920,3147,21,83.347054,5.891619,3.872772,True,1100.510665,1
584,1781852308.834135,1781855709.851014,3118,19,204.387084,171.445954,1.830063,True,3196.629796,1
414,1781852308.829171,1781855512.313052,1035,183,1115.161524,8.008339,6.083259,True,2088.322356,3
160,1781852308.821727,1781853612.340239,2428,508,728.570598,27.743757,1.382301,True,574.947914,1
245,1781852308.824232,1781853611.273520,3164,19,201.560086,162.177849,2.187902,True,1100.889202,1
585,1781852308.834164,1781855541.948215,1008,39,32.350414,1.378007,0.815063,True,3200.763637,1
415,1781852308.829202,1781854815.425036,892,79,409.294529,0.000000,5.247366,True,2097.301306,2
161,1781852308.821754,1781852967.752038,7125,26,72.486981,66.749448,0.229501,True,586.443304,1
246,1781852308.824260,1781854175.667395,10704,346,760.347791,29.111409,2.119526,True,1106.495343,2
162,1781852308.821780,1781854252.721726,2392,621,1349.477248,2.603179,2.172378,True,594.422698,3
247,1781852308.824288,1781854377.720514,9359,339,954.486204,102.942225,2.519361,True,1114.410022,2
417,1781852308.829256,1781854651.829816,7364,3,124.832032,114.926367,4.952833,True,2218.168528,1
163,1781852308.821812,1781854200.853231,8619,593,1297.554724,11.858954,2.171783,True,594.476695,3
248,1781852308.824320,1781853451.799142,6165,3,17.297316,16.737729,0.279793,True,1125.677506,1
588,1781852308.834251,1781855628.464610,4174,24,110.464520,7.552108,4.474453,True,3209.165840,1
418,1781852308.829286,1781855658.378364,3954,298,1131.368883,0.000000,3.809323,True,2218.180195,2
164,1781852308.821842,1781854277.656106,2885,613,1374.345948,12.219094,2.225697,True,594.488315,3
249,1781852308.824348,1781853705.443372,3301,19,270.857251,229.796916,2.281130,True,1125.761773,1
589,1781852308.834278,1781855781.501904,3130,20,263.121780,225.128451,1.999649,True,3209.545846,1
419,1781852308.829314,1781854741.345103,6272,3,214.324118,210.819291,1.752414,True,2218.191671,1
165,1781852308.821872,1781853017.142829,7294,3,110.040066,74.226671,17.906698,True,598.280891,1
250,1781852308.824378,1781854289.711363,5100,413,855.031307,24.139245,2.016728,True,1125.855678,2
590,1781852308.834305,1781855542.224348,7396,3,9.053727,8.496605,0.278561,True,3224.336316,1
420,1781852308.829341,1781854672.968997,3137,21,145.936497,106.312330,1.981208,True,2218.203158,1
166,1781852308.821899,1781852936.999906,6911,24,24.001125,18.646778,0.232798,True,604.176882,1
251,1781852308.824407,1781853669.680804,6641,28,225.007450,179.653942,1.679760,True,1135.848946,1
591,1781852308.834335,1781855566.316655,6166,25,24.359503,7.013026,0.722770,True,3233.122817,1
421,1781852308.829372,1781854633.440869,7023,3,106.397819,64.906149,20.745835,True,2218.213678,1
167,1781852308.821927,1781853551.500883,11527,373,632.312701,82.454311,1.478114,True,610.366255,1
252,1781852308.824453,1781853583.482001,6172,3,138.498562,138.029639,0.234462,True,1136.158986,1
422,1781852308.829400,1781854681.771167,6624,27,154.716363,93.888246,2.339543,True,2218.225404,1
168,1781852308.821954,1781853138.585274,8552,3,219.095386,218.533205,0.281090,True,610.667934,1
253,1781852308.824482,1781853792.455856,976,237,340.648929,1.299684,1.437921,True,1142.982445,1
423,1781852308.829440,1781854659.095127,6167,3,132.028766,131.479217,0.274775,True,2218.236921,1
169,1781852308.821980,1781853176.025823,1729,31,256.401165,198.488504,1.930422,True,610.802677,1
254,1781852308.824518,1781854044.576715,6613,4,591.271826,0.000000,197.090609,True,1144.480371,2
424,1781852308.829472,1781855259.126403,3132,16,732.048456,0.000000,48.803230,True,2218.248475,2
170,1781852308.822007,1781854066.747697,1087,505,1138.674208,9.880675,2.239670,True,619.251482,3
255,1781852308.824547,1781853475.395552,6180,3,14.213363,10.335687,1.938838,True,1152.357643,1
595,1781852308.834460,1781855622.098754,2971,14,58.384154,32.449682,1.994959,True,3254.880140,1
425,1781852308.829500,1781854841.580662,7005,3,314.492297,312.173783,1.159257,True,2218.258865,1
171,1781852308.822033,1781853083.248183,7043,36,155.041663,110.891257,1.261440,True,619.384487,1
256,1781852308.824574,1781853491.851577,3127,17,27.082321,10.069116,1.063325,True,1155.944682,1
596,1781852308.834496,1781855743.909629,3107,24,179.906972,120.229132,2.594689,True,3255.168161,1
426,1781852308.829527,1781855841.803540,9412,555,1314.705027,106.246406,2.181333,True,2218.268986,2
172,1781852308.822060,1781854121.649896,12000,529,1193.347056,46.466411,2.172122,True,619.480780,3
257,1781852308.824603,1781853772.235463,2187,186,296.833100,2.572772,1.590596,True,1166.577761,1
597,1781852308.834523,1781855594.806468,3932,22,28.478914,4.523445,1.140737,True,3257.493031,1
173,1781852308.822089,1781853043.930019,4490,16,107.619824,65.332248,2.819172,True,627.488106,1
258,1781852308.824631,1781853503.935585,3254,22,24.750686,7.712356,0.811349,True,1170.360268,1
428,1781852308.829582,1781855901.984287,5240,534,1356.536365,227.133147,2.118955,True,2236.618341,2
174,1781852308.822116,1781853336.386576,8520,232,399.378875,79.973766,1.382706,True,628.185585,1
259,1781852308.824659,1781853657.357512,6863,45,177.305540,127.547172,1.130872,True,1171.227313,1
429,1781852308.829609,1781854673.118261,7192,3,127.515068,127.040344,0.237362,True,2236.773584,1
175,1781852308.822142,1781853487.315285,1206,223,549.263575,50.489187,2.246731,True,629.229568,2
260,1781852308.824687,1781853495.114949,3161,16,7.793826,3.651886,0.276129,True,1178.496437,1
600,1781852308.834605,1781855716.127041,6668,3,133.618001,133.055467,0.281267,True,3273.674435,1
430,1781852308.829637,1781854561.036395,6172,3,11.865805,11.402908,0.231448,True,2240.340953,1
176,1781852308.822169,1781853093.276072,3151,25,148.319191,141.685981,0.276384,True,636.134712,1
261,1781852308.824714,1781853712.829110,6167,3,220.969784,220.415697,0.277043,True,1183.034612,1
431,1781852308.829664,1781854573.552584,6587,3,12.515407,12.052901,0.231253,True,2252.207513,1
177,1781852308.822195,1781853052.685556,6777,25,103.593093,91.691781,0.495888,True,640.270268,1
262,1781852308.824742,1781853518.984617,7883,3,27.082699,20.992517,3.045091,True,1183.077176,1
432,1781852308.829691,1781855518.372415,2787,415,944.813098,5.162535,2.269687,True,2264.729626,2
178,1781852308.822222,1781854126.692500,8487,307,1165.908708,0.000000,3.810159,True,651.961570,3
263,1781852308.824773,1781855266.677555,1383,722,1773.989864,2.742282,2.456654,True,1183.862918,3
433,1781852308.829720,1781854804.769855,6201,30,221.546986,189.358172,1.109959,True,2274.393150,1
