RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
328,1781847788.708764,1781849981.391055,1577,579,928.748694,1.939277,1.603477,True,1263.933597,2
498,1781847788.714887,1781850022.817798,3147,20,88.602581,84.180702,0.232730,True,2145.500329,1
157,1781847788.699120,1781848289.287402,7038,3,97.034528,96.564440,0.235044,True,403.553754,1
583,1781847788.718088,1781851056.780322,4316,221,709.127391,129.171225,2.636164,True,2558.934843,2
329,1781847788.708797,1781849967.265338,1625,578,914.387982,3.150492,1.579268,True,1264.168558,2
499,1781847788.714931,1781849960.256833,7559,3,24.160395,23.593765,0.283315,True,2147.381507,1
158,1781847788.699179,1781848363.635331,6168,26,171.297860,53.663484,4.705375,True,403.638292,1
584,1781847788.718122,1781850523.250655,3118,19,163.632059,117.205545,2.579251,True,2570.900475,1
330,1781847788.708830,1781850510.736825,6517,565,1453.608001,11.503715,2.556922,True,1268.419994,2
500,1781847788.714970,1781849981.996058,3173,18,38.090853,23.262292,0.872268,True,2155.190234,1
159,1781847788.699239,1781848339.308301,3178,24,146.938604,0.000000,6.388635,True,403.670459,2
585,1781847788.718155,1781850465.004232,1008,39,99.757320,17.476357,2.165289,True,2576.528756,1
331,1781847788.708864,1781849081.064207,6586,3,23.707902,23.249003,0.229449,True,1268.647441,1
501,1781847788.715018,1781849982.555963,3170,20,31.311039,15.922508,0.809923,True,2162.529906,1
160,1781847788.699298,1781849002.808379,2428,508,788.713204,74.722113,1.408266,True,425.395877,1
586,1781847788.718189,1781850771.721186,10048,172,388.390197,51.765418,1.968566,True,2594.612801,2
332,1781847788.708898,1781850282.472982,9550,713,1223.423093,11.101832,1.702698,True,1270.340991,3
11,1781847788.690946,1781847961.482208,6506,3,171.569399,72.419452,49.574973,True,1.221863,1
502,1781847788.715061,1781849966.349100,7566,3,14.508372,14.033231,0.237570,True,2163.125668,1
161,1781847788.699357,1781848373.318160,7125,26,159.067973,44.917515,4.566018,True,425.550830,1
587,1781847788.718228,1781850536.044403,6759,3,152.382738,141.254716,5.564011,True,2594.943437,1
333,1781847788.708935,1781849154.932220,8770,121,84.259219,10.193637,0.617213,True,1281.964066,1
236,1781847788.704011,1781848637.250463,3964,18,30.434478,26.417265,0.236307,True,818.111974,1
503,1781847788.715100,1781850911.435402,11850,383,951.170764,0.000000,2.489976,True,2171.549539,3
162,1781847788.699443,1781849537.041129,2392,621,1302.182901,138.218672,1.877362,True,446.158785,2
588,1781847788.718271,1781850431.189996,4174,24,43.540434,19.872124,1.029057,True,2598.931291,1
334,1781847788.708968,1781849827.264720,6994,461,746.246111,7.985029,1.604915,True,1292.309641,2
256,1781847788.705263,1781848715.854980,3127,17,30.699925,3.595282,1.694040,True,896.449793,1
504,1781847788.715140,1781851315.927199,3944,515,1349.574373,7.173964,2.611674,True,2177.637685,2
163,1781847788.699512,1781849283.188159,8619,593,1048.186250,194.981975,1.441223,True,446.302398,1
589,1781847788.718305,1781850712.385837,3130,21,310.945515,0.000000,15.547276,True,2612.722018,2
335,1781847788.709005,1781849122.785380,6521,26,41.712640,11.946712,1.190637,True,1292.363735,1
223,1781847788.703198,1781848599.791292,3133,19,38.350580,10.874326,1.526459,True,772.737514,1
164,1781847788.699572,1781849325.472110,2885,613,1079.225451,126.830400,1.556201,True,457.547086,1
590,1781847788.718338,1781850477.295539,7396,3,69.611256,69.139820,0.235718,True,2618.965945,1
336,1781847788.709038,1781849511.678360,13996,315,419.370188,16.774282,1.282153,True,1303.599133,2
228,1781847788.703530,1781848597.277549,7030,3,16.328371,8.020101,4.154135,True,792.245648,1
506,1781847788.715216,1781849988.250037,6173,32,19.243444,7.003620,0.394833,True,2180.291376,1
165,1781847788.699633,1781848303.078201,7294,3,43.361044,42.888290,0.236377,True,471.017524,1
591,1781847788.718371,1781850509.063059,6166,25,90.132775,62.300843,1.159664,True,2630.211912,1
337,1781847788.709077,1781849836.964707,898,286,742.189347,29.607060,2.500289,True,1306.066283,2
237,1781847788.704070,1781849324.949940,5654,442,716.931358,6.199548,1.611637,True,819.314512,2
507,1781847788.715250,1781849988.065750,6166,31,18.965916,10.609966,0.278532,True,2180.384583,1
166,1781847788.699692,1781848381.265561,6911,24,109.718845,44.013946,2.856735,True,482.847024,1
592,1781847788.718404,1781850963.925491,9582,300,544.850317,35.426467,1.703759,True,2630.356769,2
338,1781847788.709111,1781850769.019696,965,637,1658.154040,213.895168,2.270847,True,1322.156545,4
508,1781847788.715283,1781850055.822587,3154,24,81.970310,76.700253,0.229133,True,2185.136994,1
167,1781847788.699751,1781848742.471697,11527,373,453.173378,74.174674,1.018814,True,500.598568,1
593,1781847788.718451,1781851040.749894,4999,230,620.692025,9.272101,2.669956,True,2631.339418,2
339,1781847788.709145,1781850485.787575,14349,501,1373.730707,157.434305,2.432593,True,1323.347722,2
249,1781847788.704829,1781848692.941387,3301,19,35.970180,13.467128,1.250170,True,868.266378,1
509,1781847788.715317,1781850252.848217,1661,93,277.129359,74.833614,2.198867,True,2187.003542,1
168,1781847788.699809,1781848508.445287,8552,3,206.889316,199.497595,3.695861,True,512.856162,1
