RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
2576,1774178180.998449,1774179957.901581,397,66,105.941226,50.716861,0.849606,True,1670.961907,1
1471,1774178180.956046,1774179324.600152,1021,398,386.628408,55.331612,0.834501,True,757.015699,1
2746,1774178181.003653,1774180113.755127,409,95,138.299114,48.235143,0.958127,True,1794.452360,1
3914,1774178181.039355,1774181268.530508,995,403,426.386136,85.909354,0.846957,True,2661.105016,1
961,1774178180.940067,1774179034.331663,980,516,448.063397,23.874949,0.823667,True,405.328198,1
2916,1774178181.008812,1774180791.812048,1018,434,686.312897,145.768275,1.248371,True,1924.490339,1
3489,1774178181.026374,1774180958.506223,1093,397,418.380458,80.456530,0.853343,True,2359.099390,1
4254,1774178181.051097,1774181202.590125,372,68,91.575336,36.439803,0.822918,True,2929.963692,1
2577,1774178180.998478,1774180284.245534,1117,442,431.988590,44.989325,0.877549,True,1671.258466,1
1472,1774178180.956074,1774179057.019298,417,117,118.691768,52.548659,0.570199,True,757.371456,1
2747,1774178181.003682,1774180830.469260,1030,624,854.341515,55.207293,1.282719,True,1795.124063,1
3915,1774178181.039383,1774181225.181660,1037,411,381.591966,37.922955,0.838217,True,2662.550311,1
962,1774178180.940095,1774178730.284317,167,179,143.726279,2.698278,0.792292,True,405.617943,1
2917,1774178181.008841,1774180781.103911,1125,422,674.592136,150.629552,1.244567,True,1925.502934,1
3490,1774178181.026404,1774180780.872293,398,104,240.425931,98.380818,1.379079,True,2359.419958,1
4255,1774178181.051126,1774181535.651030,873,456,422.720895,36.264049,0.849356,True,2931.879009,1
2578,1774178180.998508,1774180025.289679,61,136,172.920079,46.234082,0.938415,True,1671.371092,1
1473,1774178180.956103,1774179575.358446,1182,396,636.480247,162.818254,1.199144,True,757.922096,1
2748,1774178181.003710,1774180172.194905,370,107,195.726483,54.867324,1.328860,True,1795.464712,1
3916,1774178181.039427,1774181016.632124,1923,74,172.608831,94.605583,1.068538,True,2662.983866,1
963,1774178180.940124,1774178703.783114,405,128,114.393883,0.891975,0.893716,True,408.449106,1
2918,1774178181.008869,1774180333.041984,374,69,226.193188,150.292499,1.116187,True,1925.839927,1
3491,1774178181.026455,1774180938.881785,1072,444,396.793121,21.443164,0.847291,True,2361.062209,1
4256,1774178181.051155,1774181330.459799,209,179,215.488094,40.949429,0.980554,True,2933.920551,1
2579,1774178180.998537,1774180105.496209,27,192,252.939782,60.150655,1.009367,True,1671.557890,1
1474,1774178180.956136,1774179477.417362,1027,569,538.498171,90.001518,0.789607,True,757.963055,1
2749,1774178181.003738,1774180523.764066,1139,393,546.623271,56.612729,1.250027,True,1796.137057,1
3917,1774178181.039458,1774181072.032960,200,217,226.386135,54.431313,0.796087,True,2664.607368,1
964,1774178180.940152,1774178679.551002,376,62,89.859589,25.007341,1.063152,True,408.751261,1
2919,1774178181.008902,1774180168.601056,90,20,60.225098,43.654193,0.872153,True,1927.367056,1
3492,1774178181.026484,1774180659.840071,242,14,117.176368,101.481964,1.207262,True,2361.637219,1
4257,1774178181.051183,1774181397.470330,200,179,281.787205,123.423154,0.889686,True,2934.631942,1
2580,1774178180.998569,1774180479.947933,1035,388,627.176503,142.814726,1.251581,True,1671.772861,1
1475,1774178180.956166,1774179337.526732,1351,140,396.374991,163.321583,1.676643,True,760.195575,1
2750,1774178181.003767,1774180365.057027,1103,408,385.932024,36.089440,0.859564,True,1798.121237,1
3918,1774178181.039486,1774181293.778090,1069,419,448.015775,90.899192,0.854346,True,2664.722828,1
965,1774178180.940181,1774178736.448309,1313,169,146.530289,1.984239,0.860393,True,408.977839,1
2920,1774178181.008931,1774180312.250867,376,85,203.104477,90.873282,1.336086,True,1928.137459,1
3493,1774178181.026513,1774180931.213306,1132,437,388.425085,24.466289,0.834768,True,2361.761709,1
4258,1774178181.051212,1774181586.429789,1047,430,468.831495,106.232332,0.845219,True,2936.547082,1
2581,1774178180.998598,1774180492.177009,1129,396,639.394643,142.804288,1.257191,True,1671.783768,1
1476,1774178180.956195,1774179084.672649,409,95,142.674832,64.742970,0.829062,True,761.041622,1
2751,1774178181.003799,1774180404.625544,1076,446,425.489949,40.794943,0.864483,True,1798.131796,1
3919,1774178181.039600,1774181091.655832,1315,163,244.862837,59.139974,1.146437,True,2665.753395,1
966,1774178180.940208,1774178773.525247,1320,239,180.889690,1.818154,0.752401,True,411.695349,1
2921,1774178181.008959,1774180365.758312,209,174,256.539915,114.324940,0.822052,True,1928.209439,1
3494,1774178181.026541,1774180660.367748,397,114,117.219588,24.106137,0.824013,True,2362.121619,1
4259,1774178181.051240,1774181612.066450,1240,496,494.270611,66.393867,0.864397,True,2936.744599,1
2582,1774178180.998630,1774180542.652779,1056,451,689.860042,147.627096,1.204962,True,1671.794107,1
1477,1774178180.956224,1774179362.623873,1009,411,420.573951,86.870772,0.813910,True,761.093699,1
2752,1774178181.003827,1774180548.015835,1074,396,567.908716,70.203254,1.260014,True,1799.103292,1
3920,1774178181.039631,1774181037.820729,400,94,190.576561,91.384722,1.066579,True,2666.204536,1
967,1774178180.940236,1774178694.261458,1052,101,101.275830,2.638774,0.986371,True,412.045392,1
2922,1774178181.008988,1774180811.958468,1056,442,698.719131,148.856733,1.246854,True,1932.230350,1
3495,1774178181.026570,1774180605.029240,120,12,61.706734,49.179518,1.138838,True,2362.295936,1
4260,1774178181.051269,1774181311.479589,200,162,193.370306,37.812181,0.966200,True,2937.058013,1
2583,1774178180.998660,1774180053.618635,1315,166,199.176898,46.522340,0.925179,True,1673.443078,1
1478,1774178180.956253,1774179424.486224,1109,377,481.679988,55.200056,1.134255,True,761.849983,1
2753,1774178181.003858,1774180394.909487,1149,380,413.282687,95.738763,0.837847,True,1800.622942,1
3921,1774178181.039661,1774181402.126277,1115,423,554.768916,91.271757,1.098334,True,2666.317701,1
968,1774178180.940265,1774179126.747706,1060,658,533.586881,3.159679,0.807347,True,412.220560,1
2923,1774178181.009019,1774180505.316991,1066,377,391.674376,67.288679,0.862728,True,1932.633596,1
3496,1774178181.026598,1774181191.175035,982,445,646.193381,101.964047,1.225742,True,2363.955056,1
4261,1774178181.051297,1774181691.771593,1038,408,573.547950,104.366888,1.152779,True,2937.172345,1
2584,1774178180.998692,1774180055.259999,406,104,200.704836,99.836826,0.979301,True,1673.556470,1
1479,1774178180.956282,1774179258.456631,1155,75,315.537108,173.512938,1.919246,True,761.963241,1
2754,1774178181.003886,1774180105.461852,1503,69,123.651019,59.742745,0.939828,True,1800.806947,1
969,1774178180.940294,1774179071.788080,1049,395,476.735947,36.362462,1.117699,True,414.111839,1
2924,1774178181.009048,1774180279.982591,405,108,166.216300,87.479423,0.735859,True,1932.757243,1
3497,1774178181.026627,1774180725.025613,389,89,179.469341,43.538537,1.544668,True,2364.529645,1
4262,1774178181.051326,1774181384.131378,1318,196,265.240516,86.176884,0.918275,True,2937.839536,1
2585,1774178180.998720,1774180043.761979,12,149,187.759044,46.673934,0.953278,True,1675.004214,1
1480,1774178180.956311,1774179558.448545,1066,379,614.976045,175.259185,1.163272,True,762.516190,1
2755,1774178181.003915,1774180406.392437,1023,432,424.518914,55.314536,0.856623,True,1800.869609,1
3923,1774178181.039720,1774180970.698089,903,100,123.112446,33.926978,0.900863,True,2666.545923,1
970,1774178180.940322,1774178850.841910,408,104,255.685742,71.237467,1.790760,True,414.215845,1
2925,1774178181.009079,1774180270.435851,393,99,156.319513,87.129601,0.706020,True,1933.107259,1
3498,1774178181.026660,1774180666.862238,406,96,121.210870,45.205130,0.800060,True,2364.624707,1
4263,1774178181.051357,1774181629.807254,1086,540,510.677660,49.303862,0.855981,True,2938.078236,1
2586,1774178180.998749,1774180066.589478,444,99,210.474104,121.757803,0.905268,True,1675.116625,1
1481,1774178180.956339,1774179292.428132,431,94,348.944557,179.499475,1.821990,True,762.527236,1
2756,1774178181.003943,1774180571.288990,1109,415,587.593949,81.807352,1.221707,True,1802.691098,1
3924,1774178181.039749,1774180980.314258,1850,94,130.831214,53.831031,0.827959,True,2668.443295,1
971,1774178180.940351,1774178632.909048,91,16,36.460016,23.888883,0.838076,True,415.508681,1
2926,1774178181.009108,1774180379.342835,42,100,264.315017,147.068272,1.184311,True,1934.018710,1
3499,1774178181.026690,1774180976.459038,1004,396,430.694681,92.984496,0.854962,True,2364.737668,1
4264,1774178181.051385,1774181724.936498,1107,415,604.653099,119.323637,1.172293,True,2939.232014,1
2587,1774178180.998778,1774180022.276755,393,102,163.731923,67.261556,0.955152,True,1677.546054,1
1482,1774178180.956371,1774179356.363582,1201,391,412.162720,92.096487,0.820683,True,763.244492,1
2757,1774178181.003971,1774180610.248776,1039,396,625.992684,128.519747,1.259425,True,1803.252120,1
3925,1774178181.039778,1774181324.241582,1126,447,472.879795,93.440426,0.850761,True,2670.322010,1
972,1774178180.940378,1774178767.322460,1313,234,170.750115,1.785628,0.725169,True,415.631967,1
2927,1774178181.009137,1774180254.137996,828,72,138.782431,80.456257,0.821495,True,1934.346428,1
3500,1774178181.026718,1774180962.746363,1094,436,416.930277,53.125004,0.836334,True,2364.789368,1
4265,1774178181.051429,1774181722.661125,1000,411,602.028788,122.198451,1.170318,True,2939.580909,1
2588,1774178180.998806,1774179962.495559,375,64,101.811336,47.943469,0.855045,True,1679.685417,1
1483,1774178180.956400,1774179070.139279,387,95,124.649844,47.813785,0.817405,True,764.533035,1
2758,1774178181.003999,1774180593.948871,1135,417,608.732225,89.161355,1.248968,True,1804.212647,1
